Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2005;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
;02.04.;SA;1;7;8;7;7;3;1;13.344.226,50   ;JP;;2.141.319,50   ;5  x   ;91  x   ;747  x   ;7.571  x   ;72.899  x   ;715.475  x   ;;;;
14.;06.04.;MI;6;9;0;0;0;1;8;4.873.963,50   ;JP;;2.466.412,90   ;2  x   ;20  x   ;246  x   ;3.013  x   ;31.699  x   ;323.674  x   ;;;;
;09.04.;SA;4;9;4;9;3;8;0;13.834.288,50   ;3  x   ;1.070.000,00   ;179.159,90   ;7  x   ;64  x   ;669  x   ;6.960  x   ;66.055  x   ;657.665  x   ;;;;
15.;13.04.;MI;2;9;5;3;8;0;1;4.673.343,00   ;1  x   ;470.000,00   ;20.871,90   ;1  x   ;25  x   ;237  x   ;2.370  x   ;23.404  x   ;257.258  x   ;;;;
;16.04.;SA;3;5;9;8;4;6;0;13.271.472,00   ;1  x   ;870.000,00   ;36.079,10   ;4  x   ;58  x   ;626  x   ;6.130  x   ;63.229  x   ;631.058  x   ;;;;
16.;20.04.;MI;9;6;5;8;6;0;6;4.697.296,50   ;1  x   ;270.000,00   ;79.388,80   ;2  x   ;22  x   ;246  x   ;2.760  x   ;25.841  x   ;302.560  x   ;;;;
;23.04.;SA;2;7;2;9;9;6;5;13.309.786,50   ;1  x   ;870.000,00   ;97.151,60   ;5  x   ;84  x   ;900  x   ;9.082  x   ;91.570  x   ;890.266  x   ;;;;
17.;27.04.;MI;0;6;7;6;7;3;5;4.522.378,50   ;JP;;398.794,20   ;2  x   ;44  x   ;356  x   ;3.335  x   ;31.928  x   ;300.581  x   ;;;;
;30.04.;SA;9;7;0;6;0;2;2;13.243.539,00   ;JP;;1.282.138,30   ;6  x   ;49  x   ;675  x   ;7.125  x   ;71.775  x   ;710.895  x   ;;;;
18.;04.05.;MI;1;2;0;1;7;8;4;4.981.603,50   ;JP;;1.614.411,30   ;unbesetzt;17  x   ;276  x   ;2.833  x   ;27.732  x   ;286.380  x   ;;;;
;07.05.;SA;0;6;1;2;0;4;7;13.574.241,00   ;JP;;2.519.813,20   ;9  x   ;88  x   ;955  x   ;9.078  x   ;98.898  x   ;928.980  x   ;;;;
19.;11.05.;MI;7;0;3;8;2;8;0;5.947.741,50   ;JP;;2.916.527,60   ;2  x   ;23  x   ;305  x   ;2.948  x   ;29.462  x   ;296.258  x   ;;;;
;14.05.;SA;1;6;7;4;6;2;2;15.783.295,50   ;JP;;3.969.273,40   ;10  x   ;83  x   ;851  x   ;8.598  x   ;86.901  x   ;859.463  x   ;;;;
20.;18.05.;MI;4;7;3;1;0;6;5;7.047.331,50   ;JP;;4.439.330,40   ;4  x   ;46  x   ;472  x   ;4.455  x   ;47.418  x   ;465.375  x   ;;;;
;21.05.;SA;7;4;6;1;3;3;4;18.941.184,00   ;1  x   ;5.670.000,00   ;32.707,40   ;7  x   ;104  x   ;1.052  x   ;10.444  x   ;110.992  x   ;1.086.220  x   ;;;;
21.;25.05.;MI;5;4;7;5;0;3;5;11.102.253,00   ;JP;;773.227,70   ;6  x   ;78  x   ;676  x   ;6.967  x   ;75.587  x   ;718.232  x   ;;;;
;28.05.;SA;5;4;8;1;2;8;6;14.054.578,50   ;1  x   ;1.670.000,00   ;40.668,10   ;9  x   ;72  x   ;879  x   ;8.638  x   ;86.786  x   ;885.416  x   ;;;;
22.;01.06.;MI;5;4;1;9;6;5;6;5.237.163,00   ;JP;;389.986,90   ;4  x   ;39  x   ;374  x   ;3.394  x   ;34.322  x   ;330.766  x   ;;;;
;04.06.;SA;7;2;5;8;8;4;5;13.897.714,50   ;1  x   ;1.270.000,00   ;46.964,50   ;9  x   ;75  x   ;935  x   ;9.869  x   ;96.822  x   ;939.322  x   ;;;;
23.;08.06.;MI;8;6;7;6;3;1;6;4.883.539,50   ;1  x   ;370.000,00   ;2.696,60   ;4  x   ;31  x   ;312  x   ;2.969  x   ;30.112  x   ;313.754  x   ;;;;
;11.06.;SA;3;3;3;2;8;5;2;13.311.217,50   ;1  x   ;870.000,00   ;20.554,80   ;13  x   ;66  x   ;772  x   ;7.512  x   ;74.005  x   ;714.220  x   ;;;;
24.;15.06.;MI;5;8;4;1;7;0;3;4.835.478,00   ;JP;;343.081,20   ;3  x   ;25  x   ;260  x   ;2.476  x   ;25.120  x   ;298.301  x   ;;;;
;18.06.;SA;0;8;3;1;9;6;8;13.186.974,00   ;JP;;1.222.652,40   ;8  x   ;84  x   ;966  x   ;8.901  x   ;89.569  x   ;881.232  x   ;;;;
25.;22.06.;MI;9;0;4;6;9;7;4;4.643.913,00   ;1  x   ;1.470.000,00   ;62.401,40   ;3  x   ;20  x   ;306  x   ;2.754  x   ;26.326  x   ;265.010  x   ;;;;
;25.06.;SA;5;7;0;1;8;5;6;12.847.419,00   ;2  x   ;370.000,00   ;179.324,20   ;8  x   ;86  x   ;872  x   ;8.707  x   ;86.006  x   ;811.117  x   ;;;;
26.;29.06.;MI;6;6;6;3;2;4;3;4.804.044,00   ;JP;;499.753,90   ;5  x   ;29  x   ;277  x   ;3.008  x   ;29.408  x   ;293.409  x   ;;;;
;02.07.;SA;0;4;5;5;0;5;1;13.763.737,50   ;JP;;1.417.795,20   ;10  x   ;81  x   ;710  x   ;7.305  x   ;76.853  x   ;730.829  x   ;;;;
;;;;;;;;Gewinne Gesamt;;;29   ;;;298   ;2.975   ;29.875   ;302.872   ;3.031.987   ;30.374.323   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2005;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2005;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
27.;06.07.;MI;8;4;2;7;0;7;5;4.740.012,00   ;JP;;1.733.954,00   ;2  x   ;37  x   ;323  x   ;2.865  x   ;32.816  x   ;327.748  x   ;;;;
;09.07.;SA;3;9;0;2;4;8;8;13.041.895,50   ;1  x   ;2.570.000,00   ;33.848,40   ;8  x   ;95  x   ;826  x   ;8.702  x   ;88.714  x   ;875.560  x   ;;;;
28.;13.07.;MI;8;6;1;0;1;0;5;4.555.480,50   ;JP;;337.698,90   ;2  x   ;26  x   ;248  x   ;2.742  x   ;26.967  x   ;325.258  x   ;;;;
;16.07.;SA;9;1;1;7;2;7;9;12.757.807,50   ;1  x   ;1.170.000,00   ;18.644,70   ;15  x   ;71  x   ;757  x   ;7.804  x   ;76.935  x   ;766.434  x   ;;;;
29.;20.07.;MI;3;0;0;9;8;2;8;4.566.861,00   ;JP;;323.254,30   ;4  x   ;42  x   ;297  x   ;3.148  x   ;30.249  x   ;302.438  x   ;;;;
;23.07.;SA;3;1;7;9;0;3;9;12.927.523,50   ;1  x   ;1.170.000,00   ;15.520,10   ;9  x   ;62  x   ;768  x   ;7.360  x   ;80.055  x   ;775.296  x   ;;;;
30.;27.07.;MI;5;0;3;5;5;3;4;4.754.350,50   ;1  x   ;270.000,00   ;62.635,30   ;3  x   ;39  x   ;287  x   ;2.857  x   ;27.686  x   ;269.757  x   ;;;;
;30.07.;SA;8;2;0;6;9;1;4;13.519.335,00   ;JP;;964.374,90   ;7  x   ;72  x   ;733  x   ;7.491  x   ;74.431  x   ;766.847  x   ;;;;
31.;03.08.;MI;5;7;1;0;6;0;3;5.929.731,00   ;JP;;1.359.888,00   ;5  x   ;42  x   ;337  x   ;3.014  x   ;32.169  x   ;370.032  x   ;;;;
;06.08.;SA;1;6;7;8;5;0;5;13.121.011,50   ;JP;;2.235.059,50   ;6  x   ;98  x   ;804  x   ;8.128  x   ;77.002  x   ;921.914  x   ;;;;
32.;10.08.;MI;5;3;8;5;7;6;5;4.896.654,00   ;JP;;2.561.666,30   ;5  x   ;49  x   ;371  x   ;3.656  x   ;34.931  x   ;342.812  x   ;;;;
;13.08.;SA;5;8;0;7;3;8;4;13.466.041,50   ;1  x   ;3.370.000,00   ;89.851,30   ;10  x   ;71  x   ;804  x   ;7.725  x   ;75.893  x   ;765.222  x   ;;;;
33.;17.08.;MI;8;1;2;6;6;5;1;5.504.455,50   ;1  x   ;370.000,00   ;86.998,50   ;4  x   ;22  x   ;303  x   ;3.082  x   ;30.667  x   ;295.423  x   ;;;;
;20.08.;SA;3;7;3;0;9;5;5;14.445.456,00   ;JP;;1.050.510,40   ;7  x   ;103  x   ;1.035  x   ;10.600  x   ;105.652  x   ;988.226  x   ;;;;
34.;24.08.;MI;7;6;3;8;4;4;2;4.740.036,00   ;JP;;1.366.670,80   ;1  x   ;14  x   ;264  x   ;2.547  x   ;25.934  x   ;253.310  x   ;;;;
;27.08.;SA;7;2;0;7;5;8;8;12.886.006,50   ;1  x   ;2.170.000,00   ;56.167,40   ;8  x   ;96  x   ;889  x   ;8.504  x   ;88.987  x   ;870.553  x   ;;;;
35.;31.08.;MI;6;7;8;8;5;4;6;4.917.249,00   ;1  x   ;370.000,00   ;14.147,90   ;5  x   ;32  x   ;323  x   ;3.405  x   ;33.341  x   ;311.554  x   ;;;;
;03.09.;SA;1;4;3;5;8;0;2;13.660.639,50   ;JP;;925.312,60   ;5  x   ;60  x   ;654  x   ;6.592  x   ;65.338  x   ;740.462  x   ;;;;
36.;07.09.;MI;1;0;5;2;4;2;5;4.638.778,50   ;JP;;1.234.719,10   ;2  x   ;37  x   ;363  x   ;3.403  x   ;33.423  x   ;331.928  x   ;;;;
;10.09.;SA;3;8;5;5;6;5;3;12.890.220,00   ;JP;;2.094.496,80   ;11  x   ;70  x   ;847  x   ;8.025  x   ;79.207  x   ;768.735  x   ;;;;
37.;14.09.;MI;4;0;0;3;5;1;6;4.991.502,00   ;JP;;2.427.430,00   ;3  x   ;30  x   ;345  x   ;3.184  x   ;30.830  x   ;321.527  x   ;;;;
;17.09.;SA;0;0;6;9;3;5;2;13.649.301,00   ;2  x   ;1.570.000,00   ;197.838,40   ;8  x   ;89  x   ;766  x   ;7.794  x   ;77.314  x   ;733.308  x   ;;;;
38.;21.09.;MI;8;3;2;4;0;5;3;5.788.903,50   ;1  x   ;570.000,00   ;13.958,30   ;5  x   ;33  x   ;316  x   ;3.316  x   ;36.694  x   ;356.943  x   ;;;;
;24.09.;SA;9;7;0;1;2;8;3;14.795.124,00   ;JP;;1.000.793,10   ;14  x   ;84  x   ;830  x   ;8.618  x   ;85.852  x   ;893.844  x   ;;;;
39.;28.09.;MI;8;8;0;6;2;2;4;4.746.445,50   ;1  x   ;1.270.000,00   ;47.381,00   ;2  x   ;32  x   ;289  x   ;2.614  x   ;27.990  x   ;270.794  x   ;;;;
;01.10.;SA;2;9;0;9;7;3;2;13.171.125,00   ;1  x   ;870.000,00   ;55.895,00   ;7  x   ;68  x   ;751  x   ;7.124  x   ;71.110  x   ;713.398  x   ;;;;
40.;05.10.;MI;3;3;9;1;1;2;1;4.780.071,00   ;JP;;374.725,70   ;2  x   ;23  x   ;253  x   ;2.585  x   ;26.233  x   ;252.899  x   ;;;;
;08.10.;SA;2;0;7;4;0;3;1;12.797.976,00   ;JP;;1.228.350,70   ;12  x   ;56  x   ;659  x   ;6.589  x   ;69.027  x   ;674.982  x   ;;;;
41.;12.10.;MI;2;9;7;1;1;9;5;4.578.384,00   ;JP;;1.533.728,90   ;5  x   ;38  x   ;324  x   ;3.075  x   ;30.101  x   ;328.971  x   ;;;;
;15.10.;SA;2;3;5;5;4;6;1;12.846.690,00   ;1  x   ;2.370.000,00   ;20.603,10   ;5  x   ;66  x   ;680  x   ;6.926  x   ;68.161  x   ;681.124  x   ;;;;
42.;19.10.;MI;9;5;6;2;8;8;6;4.747.719,00   ;JP;;337.276,00   ;2  x   ;27  x   ;296  x   ;2.747  x   ;29.808  x   ;306.741  x   ;;;;
;22.10.;SA;9;9;7;0;5;2;2;13.474.257,00   ;JP;;1.236.008,90   ;8  x   ;98  x   ;727  x   ;7.585  x   ;75.394  x   ;738.667  x   ;;;;
43.;26.10.;MI;6;0;7;0;5;0;6;4.579.383,00   ;JP;;1.541.453,70   ;3  x   ;20  x   ;269  x   ;2.516  x   ;25.790  x   ;301.781  x   ;;;;
;29.10.;SA;0;0;0;8;3;1;8;12.975.351,00   ;2  x   ;1.170.000,00   ;66.909,60   ;11  x   ;87  x   ;848  x   ;8.508  x   ;83.783  x   ;875.133  x   ;;;;
44.;02.11.;MI;2;5;0;6;1;8;1;4.809.109,50   ;JP;;387.677,20   ;1  x   ;30  x   ;233  x   ;2.497  x   ;25.316  x   ;262.367  x   ;;;;
;05.11.;SA;3;7;7;7;9;9;2;13.733.158,50   ;2  x   ;570.000,00   ;163.678,90   ;6  x   ;71  x   ;719  x   ;7.391  x   ;73.413  x   ;760.369  x   ;;;;
45.;09.11.;MI;6;0;8;0;8;0;3;5.833.294,50   ;JP;;552.759,60   ;4  x   ;34  x   ;340  x   ;3.138  x   ;31.858  x   ;368.682  x   ;;;;
;12.11.;SA;3;0;3;9;1;3;0;13.481.838,00   ;2  x   ;670.000,00   ;111.998,20   ;8  x   ;56  x   ;566  x   ;6.284  x   ;62.779  x   ;629.831  x   ;;;;
46.;16.11.;MI;2;4;1;4;5;1;8;4.773.087,00   ;JP;;430.363,10   ;5  x   ;30  x   ;307  x   ;3.055  x   ;30.611  x   ;310.318  x   ;;;;
;19.11.;SA;4;0;6;2;9;5;4;13.555.351,50   ;4  x   ;270.000,00   ;254.505,00   ;15  x   ;69  x   ;872  x   ;8.316  x   ;82.095  x   ;774.755  x   ;;;;
47.;23.11.;MI;6;4;0;1;8;8;8;4.515.520,50   ;1  x   ;470.000,00   ;85.690,20   ;7  x   ;43  x   ;384  x   ;4.101  x   ;30.315  x   ;292.665  x   ;;;;
;26.11.;SA;7;9;9;8;4;0;0;12.626.311,50   ;1  x   ;870.000,00   ;57.865,20   ;6  x   ;55  x   ;627  x   ;5.990  x   ;62.035  x   ;584.522  x   ;;;;
48.;30.11.;MI;2;4;8;4;6;4;7;5.248.176,00   ;JP;;407.918,50   ;5  x   ;41  x   ;348  x   ;3.535  x   ;36.211  x   ;342.901  x   ;;;;
;03.12.;SA;6;2;3;5;5;7;8;13.986.013,50   ;2  x   ;670.000,00   ;785,60   ;11  x   ;95  x   ;964  x   ;9.698  x   ;95.482  x   ;932.703  x   ;;;;
49.;07.12.;MI;6;6;8;1;7;4;8;4.946.259,00   ;1  x   ;270.000,00   ;60.701,10   ;unbesetzt;36  x   ;354  x   ;3.326  x   ;33.797  x   ;322.217  x   ;;;;
;10.12.;SA;7;9;4;4;3;3;2;13.673.043,00   ;1  x   ;970.000,00   ;2.693,10   ;5  x   ;70  x   ;684  x   ;7.187  x   ;75.757  x   ;754.703  x   ;;;;
50.;14.12.;MI;7;7;9;1;5;7;4;5.495.814,00   ;JP;;369.263,90   ;5  x   ;30  x   ;314  x   ;3.212  x   ;32.660  x   ;325.314  x   ;;;;
;17.12.;SA;1;7;4;0;1;3;5;13.230.970,50   ;1  x   ;1.170.000,00   ;81.769,60   ;11  x   ;81  x   ;962  x   ;9.598  x   ;94.669  x   ;905.449  x   ;;;;
51.;21.12.;MI;6;1;6;3;4;5;8;4.812.166,50   ;1  x   ;370.000,00   ;32.741,10   ;1  x   ;34  x   ;323  x   ;3.331  x   ;32.699  x   ;318.959  x   ;;;;
;24.12.;SA;4;1;1;5;2;2;7;14.154.502,50   ;3  x   ;270.000,00   ;166.846,40   ;5  x   ;83  x   ;879  x   ;8.827  x   ;95.575  x   ;945.397  x   ;;;;
52.;28.12.;MI;5;0;3;3;4;9;1;4.890.022,50   ;JP;;493.010,90   ;2  x   ;26  x   ;234  x   ;2.516  x   ;24.927  x   ;266.745  x   ;;;;
;31.12.;SA;0;1;0;1;7;0;9;14.923.803,00   ;JP;;1.488.428,60   ;5  x   ;71  x   ;795  x   ;7.873  x   ;76.952  x   ;899.189  x   ;;;;
53.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Gewinne Gesamt;;;35   ;;;308   ;2.844   ;28.491   ;284.706   ;2.855.635   ;28.816.707   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
