Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1987;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
VA;1987;Gewinnzahl;;;;;;End-;Spieleinsatz;Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
;;;;;;;;ziffer;DM;ab 2 x 177.777,70 DM;;DM;2 x 77.777,70 DM;2 x 7.777,70 DM;2 x 777,70 DM;2 x 77,70 DM;2 x 7,70 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
44.;31.10.;6;0;9;2;6;8;7;17.873.168,00;JP;;1.479.564,80   ;12 x           ;79 x         ;831 x         ;8.306 x        ;82.004 x    ;;;;
45.;07.11.;8;8;7;2;6;5;3;17.218.170,00;1 x;2.755.555,40   ;61.861,20   ;12 x           ;100 x         ;782 x         ;7.776 x        ;77.617 x    ;;;;
46.;14.11.;9;9;6;0;6;2;7;17.809.388,00;JP;;1.445.650,60   ;9 x           ;80 x         ;804 x         ;8.143 x        ;81.684 x    ;;;;
47.;21.11.;5;2;1;0;8;8;8;16.984.444,00;4 x;555.555,40   ;543.120,30   ;8 x           ;92 x         ;779 x         ;7.863 x        ;76.654 x    ;;;;
48.;28.11.;5;5;6;4;5;6;7;17.316.850,00;1 x;1.755.555,40   ;133.084,10   ;6 x           ;83 x         ;792 x         ;7.893 x        ;79.151 x    ;;;;
49.;05.12.;1;3;4;3;9;2;4;21.869.768,00;JP;;1.832.365,10   ;6 x           ;104 x         ;988 x         ;9.937 x        ;99.116 x    ;;;;
50.;12.12.;2;1;5;7;7;0;9;17.972.626,00;1 x;3.155.555,40   ;73.282,70   ;1 x           ;83 x         ;743 x         ;7.951 x        ;77.919 x    ;;;;
51.;19.12.;5;6;3;9;5;2;1;20.125.640,00;JP;;1.637.044,90   ;11 x           ;99 x         ;905 x         ;9.074 x        ;91.788 x    ;;;;
52.;26.12.;7;2;9;1;9;1;6;14.019.962,00;2 x;1.355.555,40   ;15.285,10   ;7 x           ;70 x         ;652 x         ;6.361 x        ;63.754 x    ;;;;
53.;02.01.;1;8;4;9;8;7;9;13.813.582,00;2 x;355.555,40   ;377.489,60   ;5 x           ;67 x         ;647 x         ;6.400 x        ;62.499 x    ;;;;
;;;;;;;Gewinne Gesamt;;;46 x;;;361 x;3.745 x;36.861 x;369.950 x;3.680.891 x;;;;
