Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2002;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
10.;06.03.;MI;8;3;5;8;1;6;3;5.142.600,00   ;JP;;523.072,80   ;3  x   ;46  x   ;322  x   ;3.261  x   ;32.363  x   ;328.988  x   ;
;09.03.;SA;1;5;1;9;9;2;1;16.836.270,00   ;1  x   ;1.570.000,00   ;76.052,00   ;9  x   ;89  x   ;865  x   ;8.966  x   ;87.768  x   ;846.221  x   ;
11.;13.03.;MI;5;7;4;7;7;1;5;4.599.892,50   ;JP;;382.864,80   ;3  x   ;34  x   ;289  x   ;3.032  x   ;30.274  x   ;312.110  x   ;
;16.03.;SA;7;6;0;4;8;1;9;15.443.166,00   ;JP;;1.412.924,00   ;10  x   ;91  x   ;971  x   ;9.404  x   ;93.515  x   ;963.490  x   ;
12.;20.03.;MI;3;2;8;5;4;3;8;4.511.722,50   ;1  x   ;1.670.000,00   ;43.855,90   ;3  x   ;32  x   ;289  x   ;3.170  x   ;31.036  x   ;296.814  x   ;
;23.03.;SA;2;2;8;7;1;0;5;15.214.474,50   ;1  x   ;970.000,00   ;88.661,30   ;10  x   ;69  x   ;819  x   ;8.464  x   ;83.990  x   ;1.006.224  x   ;
13.;27.03.;MI;4;1;7;1;2;6;6;4.709.101,50   ;JP;;402.758,40   ;3  x   ;25  x   ;280  x   ;3.195  x   ;32.298  x   ;298.989  x   ;
;30.03.;SA;6;8;7;8;6;4;8;15.560.844,00   ;JP;;1.440.666,70   ;5  x   ;101  x   ;1.164  x   ;11.100  x   ;110.695  x   ;1.057.787  x   ;
14.;03.04.;MI;2;3;7;7;7;3;3;4.357.120,50   ;JP;;1.731.286,60   ;2  x   ;25  x   ;280  x   ;2.784  x   ;28.562  x   ;277.023  x   ;
;06.04.;SA;3;4;5;9;1;0;5;15.039.162,00   ;1  x   ;2.670.000,00   ;64.398,70   ;4  x   ;80  x   ;810  x   ;8.425  x   ;83.197  x   ;992.320  x   ;
15.;10.04.;MI;9;0;4;0;5;7;6;4.592.241,00   ;JP;;370.701,20   ;5  x   ;32  x   ;294  x   ;3.018  x   ;29.727  x   ;296.193  x   ;
;13.04.;SA;1;5;1;7;8;9;9;15.114.537,00   ;2  x   ;670.000,00   ;38.840,80   ;7  x   ;106  x   ;973  x   ;9.533  x   ;96.385  x   ;951.723  x   ;
16.;17.04.;MI;3;4;3;4;5;3;3;4.629.144,00   ;JP;;347.604,70   ;4  x   ;29  x   ;313  x   ;2.848  x   ;30.543  x   ;292.042  x   ;
;20.04.;SA;9;4;1;5;7;3;5;15.444.952,50   ;JP;;1.377.783,00   ;15  x   ;113  x   ;1.086  x   ;10.512  x   ;101.377  x   ;1.005.244  x   ;
17.;24.04.;MI;8;1;3;8;3;3;9;4.921.260,00   ;JP;;1.706.031,00   ;3  x   ;39  x   ;349  x   ;3.036  x   ;30.283  x   ;293.616  x   ;
;27.04.;SA;0;7;8;2;5;0;5;16.345.456,50   ;2  x   ;1.370.000,00   ;56.272,90   ;7  x   ;83  x   ;950  x   ;9.665  x   ;91.975  x   ;1.080.342  x   ;
18.;01.05.;MI;6;5;6;6;5;7;3;5.907.618,00   ;JP;;450.311,00   ;4  x   ;32  x   ;415  x   ;3.761  x   ;37.123  x   ;373.803  x   ;
;04.05.;SA;5;9;4;6;0;7;3;18.930.993,00   ;3  x   ;570.000,00   ;3.008,20   ;11  x   ;123  x   ;1.123  x   ;11.441  x   ;120.831  x   ;1.212.843  x   ;
19.;08.05.;MI;1;3;8;6;7;8;7;5.051.740,50   ;JP;;339.959,30   ;1  x   ;34  x   ;314  x   ;3.277  x   ;31.451  x   ;334.475  x   ;
;11.05.;SA;2;3;2;5;5;1;5;15.199.023,00   ;1  x   ;1.270.000,00   ;83.734,10   ;5  x   ;102  x   ;999  x   ;10.110  x   ;98.514  x   ;1.020.868  x   ;
20.;15.05.;MI;8;8;7;6;8;0;5;4.886.838,00   ;JP;;409.686,20   ;2  x   ;32  x   ;303  x   ;2.958  x   ;29.454  x   ;345.059  x   ;
;18.05.;SA;5;6;6;6;0;8;5;15.329.617,50   ;1  x   ;1.370.000,00   ;62.171,70   ;12  x   ;88  x   ;953  x   ;9.805  x   ;104.193  x   ;1.038.290  x   ;
21.;22.05.;MI;5;1;3;8;8;7;6;4.457.319,00   ;2  x   ;170.000,00   ;19.474,90   ;1  x   ;27  x   ;277  x   ;3.108  x   ;29.154  x   ;287.162  x   ;
;25.05.;SA;0;5;8;6;8;8;1;14.756.494,50   ;JP;;1.003.733,10   ;6  x   ;67  x   ;719  x   ;7.080  x   ;71.357  x   ;732.042  x   ;
22.;29.05.;MI;5;1;4;3;9;4;5;4.533.658,50   ;1  x   ;1.270.000,00   ;36.128,10   ;5  x   ;36  x   ;338  x   ;3.371  x   ;33.099  x   ;328.816  x   ;
;01.06.;SA;0;4;1;0;6;9;8;14.724.645,00   ;1  x   ;970.000,00   ;48.261,90   ;11  x   ;100  x   ;974  x   ;10.137  x   ;98.826  x   ;1.008.308  x   ;
23.;05.06.;MI;0;1;3;3;4;1;6;4.600.224,00   ;1  x   ;270.000,00   ;85.096,80   ;unbesetzt;25  x   ;314  x   ;2.954  x   ;28.753  x   ;301.429  x   ;
;08.06.;SA;1;4;5;7;7;5;7;15.189.877,50   ;JP;;1.098.261,60   ;11  x   ;111  x   ;931  x   ;10.386  x   ;98.650  x   ;981.871  x   ;
24.;12.06.;MI;4;3;9;9;7;6;3;4.496.190,00   ;1  x   ;1.370.000,00   ;28.157,50   ;3  x   ;35  x   ;304  x   ;2.841  x   ;28.029  x   ;283.794  x   ;
;15.06.;SA;3;1;3;4;0;6;5;14.657.362,50   ;1  x   ;970.000,00   ;35.803,60   ;12  x   ;93  x   ;934  x   ;9.848  x   ;105.575  x   ;1.027.049  x   ;
25.;19.06.;MI;0;4;3;8;7;1;2;4.349.583,00   ;JP;;325.920,80   ;1  x   ;29  x   ;250  x   ;2.357  x   ;23.426  x   ;226.094  x   ;
;22.06.;SA;5;4;9;8;1;5;3;14.343.867,00   ;JP;;1.282.656,70   ;16  x   ;81  x   ;981  x   ;9.571  x   ;93.286  x   ;917.609  x   ;
26.;26.06.;MI;6;1;7;5;8;9;1;4.313.776,50   ;1  x   ;1.570.000,00   ;385,60   ;3  x   ;35  x   ;199  x   ;2.019  x   ;20.779  x   ;218.434  x   ;
;29.06.;SA;0;0;0;9;4;2;8;14.687.830,50   ;1  x   ;970.000,00   ;10.063,90   ;7  x   ;96  x   ;1.026  x   ;10.256  x   ;101.774  x   ;1.004.936  x   ;
;;;;;;;;Gewinne Gesamt;;;38   ;;;301   ;3.256   ;32.685   ;330.311   ;3.290.013   ;33.301.791   ;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2002;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
KW;2002;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;
27.;03.07.;MI;0;5;8;8;6;1;4;4.429.749,00   ;1  x   ;270.000,00   ;35.528,20   ;2  x   ;26  x   ;222  x   ;2.413  x   ;24.190  x   ;245.111  x   ;
;06.07.;SA;2;5;5;2;8;6;3;14.570.461,50   ;JP;;1.007.378,00   ;14  x   ;105  x   ;981  x   ;9.622  x   ;93.674  x   ;937.703  x   ;
28.;10.07.;MI;4;4;2;1;8;7;8;4.346.017,50   ;JP;;1.297.257,40   ;unbesetzt;30  x   ;293  x   ;2.958  x   ;28.611  x   ;286.181  x   ;
;13.07.;SA;0;9;7;1;3;1;5;14.445.243,00   ;2  x   ;1.070.000,00   ;120.755,10   ;9  x   ;105  x   ;976  x   ;10.051  x   ;99.403  x   ;1.026.545  x   ;
29.;17.07.;MI;0;4;2;4;2;9;7;4.478.895,00   ;JP;;419.497,40   ;2  x   ;30  x   ;284  x   ;2.757  x   ;27.786  x   ;297.083  x   ;
;20.07.;SA;7;2;8;6;3;4;5;14.792.514,00   ;1  x   ;1.370.000,00   ;36.158,10   ;14  x   ;108  x   ;1.124  x   ;10.870  x   ;106.694  x   ;1.042.733  x   ;
30.;24.07.;MI;5;7;5;4;9;5;0;4.392.628,50   ;1  x   ;270.000,00   ;59.146,40   ;5  x   ;22  x   ;210  x   ;2.219  x   ;21.520  x   ;210.798  x   ;
;27.07.;SA;3;6;0;4;8;2;6;14.425.593,00   ;4  x   ;170.000,00   ;341.333,50   ;13  x   ;107  x   ;966  x   ;9.312  x   ;92.113  x   ;907.996  x   ;
31.;31.07.;MI;6;2;4;7;9;4;5;4.526.751,00   ;JP;;643.267,80   ;1  x   ;33  x   ;337  x   ;3.626  x   ;34.392  x   ;331.554  x   ;
;03.08.;SA;6;2;1;9;0;9;4;14.497.101,00   ;1  x   ;1.570.000,00   ;40.224,40   ;5  x   ;72  x   ;756  x   ;7.558  x   ;79.240  x   ;812.118  x   ;
32.;07.08.;MI;7;0;0;6;7;7;1;4.462.440,00   ;1  x   ;270.000,00   ;67.869,10   ;1  x   ;26  x   ;213  x   ;2.287  x   ;21.892  x   ;226.448  x   ;
;10.08.;SA;0;1;4;4;6;6;9;14.515.042,50   ;2  x   ;470.000,00   ;96.022,40   ;6  x   ;85  x   ;896  x   ;9.058  x   ;92.329  x   ;892.968  x   ;
33.;14.08.;MI;0;1;9;6;0;5;8;4.559.086,50   ;JP;;400.113,50   ;unbesetzt;31  x   ;282  x   ;2.914  x   ;31.228  x   ;301.375  x   ;
;17.08.;SA;5;0;2;4;2;0;2;14.585.856,00   ;2  x   ;670.000,00   ;32.990,10   ;5  x   ;64  x   ;707  x   ;7.025  x   ;67.906  x   ;772.235  x   ;
34.;21.08.;MI;8;8;9;1;1;7;1;4.982.260,50   ;JP;;365.306,90   ;2  x   ;23  x   ;216  x   ;2.600  x   ;25.133  x   ;256.183  x   ;
;24.08.;SA;6;3;4;4;6;3;5;15.556.260,00   ;3  x   ;370.000,00   ;292.909,40   ;9  x   ;119  x   ;1.156  x   ;11.461  x   ;113.334  x   ;1.109.648  x   ;
35.;28.08.;MI;6;7;0;1;0;6;4;4.469.977,50   ;1  x   ;570.000,00   ;21.056,90   ;2  x   ;27  x   ;264  x   ;2.500  x   ;25.547  x   ;247.875  x   ;
;31.08.;SA;2;5;1;5;2;1;3;14.555.223,00   ;5  x   ;170.000,00   ;141.890,30   ;8  x   ;110  x   ;1.082  x   ;11.101  x   ;110.426  x   ;917.453  x   ;
36.;04.09.;MI;7;7;6;5;9;7;0;4.670.973,00   ;JP;;453.444,20   ;3  x   ;23  x   ;218  x   ;2.242  x   ;21.876  x   ;224.502  x   ;
;07.09.;SA;0;6;4;8;4;0;3;14.544.027,00   ;1  x   ;1.370.000,00   ;53.530,80   ;5  x   ;70  x   ;746  x   ;8.023  x   ;79.209  x   ;949.874  x   ;
37.;11.09.;MI;3;5;6;1;8;3;7;4.579.134,00   ;1  x   ;270.000,00   ;88.959,00   ;1  x   ;29  x   ;311  x   ;2.841  x   ;29.529  x   ;298.618  x   ;
;14.09.;SA;2;4;5;5;3;8;1;14.896.566,00   ;JP;;1.082.560,00   ;6  x   ;70  x   ;757  x   ;7.461  x   ;72.446  x   ;740.274  x   ;
38.;18.09.;MI;0;5;5;2;3;1;8;5.046.814,50   ;JP;;1.419.182,50   ;2  x   ;33  x   ;344  x   ;3.354  x   ;32.786  x   ;332.246  x   ;
;21.09.;SA;2;6;8;5;3;8;1;16.215.205,50   ;JP;;2.500.736,70   ;7  x   ;108  x   ;872  x   ;8.210  x   ;80.747  x   ;818.402  x   ;
39.;25.09.;MI;6;6;8;8;2;9;9;5.092.647,00   ;2  x   ;1.370.000,00   ;100.416,30   ;3  x   ;26  x   ;317  x   ;2.997  x   ;31.310  x   ;300.013  x   ;
;28.09.;SA;3;5;9;7;9;9;1;15.967.539,00   ;2  x   ;570.000,00   ;25.451,20   ;3  x   ;91  x   ;781  x   ;7.896  x   ;79.478  x   ;811.839  x   ;
40.;02.10.;MI;1;6;5;8;7;1;7;4.713.958,50   ;2  x   ;170.000,00   ;0,00   ;4  x   ;35  x   ;339  x   ;3.196  x   ;30.393  x   ;305.564  x   ;
;05.10.;SA;4;5;3;9;1;7;8;14.627.083,50   ;3  x   ;270.000,00   ;165.626,50   ;7  x   ;106  x   ;1.007  x   ;10.304  x   ;101.683  x   ;992.280  x   ;
41.;09.10.;MI;0;4;3;7;4;4;3;4.743.477,00   ;JP;;482.016,40   ;unbesetzt;28  x   ;284  x   ;2.922  x   ;30.043  x   ;301.153  x   ;
;12.10.;SA;7;8;0;5;7;2;1;14.772.223,50   ;2  x   ;670.000,00   ;127.323,70   ;9  x   ;82  x   ;745  x   ;7.859  x   ;79.281  x   ;755.144  x   ;
42.;16.10.;MI;8;1;4;2;4;2;8;4.502.028,00   ;1  x   ;370.000,00   ;57.609,00   ;4  x   ;34  x   ;334  x   ;3.140  x   ;30.048  x   ;295.402  x   ;
;19.10.;SA;2;1;0;6;3;3;6;14.648.148,00   ;1  x   ;970.000,00   ;64.640,50   ;9  x   ;86  x   ;977  x   ;9.213  x   ;95.321  x   ;915.362  x   ;
43.;23.10.;MI;9;9;8;5;2;4;1;4.435.777,50   ;1  x   ;270.000,00   ;90.506,90   ;2  x   ;22  x   ;245  x   ;2.345  x   ;23.523  x   ;240.913  x   ;
;26.10.;SA;0;5;9;2;4;6;1;14.467.072,50   ;1  x   ;970.000,00   ;85.460,60   ;6  x   ;101  x   ;722  x   ;7.756  x   ;74.918  x   ;749.366  x   ;
44.;30.10.;MI;9;5;6;7;8;6;3;4.644.451,50   ;JP;;395.245,50   ;4  x   ;29  x   ;322  x   ;2.964  x   ;29.469  x   ;294.309  x   ;
;02.11.;SA;5;3;3;5;2;7;3;15.129.571,50   ;1  x   ;1.370.000,00   ;34.387,90   ;15  x   ;103  x   ;990  x   ;9.656  x   ;96.442  x   ;974.609  x   ;
45.;06.11.;MI;8;4;5;9;4;4;8;5.444.139,00   ;JP;;397.512,00   ;2  x   ;42  x   ;370  x   ;3.767  x   ;36.658  x   ;351.294  x   ;
;09.11.;SA;0;9;0;4;5;9;6;16.851.168,00   ;JP;;1.521.484,90   ;11  x   ;92  x   ;1.099  x   ;10.366  x   ;104.823  x   ;1.059.064  x   ;
46.;13.11.;MI;9;4;6;6;4;9;1;4.824.462,00   ;JP;;1.843.276,50   ;1  x   ;25  x   ;259  x   ;2.603  x   ;26.131  x   ;271.465  x   ;
;16.11.;SA;9;4;5;0;6;4;0;15.112.021,50   ;JP;;2.851.248,30   ;5  x   ;71  x   ;660  x   ;7.027  x   ;70.293  x   ;708.040  x   ;
47.;20.11.;MI;6;0;6;2;8;4;9;4.657.341,00   ;JP;;3.161.892,90   ;2  x   ;34  x   ;282  x   ;2.792  x   ;28.374  x   ;273.206  x   ;
;23.11.;SA;0;2;2;0;8;4;3;15.277.732,50   ;1  x   ;4.170.000,00   ;10.917,70   ;10  x   ;89  x   ;1.010  x   ;10.067  x   ;99.366  x   ;986.838  x   ;
48.;27.11.;MI;1;6;6;7;8;3;2;4.598.532,00   ;JP;;317.639,80   ;unbesetzt;26  x   ;275  x   ;2.427  x   ;24.304  x   ;243.115  x   ;
;30.11.;SA;2;2;6;0;6;3;7;15.105.393,00   ;JP;;1.325.169,50   ;11  x   ;79  x   ;906  x   ;9.604  x   ;95.858  x   ;966.220  x   ;
49.;04.12.;MI;0;8;1;9;1;4;3;5.615.443,50   ;JP;;1.699.719,60   ;3  x   ;40  x   ;360  x   ;3.590  x   ;36.382  x   ;361.103  x   ;
;07.12.;SA;6;4;6;1;8;3;8;17.035.843,50   ;3  x   ;870.000,00   ;226.010,40   ;14  x   ;117  x   ;1.149  x   ;11.857  x   ;116.470  x   ;1.139.269  x   ;
50.;11.12.;MI;2;5;6;0;6;5;7;4.933.477,50   ;1  x   ;470.000,00   ;85.073,30   ;2  x   ;40  x   ;304  x   ;3.257  x   ;31.728  x   ;316.604  x   ;
;14.12.;SA;8;3;8;8;6;4;0;16.001.821,50   ;JP;;1.152.394,80   ;10  x   ;69  x   ;788  x   ;7.576  x   ;75.557  x   ;756.235  x   ;
51.;18.12.;MI;9;5;0;5;1;8;5;4.889.415,00   ;1  x   ;1.470.000,00   ;8.518,80   ;3  x   ;39  x   ;369  x   ;3.286  x   ;33.240  x   ;338.787  x   ;
;21.12.;SA;9;2;4;9;3;4;1;15.762.708,00   ;1  x   ;970.000,00   ;89.891,40   ;8  x   ;82  x   ;863  x   ;8.481  x   ;82.127  x   ;832.730  x   ;
52.;25.12.;MI;5;6;4;6;6;8;9;5.081.355,00   ;1  x   ;370.000,00   ;58.817,80   ;3  x   ;33  x   ;301  x   ;2.974  x   ;29.646  x   ;301.441  x   ;
;28.12.;SA;2;0;9;2;9;5;8;15.529.597,50   ;4  x   ;270.000,00   ;14.642,00   ;13  x   ;112  x   ;1.087  x   ;10.998  x   ;108.957  x   ;1.044.937  x   ;
;;;;;;;;Gewinne Gesamt;;;54   ;;;286   ;3.189   ;31.358   ;313.383   ;3.113.834   ;31.072.225   ;
;;;;;;;;;;;;;;;;;;;;
