Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2010;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
5.;03.02.;MI;6;1;5;1;1;0;5;5.029.026,00   ;1  x   ;1.370.000,00   ;21.197,70   ;7  x   ;36  x   ;325  x   ;3.191  x   ;31.090  x   ;374.579  x   ;
;06.02.;SA;5;2;7;3;5;7;3;11.832.912,00   ;1  x   ;770.000,00   ;40.452,90   ;7  x   ;67  x   ;692  x   ;7.285  x   ;71.053  x   ;715.074  x   ;
6.;10.02.;MI;1;1;1;7;1;5;9;5.620.540,50   ;JP;;415.343,00   ;5  x   ;33  x   ;319  x   ;3.233  x   ;32.649  x   ;318.693  x   ;
;13.02.;SA;9;4;7;1;6;7;5;12.355.695,00   ;1  x   ;1.170.000,00   ;69.467,90   ;13  x   ;99  x   ;961  x   ;9.331  x   ;91.478  x   ;886.777  x   ;
7.;17.02.;MI;8;4;1;5;1;7;7;4.424.940,00   ;1  x   ;270.000,00   ;94.611,40   ;4  x   ;39  x   ;324  x   ;3.437  x   ;36.574  x   ;294.735  x   ;
;20.02.;SA;7;6;7;3;6;3;4;10.534.632,00   ;JP;;797.271,40   ;4  x   ;52  x   ;619  x   ;6.098  x   ;60.312  x   ;594.931  x   ;
8.;24.02.;MI;6;0;6;4;7;4;2;4.441.875,00   ;JP;;1.093.544,50   ;1  x   ;13  x   ;234  x   ;2.321  x   ;23.438  x   ;232.194  x   ;
;27.02.;SA;2;6;5;5;7;7;7;10.591.437,00   ;4  x   ;370.000,00   ;319.993,30   ;11  x   ;105  x   ;1.125  x   ;11.540  x   ;79.718  x   ;722.000  x   ;
9.;03.03.;MI;5;6;4;8;0;7;1;4.346.245,50   ;JP;;609.887,90   ;2  x   ;22  x   ;218  x   ;2.073  x   ;21.962  x   ;229.168  x   ;
;06.03.;SA;9;1;8;0;0;4;0;10.460.223,00   ;1  x   ;1.270.000,00   ;37.584,80   ;7  x   ;47  x   ;435  x   ;4.741  x   ;48.871  x   ;485.218  x   ;
10.;10.03.;MI;9;3;0;1;7;4;3;4.442.073,00   ;1  x   ;270.000,00   ;63.871,10   ;2  x   ;18  x   ;270  x   ;2.632  x   ;26.777  x   ;270.303  x   ;
;13.03.;SA;3;6;1;0;9;3;4;10.741.539,00   ;JP;;780.331,80   ;8  x   ;64  x   ;632  x   ;6.271  x   ;62.543  x   ;608.961  x   ;
11.;17.03.;MI;9;5;5;8;7;8;3;4.553.493,00   ;JP;;1.084.049,80   ;4  x   ;23  x   ;266  x   ;2.688  x   ;26.485  x   ;278.026  x   ;
;20.03.;SA;8;1;4;4;5;8;0;10.743.897,00   ;JP;;1.800.667,70   ;2  x   ;50  x   ;531  x   ;5.078  x   ;49.117  x   ;501.831  x   ;
12.;24.03.;MI;7;0;8;2;1;3;6;4.901.461,50   ;JP;;2.127.595,20   ;1  x   ;43  x   ;292  x   ;3.097  x   ;31.264  x   ;301.596  x   ;
;27.03.;SA;4;3;4;1;2;6;6;11.360.560,50   ;3  x   ;870.000,00   ;275.344,60   ;8  x   ;68  x   ;716  x   ;7.265  x   ;73.550  x   ;691.138  x   ;
13.;31.03.;MI;3;1;6;0;3;9;1;5.690.670,00   ;JP;;654.912,30   ;2  x   ;32  x   ;291  x   ;2.866  x   ;28.664  x   ;306.226  x   ;
;03.04.;SA;6;6;0;3;5;6;9;10.811.341,50   ;JP;;1.376.028,80   ;8  x   ;87  x   ;692  x   ;6.626  x   ;66.397  x   ;632.380  x   ;
14.;07.04.;MI;0;9;4;4;7;6;1;4.289.367,00   ;1  x   ;1.570.000,00   ;92.129,60   ;3  x   ;22  x   ;229  x   ;2.310  x   ;23.321  x   ;227.173  x   ;
;10.04.;SA;9;0;0;8;7;1;0;10.517.556,00   ;JP;;793.650,60   ;8  x   ;43  x   ;475  x   ;4.858  x   ;48.498  x   ;492.063  x   ;
15.;14.04.;MI;4;1;6;3;6;2;6;4.841.245,50   ;JP;;1.116.561,70   ;4  x   ;37  x   ;303  x   ;3.085  x   ;29.673  x   ;300.636  x   ;
;17.04.;SA;4;9;2;0;4;0;3;11.253.792,00   ;1  x   ;1.770.000,00   ;97.189,60   ;4  x   ;49  x   ;610  x   ;5.931  x   ;58.150  x   ;690.806  x   ;
16.;21.04.;MI;2;1;7;4;7;2;8;5.336.974,50   ;JP;;453.165,80   ;4  x   ;44  x   ;347  x   ;3.414  x   ;34.635  x   ;346.104  x   ;
;24.04.;SA;1;8;8;2;6;4;7;11.646.106,50   ;JP;;1.229.961,10   ;10  x   ;97  x   ;845  x   ;8.534  x   ;84.430  x   ;799.356  x   ;
17.;28.04.;MI;4;2;6;4;0;3;8;4.282.086,00   ;JP;;1.515.576,20   ;2  x   ;31  x   ;280  x   ;2.776  x   ;28.663  x   ;280.037  x   ;
;01.05.;SA;1;3;4;0;9;4;3;9.798.444,00   ;1  x   ;2.070.000,00   ;99.132,40   ;4  x   ;65  x   ;609  x   ;5.998  x   ;58.780  x   ;590.272  x   ;
18.;05.05.;MI;8;8;4;1;6;2;0;4.488.456,00   ;JP;;398.512,40   ;1  x   ;20  x   ;199  x   ;2.098  x   ;20.566  x   ;220.340  x   ;
;08.05.;SA;8;9;2;8;8;8;3;11.160.196,50   ;2  x   ;570.000,00   ;2.897,50   ;7  x   ;58  x   ;592  x   ;6.223  x   ;65.231  x   ;678.861  x   ;
19.;12.05.;MI;4;8;3;4;4;1;7;5.040.897,00   ;JP;;339.125,30   ;3  x   ;25  x   ;336  x   ;3.335  x   ;33.504  x   ;344.263  x   ;
;15.05.;SA;1;6;7;2;4;6;2;11.038.993,50   ;1  x   ;1.070.000,00   ;5.426,20   ;6  x   ;60  x   ;605  x   ;6.025  x   ;59.279  x   ;589.522  x   ;
20.;19.05.;MI;3;4;4;4;5;9;1;5.452.489,50   ;JP;;369.107,20   ;4  x   ;29  x   ;290  x   ;2.681  x   ;27.626  x   ;294.226  x   ;
;22.05.;SA;7;3;0;5;0;8;1;12.025.480,50   ;JP;;1.171.206,70   ;4  x   ;67  x   ;602  x   ;5.953  x   ;63.786  x   ;631.701  x   ;
21.;26.05.;MI;5;8;7;1;2;5;6;5.791.617,00   ;1  x   ;1.470.000,00   ;87.507,60   ;3  x   ;34  x   ;366  x   ;3.771  x   ;37.546  x   ;358.538  x   ;
;29.05.;SA;1;3;9;6;4;2;5;13.104.546,00   ;1  x   ;870.000,00   ;91.580,80   ;15  x   ;90  x   ;989  x   ;9.777  x   ;94.882  x   ;925.886  x   ;
22.;02.06.;MI;5;4;4;6;0;8;8;4.653.162,00   ;JP;;401.946,70   ;2  x   ;29  x   ;324  x   ;3.232  x   ;34.198  x   ;298.429  x   ;
;05.06.;SA;1;4;5;4;8;3;1;10.133.317,50   ;JP;;1.077.839,00   ;6  x   ;48  x   ;491  x   ;5.339  x   ;53.868  x   ;525.322  x   ;
23.;09.06.;MI;6;7;0;1;5;8;1;4.348.803,00   ;JP;;1.367.904,20   ;1  x   ;32  x   ;249  x   ;2.416  x   ;23.316  x   ;233.340  x   ;
;12.06.;SA;1;5;8;7;6;6;7;10.303.324,50   ;JP;;2.055.135,90   ;7  x   ;76  x   ;683  x   ;6.602  x   ;70.764  x   ;715.426  x   ;
24.;16.06.;MI;0;8;9;8;9;0;7;4.149.385,50   ;1  x   ;2.270.000,00   ;61.899,90   ;2  x   ;22  x   ;250  x   ;2.356  x   ;24.565  x   ;287.663  x   ;
;19.06.;SA;9;0;4;0;7;7;3;10.006.542,00   ;1  x   ;670.000,00   ;59.336,30   ;6  x   ;61  x   ;542  x   ;5.649  x   ;61.437  x   ;610.404  x   ;
25.;23.06.;MI;4;3;2;3;6;7;5;4.066.356,00   ;1  x   ;270.000,00   ;60.562,20   ;3  x   ;27  x   ;319  x   ;3.210  x   ;31.410  x   ;300.795  x   ;
;26.06.;SA;9;0;4;0;4;1;5;9.844.902,00   ;JP;;717.217,20   ;7  x   ;68  x   ;720  x   ;7.136  x   ;68.879  x   ;725.327  x   ;
26.;30.06.;MI;7;4;6;8;7;0;4;4.111.599,00   ;JP;;991.460,90   ;1  x   ;28  x   ;224  x   ;2.096  x   ;20.458  x   ;233.342  x   ;
;03.07.;SA;2;5;7;3;2;0;9;9.937.731,00   ;2  x   ;770.000,00   ;114.307,60   ;5  x   ;50  x   ;489  x   ;5.253  x   ;51.638  x   ;588.286  x   ;
;;;;;;;;Gewinne Gesamt;;;27   ;;;269   ;2.488   ;24.799   ;248.397   ;2.456.831   ;24.557.352   ;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2010;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;(geänderter Spieleinsatz und Quoten ab 35.KW 2010);
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
KW;2010;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;
;;;;;;;;;;;ab 177.777,00 Euro;;;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;
27.;07.07.;MI;2;8;8;4;7;3;8;4.047.873,00   ;JP;;384.300,70   ;2  x   ;34  x   ;265  x   ;2.673  x   ;27.176  x   ;262.899  x   ;
;10.07.;SA;7;3;8;1;7;0;7;9.682.114,50   ;JP;;1.030.097,70   ;4  x   ;58  x   ;681  x   ;6.383  x   ;58.319  x   ;692.048  x   ;
28.;14.07.;MI;8;6;5;0;6;7;6;4.066.428,00   ;JP;;1.301.328,40   ;5  x   ;16  x   ;244  x   ;2.550  x   ;25.266  x   ;251.356  x   ;
;17.07.;SA;4;0;4;6;8;5;6;9.947.580,00   ;2  x   ;970.000,00   ;24.832,00   ;5  x   ;61  x   ;636  x   ;6.551  x   ;65.391  x   ;600.941  x   ;
29.;21.07.;MI;7;3;3;6;1;1;0;4.343.458,50   ;JP;;314.540,70   ;2  x   ;17  x   ;211  x   ;2.045  x   ;20.918  x   ;212.682  x   ;
;24.07.;SA;7;5;0;5;7;9;1;10.475.014,50   ;JP;;1.013.224,20   ;2  x   ;66  x   ;545  x   ;5.335  x   ;52.128  x   ;551.408  x   ;
30.;28.07.;MI;2;1;3;4;7;3;3;4.988.974,50   ;JP;;1.345.988,80   ;1  x   ;34  x   ;328  x   ;3.382  x   ;31.699  x   ;306.148  x   ;
;31.07.;SA;0;7;5;1;7;6;4;10.146.069,00   ;1  x   ;1.970.000,00   ;52.731,60   ;5  x   ;44  x   ;632  x   ;6.096  x   ;59.255  x   ;567.577  x   ;
31.;04.08.;MI;6;5;7;7;8;1;5;4.132.441,50   ;JP;;328.365,40   ;unbesetzt;35  x   ;324  x   ;2.997  x   ;29.592  x   ;311.180  x   ;
;07.08.;SA;8;5;6;7;6;0;1;9.962.076,00   ;1  x   ;970.000,00   ;22.835,90   ;6  x   ;45  x   ;442  x   ;4.898  x   ;47.934  x   ;525.664  x   ;
32.;11.08.;MI;5;1;3;3;7;3;8;4.064.886,00   ;1  x   ;270.000,00   ;23.963,80   ;2  x   ;26  x   ;263  x   ;2.832  x   ;27.423  x   ;262.661  x   ;
;14.08.;SA;2;8;7;0;5;8;7;10.137.994,50   ;2  x   ;270.000,00   ;160.168,00   ;6  x   ;72  x   ;642  x   ;6.769  x   ;67.842  x   ;712.618  x   ;
33.;18.08.;MI;7;6;7;7;5;3;7;4.305.156,00   ;1  x   ;370.000,00   ;77.321,90   ;4  x   ;32  x   ;276  x   ;2.863  x   ;28.513  x   ;298.413  x   ;
;21.08.;SA;1;2;3;2;1;3;9;10.242.076,50   ;1  x   ;670.000,00   ;90.468,40   ;11  x   ;68  x   ;592  x   ;6.061  x   ;59.921  x   ;596.558  x   ;
34.;25.08.;MI;1;5;2;3;3;0;0;4.691.862,00   ;JP;;403.415,60   ;4  x   ;29  x   ;274  x   ;2.431  x   ;26.657  x   ;225.907  x   ;
;28.08.;SA;1;8;3;7;5;5;5;11.065.432,50   ;1  x   ;1.070.000,00   ;71.479,90   ;10  x   ;94  x   ;975  x   ;9.564  x   ;83.876  x   ;796.802  x   ;
35.;01.09.;MI;8;4;7;2;7;3;0;9.358.467,50   ;1  x   ;677.777,00   ;59.089,90   ;5  x   ;24  x   ;275  x   ;2.722  x   ;26.782  x   ;281.840  x   ;
;04.09.;SA;1;2;1;8;5;7;3;17.307.705,00   ;1  x   ;1.277.777,00   ;11.890,70   ;8  x   ;57  x   ;629  x   ;6.569  x   ;64.181  x   ;637.491  x   ;
36.;08.09.;MI;5;0;8;5;3;8;3;6.896.672,50   ;1  x   ;477.777,00   ;24.467,10   ;3  x   ;12  x   ;225  x   ;2.419  x   ;24.843  x   ;259.770  x   ;
;11.09.;SA;0;7;2;2;5;0;1;16.515.875,00   ;JP;;1.198.745,80   ;8  x   ;44  x   ;492  x   ;5.178  x   ;47.698  x   ;522.825  x   ;
37.;15.09.;MI;5;7;1;1;3;3;0;7.101.695,00   ;1  x   ;1.677.777,00   ;25.899,30   ;2  x   ;25  x   ;216  x   ;1.962  x   ;20.650  x   ;212.627  x   ;
;18.09.;SA;3;0;5;3;5;8;0;16.964.487,50   ;JP;;1.232.074,40   ;4  x   ;35  x   ;486  x   ;5.038  x   ;47.557  x   ;484.057  x   ;
38.;22.09.;MI;2;0;8;0;6;7;6;7.725.182,50   ;JP;;1.781.334,90   ;2  x   ;27  x   ;285  x   ;2.898  x   ;28.660  x   ;283.663  x   ;
;25.09.;SA;9;7;7;7;6;9;8;16.222.525,00   ;JP;;2.934.756,40   ;5  x   ;63  x   ;613  x   ;6.290  x   ;61.053  x   ;651.570  x   ;
39.;29.09.;MI;0;4;6;8;9;2;4;7.345.032,50   ;JP;;3.456.988,20   ;2  x   ;24  x   ;265  x   ;2.546  x   ;24.961  x   ;245.237  x   ;
;02.10.;SA;5;0;9;2;4;6;6;17.582.467,50   ;JP;;4.707.101,60   ;5  x   ;55  x   ;685  x   ;6.715  x   ;68.434  x   ;638.197  x   ;
40.;06.10.;MI;7;7;1;3;3;8;1;6.910.967,50   ;1  x   ;5.177.777,00   ;20.694,40   ;2  x   ;15  x   ;211  x   ;2.119  x   ;21.897  x   ;219.794  x   ;
;09.10.;SA;7;2;6;8;4;8;4;16.320.905,00   ;JP;;1.181.110,70   ;4  x   ;58  x   ;580  x   ;5.506  x   ;54.759  x   ;546.311  x   ;
41.;13.10.;MI;3;1;4;0;9;3;1;6.960.187,50   ;1  x   ;1.577.777,00   ;98.203,00   ;2  x   ;17  x   ;189  x   ;2.178  x   ;22.623  x   ;221.648  x   ;
;16.10.;SA;7;2;0;9;8;4;1;16.772.050,00   ;JP;;1.290.695,80   ;3  x   ;55  x   ;525  x   ;5.252  x   ;51.806  x   ;530.323  x   ;
42.;20.10.;MI;1;1;6;6;4;1;8;7.586.765,00   ;JP;;1.830.114,80   ;5  x   ;30  x   ;312  x   ;2.876  x   ;28.342  x   ;297.963  x   ;
;23.10.;SA;4;0;1;8;0;2;9;17.738.737,50   ;1  x   ;3.077.777,00   ;13.562,00   ;7  x   ;54  x   ;576  x   ;5.812  x   ;61.434  x   ;614.670  x   ;
43.;27.10.;MI;0;8;0;9;6;8;6;8.683.192,50   ;JP;;630.937,00   ;5  x   ;32  x   ;329  x   ;3.285  x   ;31.603  x   ;328.053  x   ;
;30.10.;SA;0;5;5;5;8;6;0;19.716.282,50   ;1  x   ;1.977.777,00   ;54.987,70   ;6  x   ;55  x   ;577  x   ;5.837  x   ;57.961  x   ;575.925  x   ;
44.;03.11.;MI;7;4;6;5;3;4;8;10.248.482,50   ;1  x   ;777.777,00   ;5.877,80   ;4  x   ;29  x   ;425  x   ;4.214  x   ;40.644  x   ;393.457  x   ;
;06.11.;SA;7;6;3;1;5;2;7;21.439.162,50   ;JP;;1.530.202,30   ;7  x   ;101  x   ;874  x   ;8.813  x   ;89.870  x   ;875.810  x   ;
45.;10.11.;MI;6;1;2;4;5;0;0;7.269.507,50   ;1  x   ;1.977.777,00   ;69.287,30   ;4  x   ;24  x   ;244  x   ;2.697  x   ;25.611  x   ;217.903  x   ;
;13.11.;SA;0;7;7;2;6;8;5;16.573.665,00   ;JP;;1.247.674,90   ;4  x   ;91  x   ;708  x   ;7.121  x   ;71.258  x   ;726.211  x   ;
46.;17.11.;MI;4;8;6;2;6;3;1;6.739.847,50   ;JP;;1.726.878,10   ;5  x   ;24  x   ;222  x   ;2.276  x   ;22.167  x   ;218.675  x   ;
;20.11.;SA;9;6;9;3;1;6;6;16.407.770,00   ;1  x   ;2.877.777,00   ;15.693,50   ;8  x   ;50  x   ;634  x   ;6.066  x   ;65.374  x   ;598.806  x   ;
47.;24.11.;MI;5;3;2;4;1;0;9;6.928.815,00   ;JP;;508.332,20   ;1  x   ;18  x   ;209  x   ;2.033  x   ;20.522  x   ;228.683  x   ;
;27.11.;SA;5;8;3;9;7;3;7;16.093.527,50   ;1  x   ;1.577.777,00   ;74.805,00   ;6  x   ;73  x   ;666  x   ;6.832  x   ;65.628  x   ;672.749  x   ;
48.;01.12.;MI;6;5;8;6;0;1;4;7.907.100,00   ;JP;;636.999,80   ;4  x   ;26  x   ;240  x   ;2.542  x   ;26.823  x   ;269.282  x   ;
;04.12.;SA;4;0;1;7;9;0;8;18.759.437,50   ;JP;;1.970.795,80   ;6  x   ;66  x   ;586  x   ;6.172  x   ;62.791  x   ;757.325  x   ;
49.;08.12.;MI;6;9;1;1;6;6;6;6.916.225,00   ;JP;;2.462.539,40   ;4  x   ;35  x   ;360  x   ;4.163  x   ;28.172  x   ;259.296  x   ;
;11.12.;SA;1;5;2;4;4;0;4;16.580.800,00   ;JP;;3.641.434,30   ;5  x   ;50  x   ;527  x   ;5.148  x   ;49.386  x   ;570.229  x   ;
50.;15.12.;MI;9;0;0;4;2;8;8;6.747.867,50   ;JP;;4.121.207,70   ;2  x   ;27  x   ;277  x   ;2.788  x   ;31.195  x   ;264.238  x   ;
;18.12.;SA;7;9;9;2;1;1;6;16.580.755,00   ;JP;;5.300.099,40   ;7  x   ;46  x   ;541  x   ;5.468  x   ;57.940  x   ;617.985  x   ;
51.;22.12.;MI;8;9;1;6;8;8;8;7.412.182,50   ;JP;;5.827.105,60   ;3  x   ;45  x   ;503  x   ;5.168  x   ;31.808  x   ;290.591  x   ;
;25.12.;SA;8;1;0;9;6;4;2;17.203.337,50   ;JP;;7.050.262,90   ;7  x   ;53  x   ;529  x   ;5.628  x   ;55.001  x   ;542.909  x   ;
52.;29.12.;MI;3;6;0;2;3;7;3;7.250.880,00   ;JP;;7.565.800,50   ;4  x   ;30  x   ;260  x   ;2.718  x   ;26.699  x   ;266.074  x   ;
;01.01.;SA;5;5;0;0;3;4;8;17.394.472,50   ;JP;;8.802.547,50   ;5  x   ;56  x   ;725  x   ;7.542  x   ;73.195  x   ;692.236  x   ;
53.;;MI;;;;;;;;;;;;;;;;;;
;;SA;;;;;;;;;;;;;;;;;;
;;;;;;;;Gewinne Gesamt;;;22   ;;;233   ;2.257   ;23.330   ;236.021   ;2.301.238   ;23.189.285   ;
