Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2007;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2007;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
;26.05.;SA;5;8;3;4;7;3;1;11.783.287,50   ;JP;;2.302.218,10   ;7  x   ;72  x   ;726  x   ;6.931  x   ;64.362  x   ;621.171  x   ;;;;
22.;30.05.;MI;6;7;8;6;9;1;3;4.480.302,00   ;JP;;2.601.054,20   ;3  x   ;38  x   ;352  x   ;3.297  x   ;32.999  x   ;273.148  x   ;;;;
;02.06.;SA;5;3;9;4;6;1;5;12.493.396,50   ;2  x   ;1.670.000,00   ;94.363,70   ;3  x   ;78  x   ;848  x   ;7.863  x   ;80.134  x   ;849.658  x   ;;;;
23.;06.06.;MI;7;1;7;4;6;8;1;5.310.405,00   ;JP;;448.567,70   ;3  x   ;29  x   ;282  x   ;2.756  x   ;27.464  x   ;286.406  x   ;;;;
;09.06.;SA;4;3;2;4;1;5;2;12.954.129,00   ;1  x   ;1.270.000,00   ;42.608,10   ;11  x   ;65  x   ;720  x   ;7.144  x   ;73.112  x   ;688.961  x   ;;;;
24.;13.06.;MI;2;7;6;2;5;8;1;6.345.601,50   ;1  x   ;370.000,00   ;95.859,70   ;5  x   ;34  x   ;382  x   ;3.418  x   ;33.733  x   ;348.636  x   ;;;;
;16.06.;SA;2;6;2;5;4;4;2;12.167.595,00   ;2  x   ;370.000,00   ;167.438,30   ;8  x   ;63  x   ;617  x   ;6.415  x   ;66.310  x   ;647.531  x   ;;;;
25.;20.06.;MI;5;1;9;7;0;1;8;4.690.555,50   ;JP;;480.298,40   ;3  x   ;29  x   ;326  x   ;2.971  x   ;32.471  x   ;328.106  x   ;;;;
;23.06.;SA;9;0;4;5;4;4;9;12.235.654,50   ;2  x   ;570.000,00   ;156.416,60   ;10  x   ;68  x   ;734  x   ;7.127  x   ;76.283  x   ;708.626  x   ;;;;
26.;27.06.;MI;5;0;8;5;6;4;8;5.241.169,50   ;1  x   ;470.000,00   ;36.002,60   ;3  x   ;40  x   ;379  x   ;3.894  x   ;38.239  x   ;359.819  x   ;;;;
;30.06.;SA;3;9;6;7;9;1;3;13.570.617,00   ;3  x   ;270.000,00   ;131.162,80   ;11  x   ;99  x   ;1.003  x   ;9.694  x   ;96.912  x   ;813.881  x   ;;;;
;;;;;;;;Gewinne Gesamt;;;36   ;;;296   ;2.783   ;28.369   ;278.941   ;2.789.994   ;27.328.177   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2007;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2007;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
27.;04.07.;MI;8;2;3;8;3;7;6;6.774.105,00   ;JP;;582.995,60   ;5  x   ;48  x   ;420  x   ;4.277  x   ;42.356  x   ;433.178  x   ;;;;
;07.07.;SA;0;7;3;9;1;9;7;15.187.167,00   ;JP;;1.595.979,60   ;12  x   ;98  x   ;910  x   ;9.931  x   ;97.698  x   ;1.030.898  x   ;;;;
28.;11.07.;MI;9;2;1;1;8;5;2;4.958.239,50   ;1  x   ;1.870.000,00   ;56.694,20   ;5  x   ;33  x   ;278  x   ;2.844  x   ;27.873  x   ;265.660  x   ;;;;
;14.07.;SA;6;8;1;0;5;1;4;12.466.302,00   ;3  x   ;270.000,00   ;78.196,50   ;9  x   ;70  x   ;684  x   ;7.081  x   ;71.092  x   ;720.262  x   ;;;;
29.;18.07.;MI;2;2;1;4;6;8;1;4.563.522,00   ;JP;;382.583,40   ;2  x   ;21  x   ;243  x   ;2.560  x   ;24.946  x   ;255.137  x   ;;;;
;21.07.;SA;7;3;5;7;1;2;2;11.963.788,50   ;1  x   ;1.170.000,00   ;10.568,10   ;7  x   ;56  x   ;649  x   ;6.386  x   ;65.363  x   ;637.967  x   ;;;;
30.;25.07.;MI;2;1;6;5;1;5;6;4.812.823,50   ;JP;;331.583,40   ;1  x   ;40  x   ;301  x   ;3.270  x   ;32.360  x   ;308.501  x   ;;;;
;28.07.;SA;7;4;6;3;4;4;0;11.797.867,50   ;1  x   ;1.070.000,00   ;48.501,20   ;2  x   ;52  x   ;591  x   ;5.568  x   ;53.915  x   ;544.576  x   ;;;;
31.;02.08.;MI;7;1;4;4;9;6;8;4.775.443,50   ;;;367.023,30   ;3  x   ;37  x   ;348  x   ;3.690  x   ;34.204  x   ;332.826  x   ;;;;
;04.08.;SA;6;1;3;6;7;5;9;11.904.418,50   ;JP;;1.161.048,00   ;8  x   ;78  x   ;712  x   ;7.188  x   ;71.678  x   ;690.265  x   ;;;;
