Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2009;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
5.;28.01.;MI;4;3;8;6;5;1;8;12.677.226,00   ;2  x   ;970.000,00   ;66.521,30   ;7  x   ;86  x   ;791  x   ;8.023  x   ;78.393  x   ;803.110  x   ;;;;
;31.01.;SA;1;2;1;2;7;8;4;23.691.922,50   ;JP;;1.646.772,50   ;18  x   ;146  x   ;1.398  x   ;13.582  x   ;136.219  x   ;1.368.617  x   ;;;;
6.;04.02.;MI;2;5;8;5;7;3;9;6.193.017,00   ;JP;;2.059.846,70   ;3  x   ;35  x   ;387  x   ;3.553  x   ;35.909  x   ;357.807  x   ;;;;
;07.02.;SA;7;4;3;0;1;4;5;12.175.594,50   ;JP;;2.871.958,90   ;10  x   ;105  x   ;855  x   ;8.950  x   ;90.900  x   ;867.890  x   ;;;;
7.;11.02.;MI;5;1;1;3;0;0;1;4.923.228,00   ;JP;;3.200.338,20   ;3  x   ;25  x   ;255  x   ;2.370  x   ;24.103  x   ;264.793  x   ;;;;
;14.02.;SA;6;5;1;5;6;7;5;11.822.047,50   ;1  x   ;3.970.000,00   ;18.868,80   ;6  x   ;86  x   ;872  x   ;8.793  x   ;86.948  x   ;851.734  x   ;;;;
8.;18.02.;MI;5;5;5;0;8;6;0;5.271.316,50   ;JP;;370.465,60   ;1  x   ;19  x   ;271  x   ;2.633  x   ;26.678  x   ;259.464  x   ;;;;
;21.02.;SA;1;0;7;4;0;1;8;11.527.290,00   ;1  x   ;1.070.000,00   ;69.335,80   ;10  x   ;77  x   ;709  x   ;6.999  x   ;74.986  x   ;786.220  x   ;;;;
9.;25.02.;MI;9;8;4;7;2;4;6;4.692.579,00   ;1  x   ;370.000,00   ;12.330,80   ;1  x   ;40  x   ;312  x   ;3.448  x   ;31.547  x   ;294.887  x   ;;;;
;28.02.;SA;0;4;6;0;5;0;9;11.683.081,50   ;JP;;791.592,30   ;4  x   ;67  x   ;607  x   ;6.230  x   ;61.201  x   ;698.844  x   ;;;;
10.;04.03.;MI;1;0;3;1;2;5;7;4.570.405,50   ;JP;;1.096.438,30   ;1  x   ;46  x   ;302  x   ;3.205  x   ;31.532  x   ;305.179  x   ;;;;
;07.03.;SA;8;1;1;7;3;4;2;11.283.078,00   ;JP;;1.849.019,60   ;8  x   ;71  x   ;594  x   ;6.323  x   ;62.368  x   ;610.842  x   ;;;;
11.;11.03.;MI;9;8;6;7;2;4;8;4.778.869,50   ;JP;;2.167.770,20   ;1  x   ;34  x   ;372  x   ;3.504  x   ;33.678  x   ;315.761  x   ;;;;
;14.03.;SA;7;4;2;3;0;5;1;11.712.504,00   ;JP;;2.948.994,20   ;7  x   ;55  x   ;657  x   ;6.203  x   ;63.953  x   ;604.987  x   ;;;;
12.;18.03.;MI;5;5;0;5;6;5;2;5.232.040,50   ;JP;;3.297.971,30   ;1  x   ;38  x   ;287  x   ;2.908  x   ;29.941  x   ;284.398  x   ;;;;
;21.03.;SA;5;5;6;0;0;0;1;12.135.106,50   ;1  x   ;4.070.000,00   ;37.382,90   ;4  x   ;45  x   ;471  x   ;5.794  x   ;58.525  x   ;641.863  x   ;;;;
13.;25.03.;MI;8;3;1;6;0;6;9;4.428.193,50   ;JP;;332.743,40   ;8  x   ;38  x   ;268  x   ;2.482  x   ;26.376  x   ;252.412  x   ;;;;
;28.03.;SA;8;2;9;8;2;2;0;10.931.154,00   ;1  x   ;970.000,00   ;91.851,40   ;6  x   ;44  x   ;507  x   ;4.961  x   ;48.965  x   ;513.127  x   ;;;;
14.;01.04.;MI;7;6;1;3;2;0;2;4.684.957,50   ;JP;;404.338,10   ;2  x   ;21  x   ;230  x   ;2.224  x   ;22.701  x   ;257.388  x   ;;;;
;04.04.;SA;3;6;6;4;5;9;7;10.685.269,50   ;JP;;1.117.045,60   ;5  x   ;69  x   ;689  x   ;7.220  x   ;70.270  x   ;738.870  x   ;;;;
15.;08.04.;MI;0;0;3;6;8;7;0;4.507.239,00   ;JP;;1.417.678,40   ;1  x   ;15  x   ;227  x   ;2.182  x   ;21.583  x   ;218.477  x   ;;;;
;11.04.;SA;5;4;5;4;4;7;3;10.842.975,00   ;1  x   ;2.070.000,00   ;70.904,80   ;6  x   ;67  x   ;675  x   ;6.835  x   ;65.127  x   ;656.260  x   ;;;;
16.;15.04.;MI;9;0;2;8;1;7;6;4.438.821,00   ;1  x   ;270.000,00   ;96.974,20   ;3  x   ;34  x   ;294  x   ;2.878  x   ;27.114  x   ;278.098  x   ;;;;
;18.04.;SA;2;6;9;8;2;2;7;11.480.787,00   ;JP;;862.742,70   ;8  x   ;75  x   ;812  x   ;7.747  x   ;82.099  x   ;789.412  x   ;;;;
17.;22.04.;MI;3;7;1;4;8;6;3;5.465.314,50   ;JP;;1.227.279,20   ;5  x   ;31  x   ;343  x   ;3.461  x   ;34.147  x   ;331.770  x   ;;;;
;25.04.;SA;7;1;0;8;2;0;2;12.426.123,00   ;1  x   ;1.970.000,00   ;86.101,60   ;4  x   ;51  x   ;634  x   ;6.280  x   ;61.145  x   ;692.120  x   ;;;;
18.;29.04.;MI;9;1;8;6;5;1;1;4.383.976,50   ;JP;;378.512,80   ;2  x   ;31  x   ;251  x   ;2.429  x   ;24.631  x   ;233.376  x   ;;;;
;02.05.;SA;3;5;7;8;8;8;9;10.551.348,00   ;1  x   ;1.070.000,00   ;12.287,70   ;3  x   ;53  x   ;604  x   ;5.851  x   ;61.129  x   ;621.366  x   ;;;;
19.;06.05.;MI;4;2;2;6;8;4;1;4.568.812,50   ;JP;;317.027,50   ;2  x   ;22  x   ;238  x   ;2.406  x   ;23.800  x   ;245.645  x   ;;;;
;09.05.;SA;5;1;2;6;7;3;3;10.662.858,00   ;JP;;1.028.240,10   ;6  x   ;55  x   ;651  x   ;6.542  x   ;64.610  x   ;645.538  x   ;;;;
20.;13.05.;MI;4;5;1;9;8;9;5;4.194.478,50   ;JP;;1.308.011,80   ;6  x   ;25  x   ;255  x   ;2.795  x   ;28.856  x   ;306.187  x   ;;;;
;16.05.;SA;7;7;9;4;7;8;9;10.488.724,50   ;2  x   ;970.000,00   ;67.609,70   ;7  x   ;64  x   ;624  x   ;6.177  x   ;61.305  x   ;618.363  x   ;;;;
21.;20.05.;MI;9;8;2;2;5;0;4;4.384.549,50   ;JP;;360.059,20   ;3  x   ;21  x   ;199  x   ;2.129  x   ;21.883  x   ;244.061  x   ;;;;
;23.05.;SA;7;9;0;2;9;0;3;10.451.356,50   ;JP;;1.057.164,70   ;5  x   ;58  x   ;587  x   ;5.383  x   ;53.006  x   ;647.160  x   ;;;;
22.;27.05.;MI;6;0;6;4;4;6;1;4.627.621,50   ;JP;;1.365.827,10   ;3  x   ;28  x   ;259  x   ;2.638  x   ;25.726  x   ;247.843  x   ;;;;
;30.05.;SA;9;4;5;7;9;0;5;11.989.921,50   ;JP;;2.165.554,90   ;3  x   ;87  x   ;721  x   ;7.181  x   ;72.320  x   ;868.592  x   ;;;;
23.;03.06.;MI;6;8;0;8;6;2;5;4.236.199,50   ;JP;;2.448.109,40   ;2  x   ;27  x   ;321  x   ;3.216  x   ;31.300  x   ;303.831  x   ;;;;
;06.06.;SA;7;7;9;1;5;6;8;10.698.402,00   ;3  x   ;970.000,00   ;251.692,80   ;4  x   ;95  x   ;735  x   ;7.760  x   ;75.286  x   ;716.625  x   ;;;;
24.;10.06.;MI;9;2;8;1;1;0;4;4.264.566,00   ;JP;;536.139,40   ;2  x   ;21  x   ;193  x   ;2.070  x   ;21.264  x   ;236.239  x   ;;;;
;13.06.;SA;3;1;8;6;8;1;7;10.320.354,00   ;JP;;1.224.507,00   ;5  x   ;56  x   ;753  x   ;7.062  x   ;70.031  x   ;722.533  x   ;;;;
25.;17.06.;MI;0;8;2;5;7;6;0;4.112.184,00   ;JP;;1.498.789,70   ;1  x   ;27  x   ;193  x   ;1.979  x   ;20.146  x   ;197.505  x   ;;;;
;20.06.;SA;8;7;6;7;2;1;5;10.463.853,00   ;JP;;2.196.728,70   ;7  x   ;74  x   ;756  x   ;7.371  x   ;73.136  x   ;763.781  x   ;;;;
26.;24.06.;MI;1;0;2;2;1;6;1;4.097.037,00   ;JP;;2.470.001,10   ;2  x   ;25  x   ;238  x   ;2.260  x   ;22.794  x   ;217.605  x   ;;;;
;27.06.;SA;6;5;0;9;1;9;1;10.348.215,00   ;1  x   ;3.070.000,00   ;90.227,00   ;12  x   ;49  x   ;532  x   ;5.031  x   ;51.070  x   ;542.077  x   ;;;;
;;;;;;;;Gewinne Gesamt;;;23   ;;;254   ;2.677   ;26.657   ;266.267   ;2.666.596   ;27.173.855   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 53. Kalenderwoche 2009;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2009;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
27.;01.07.;MI;4;6;1;8;1;8;5;4.338.693,00   ;1  x   ;370.000,00   ;9.617,80   ;4  x   ;30  x   ;298  x   ;3.053  x   ;30.713  x   ;317.297  x   ;;;;
;04.07.;SA;0;4;3;8;7;2;1;10.253.928,00   ;JP;;693.554,80   ;1  x   ;65  x   ;575  x   ;5.545  x   ;55.123  x   ;534.046  x   ;;;;
28.;08.07.;MI;3;9;3;2;6;0;5;4.238.193,00   ;JP;;976.242,30   ;2  x   ;27  x   ;268  x   ;2.599  x   ;26.246  x   ;320.348  x   ;;;;
;11.07.;SA;9;6;9;8;7;1;4;10.659.187,50   ;JP;;1.687.210,10   ;5  x   ;63  x   ;595  x   ;5.771  x   ;57.489  x   ;586.642  x   ;;;;
29.;15.07.;MI;6;5;5;8;9;9;3;4.670.935,50   ;JP;;1.998.761,50   ;2  x   ;18  x   ;256  x   ;2.452  x   ;26.243  x   ;286.155  x   ;;;;
;18.07.;SA;8;0;3;2;7;8;5;11.334.843,00   ;1  x   ;2.670.000,00   ;84.795,50   ;11  x   ;86  x   ;837  x   ;8.254  x   ;81.656  x   ;832.979  x   ;;;;
30.;22.07.;MI;8;8;8;8;5;7;9;4.188.783,00   ;JP;;364.187,30   ;1  x   ;27  x   ;241  x   ;2.466  x   ;23.887  x   ;237.475  x   ;;;;
;25.07.;SA;7;5;9;1;5;3;5;10.338.955,50   ;2  x   ;470.000,00   ;113.795,60   ;7  x   ;88  x   ;870  x   ;8.488  x   ;79.577  x   ;774.574  x   ;;;;
31.;29.07.;MI;4;0;5;5;4;7;0;4.308.919,50   ;JP;;401.200,50   ;2  x   ;21  x   ;196  x   ;1.976  x   ;20.321  x   ;205.682  x   ;;;;
;01.08.;SA;1;6;7;1;0;0;0;10.429.623,00   ;1  x   ;1.070.000,00   ;26.856,40   ;3  x   ;57  x   ;649  x   ;6.128  x   ;50.156  x   ;477.827  x   ;;;;
32.;05.08.;MI;7;1;7;7;0;5;1;4.154.173,50   ;1  x   ;270.000,00   ;33.939,80   ;2  x   ;30  x   ;220  x   ;2.313  x   ;23.330  x   ;223.038  x   ;;;;
;08.08.;SA;0;2;1;6;9;5;4;10.399.848,00   ;2  x   ;270.000,00   ;187.609,70   ;6  x   ;59  x   ;592  x   ;6.212  x   ;60.114  x   ;564.434  x   ;;;;
33.;12.08.;MI;3;8;7;5;0;0;3;4.113.139,50   ;JP;;461.956,10   ;2  x   ;17  x   ;200  x   ;1.977  x   ;21.410  x   ;251.269  x   ;;;;
;15.08.;SA;8;8;5;2;4;3;6;10.303.278,00   ;1  x   ;1.070.000,00   ;79.184,70   ;7  x   ;69  x   ;639  x   ;6.535  x   ;64.662  x   ;623.067  x   ;;;;
34.;19.08.;MI;4;3;4;8;7;7;5;4.278.105,00   ;JP;;364.534,30   ;5  x   ;32  x   ;318  x   ;3.103  x   ;33.213  x   ;326.363  x   ;;;;
;22.08.;SA;8;3;6;0;6;2;5;10.675.489,50   ;1  x   ;1.070.000,00   ;6.589,40   ;8  x   ;101  x   ;844  x   ;8.335  x   ;81.936  x   ;801.817  x   ;;;;
35.;26.08.;MI;5;5;6;5;0;4;0;4.725.448,50   ;1  x   ;270.000,00   ;51.776,80   ;4  x   ;23  x   ;214  x   ;2.256  x   ;23.245  x   ;232.611  x   ;;;;
;29.08.;SA;4;6;4;4;7;7;8;11.553.819,00   ;1  x   ;770.000,00   ;52.416,50   ;8  x   ;81  x   ;723  x   ;7.390  x   ;78.108  x   ;764.500  x   ;;;;
36.;02.09.;MI;1;7;6;3;9;2;6;5.610.409,50   ;JP;;426.630,80   ;7  x   ;29  x   ;366  x   ;3.382  x   ;34.076  x   ;344.237  x   ;;;;
;05.09.;SA;9;7;3;2;1;3;2;12.518.469,00   ;JP;;1.261.612,70   ;3  x   ;62  x   ;649  x   ;6.793  x   ;66.859  x   ;680.853  x   ;;;;
37.;09.09.;MI;2;5;1;0;9;9;1;6.582.148,50   ;JP;;1.700.642,00   ;3  x   ;22  x   ;324  x   ;3.367  x   ;34.192  x   ;362.262  x   ;;;;
;12.09.;SA;7;5;4;4;9;6;3;13.757.376,00   ;2  x   ;1.270.000,00   ;78.259,00   ;8  x   ;87  x   ;838  x   ;8.715  x   ;84.439  x   ;830.941  x   ;;;;
38.;16.09.;MI;9;5;8;5;0;4;4;7.700.559,00   ;2  x   ;270.000,00   ;51.886,30   ;5  x   ;47  x   ;431  x   ;4.393  x   ;45.530  x   ;433.520  x   ;;;;
;19.09.;SA;0;9;7;9;7;2;6;14.980.681,50   ;JP;;1.051.097,80   ;11  x   ;103  x   ;942  x   ;9.313  x   ;92.400  x   ;914.305  x   ;;;;
39.;23.09.;MI;1;5;9;9;6;8;8;14.951.248,50   ;JP;;2.048.346,10   ;12  x   ;93  x   ;931  x   ;9.617  x   ;97.477  x   ;931.968  x   ;;;;
;26.09.;SA;2;0;3;2;3;1;2;12.520.360,50   ;2  x   ;1.370.000,00   ;143.454,10   ;3  x   ;63  x   ;696  x   ;6.968  x   ;68.516  x   ;677.946  x   ;;;;
40.;30.09.;MI;6;6;8;9;3;7;7;4.960.798,50   ;JP;;474.339,40   ;unbesetzt;37  x   ;368  x   ;3.688  x   ;40.489  x   ;327.634  x   ;;;;
;03.10.;SA;7;1;1;6;5;8;9;10.633.291,50   ;2  x   ;570.000,00   ;43.579,90   ;5  x   ;75  x   ;583  x   ;6.206  x   ;62.038  x   ;622.807  x   ;;;;
41.;07.10.;MI;6;6;7;8;4;1;4;4.477.534,50   ;JP;;342.231,50   ;1  x   ;18  x   ;265  x   ;2.411  x   ;24.536  x   ;247.991  x   ;;;;
;10.10.;SA;9;6;8;4;8;0;9;10.723.221,00   ;1  x   ;970.000,00   ;87.470,30   ;6  x   ;60  x   ;596  x   ;5.488  x   ;56.196  x   ;634.163  x   ;;;;
42.;14.10.;MI;8;8;0;8;8;7;6;4.597.533,00   ;2  x   ;170.000,00   ;54.125,80   ;2  x   ;33  x   ;293  x   ;2.923  x   ;28.287  x   ;286.320  x   ;;;;
;17.10.;SA;1;0;7;4;6;2;4;10.893.387,00   ;2  x   ;370.000,00   ;40.714,70   ;4  x   ;51  x   ;631  x   ;6.342  x   ;62.127  x   ;601.916  x   ;;;;
43.;21.10.;MI;4;2;4;1;0;6;7;4.941.129,00   ;JP;;370.288,00   ;3  x   ;30  x   ;332  x   ;3.102  x   ;33.522  x   ;336.209  x   ;;;;
;24.10.;SA;5;0;6;4;0;1;4;11.507.296,50   ;2  x   ;470.000,00   ;197.824,70   ;7  x   ;60  x   ;628  x   ;5.968  x   ;63.897  x   ;643.176  x   ;;;;
44.;28.10.;MI;6;8;3;4;6;6;6;4.367.145,00   ;JP;;489.113,30   ;2  x   ;48  x   ;401  x   ;4.076  x   ;29.091  x   ;272.536  x   ;;;;
;31.10.;SA;1;5;6;8;9;3;4;10.635.921,00   ;JP;;1.198.529,20   ;9  x   ;58  x   ;617  x   ;5.929  x   ;59.977  x   ;597.271  x   ;;;;
45.;04.11.;MI;7;2;8;0;4;9;9;4.326.514,50   ;JP;;1.487.107,70   ;2  x   ;28  x   ;237  x   ;2.410  x   ;25.967  x   ;242.626  x   ;;;;
;07.11.;SA;7;2;3;9;1;0;7;10.498.419,00   ;JP;;2.187.352,20   ;6  x   ;77  x   ;579  x   ;6.227  x   ;62.843  x   ;734.620  x   ;;;;
46.;11.11.;MI;1;1;6;9;2;3;2;4.438.872,00   ;JP;;2.483.425,00   ;4  x   ;19  x   ;205  x   ;2.328  x   ;23.216  x   ;234.053  x   ;;;;
;14.11.;SA;1;5;3;0;7;6;4;11.159.389,50   ;1  x   ;3.170.000,00   ;57.756,30   ;5  x   ;74  x   ;642  x   ;6.648  x   ;65.371  x   ;631.780  x   ;;;;
47.;18.11.;MI;6;0;0;4;6;3;2;4.261.017,00   ;JP;;341.966,10   ;3  x   ;25  x   ;208  x   ;2.221  x   ;22.155  x   ;223.201  x   ;;;;
;21.11.;SA;0;9;1;2;7;7;9;10.609.947,00   ;1  x   ;970.000,00   ;79.649,60   ;4  x   ;72  x   ;602  x   ;6.008  x   ;63.665  x   ;621.375  x   ;;;;
48.;25.11.;MI;3;5;6;3;1;0;3;4.400.800,50   ;JP;;373.183,00   ;unbesetzt;23  x   ;239  x   ;2.236  x   ;22.789  x   ;266.845  x   ;;;;
;28.11.;SA;9;8;0;3;6;7;6;10.501.086,00   ;1  x   ;1.070.000,00   ;3.605,40   ;7  x   ;82  x   ;673  x   ;6.526  x   ;64.317  x   ;649.642  x   ;;;;
49.;02.12.;MI;1;1;5;4;9;1;0;5.116.651,50   ;JP;;344.886,10   ;4  x   ;28  x   ;241  x   ;2.451  x   ;25.041  x   ;255.371  x   ;;;;
;05.12.;SA;9;0;9;7;7;3;9;12.199.837,50   ;JP;;1.158.615,30   ;6  x   ;62  x   ;736  x   ;7.170  x   ;72.053  x   ;719.583  x   ;;;;
50.;09.12.;MI;8;8;3;7;2;6;4;5.032.656,00   ;JP;;1.494.293,50   ;4  x   ;25  x   ;287  x   ;2.998  x   ;29.531  x   ;287.519  x   ;;;;
;12.12.;SA;7;8;4;0;8;8;1;11.787.151,50   ;JP;;2.280.496,50   ;4  x   ;60  x   ;637  x   ;6.148  x   ;62.075  x   ;620.840  x   ;;;;
51.;16.12.;MI;5;6;4;2;0;5;4;4.538.271,00   ;JP;;2.583.199,20   ;1  x   ;20  x   ;251  x   ;2.653  x   ;27.490  x   ;256.623  x   ;;;;
;19.12.;SA;9;9;7;9;0;0;8;10.925.214,00   ;JP;;3.311.911,00   ;6  x   ;55  x   ;526  x   ;5.441  x   ;61.124  x   ;744.722  x   ;;;;
52.;23.12.;MI;9;1;0;0;6;3;8;5.289.597,00   ;JP;;3.664.727,10   ;2  x   ;34  x   ;364  x   ;3.633  x   ;34.823  x   ;343.190  x   ;;;;
;26.12.;SA;7;7;2;5;4;5;6;10.606.750,50   ;1  x   ;4.370.000,00   ;2.197,40   ;9  x   ;60  x   ;680  x   ;7.185  x   ;69.430  x   ;651.859  x   ;;;;
53.;30.12.;MI;8;8;6;5;7;5;2;4.849.173,00   ;JP;;325.637,20   ;1  x   ;28  x   ;291  x   ;2.873  x   ;27.007  x   ;255.790  x   ;;;;
;02.01.;SA;5;2;4;4;2;2;7;10.981.611,00   ;JP;;1.058.110,70   ;14  x   ;91  x   ;736  x   ;7.607  x   ;78.132  x   ;754.302  x   ;;;;
;;;;;;;;Gewinne Gesamt;;;31   ;;;253   ;2.733   ;26.560   ;266.297   ;2.658.107   ;26.600.120   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
