Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1995;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
VA;1995;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
40.;07.10.;6;1;9;0;8;4;3;24.870.142,00;2 x;877.777,00   ;49.931,40   ;10 x           ;91 x         ;938 x         ;9.029 x        ;90.325 x    ;901.489 x    ;;;;
41.;14.10.;2;2;0;9;4;2;7;26.238.712,50;JP;;1.915.503,90   ;15 x           ;79 x         ;982 x         ;10.069 x        ;99.185 x    ;982.799 x    ;;;;
42.;21.10.;4;6;1;3;9;6;6;24.591.922,50;1 x;3.577.777,00   ;86.212,60   ;9 x           ;99 x         ;894 x         ;9.294 x        ;90.789 x    ;898.755 x    ;;;;
43.;28.10.;7;4;8;3;6;0;5;24.827.725,00;JP;;1.851.463,80   ;7 x           ;90 x         ;881 x         ;8.817 x        ;88.611 x    ;937.707 x    ;;;;
44.;04.11.;3;6;8;2;2;8;3;30.954.685,00;1 x;3.977.777,00   ;74.564,90   ;13 x           ;108 x         ;1.122 x         ;11.240 x        ;112.325 x    ;1.130.034 x    ;;;;
45.;11.11.;1;0;5;4;7;2;7;29.054.915,00;JP;;2.140.369,40   ;8 x           ;123 x         ;1.091 x         ;10.952 x        ;108.743 x    ;1.082.838 x    ;;;;
46.;18.11.;7;0;7;8;3;7;3;29.980.247,50;1 x;4.177.777,00   ;94.188,00   ;16 x           ;95 x         ;1.147 x         ;10.764 x        ;108.626 x    ;1.088.777 x    ;;;;
47.;25.11.;3;1;8;5;5;6;1;32.098.652,50;1 x;2.277.777,00   ;98.625,20   ;15 x           ;133 x         ;1.168 x         ;11.177 x        ;110.533 x    ;1.104.075 x    ;;;;
48.;02.12.;6;0;7;8;4;7;7;32.674.820,00;1 x;2.377.777,00   ;44.027,90   ;10 x           ;140 x         ;1.312 x         ;12.445 x        ;125.311 x    ;1.203.153 x    ;;;;
49.;09.12.;5;9;8;9;8;5;2;27.080.587,50;JP;;1.969.457,70   ;11 x           ;90 x         ;940 x         ;9.779 x        ;96.718 x    ;966.091 x    ;;;;
50.;16.12.;4;3;5;9;0;5;7;27.470.450,00;JP;;3.922.606,70   ;11 x           ;89 x         ;1.005 x         ;9.900 x        ;102.614 x    ;1.026.938 x    ;;;;
51.;23.12.;7;5;0;5;4;9;0;28.788.080,00;JP;;5.969.439,20   ;9 x           ;95 x         ;980 x         ;9.772 x        ;97.258 x    ;973.508 x    ;;;;
52.;30.12.;9;5;1;0;6;0;8;27.293.292,50;2 x;3.877.777,00   ;154.438,30   ;8 x           ;100 x         ;959 x         ;9.683 x        ;94.652 x    ;1.001.165 x    ;;;;
53.;;;;;;;;;;;;;;;;;;;1.106.569;;;
;;;;;;;Gewinne Gesamt;;;53   ;;;523 x           ;5.006 x         ;49.662 x         ;498.801 x        ;4.980.481;49.774.449;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
