Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1984;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
9.;03.03.;0;8;5;3;7;0;7;13.420.552,00;1 x;3.555.555,40   ;706.801,80   ;7 x           ;61 x         ;587 x         ;5.968 x        ;57.924 x    ;;;;
10.;10.03.;4;3;7;6;0;5;4;12.526.700,00;JP;;1.680.126,40   ;7 x           ;57 x         ;537 x         ;5.565 x        ;55.721 x    ;;;;
11.;17.03.;6;1;8;2;2;3;9;12.015.418,00;1 x;2.555.555,40   ;58.169,00   ;7 x           ;41 x         ;531 x         ;5.509 x        ;54.399 x    ;;;;
12.;24.03.;0;3;0;0;9;0;3;11.835.926,00;1 x;955.555,40   ;22.265,10   ;6 x           ;58 x         ;515 x         ;5.230 x        ;51.298 x    ;;;;
13.;31.03.;2;9;7;1;1;5;6;12.140.362,00;1 x;955.555,40   ;10.015,80   ;8 x           ;60 x         ;526 x         ;5.461 x        ;55.373 x    ;;;;
14.;07.04.;2;6;4;3;8;7;2;13.579.342,00;JP;;1.065.130,70   ;8 x           ;75 x         ;608 x         ;6.066 x        ;60.646 x    ;;;;
15.;14.04.;8;1;9;8;4;0;6;12.036.710,00;JP;;2.000.383,10   ;6 x           ;47 x         ;516 x         ;5.290 x        ;51.972 x    ;;;;
16.;21.04.;2;7;8;2;0;0;5;11.310.658,00;1 x;2.755.555,40   ;123.665,80   ;8 x           ;39 x         ;442 x         ;4.634 x        ;48.934 x    ;;;;
17.;28.04.;6;6;4;9;6;1;6;11.324.858,00;JP;;1.003.607,30   ;6 x           ;59 x         ;528 x         ;5.136 x        ;50.968 x    ;;;;
18.;05.05.;3;0;8;2;8;5;8;11.531.228,00;JP;;1.899.583,70   ;4 x           ;69 x         ;529 x         ;5.273 x        ;52.220 x    ;;;;
19.;12.05.;7;6;6;9;8;3;8;11.746.430,00;JP;;2.812.281,30   ;3 x           ;55 x         ;514 x         ;5.195 x        ;52.997 x    ;;;;
20.;19.05.;4;0;5;0;8;3;1;11.673.064,00;JP;;3.719.278,40   ;3 x           ;46 x         ;493 x         ;5.367 x        ;52.621 x    ;;;;
21.;26.05.;5;0;1;8;8;8;4;11.463.266,00;JP;;4.609.974,20   ;9 x           ;51 x         ;474 x         ;5.105 x        ;51.960 x    ;;;;
22.;02.06.;1;9;7;4;0;9;1;11.045.318,00;JP;;5.468.194,50   ;4 x           ;54 x         ;482 x         ;4.682 x        ;49.545 x    ;;;;
23.;09.06.;3;1;9;5;4;0;2;11.730.526,00;JP;;6.379.657,30   ;6 x           ;46 x         ;511 x         ;5.469 x        ;53.535 x    ;;;;
24.;16.06.;1;9;7;8;7;7;4;11.218.224,00;1 x;3.555.555,40   ;3.695.757,90   ;4 x           ;53 x         ;515 x         ;5.138 x        ;50.131 x    ;;;;
25.;23.06.;0;7;9;7;5;0;5;10.794.868,00;3 x;1.355.555,40   ;467.852,90   ;2 x           ;31 x         ;491 x         ;4.712 x        ;47.298 x    ;;;;
26.;30.06.;0;6;8;0;3;2;0;11.115.136,00;2 x;555.555,40   ;220.388,20   ;8 x           ;36 x         ;495 x         ;4.923 x        ;49.003 x    ;;;;
27.;07.07.;2;1;7;0;4;4;8;11.263.474,00;JP;;1.095.560,10   ;9 x           ;41 x         ;544 x         ;5.017 x        ;51.826 x    ;;;;
28.;14.07.;7;4;7;8;5;6;4;10.964.512,00;1 x;1.755.555,40   ;191.947,30   ;7 x           ;58 x         ;481 x         ;4.935 x        ;49.184 x    ;;;;
29.;21.07.;9;6;1;3;3;0;0;10.969.442,00;JP;;1.044.272,90   ;8 x           ;42 x         ;480 x         ;4.920 x        ;48.281 x    ;;;;
30.;28.07.;2;6;3;4;8;1;8;11.160.986,00;JP;;1.911.481,50   ;7 x           ;48 x         ;500 x         ;5.123 x        ;50.777 x    ;;;;
31.;04.08.;1;8;2;2;7;4;6;10.917.546,00;JP;;2.759.774,80   ;5 x           ;57 x         ;458 x         ;5.022 x        ;48.841 x    ;;;;
32.;11.08.;6;7;4;7;4;3;9;10.918.224,00;1 x;3.555.555,40   ;52.565,40   ;4 x           ;40 x         ;473 x         ;5.146 x        ;49.638 x    ;;;;
33.;18.08.;7;8;9;7;7;5;9;11.020.434,00;3 x;355.555,40   ;0,00   ;8 x           ;55 x         ;478 x         ;5.017 x        ;49.437 x    ;;;;
34.;25.08.;2;6;3;6;7;7;7;11.069.194,00;JP;;860.076,40   ;5 x           ;59 x         ;530 x         ;5.171 x        ;50.923 x    ;;;;
35.;01.09.;7;0;1;7;4;1;5;14.649.726,00;JP;;1.998.360,10   ;8 x           ;62 x         ;700 x         ;6.487 x        ;65.075 x    ;;;;
36.;08.09.;9;7;4;2;2;6;8;13.788.028,00;JP;;3.069.689,90   ;13 x           ;48 x         ;619 x         ;6.345 x        ;63.085 x    ;;;;
37.;15.09.;9;8;1;4;8;3;0;13.815.108,00;2 x;1.955.555,40   ;232.013,00   ;10 x           ;63 x         ;585 x         ;6.052 x        ;60.791 x    ;;;;
38.;22.09.;9;3;6;6;8;0;7;13.952.672,00;JP;;1.316.135,60   ;3 x           ;59 x         ;584 x         ;6.060 x        ;61.280 x    ;;;;
39.;29.09.;9;4;9;8;9;4;6;13.990.070,00;2 x;1.155.555,40   ;92.053,20   ;8 x           ;68 x         ;700 x         ;6.606 x        ;63.952 x    ;;;;
40.;06.10.;6;1;0;7;6;8;6;13.790.010,00;1 x;1.155.555,40   ;7.981,60   ;2 x           ;68 x         ;625 x         ;6.267 x        ;62.252 x    ;;;;
41.;13.10.;4;5;9;8;7;6;8;13.461.226,00;1 x;955.555,40   ;98.363,50   ;3 x           ;64 x         ;628 x         ;6.024 x        ;60.857 x    ;;;;
42.;20.10.;5;8;0;5;3;2;9;13.338.068,00;1 x;955.555,40   ;179.176,00   ;4 x           ;58 x         ;614 x         ;6.057 x        ;60.856 x    ;;;;
43.;27.10.;8;1;4;0;6;8;6;13.348.992,00;JP;;1.216.392,70   ;6 x           ;80 x         ;607 x         ;6.018 x        ;60.558 x    ;;;;
44.;03.11.;8;9;5;4;2;0;7;13.014.068,00;JP;;2.227.585,80   ;5 x           ;64 x         ;555 x         ;5.766 x        ;57.168 x    ;;;;
45.;10.11.;7;8;7;6;4;9;5;13.295.018,00;JP;;3.260.608,70   ;7 x           ;56 x         ;614 x         ;5.813 x        ;59.223 x    ;;;;
46.;17.11.;0;3;5;2;0;6;7;13.443.062,00;JP;;4.305.134,60   ;3 x           ;55 x         ;600 x         ;5.970 x        ;61.415 x    ;;;;
47.;24.11.;1;2;5;0;0;2;5;13.409.622,00;1 x;3.555.555,40   ;1.791.506,80   ;5 x           ;56 x         ;573 x         ;6.000 x        ;61.595 x    ;;;;
48.;01.12.;8;1;4;6;1;0;8;18.923.910,00;1 x;3.155.555,40   ;106.339,20   ;10 x           ;72 x         ;801 x         ;8.212 x        ;82.839 x    ;;;;
49.;08.12.;7;2;0;0;9;1;2;14.876.346,00;JP;;1.262.231,30   ;9 x           ;65 x         ;702 x         ;6.836 x        ;68.298 x    ;;;;
50.;15.12.;0;9;8;8;8;9;7;15.120.636,00;JP;;2.437.104,70   ;7 x           ;67 x         ;653 x         ;6.833 x        ;67.642 x    ;;;;
51.;22.12.;5;7;8;5;5;6;1;13.689.432,00;JP;;3.500.773,60   ;4 x           ;53 x         ;608 x         ;6.100 x        ;59.737 x    ;;;;
52.;29.12.;7;9;4;2;3;0;6;12.240.972,00;1 x;3.555.555,40   ;896.341,70   ;8 x           ;54 x         ;559 x         ;5.257 x        ;53.991 x    ;;;;
;;;;;;;Gewinne Gesamt;;;31 x;;;321 x;2.887 x;29.122 x;291.625 x;2.915.470 x;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
