Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2017;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
VA;2017;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
27.;05.07.;MI;1;2;1;0;6;6;0;5.482.342,50   ;JP;;450.194,70   ;2  x   ;12  x   ;154  x   ;1.431  x   ;15.053  x   ;150.943  x   ;;;;
;08.07.;SA;3;2;4;5;4;7;8;12.695.342,50   ;2  x   ;577.777,00   ;197.279,60   ;7  x   ;61  x   ;550  x   ;5.195  x   ;49.782  x   ;497.241  x   ;;;;
28.;12.07.;MI;7;9;2;4;9;9;1;5.021.375,00   ;JP;;554.299,40   ;4  x   ;12  x   ;149  x   ;1.384  x   ;13.911  x   ;152.060  x   ;;;;
;15.07.;SA;5;7;9;5;3;5;3;12.039.060,00   ;JP;;1.410.276,60   ;8  x   ;56  x   ;473  x   ;4.539  x   ;46.682  x   ;443.279  x   ;;;;
29.;19.07.;MI;0;1;7;7;9;9;7;5.100.027,50   ;JP;;1.772.888,60   ;unbesetzt;22  x   ;200  x   ;1.978  x   ;20.916  x   ;232.230  x   ;;;;
;22.07.;SA;5;6;6;2;7;8;8;12.070.905,00   ;JP;;2.631.129,90   ;3  x   ;47  x   ;440  x   ;4.785  x   ;50.839  x   ;473.786  x   ;;;;
30.;26.07.;MI;0;2;8;2;9;7;9;5.269.990,00   ;JP;;3.005.826,20   ;unbesetzt;12  x   ;192  x   ;1.930  x   ;18.836  x   ;182.925  x   ;;;;
;29.07.;SA;4;2;8;6;0;5;2;12.464.427,50   ;JP;;3.892.047,00   ;3  x   ;46  x   ;430  x   ;3.979  x   ;43.391  x   ;400.809  x   ;;;;
31.;02.08.;MI;0;2;2;4;9;9;8;5.678.892,50   ;1  x   ;4.277.777,00   ;18.039,30   ;2  x   ;25  x   ;202  x   ;1.965  x   ;20.189  x   ;218.459  x   ;;;;
;05.08.;SA;2;2;8;7;8;7;4;12.261.530,00   ;JP;;889.834,10   ;3  x   ;42  x   ;410  x   ;4.074  x   ;39.872  x   ;406.120  x   ;;;;
32.;09.08.;MI;8;5;6;3;5;4;4;5.216.752,50   ;JP;;1.260.745,20   ;1  x   ;18  x   ;208  x   ;1.817  x   ;18.698  x   ;173.961  x   ;;;;
;12.08.;SA;5;3;3;8;4;6;4;12.416.230,00   ;JP;;2.143.539,20   ;3  x   ;41  x   ;462  x   ;4.343  x   ;43.286  x   ;410.819  x   ;;;;
33.;16.08.;MI;2;6;3;2;6;6;0;4.973.212,50   ;JP;;2.497.134,60   ;unbesetzt;18  x   ;142  x   ;1.362  x   ;13.606  x   ;136.627  x   ;;;;
;19.08.;SA;4;2;7;3;3;0;1;12.174.110,00   ;1  x   ;3.277.777,00   ;84.936,80   ;1  x   ;31  x   ;375  x   ;3.335  x   ;33.418  x   ;370.179  x   ;;;;
34.;23.08.;MI;2;8;6;0;0;9;5;5.037.777,50   ;JP;;443.122,80   ;3  x   ;13  x   ;166  x   ;1.798  x   ;18.943  x   ;210.475  x   ;;;;
