;;;;;;;;;;;;;;;;;;;;;;;
Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1996;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
VA;1996;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;
40.;05.10.;5;6;4;0;7;4;8;24.560.225,00;2 x;1.677.777,00   ;181.100,40   ;9 x           ;82 x         ;857 x         ;8.948 x        ;89.993 x    ;888.726 x    ;;;;;
41.;12.10.;8;7;0;1;8;9;0;24.706.460,00;2 x;877.777,00   ;182.175,70   ;8 x           ;86 x         ;752 x         ;8.382 x        ;82.835 x    ;840.302 x    ;;;;;
42.;19.10.;2;8;9;3;4;1;7;24.936.607,50;2 x;877.777,00   ;199.614,50   ;8 x           ;83 x         ;970 x         ;9.581 x        ;94.650 x    ;950.970 x    ;;;;;
43.;26.10.;8;8;0;0;1;0;6;24.752.605,00;1 x;1.877.777,00   ;81.747,70   ;7 x           ;86 x         ;932 x         ;8.707 x        ;85.038 x    ;918.172 x    ;;;;;
44.;02.11.;5;2;2;8;6;7;5;25.225.610,00;1 x;1.777.777,00   ;97.511,60   ;10 x           ;92 x         ;975 x         ;9.962 x        ;97.998 x    ;970.278 x    ;;;;;
45.;09.11.;2;9;3;2;7;0;8;26.671.815,00;5 x;377.777,00   ;104.992,60   ;7 x           ;78 x         ;960 x         ;9.295 x        ;93.917 x    ;998.384 x    ;;;;;
46.;16.11.;2;9;9;8;5;1;9;28.315.947,50;4 x;477.777,00   ;207.148,50   ;13 x           ;99 x         ;1.034 x         ;10.389 x        ;102.222 x    ;1.029.197 x    ;;;;;
47.;23.11.;5;8;7;4;4;7;1;30.039.230,00;JP;;2.342.937,80   ;9 x           ;93 x         ;1.060 x         ;10.383 x        ;102.138 x    ;1.022.613 x    ;;;;;
48.;30.11.;4;0;1;8;9;0;5;25.521.692,50;JP;;4.157.530,10   ;4 x           ;86 x         ;869 x         ;9.084 x        ;90.432 x    ;972.384 x    ;;;;;
49.;07.12.;3;5;0;8;0;7;8;31.775.870,00;1 x;6.377.777,00   ;39.017,50   ;6 x           ;125 x         ;1.150 x         ;11.445 x        ;119.585 x    ;1.178.118 x    ;;;;;
50.;14.12.;6;2;3;6;9;1;1;26.818.997,50;3 x;577.777,00   ;212.517,20   ;6 x           ;78 x         ;968 x         ;9.121 x        ;90.783 x    ;905.081 x    ;;;;;
51.;21.12.;2;4;3;1;3;1;6;27.813.630,00;1 x;2.177.777,00   ;12.289,30   ;16 x           ;106 x         ;1.069 x         ;10.319 x        ;100.917 x    ;1.024.093 x    ;;;;;
52.;28.12.;3;5;0;4;3;4;1;25.203.300,00;JP;;1.804.243,90   ;10 x           ;88 x         ;867 x         ;8.594 x        ;85.232 x    ;844.588 x    ;;;;;
53.;;;;;;;;;;;;;;;;;;;;939.379;;;
;;;;;;;Gewinne Gesamt;;;60   ;;;454 x           ;4.657 x         ;47.534 x         ;472.757 x        ;4.718.293;47.527.696;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
