Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1991;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
VA;1991;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
26.;29.06.;6;2;9;4;2;4;8;22.981.385,00;JP;;1.688.048,00   ;7 x           ;92 x         ;867 x         ;8.576 x        ;84.625 x    ;842.785 x    ;;;;
27.;06.07.;8;9;9;4;6;2;1;23.137.522,50;2 x;1.577.777,00   ;177.571,80   ;9 x           ;88 x         ;773 x         ;8.194 x        ;82.993 x    ;816.764 x    ;;;;
28.;13.07.;9;2;3;8;9;4;2;21.789.405,00;1 x;1.677.777,00   ;49.021,50   ;6 x           ;82 x         ;767 x         ;7.962 x        ;79.112 x    ;784.199 x    ;;;;
29.;20.07.;7;3;1;7;8;5;3;22.126.452,50;1 x;1.577.777,00   ;44.435,30   ;14 x           ;68 x         ;827 x         ;7.946 x        ;80.471 x    ;802.312 x    ;;;;
30.;27.07.;2;9;0;4;1;8;4;22.021.845,00;1 x;1.577.777,00   ;32.411,50   ;7 x           ;76 x         ;844 x         ;8.111 x        ;81.045 x    ;804.620 x    ;;;;
31.;03.08.;5;6;3;1;2;3;6;22.685.910,00;JP;;1.645.379,70   ;10 x           ;73 x         ;852 x         ;8.507 x        ;84.326 x    ;828.797 x    ;;;;
32.;10.08.;9;8;7;3;2;7;2;22.610.270,00;1 x;3.177.777,00   ;75.192,90   ;10 x           ;72 x         ;872 x         ;8.059 x        ;81.871 x    ;812.047 x    ;;;;
33.;17.08.;9;9;7;4;5;9;6;22.294.822,50;2 x;777.777,00   ;104.800,80   ;10 x           ;78 x         ;855 x         ;8.100 x        ;81.355 x    ;810.092 x    ;;;;
34.;24.08.;0;5;1;6;5;3;3;22.085.780,00;1 x;1.577.777,00   ;97.322,80   ;9 x           ;76 x         ;814 x         ;8.077 x        ;79.616 x    ;801.007 x    ;;;;
35.;31.08.;3;5;4;5;2;5;0;22.302.652,50;2 x;777.777,00   ;127.487,40   ;3 x           ;70 x         ;785 x         ;7.816 x        ;77.516 x    ;767.218 x    ;;;;
36.;07.09.;6;5;7;8;5;4;7;26.472.865,00;2 x;977.777,00   ;54.154,10   ;7 x           ;101 x         ;999 x         ;9.644 x        ;97.988 x    ;972.101 x    ;;;;
37.;14.09.;7;8;4;2;9;0;1;23.386.437,50;JP;;1.716.929,80   ;9 x           ;82 x         ;809 x         ;8.027 x        ;78.575 x    ;829.095 x    ;;;;
38.;21.09.;7;1;2;5;5;2;5;22.932.442,50;JP;;3.347.426,50   ;10 x           ;81 x         ;883 x         ;8.509 x        ;84.402 x    ;834.365 x    ;;;;
39.;28.09.;6;1;2;0;3;9;4;23.167.580,00;3 x;1.577.777,00   ;261.310,40   ;9 x           ;79 x         ;853 x         ;8.516 x        ;84.144 x    ;840.749 x    ;;;;
40.;05.10.;6;7;9;5;9;9;4;23.195.302,50;1 x;1.877.777,00   ;32.719,40   ;9 x           ;74 x         ;814 x         ;7.900 x        ;80.700 x    ;816.758 x    ;;;;
41.;12.10.;3;4;8;1;7;2;4;24.244.017,50;JP;;1.756.469,00   ;9 x           ;90 x         ;843 x         ;8.828 x        ;86.297 x    ;849.897 x    ;;;;
42.;19.10.;4;6;9;2;0;9;9;24.265.350,00;1 x;3.477.777,00   ;3.958,40   ;12 x           ;83 x         ;860 x         ;8.691 x        ;88.517 x    ;886.332 x    ;;;;
43.;26.10.;0;3;4;0;3;8;1;23.928.087,50;JP;;1.705.245,40   ;5 x           ;94 x         ;857 x         ;8.550 x        ;84.641 x    ;845.239 x    ;;;;
44.;02.11.;5;2;3;7;8;5;5;23.513.560,00;3 x;1.077.777,00   ;143.728,50   ;11 x           ;94 x         ;848 x         ;8.614 x        ;85.613 x    ;852.266 x    ;;;;
45.;09.11.;7;3;3;0;8;5;4;26.488.760,00;2 x;977.777,00   ;71.525,30   ;5 x           ;91 x         ;933 x         ;9.724 x        ;96.757 x    ;969.176 x    ;;;;
46.;16.11.;8;3;2;2;6;6;5;25.703.495,00;2 x;877.777,00   ;143.489,80   ;6 x           ;105 x         ;877 x         ;9.056 x        ;93.208 x    ;926.325 x    ;;;;
47.;23.11.;3;6;9;6;2;0;8;23.678.080,00;1 x;1.777.777,00   ;49.224,30   ;2 x           ;91 x         ;838 x         ;8.596 x        ;82.809 x    ;875.186 x    ;;;;
48.;30.11.;4;8;7;8;5;3;9;24.539.877,50;1 x;1.777.777,00   ;16.232,60   ;9 x           ;96 x         ;868 x         ;8.817 x        ;90.243 x    ;889.210 x    ;;;;
49.;07.12.;4;1;0;7;4;7;1;31.964.657,50;3 x;677.777,00   ;255.588,70   ;9 x           ;107 x         ;1.103 x         ;11.418 x        ;112.847 x    ;1.125.383 x    ;;;;
50.;14.12.;3;8;2;0;1;1;8;26.153.885,00;JP;;2.115.129,90   ;4 x           ;92 x         ;894 x         ;9.369 x        ;95.034 x    ;950.855 x    ;;;;
51.;21.12.;1;6;0;5;0;2;3;27.328.650,00;JP;;4.058.196,90   ;7 x           ;92 x         ;966 x         ;9.876 x        ;101.218 x    ;998.710 x    ;;;;
52.;28.12.;9;4;5;1;7;9;9;24.840.190,00;JP;;5.824.334,40   ;13 x           ;89 x         ;896 x         ;8.981 x        ;89.830 x    ;898.636 x    ;;;;
;;;;;;;Gewinne Gesamt;;;59   ;;;433 x           ;4.431 x           ;44.011 x           ;440.418 x           ;4.422.953 x           ;44.259.104 x           ;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
