Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1986;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
VA;1986;Gewinnzahl;;;;;;End-;Spieleinsatz;Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
9.;01.03.;5;1;9;0;7;1;9;18.883.058,00;1 x;3.755.555,40   ;44.589,40   ;9 x           ;85 x         ;818 x         ;8.202 x        ;81.788 x    ;;;;
10.;08.03.;4;7;8;1;0;6;1;14.942.682,00;JP;;1.205.635,80   ;7 x           ;80 x         ;633 x         ;6.619 x        ;66.182 x    ;;;;
11.;15.03.;1;6;9;3;6;6;2;14.773.504,00;JP;;2.353.537,10   ;7 x           ;72 x         ;713 x         ;6.550 x        ;65.763 x    ;;;;
12.;22.03.;9;2;5;9;1;0;9;14.573.582,00;2 x;1.555.555,40   ;374.793,60   ;9 x           ;65 x         ;634 x         ;6.438 x        ;63.789 x    ;;;;
13.;29.03.;0;6;2;7;1;1;5;14.344.208,00;JP;;1.489.338,60   ;6 x           ;62 x         ;584 x         ;6.436 x        ;64.794 x    ;;;;
14.;05.04.;9;2;2;2;9;3;2;14.266.260,00;1 x;2.555.555,40   ;42.271,60   ;7 x           ;76 x         ;615 x         ;6.635 x        ;65.289 x    ;;;;
15.;12.04.;5;0;3;8;2;1;4;14.470.468,00;JP;;1.166.627,00   ;10 x           ;39 x         ;651 x         ;6.517 x        ;64.852 x    ;;;;
16.;19.04.;0;5;6;5;7;4;6;14.101.054,00;JP;;2.262.278,90   ;8 x           ;73 x         ;675 x         ;6.571 x        ;64.200 x    ;;;;
17.;26.04.;4;5;1;1;5;2;4;14.605.122,00;1 x;3.355.555,40   ;41.541,50   ;5 x           ;85 x         ;660 x         ;6.439 x        ;64.756 x    ;;;;
18.;03.05.;0;9;3;7;1;5;6;13.578.254,00;JP;;1.096.571,80   ;6 x           ;68 x         ;620 x         ;6.194 x        ;60.069 x    ;;;;
19.;10.05.;5;4;3;9;2;7;4;13.382.454,00;JP;;2.136.388,50   ;5 x           ;59 x         ;564 x         ;5.958 x        ;59.715 x    ;;;;
20.;17.05.;9;3;3;1;9;8;3;13.786.402,00;JP;;3.207.591,90   ;5 x           ;63 x         ;630 x         ;6.338 x        ;62.879 x    ;;;;
21.;24.05.;0;7;8;5;6;8;1;13.272.606,00;JP;;4.238.873,40   ;4 x           ;66 x         ;576 x         ;6.112 x        ;58.926 x    ;;;;
22.;31.05.;5;4;4;9;2;8;9;13.566.568,00;2 x;2.555.555,40   ;181.884,90   ;11 x           ;58 x         ;616 x         ;6.082 x        ;61.250 x    ;;;;
23.;07.06.;0;9;6;7;5;9;3;13.039.352,00;1 x;1.155.555,40   ;39.487,20   ;7 x           ;55 x         ;596 x         ;5.832 x        ;58.965 x    ;;;;
24.;14.06.;4;0;1;2;7;0;8;12.990.636,00;JP;;1.048.859,60   ;7 x           ;63 x         ;581 x         ;5.787 x        ;57.151 x    ;;;;
25.;21.06.;8;1;1;7;3;6;3;12.780.786,00;JP;;2.041.926,70   ;11 x           ;75 x         ;582 x         ;5.805 x        ;58.342 x    ;;;;
26.;28.06.;5;7;4;0;9;2;5;12.421.444,00;2 x;1.355.555,40   ;295.962,10   ;7 x           ;53 x         ;553 x         ;5.900 x        ;56.398 x    ;;;;
27.;05.07.;0;1;1;3;3;8;3;12.320.012,00;JP;;1.253.227,00   ;2 x           ;62 x         ;592 x         ;5.728 x        ;55.896 x    ;;;;
28.;12.07.;8;9;3;9;9;1;0;12.581.094,00;1 x;2.155.555,40   ;75.222,60   ;8 x           ;59 x         ;582 x         ;5.536 x        ;55.556 x    ;;;;
29.;19.07.;2;0;3;4;4;7;9;12.448.556,00;JP;;1.042.475,40   ;8 x           ;79 x         ;586 x         ;5.655 x        ;56.618 x    ;;;;
30.;26.07.;0;2;6;4;1;9;5;12.492.856,00;JP;;2.013.170,30   ;4 x           ;66 x         ;548 x         ;5.655 x        ;55.942 x    ;;;;
31.;02.08.;3;6;9;0;9;2;6;12.408.324,00;JP;;2.977.297,10   ;7 x           ;58 x         ;554 x         ;5.755 x        ;56.136 x    ;;;;
32.;09.08.;7;4;7;0;8;5;8;16.800.624,00;2 x;1.955.555,40   ;371.594,80   ;7 x           ;85 x         ;735 x         ;7.673 x        ;76.353 x    ;;;;
33.;16.08.;6;9;0;7;3;7;4;13.394.510,00;1 x;1.355.555,40   ;56.792,80   ;10 x           ;50 x         ;626 x         ;5.947 x        ;60.004 x    ;;;;
34.;23.08.;6;7;5;3;4;2;4;13.843.156,00;JP;;1.132.406,00   ;9 x           ;72 x         ;623 x         ;6.297 x        ;62.430 x    ;;;;
35.;30.08.;2;4;1;3;0;7;0;13.948.016,00;JP;;2.216.166,80   ;4 x           ;70 x         ;640 x         ;5.864 x        ;60.424 x    ;;;;
36.;06.09.;5;5;1;0;1;6;4;19.970.124,00;JP;;3.767.845,40   ;10 x           ;86 x         ;870 x         ;9.203 x        ;90.876 x    ;;;;
37.;13.09.;0;3;8;0;4;2;0;16.276.500,00;1 x;4.955.555,40   ;76.974,10   ;9 x           ;73 x         ;645 x         ;7.093 x        ;70.396 x    ;;;;
38.;20.09.;2;9;9;5;4;3;1;16.077.822,00;JP;;1.326.220,90   ;11 x           ;72 x         ;734 x         ;7.413 x        ;72.703 x    ;;;;
39.;27.09.;9;8;1;5;5;5;7;16.150.962,00;1 x;2.555.555,40   ;25.595,20   ;9 x           ;59 x         ;730 x         ;7.276 x        ;74.105 x    ;;;;
40.;04.10.;1;3;7;9;7;8;3;16.430.516,00;1 x;1.155.555,40   ;146.690,90   ;12 x           ;78 x         ;779 x         ;7.512 x        ;74.721 x    ;;;;
41.;11.10.;9;2;0;8;9;1;1;15.878.798,00;1 x;1.355.555,40   ;24.918,10   ;7 x           ;70 x         ;690 x         ;7.341 x        ;71.807 x    ;;;;
42.;18.10.;9;3;2;1;0;9;3;16.301.356,00;1 x;1.155.555,40   ;135.978,10   ;9 x           ;55 x         ;753 x         ;7.150 x        ;73.492 x    ;;;;
43.;25.10.;4;4;3;0;6;5;0;15.870.594,00;1 x;1.355.555,40   ;13.567,90   ;10 x           ;72 x         ;726 x         ;7.097 x        ;69.708 x    ;;;;
44.;01.11.;8;0;0;4;9;8;7;16.051.296,00;JP;;1.260.753,60   ;12 x           ;70 x         ;749 x         ;7.341 x        ;73.656 x    ;;;;
45.;08.11.;7;9;3;8;7;0;7;15.907.150,00;JP;;2.496.739,20   ;8 x           ;72 x         ;728 x         ;7.228 x        ;70.408 x    ;;;;
46.;15.11.;3;9;6;0;0;3;1;16.013.568,00;2 x;1.755.555,40   ;229.882,60   ;8 x           ;68 x         ;719 x         ;7.145 x        ;72.394 x    ;;;;
47.;22.11.;3;6;9;9;8;5;0;20.017.940,00;1 x;1.755.555,40   ;29.721,10   ;8 x           ;90 x         ;879 x         ;8.876 x        ;88.695 x    ;;;;
48.;29.11.;1;2;3;8;8;6;9;17.600.578,00;JP;;1.397.286,00   ;8 x           ;87 x         ;863 x         ;7.981 x        ;79.445 x    ;;;;
49.;06.12.;3;6;5;3;4;5;7;23.717.184,00;1 x;3.155.555,40   ;84.555,80   ;12 x           ;89 x         ;1.070 x         ;10.746 x        ;107.902 x    ;;;;
50.;13.12.;1;5;4;8;6;7;6;18.228.048,00;1 x;1.355.555,40   ;145.319,70   ;3 x           ;98 x         ;882 x         ;8.329 x        ;83.417 x    ;;;;
51.;20.12.;1;4;6;5;5;8;9;19.403.824,00;1 x;1.555.555,40   ;97.441,40   ;9 x           ;96 x         ;901 x         ;8.982 x        ;88.891 x    ;;;;
52.;27.12.;8;6;9;6;0;7;6;13.225.340,00;1 x;955.555,40   ;169.494,90   ;4 x           ;58 x         ;605 x         ;5.954 x        ;59.703 x    ;;;;
;;;;;;;Gewinne Gesamt;;;32 x;;;396 x;3.667 x;35.562 x;356.072 x;3.544.311 x;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
