Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1990;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
VA;1990;Gewinnzahl;;;;;;End-;Spieleinsatz;Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;;;;;
;;;;;;;;ziffer;DM;ab 2 x 177.777,70 DM;;DM;2 x 77.777,70 DM;2 x 7.777,70 DM;2 x 777,70 DM;2 x 77,70 DM;2 x 7,70 DM;;;;;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;;;
44.;03.11.;4;9;9;7;0;5;9;24.602.372,50;1 x;1.677.777,00   ;71.764,40   ;7 x           ;86 x         ;902 x         ;8.478 x        ;86.391 x    ;862.733 x        ;;;;;;;
45.;10.11.;8;3;7;2;9;1;9;25.483.290,00;1 x;1.877.777,00   ;5.849,30   ;12 x           ;87 x         ;868 x         ;8.909 x        ;88.791 x    ;886.689 x        ;;;;;;;
46.;17.11.;6;8;2;3;6;6;7;25.009.832,50;1 x;1.777.777,00   ;6.271,40   ;12 x           ;105 x         ;867 x         ;9.047 x        ;91.816 x    ;918.798 x        ;;;;;;;
47.;24.11.;2;2;7;4;9;6;1;24.362.962,50;1 x;1.677.777,00   ;60.701,00   ;8 x           ;98 x         ;859 x         ;8.727 x        ;85.621 x    ;864.844 x        ;;;;;;;
48.;01.12.;8;9;9;3;1;1;4;32.251.852,50;1 x;2.277.777,00   ;76.030,70   ;19 x           ;113 x         ;1.157 x         ;11.321 x        ;117.181 x    ;1.169.407 x        ;;;;;;;
49.;08.12.;8;3;1;9;9;1;2;26.844.952,50;1 x;1.977.777,00   ;6.929,80   ;12 x           ;104 x         ;985 x         ;9.835 x        ;97.833 x    ;970.389 x        ;;;;;;;
50.;15.12.;5;6;0;6;8;7;9;27.115.812,50;JP;;1.934.864,10   ;6 x           ;97 x         ;1.012 x         ;9.852 x        ;98.791 x    ;984.244 x        ;;;;;;;
51.;22.12.;4;8;6;7;8;5;9;29.287.327,50;2 x;1.977.777,00   ;61.639,10   ;14 x           ;111 x         ;1.022 x         ;10.344 x        ;104.581 x    ;1.043.418 x        ;;;;;;;
52.;29.12.;6;5;9;2;4;6;6;26.840.335,00;JP;;1.969.986,90   ;11 x           ;93 x         ;997 x         ;9.795 x        ;97.531 x    ;978.152 x        ;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;Gewinne Gesamt;;;33 x;37.622.219   ;;244 x;2.441 x;24.002 x;237.871 x;2.366.389 x;;;;;;;;
;;;;;;;Gewinne Gesamt;;;17 x;25.711.101   ;;183 x;1.704 x;16.725 x;168.457 x;1.680.600 x;15.697.306 x;;;;;;;
