Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1993;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
VA;1993;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
26.;03.07.;1;8;0;0;6;6;0;22.500.412,50;JP;;1.881.772,60   ;1 x           ;76 x         ;727 x         ;7.478 x        ;76.731 x    ;767.060 x    ;;;;
27.;10.07.;9;0;8;0;7;1;8;21.746.205,00;JP;;3.427.927,80   ;9 x           ;85 x         ;786 x         ;7.815 x        ;77.841 x    ;780.883 x    ;;;;
28.;17.07.;4;5;8;5;6;3;9;21.856.155,00;JP;;4.981.900,40   ;4 x           ;100 x         ;775 x         ;8.171 x        ;80.452 x    ;802.494 x    ;;;;
29.;24.07.;0;7;2;1;2;6;9;22.025.007,50;1 x;6.477.777,00   ;70.101,40   ;7 x           ;71 x         ;829 x         ;7.842 x        ;78.517 x    ;783.267 x    ;;;;
30.;31.07.;2;6;5;8;2;3;2;21.886.287,50;JP;;1.626.216,40   ;9 x           ;87 x         ;797 x         ;7.845 x        ;79.664 x    ;787.476 x    ;;;;
31.;07.08.;8;8;8;3;8;5;5;22.653.470,00;JP;;3.236.878,10   ;5 x           ;83 x         ;836 x         ;8.326 x        ;83.642 x    ;832.379 x    ;;;;
32.;14.08.;5;5;1;5;9;4;3;22.556.000,00;JP;;4.840.609,70   ;6 x           ;76 x         ;834 x         ;8.411 x        ;82.451 x    ;830.138 x    ;;;;
33.;21.08.;4;9;5;9;6;2;6;22.003.670,00;1 x;6.377.777,00   ;27.293,60   ;6 x           ;82 x         ;802 x         ;8.035 x        ;81.368 x    ;806.782 x    ;;;;
34.;28.08.;5;4;2;9;7;0;8;22.143.075,00;1 x;1.577.777,00   ;23.889,20   ;13 x           ;67 x         ;801 x         ;7.857 x        ;78.077 x    ;816.268 x    ;;;;
35.;04.09.;7;9;8;2;6;3;7;28.473.690,00;2 x;977.777,00   ;92.814,60   ;13 x           ;91 x         ;1.026 x         ;10.742 x        ;106.120 x    ;1.056.223 x    ;;;;
36.;11.09.;3;5;1;0;5;2;3;22.881.442,50;2 x;777.777,00   ;164.131,20   ;10 x           ;68 x         ;813 x         ;8.368 x        ;83.333 x    ;828.995 x    ;;;;
37.;18.09.;7;5;7;4;5;8;1;23.826.047,50;3 x;577.777,00   ;124.832,20   ;6 x           ;77 x         ;821 x         ;8.368 x        ;82.549 x    ;832.993 x    ;;;;
38.;25.09.;0;8;0;5;3;4;9;24.501.535,00;2 x;877.777,00   ;111.337,30   ;6 x           ;76 x         ;877 x         ;9.137 x        ;90.147 x    ;896.700 x    ;;;;
39.;02.10.;3;9;5;6;5;5;2;25.046.267,50;1 x;1.877.777,00   ;14.349,90   ;9 x           ;83 x         ;976 x         ;9.047 x        ;91.220 x    ;906.147 x    ;;;;
40.;09.10.;7;9;6;4;9;5;1;23.147.125,00;1 x;1.577.777,00   ;82.333,50   ;6 x           ;75 x         ;831 x         ;8.081 x        ;80.432 x    ;802.578 x    ;;;;
41.;16.10.;5;6;8;5;3;8;4;23.271.880,00;1 x;1.677.777,00   ;59.187,20   ;10 x           ;77 x         ;821 x         ;8.728 x        ;84.934 x    ;849.289 x    ;;;;
42.;23.10.;4;0;8;6;6;1;6;22.941.242,50;JP;;1.690.309,50   ;4 x           ;86 x         ;811 x         ;8.598 x        ;83.811 x    ;843.664 x    ;;;;
43.;30.10.;0;0;4;2;4;1;1;24.288.235,00;JP;;3.417.203,00   ;9 x           ;105 x         ;833 x         ;8.485 x        ;83.482 x    ;837.188 x    ;;;;
44.;06.11.;8;4;6;8;7;7;7;24.806.677,50;1 x;5.177.777,00   ;3.180,80   ;14 x           ;90 x         ;936 x         ;9.644 x        ;91.807 x    ;905.758 x    ;;;;
45.;13.11.;1;4;5;1;6;6;0;23.364.700,00;1 x;1.577.777,00   ;86.634,00   ;7 x           ;81 x         ;825 x         ;8.006 x        ;80.059 x    ;801.753 x    ;;;;
46.;20.11.;1;9;5;0;5;4;5;22.884.175,00;2 x;777.777,00   ;158.144,80   ;5 x           ;84 x         ;802 x         ;8.391 x        ;84.875 x    ;841.374 x    ;;;;
47.;27.11.;3;0;5;3;5;9;7;23.290.662,50;3 x;577.777,00   ;80.779,90   ;11 x           ;105 x         ;856 x         ;8.593 x        ;85.336 x    ;853.969 x    ;;;;
48.;04.12.;8;5;7;7;9;7;5;32.271.690,00;2 x;1.177.777,00   ;19.743,10   ;8 x           ;98 x         ;1.209 x         ;11.790 x        ;117.024 x    ;1.163.713 x    ;;;;
49.;11.12.;3;2;3;9;1;3;4;24.709.582,50;JP;;1.776.594,40   ;10 x           ;99 x         ;890 x         ;8.956 x        ;88.586 x    ;879.769 x    ;;;;
50.;18.12.;1;5;2;6;0;4;8;25.976.752,50;1 x;3.577.777,00   ;45.764,50   ;6 x           ;98 x         ;917 x         ;9.297 x        ;95.619 x    ;939.725 x    ;;;;
51.;25.12.;1;7;3;8;3;8;3;24.779.030,00;2 x;877.777,00   ;51.999,50   ;9 x           ;90 x         ;897 x         ;9.183 x        ;89.924 x    ;901.920 x    ;;;;
52.;01.01.;1;7;9;5;8;3;6;24.289.722,50;3 x;577.777,00   ;45.667,80   ;5 x           ;100 x         ;930 x         ;8.868 x        ;90.860 x    ;891.778 x    ;;;;
;;;;;;;Gewinne Gesamt;;;54   ;;;445 x           ;4.435 x         ;44.534 x         ;446.815 x        ;4.462.915;44.597.062;;;;
;;;;;;;;;;;;;;;;;;;;;;
