Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2001;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
;17.02.;SA;3;9;8;4;7;3;8;27.719.550,00   ;3  x   ;577.777,00   ;274.547,80   ;13  x   ;145  x   ;1.206  x   ;11.951  x   ;117.252  x   ;1.163.168  x   ;
8.;21.02.;MI;0;1;5;8;4;0;5;6.955.080,00   ;2  x   ;377.777,00   ;13.500,00   ;unbesetzt;15  x   ;260  x   ;2.401  x   ;24.443  x   ;280.208  x   ;
;24.02.;SA;4;2;5;8;7;1;8;27.152.212,50   ;JP;;1.944.022,30   ;14  x   ;107  x   ;1.082  x   ;11.361  x   ;112.556  x   ;1.147.469  x   ;
9.;28.02.;MI;8;7;3;0;4;5;9;7.144.275,00   ;JP;;2.451.980,30   ;3  x   ;26  x   ;243  x   ;2.605  x   ;25.766  x   ;261.418  x   ;
;03.03.;SA;0;8;4;3;2;4;3;28.464.702,50   ;JP;;4.475.820,60   ;12  x   ;119  x   ;1.142  x   ;11.043  x   ;109.028  x   ;1.081.285  x   ;
10.;07.03.;MI;8;3;1;6;6;1;1;8.847.010,00   ;1  x   ;5.077.777,00   ;27.066,00   ;5  x   ;23  x   ;306  x   ;2.824  x   ;30.315  x   ;282.301  x   ;
;10.03.;SA;7;5;8;9;2;9;3;31.773.507,50   ;1  x   ;2.277.777,00   ;8.385,40   ;15  x   ;114  x   ;1.190  x   ;11.777  x   ;116.209  x   ;1.207.413  x   ;
11.;14.03.;MI;7;6;0;7;6;0;8;7.247.322,50   ;1  x   ;477.777,00   ;45.893,00   ;3  x   ;22  x   ;250  x   ;2.557  x   ;25.701  x   ;299.249  x   ;
;17.03.;SA;7;2;7;5;1;8;4;27.682.722,50   ;1  x   ;1.977.777,00   ;36.357,60   ;10  x   ;92  x   ;923  x   ;9.430  x   ;92.481  x   ;921.185  x   ;
12.;21.03.;MI;1;5;0;4;4;3;3;7.192.867,50   ;JP;;547.770,50   ;1  x   ;22  x   ;260  x   ;2.669  x   ;27.667  x   ;268.770  x   ;
;24.03.;SA;4;0;0;9;5;6;5;27.833.980,00   ;1  x   ;2.477.777,00   ;48.989,50   ;10  x   ;107  x   ;1.089  x   ;10.876  x   ;108.071  x   ;1.055.611  x   ;
13.;28.03.;MI;7;5;7;1;1;8;3;7.932.955,00   ;JP;;613.022,60   ;3  x   ;28  x   ;270  x   ;2.865  x   ;28.409  x   ;298.944  x   ;
;31.03.;SA;9;2;3;9;1;5;0;29.167.247,50   ;JP;;2.686.813,90   ;13  x   ;100  x   ;832  x   ;8.931  x   ;87.139  x   ;858.118  x   ;
14.;04.04.;MI;1;4;3;4;5;1;2;10.127.420,00   ;JP;;3.406.873,50   ;2  x   ;29  x   ;343  x   ;3.551  x   ;34.242  x   ;336.039  x   ;
;07.04.;SA;8;1;8;7;7;0;6;35.600.067,50   ;3  x   ;1.977.777,00   ;4.707,30   ;19  x   ;107  x   ;1.183  x   ;12.087  x   ;118.914  x   ;1.341.020  x   ;
15.;11.04.;MI;1;5;0;2;4;1;1;7.802.627,50   ;JP;;559.474,10   ;3  x   ;14  x   ;262  x   ;2.734  x   ;26.983  x   ;245.873  x   ;
;14.04.;SA;1;2;5;5;0;7;7;27.806.737,50   ;2  x   ;1.177.777,00   ;180.979,10   ;13  x   ;104  x   ;1.114  x   ;11.846  x   ;124.324  x   ;1.072.755  x   ;
16.;18.04.;MI;4;8;4;8;3;1;6;6.866.782,50   ;1  x   ;577.777,00   ;91.430,30   ;4  x   ;25  x   ;251  x   ;2.536  x   ;24.809  x   ;254.596  x   ;
;21.04.;SA;5;0;8;0;2;2;3;27.013.570,00   ;JP;;2.012.095,10   ;15  x   ;104  x   ;978  x   ;10.127  x   ;105.597  x   ;1.038.389  x   ;
17.;25.04.;MI;7;9;7;9;5;6;0;6.993.915,00   ;JP;;2.509.362,50   ;2  x   ;25  x   ;207  x   ;1.986  x   ;20.642  x   ;207.237  x   ;
;28.04.;SA;7;5;6;5;5;2;9;27.234.002,50   ;JP;;4.445.700,10   ;12  x   ;98  x   ;1.004  x   ;10.395  x   ;102.837  x   ;1.027.694  x   ;
18.;02.05.;MI;9;1;5;0;4;5;5;6.749.380,00   ;JP;;4.925.581,00   ;5  x   ;30  x   ;319  x   ;2.987  x   ;29.497  x   ;271.269  x   ;
;05.05.;SA;0;9;6;5;0;2;8;27.556.837,50   ;1  x   ;6.877.777,00   ;7.095,10   ;12  x   ;116  x   ;1.109  x   ;11.289  x   ;118.724  x   ;1.167.091  x   ;
19.;09.05.;MI;7;5;3;8;0;6;0;7.074.470,00   ;JP;;510.089,90   ;2  x   ;18  x   ;219  x   ;2.161  x   ;21.286  x   ;212.541  x   ;
;12.05.;SA;8;5;2;6;3;2;5;27.077.002,50   ;JP;;2.435.264,80   ;4  x   ;95  x   ;1.007  x   ;10.868  x   ;105.728  x   ;1.041.749  x   ;
20.;16.05.;MI;1;5;7;6;6;6;3;7.234.260,00   ;JP;;2.949.620,70   ;2  x   ;21  x   ;243  x   ;2.690  x   ;27.066  x   ;272.561  x   ;
;19.05.;SA;7;3;9;2;8;5;9;27.652.222,50   ;JP;;4.915.693,70   ;22  x   ;116  x   ;1.079  x   ;10.642  x   ;106.368  x   ;1.031.374  x   ;
21.;23.05.;MI;9;1;6;6;8;3;4;6.948.292,50   ;JP;;5.409.717,30   ;1  x   ;24  x   ;226  x   ;2.355  x   ;23.488  x   ;233.567  x   ;
;26.05.;SA;8;5;7;5;3;0;2;25.635.187,50   ;1  x   ;7.177.777,00   ;54.602,10   ;7  x   ;70  x   ;750  x   ;7.325  x   ;73.362  x   ;842.581  x   ;
22.;30.05.;MI;6;7;5;1;4;4;0;6.838.062,50   ;1  x   ;477.777,00   ;63.011,30   ;2  x   ;16  x   ;205  x   ;2.044  x   ;20.854  x   ;210.702  x   ;
;02.06.;SA;9;7;3;4;2;7;9;27.372.402,50   ;JP;;2.009.189,10   ;13  x   ;108  x   ;1.064  x   ;9.994  x   ;101.940  x   ;1.026.934  x   ;
23.;06.06.;MI;3;2;9;4;1;4;3;7.338.120,00   ;JP;;2.530.929,40   ;3  x   ;32  x   ;256  x   ;2.847  x   ;27.621  x   ;277.335  x   ;
;09.06.;SA;5;3;6;8;0;5;5;28.786.230,00   ;JP;;4.577.630,40   ;7  x   ;101  x   ;1.102  x   ;11.377  x   ;117.355  x   ;1.113.510  x   ;
24.;13.06.;MI;4;4;6;5;7;8;2;9.332.725,00   ;JP;;5.241.187,10   ;3  x   ;24  x   ;313  x   ;3.095  x   ;30.624  x   ;308.254  x   ;
;16.06.;SA;5;9;5;8;9;9;8;32.165.980,00   ;1  x   ;7.477.777,00   ;50.411,30   ;9  x   ;132  x   ;1.220  x   ;12.816  x   ;129.711  x   ;1.336.675  x   ;
25.;20.06.;MI;0;7;6;7;4;9;6;15.045.162,50   ;JP;;1.120.122,40   ;6  x   ;59  x   ;528  x   ;5.402  x   ;54.167  x   ;551.928  x   ;
;23.06.;SA;5;7;0;6;2;3;8;42.396.872,50   ;5  x   ;777.777,00   ;245.655,00   ;22  x   ;179  x   ;1.799  x   ;17.371  x   ;172.969  x   ;1.701.836  x   ;
26.;27.06.;MI;7;7;1;6;7;6;1;8.197.442,50   ;2  x   ;377.777,00   ;72.939,20   ;2  x   ;20  x   ;252  x   ;2.617  x   ;25.987  x   ;260.865  x   ;
;30.06.;SA;9;2;9;2;5;0;3;27.833.585,00   ;1  x   ;1.977.777,00   ;74.130,00   ;8  x   ;107  x   ;932  x   ;9.194  x   ;91.705  x   ;1.080.323  x   ;
;;;;;;;;Gewinne Gesamt;;;45   ;;;385   ;3.566   ;35.364   ;355.500   ;3.565.970   ;35.585.674   ;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2001;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
KW;2001;Ziehung;;;;;;;ziffer;;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;
;;;;;;;;;;DM;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;
27.;04.07.;MI;8;7;5;5;3;6;7;7.422.650,00   ;JP;;601.880,50   ; unbesetzt;27  x   ;272  x   ;2.826  x   ;28.178  x   ;294.165  x   ;
;07.07.;SA;7;6;3;5;9;1;3;26.908.692,50   ;JP;;2.515.088,50   ;7  x   ;122  x   ;1.170  x   ;11.899  x   ;118.648  x   ;1.012.548  x   ;
28.;11.07.;MI;1;4;4;3;5;3;1;7.527.965,00   ;JP;;3.050.326,80   ;3  x   ;21  x   ;233  x   ;2.421  x   ;24.103  x   ;237.405  x   ;
;14.07.;SA;1;1;6;6;8;9;2;27.328.475,00   ;JP;;4.993.381,40   ;6  x   ;93  x   ;885  x   ;8.950  x   ;88.165  x   ;887.203  x   ;
29.;18.07.;MI;0;8;4;5;8;6;1;7.368.000,00   ;JP;;5.517.246,20   ;2  x   ;16  x   ;241  x   ;2.323  x   ;23.429  x   ;234.031  x   ;
;21.07.;SA;9;7;9;5;9;3;4;26.932.402,50   ;JP;;7.432.140,00   ;8  x   ;88  x   ;942  x   ;9.089  x   ;90.242  x   ;899.769  x   ;
30.;25.07.;MI;5;3;1;0;8;3;6;7.067.592,50   ;JP;;7.934.645,80   ;3  x   ;22  x   ;281  x   ;2.710  x   ;26.494  x   ;258.550  x   ;
;28.07.;SA;9;2;9;7;7;6;2;25.956.267,50   ;JP;;9.780.136,40   ;5  x   ;86  x   ;810  x   ;8.546  x   ;85.368  x   ;846.896  x   ;
31.;01.08.;MI;3;5;7;0;3;5;0;7.333.217,50   ;1  x   ;10.277.777,00   ;23.751,20   ;3  x   ;22  x   ;215  x   ;2.224  x   ;22.919  x   ;224.006  x   ;
;04.08.;SA;0;9;5;8;0;2;3;26.634.107,50   ;JP;;1.917.436,20   ;11  x   ;106  x   ;996  x   ;10.170  x   ;106.348  x   ;1.035.275  x   ;
32.;08.08.;MI;5;3;5;2;7;8;7;7.108.007,50   ;JP;;2.422.815,50   ;unbesetzt;22  x   ;283  x   ;2.645  x   ;26.476  x   ;280.739  x   ;
;11.08.;SA;3;7;8;6;1;1;5;26.307.992,50   ;4  x   ;977.777,00   ;382.205,80   ;9  x   ;109  x   ;968  x   ;9.678  x   ;99.908  x   ;1.027.036  x   ;
33.;15.08.;MI;1;8;8;0;5;4;9;7.061.637,50   ;JP;;884.288,20   ;3  x   ;33  x   ;286  x   ;2.637  x   ;26.645  x   ;251.442  x   ;
;18.08.;SA;3;1;2;7;6;4;4;26.575.322,50   ;JP;;2.773.793,60   ;8  x   ;96  x   ;936  x   ;9.191  x   ;91.895  x   ;879.020  x   ;
34.;22.08.;MI;8;4;4;6;5;4;5;7.863.922,50   ;JP;;3.332.918,50   ;3  x   ;31  x   ;309  x   ;3.337  x   ;31.655  x   ;312.997  x   ;
;25.08.;SA;1;4;3;6;7;1;3;27.720.060,00   ;2  x   ;2.577.777,00   ;148.260,80   ;14  x   ;114  x   ;1.264  x   ;12.858  x   ;126.108  x   ;1.071.267  x   ;
35.;29.08.;MI;6;1;5;5;1;5;3;9.959.030,00   ;JP;;856.347,80   ;5  x   ;38  x   ;389  x   ;3.876  x   ;38.434  x   ;380.344  x   ;
;01.09.;SA;2;8;6;4;7;4;4;27.166.917,50   ;3  x   ;877.777,00   ;154.584,60   ;11  x   ;91  x   ;952  x   ;9.526  x   ;95.104  x   ;905.929  x   ;
36.;05.09.;MI;2;0;5;4;3;3;9;7.666.785,00   ;JP;;699.693,00   ;2  x   ;39  x   ;284  x   ;2.686  x   ;27.464  x   ;273.261  x   ;
;08.09.;SA;3;8;1;6;1;4;3;29.138.027,50   ;2  x   ;1.377.777,00   ;15.852,80   ;18  x   ;111  x   ;1.286  x   ;11.658  x   ;115.846  x   ;1.152.124  x   ;
37.;12.09.;MI;1;3;7;6;8;1;5;8.789.092,50   ;2  x   ;377.777,00   ;0,00   ;5  x   ;38  x   ;354  x   ;3.345  x   ;33.682  x   ;350.573  x   ;
;15.09.;SA;3;3;6;4;9;9;1;28.307.475,00   ;1  x   ;1.977.777,00   ;34.884,50   ;12  x   ;90  x   ;865  x   ;8.166  x   ;83.168  x   ;857.645  x   ;
38.;19.09.;MI;4;1;7;7;6;3;8;9.960.595,00   ;1  x   ;677.777,00   ;65.305,80   ;4  x   ;38  x   ;437  x   ;4.089  x   ;40.061  x   ;389.270  x   ;
;22.09.;SA;0;3;4;2;4;3;4;26.993.015,00   ;JP;;1.984.509,20   ;7  x   ;98  x   ;905  x   ;9.242  x   ;92.073  x   ;910.385  x   ;
39.;26.09.;MI;7;8;8;8;8;0;6;7.552.087,50   ;1  x   ;2.477.777,00   ;43.685,60   ;1  x   ;30  x   ;247  x   ;2.473  x   ;24.089  x   ;280.502  x   ;
;29.09.;SA;0;4;8;9;7;6;7;26.757.322,50   ;1  x   ;1.877.777,00   ;68.354,20   ;18  x   ;106  x   ;1.057  x   ;10.329  x   ;101.537  x   ;1.032.060  x   ;
40.;03.10.;MI;0;3;2;5;1;1;7;8.093.165,00   ;1  x   ;577.777,00   ;66.001,20   ;3  x   ;33  x   ;308  x   ;3.025  x   ;31.931  x   ;313.905  x   ;
;06.10.;SA;0;3;2;5;8;4;5;29.172.580,00   ;2  x   ;977.777,00   ;184.617,60   ;17  x   ;118  x   ;1.166  x   ;11.913  x   ;117.254  x   ;1.144.770  x   ;
41.;10.10.;MI;4;4;7;2;7;7;3;7.796.895,00   ;JP;;738.976,80   ;2  x   ;28  x   ;299  x   ;2.827  x   ;29.183  x   ;302.470  x   ;
;13.10.;SA;8;8;5;9;4;6;2;26.813.052,50   ;1  x   ;2.577.777,00   ;67.607,80   ;12  x   ;84  x   ;923  x   ;9.125  x   ;88.527  x   ;873.517  x   ;
42.;17.10.;MI;4;8;2;3;6;5;8;7.541.255,00   ;JP;;603.791,00   ;unbesetzt;37  x   ;280  x   ;3.097  x   ;30.926  x   ;304.376  x   ;
;20.10.;SA;5;6;3;5;2;9;5;26.569.987,50   ;JP;;2.492.917,10   ;8  x   ;98  x   ;1.032  x   ;10.271  x   ;102.392  x   ;1.060.010  x   ;
43.;24.10.;MI;6;0;3;1;3;8;6;7.448.292,50   ;1  x   ;2.977.777,00   ;44.713,70   ;3  x   ;23  x   ;277  x   ;2.722  x   ;26.734  x   ;271.904  x   ;
;27.10.;SA;4;3;5;3;6;7;9;26.468.352,50   ;JP;;1.926.613,60   ;12  x   ;88  x   ;957  x   ;9.699  x   ;97.643  x   ;978.466  x   ;
44.;31.10.;MI;6;0;7;2;8;7;7;7.953.510,00   ;2  x   ;1.177.777,00   ;136.554,20   ;4  x   ;32  x   ;341  x   ;3.546  x   ;37.625  x   ;310.575  x   ;
;03.11.;SA;4;8;6;2;1;6;6;27.614.360,00   ;1  x   ;2.077.777,00   ;22.158,20   ;9  x   ;99  x   ;1.066  x   ;10.502  x   ;105.571  x   ;1.018.364  x   ;
45.;07.11.;MI;4;5;8;3;9;1;1;7.629.775,00   ;1  x   ;477.777,00   ;86.858,20   ;4  x   ;24  x   ;272  x   ;2.704  x   ;26.293  x   ;236.016  x   ;
;10.11.;SA;0;1;5;9;5;5;0;26.986.337,50   ;JP;;2.005.586,80   ;12  x   ;85  x   ;780  x   ;7.976  x   ;79.771  x   ;769.197  x   ;
46.;14.11.;MI;2;0;9;7;3;8;6;7.961.657,50   ;1  x   ;2.477.777,00   ;93.883,60   ;3  x   ;26  x   ;295  x   ;2.947  x   ;28.719  x   ;293.261  x   ;
;17.11.;SA;3;9;2;0;5;3;4;27.227.862,50   ;1  x   ;1.977.777,00   ;52.007,60   ;12  x   ;82  x   ;929  x   ;9.567  x   ;93.918  x   ;923.500  x   ;
47.;21.11.;MI;4;4;1;4;3;7;3;7.595.467,50   ;JP;;592.045,30   ;2  x   ;25  x   ;291  x   ;2.879  x   ;29.119  x   ;295.519  x   ;
;24.11.;SA;8;7;4;1;5;4;2;26.239.197,50   ;JP;;2.457.652,20   ;3  x   ;86  x   ;901  x   ;8.716  x   ;87.392  x   ;851.983  x   ;
48.;28.11.;MI;3;1;5;8;9;6;4;7.462.680,00   ;JP;;2.988.248,70   ;1  x   ;32  x   ;230  x   ;2.635  x   ;25.513  x   ;251.145  x   ;
;01.12.;SA;1;3;2;0;3;8;0;26.803.987,50   ;2  x   ;2.377.777,00   ;138.458,20   ;12  x   ;89  x   ;786  x   ;7.732  x   ;76.102  x   ;772.506  x   ;
49.;05.12.;MI;7;1;1;6;6;5;5;8.721.810,00   ;1  x   ;677.777,00   ;80.801,90   ;6  x   ;29  x   ;402  x   ;3.752  x   ;38.643  x   ;348.613  x   ;
;08.12.;SA;8;6;1;3;9;3;9;29.178.705,00   ;JP;;2.155.407,80   ;14  x   ;140  x   ;1.143  x   ;11.247  x   ;110.804  x   ;1.300.684  x   ;
50.;12.12.;MI;0;9;8;8;7;7;6;8.095.750,00   ;JP;;2.731.015,60   ;3  x   ;24  x   ;272  x   ;2.890  x   ;29.711  x   ;302.289  x   ;
;15.12.;SA;3;5;9;6;1;7;6;27.808.195,00   ;1  x   ;4.677.777,00   ;30.401,30   ;9  x   ;122  x   ;1.041  x   ;10.212  x   ;103.075  x   ;1.031.199  x   ;
51.;19.12.;MI;0;4;4;1;8;2;8;8.092.397,50   ;JP;;605.770,80   ;3  x   ;34  x   ;351  x   ;3.327  x   ;32.685  x   ;322.855  x   ;
;22.12.;SA;7;3;1;3;1;3;4;29.038.387,50   ;3  x   ;877.777,00   ;37.069,20   ;12  x   ;94  x   ;998  x   ;10.256  x   ;101.348  x   ;988.883  x   ;
52.;26.12.;MI;7;9;3;3;3;5;4;7.307.847,50   ;JP;;556.657,20   ;4  x   ;21  x   ;236  x   ;2.563  x   ;25.511  x   ;245.214  x   ;
;29.12.;SA;7;9;4;5;6;0;3;28.695.930,00   ;JP;;2.596.937,80   ;9  x   ;106  x   ;977  x   ;9.593  x   ;97.609  x   ;1.149.136  x   ;
;;;;;;;;Gewinne Gesamt;;;36   ;;;347   ;3.346   ;33.420   ;332.617   ;3.322.038   ;32.944.799   ;
;;;;;;;;;;;;;;;;;;;;
