Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1997;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VA;1997;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;;;;;;;;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;;;;;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;;;;;;
31.;02.08.;4;0;5;6;3;1;7;25.594.677,50;4 x;377.777,00   ;348.612,60   ;8 x           ;111 x         ;1.012 x         ;10.008 x        ;98.734 x    ;993.445 x    ;;1.018.485;;1.511.108;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
32.;09.08.;3;2;5;4;9;7;1;23.941.212,50;JP;;2.050.832,80   ;9 x           ;85 x         ;801 x         ;7.780 x        ;79.541 x    ;794.051 x    ;;1.103.322;;0;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
33.;16.08.;8;3;7;1;4;7;9;23.618.260,00;2 x;1.777.777,00   ;174.537,10   ;6 x           ;104 x         ;860 x         ;8.473 x        ;84.980 x    ;861.387 x    ;;882.267;;3.555.554;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
34.;23.08.;0;7;4;1;9;5;6;23.745.270,00;1 x;1.777.777,00   ;85.048,80   ;8 x           ;104 x         ;879 x         ;9.153 x        ;90.987 x    ;893.063 x    ;;955.812;;1.777.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
35.;30.08.;2;9;1;8;9;2;3;24.534.757,50;4 x;377.777,00   ;318.362,10   ;8 x           ;100 x         ;896 x         ;8.956 x        ;89.224 x    ;882.311 x    ;;994.195;;1.511.108;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
36.;06.09.;5;8;9;9;3;6;0;29.524.920,00;JP;;2.417.583,90   ;17 x           ;83 x         ;930 x         ;9.573 x        ;95.278 x    ;954.983 x    ;;981.499;;0;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
37.;13.09.;5;8;9;4;5;5;9;25.319.312,50;2 x;2.077.777,00   ;62.233,00   ;9 x           ;78 x         ;935 x         ;8.920 x        ;92.446 x    ;919.857 x    ;;1.060.864;;4.155.554;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
38.;20.09.;1;1;3;2;5;5;1;24.848.287,50;1 x;1.777.777,00   ;51.169,20   ;13 x           ;88 x         ;846 x         ;8.267 x        ;82.400 x    ;826.134 x    ;;1.022.247;;1.777.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
39.;27.09.;8;6;5;4;8;4;9;24.746.280,00;1 x;1.777.777,00   ;32.852,70   ;12 x           ;95 x         ;936 x         ;9.036 x        ;91.872 x    ;896.002 x    ;;917.749;;1.777.777;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
40.;04.10.;7;2;5;0;8;0;0;24.301.715,00;2 x;877.777,00   ;5.150,60   ;7 x           ;93 x         ;703 x         ;7.682 x        ;77.310 x    ;780.823 x    ;;997.954;;1.755.554;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
41.;11.10.;1;0;4;8;6;5;6;25.992.927,50;3 x;577.777,00   ;119.916,70   ;12 x           ;110 x         ;983 x         ;10.152 x        ;99.981 x    ;975.108 x    ;;866.620;;1.733.331;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!;#VALUE!
