Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2012;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
;14.04.;SA;2;2;6;7;8;6;8;15.256.017,50   ;1  x   ;1.577.777,00   ;30.507,40   ;9  x   ;49  x   ;590  x   ;6.438  x   ;63.317  x   ;600.253  x   ;
16.;18.04.;MI;3;9;0;9;3;3;3;6.591.047,50   ;1  x   ;477.777,00   ;21.353,90   ;5  x   ;42  x   ;296  x   ;3.446  x   ;25.194  x   ;249.295  x   ;
;21.04.;SA;8;8;5;4;8;6;9;15.751.167,50   ;1  x   ;1.077.777,00   ;63.484,90   ;7  x   ;50  x   ;583  x   ;5.665  x   ;56.616  x   ;526.902  x   ;
17.;25.04.;MI;3;5;6;6;8;5;8;7.221.000,00   ;JP;;576.898,00   ;5  x   ;22  x   ;276  x   ;2.927  x   ;28.450  x   ;279.634  x   ;
;28.04.;SA;0;5;9;3;0;2;7;16.290.830,00   ;JP;;1.735.176,00   ;7  x   ;64  x   ;635  x   ;6.531  x   ;71.050  x   ;688.826  x   ;
18.;02.05.;MI;8;5;2;6;7;8;3;6.097.672,50   ;JP;;2.168.720,50   ;7  x   ;33  x   ;234  x   ;2.325  x   ;21.887  x   ;232.983  x   ;
;05.05.;SA;2;3;0;1;5;8;6;14.960.715,00   ;JP;;3.232.427,30   ;9  x   ;59  x   ;556  x   ;5.812  x   ;55.489  x   ;576.150  x   ;
19.;09.05.;MI;0;5;3;7;4;3;3;6.142.317,50   ;1  x   ;3.577.777,00   ;91.369,10   ;5  x   ;22  x   ;210  x   ;2.335  x   ;24.664  x   ;233.215  x   ;
;12.05.;SA;7;3;0;3;3;8;8;14.770.927,50   ;JP;;1.141.582,00   ;1  x   ;68  x   ;620  x   ;5.896  x   ;64.107  x   ;586.358  x   ;
20.;16.05.;MI;6;1;9;0;3;1;1;6.341.627,50   ;JP;;1.592.471,70   ;5  x   ;21  x   ;166  x   ;1.981  x   ;21.362  x   ;191.980  x   ;
;19.05.;SA;1;0;7;0;6;4;5;14.567.447,50   ;2  x   ;1.277.777,00   ;72.663,20   ;2  x   ;66  x   ;653  x   ;6.662  x   ;66.236  x   ;633.856  x   ;
21.;23.05.;MI;6;2;4;7;0;0;7;6.327.862,50   ;1  x   ;477.777,00   ;44.797,20   ;3  x   ;22  x   ;285  x   ;2.549  x   ;23.254  x   ;273.940  x   ;
;26.05.;SA;5;8;6;8;1;2;8;15.320.055,00   ;JP;;1.134.053,10   ;5  x   ;48  x   ;612  x   ;6.179  x   ;61.535  x   ;614.357  x   ;
22.;30.05.;MI;7;0;4;5;9;8;0;5.818.017,50   ;JP;;1.547.714,10   ;2  x   ;25  x   ;184  x   ;1.559  x   ;16.020  x   ;163.477  x   ;
;02.06.;SA;3;6;3;0;9;0;9;14.630.520,00   ;JP;;2.587.944,10   ;3  x   ;49  x   ;433  x   ;4.579  x   ;43.324  x   ;501.256  x   ;
23.;06.06.;MI;6;5;2;7;3;3;0;6.047.972,50   ;1  x   ;2.977.777,00   ;40.177,90   ;2  x   ;17  x   ;165  x   ;1.628  x   ;16.592  x   ;169.927  x   ;
;09.06.;SA;0;2;1;7;5;1;4;14.286.692,50   ;1  x   ;977.777,00   ;78.184,70   ;5  x   ;54  x   ;425  x   ;4.686  x   ;46.829  x   ;473.416  x   ;
24.;13.06.;MI;6;4;9;3;5;6;7;6.070.767,50   ;JP;;509.816,30   ;5  x   ;21  x   ;295  x   ;2.635  x   ;25.461  x   ;262.878  x   ;
;16.06.;SA;7;8;0;0;4;4;3;14.579.242,50   ;1  x   ;1.477.777,00   ;68.623,40   ;3  x   ;55  x   ;537  x   ;5.176  x   ;52.941  x   ;532.825  x   ;
25.;20.06.;MI;9;8;0;6;1;6;2;5.771.672,50   ;JP;;478.989,30   ;2  x   ;11  x   ;186  x   ;1.793  x   ;18.174  x   ;183.867  x   ;
;23.06.;SA;7;6;6;3;1;7;9;14.187.100,00   ;JP;;1.487.692,10   ;7  x   ;46  x   ;485  x   ;4.891  x   ;48.896  x   ;480.484  x   ;
26.;27.06.;MI;6;1;9;3;5;8;9;5.770.412,50   ;JP;;1.897.968,40   ;1  x   ;19  x   ;171  x   ;1.806  x   ;18.153  x   ;186.304  x   ;
;30.06.;SA;6;2;1;6;6;8;7;14.298.870,00   ;2  x   ;1.377.777,00   ;159.064,10   ;2  x   ;51  x   ;636  x   ;6.377  x   ;59.331  x   ;628.405  x   ;1931
;;;;;;;;Gewinne Gesamt;;;27   ;;;218   ;2.134   ;21.790   ;220.455   ;2.164.866   ;21.805.577   ;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2012;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
KW;2012;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;
27.;04.07.;MI;4;7;7;9;1;1;1;6.032.857,50   ;JP;;588.000,30   ;4  x   ;23  x   ;244  x   ;2.677  x   ;19.079  x   ;181.329  x   ;
;07.07.;SA;3;9;0;1;6;8;0;14.556.960,00   ;JP;;1.623.000,20   ;6  x   ;27  x   ;392  x   ;3.820  x   ;39.817  x   ;396.588  x   ;
28.;11.07.;MI;1;0;0;7;3;4;4;6.239.372,50   ;JP;;2.066.619,60   ;1  x   ;29  x   ;196  x   ;2.267  x   ;22.547  x   ;205.520  x   ;
;14.07.;SA;9;2;3;7;1;7;5;15.197.410,00   ;JP;;3.147.155,50   ;3  x   ;56  x   ;653  x   ;6.857  x   ;68.106  x   ;653.330  x   ;
29.;18.07.;MI;8;3;7;2;7;7;3;6.672.375,00   ;1  x   ;3.577.777,00   ;43.784,40   ;unbesetzt;23  x   ;261  x   ;2.444  x   ;26.320  x   ;256.377  x   ;
;21.07.;SA;8;8;8;1;4;1;4;15.407.397,50   ;2  x   ;477.777,00   ;183.696,40   ;3  x   ;70  x   ;553  x   ;5.056  x   ;50.910  x   ;513.426  x   ;
30.;25.07.;MI;8;7;1;3;6;4;7;5.836.212,50   ;JP;;598.651,10   ;2  x   ;21  x   ;278  x   ;2.687  x   ;26.318  x   ;254.263  x   ;
;28.07.;SA;5;4;6;8;9;8;3;14.098.827,50   ;JP;;1.601.077,70   ;7  x   ;46  x   ;531  x   ;5.151  x   ;49.032  x   ;520.575  x   ;
31.;01.08.;MI;9;7;8;6;5;3;1;5.851.357,50   ;JP;;2.017.109,20   ;2  x   ;20  x   ;162  x   ;1.863  x   ;18.554  x   ;177.777  x   ;
;04.08.;SA;3;5;0;4;6;2;7;14.352.605,00   ;JP;;3.037.579,40   ;4  x   ;68  x   ;632  x   ;6.496  x   ;64.295  x   ;624.861  x   ;
32.;08.08.;MI;9;0;3;3;9;1;6;6.075.097,50   ;JP;;3.469.518,80   ;1  x   ;21  x   ;235  x   ;2.136  x   ;21.637  x   ;236.249  x   ;
;11.08.;SA;2;1;8;5;9;9;6;14.380.035,00   ;JP;;4.491.939,30   ;4  x   ;46  x   ;552  x   ;5.136  x   ;53.979  x   ;550.363  x   ;
33.;15.08.;MI;2;0;2;6;8;1;8;6.022.590,00   ;JP;;4.920.145,40   ;unbesetzt;19  x   ;231  x   ;2.346  x   ;22.443  x   ;235.422  x   ;
;18.08.;SA;6;5;6;7;3;3;2;14.525.687,50   ;3  x   ;1.977.777,00   ;19.590,80   ;6  x   ;46  x   ;451  x   ;4.397  x   ;47.400  x   ;469.339  x   ;
34.;22.08.;MI;9;7;6;4;6;3;8;6.094.067,50   ;JP;;452.879,00   ;4  x   ;18  x   ;260  x   ;2.454  x   ;23.553  x   ;236.870  x   ;
;25.08.;SA;4;4;9;6;3;3;6;14.607.782,50   ;1  x   ;1.477.777,00   ;13.715,30   ;8  x   ;56  x   ;556  x   ;5.616  x   ;58.399  x   ;557.041  x   ;
35.;29.08.;MI;0;2;5;5;6;1;4;6.441.440,00   ;JP;;471.701,70   ;2  x   ;26  x   ;180  x   ;2.279  x   ;21.652  x   ;215.028  x   ;
;01.09.;SA;4;7;7;7;8;0;5;15.712.950,00   ;1  x   ;1.577.777,00   ;11.115,40   ;5  x   ;57  x   ;567  x   ;5.788  x   ;56.404  x   ;684.728  x   ;
36.;05.09.;MI;8;5;2;5;6;1;7;6.054.945,00   ;1  x   ;377.777,00   ;63.845,00   ;1  x   ;16  x   ;242  x   ;2.539  x   ;25.715  x   ;263.775  x   ;
;08.09.;SA;7;0;6;1;9;1;6;14.473.382,50   ;JP;;1.092.902,50   ;4  x   ;51  x   ;528  x   ;5.158  x   ;52.218  x   ;563.540  x   ;
37.;12.09.;MI;4;0;5;8;3;4;3;5.853.245,00   ;1  x   ;1.477.777,00   ;31.291,20   ;1  x   ;25  x   ;228  x   ;2.295  x   ;22.608  x   ;229.349  x   ;
;15.09.;SA;1;1;6;9;1;0;4;14.362.390,00   ;JP;;1.052.457,10   ;5  x   ;32  x   ;421  x   ;4.360  x   ;41.820  x   ;483.914  x   ;
38.;19.09.;MI;2;1;8;6;5;1;3;6.034.302,50   ;JP;;1.481.496,00   ;4  x   ;27  x   ;287  x   ;2.706  x   ;27.901  x   ;233.027  x   ;
;22.09.;SA;7;2;6;9;5;3;4;14.541.397,50   ;1  x   ;2.477.777,00   ;37.612,40   ;3  x   ;49  x   ;493  x   ;4.901  x   ;49.631  x   ;484.936  x   ;
39.;26.09.;MI;3;0;2;0;5;3;5;6.303.210,00   ;JP;;485.770,60   ;5  x   ;25  x   ;253  x   ;2.867  x   ;26.182  x   ;265.298  x   ;
;29.09.;SA;7;3;7;1;5;8;7;15.579.905,00   ;JP;;1.593.501,80   ;5  x   ;74  x   ;686  x   ;6.541  x   ;64.708  x   ;675.448  x   ;
40.;03.10.;MI;2;4;5;4;9;7;5;6.774.602,50   ;1  x   ;1.977.777,00   ;97.399,00   ;5  x   ;31  x   ;291  x   ;3.008  x   ;30.065  x   ;282.063  x   ;
;06.10.;SA;9;6;4;5;8;9;3;14.559.630,00   ;JP;;1.132.588,70   ;8  x   ;57  x   ;496  x   ;5.056  x   ;50.517  x   ;545.012  x   ;
41.;10.10.;MI;7;6;2;9;3;0;3;6.095.172,50   ;JP;;1.565.955,50   ;unbesetzt;21  x   ;204  x   ;2.064  x   ;20.323  x   ;246.049  x   ;
;13.10.;SA;1;4;5;0;2;2;1;14.679.045,00   ;JP;;2.609.635,60   ;4  x   ;48  x   ;441  x   ;4.341  x   ;45.603  x   ;442.951  x   ;
42.;17.10.;MI;7;2;1;4;7;3;3;5.882.275,00   ;JP;;3.027.865,40   ;3  x   ;26  x   ;243  x   ;2.652  x   ;24.897  x   ;233.171  x   ;
;20.10.;SA;0;8;4;8;8;7;5;14.325.867,50   ;JP;;4.046.434,60   ;3  x   ;76  x   ;659  x   ;6.556  x   ;65.343  x   ;617.709  x   ;
43.;24.10.;MI;8;5;4;0;6;4;6;6.047.777,50   ;JP;;4.476.431,60   ;1  x   ;21  x   ;246  x   ;2.556  x   ;24.602  x   ;234.705  x   ;
;27.10.;SA;1;7;3;9;6;1;7;14.581.122,50   ;1  x   ;5.477.777,00   ;35.372,40   ;5  x   ;67  x   ;581  x   ;6.182  x   ;62.584  x   ;640.029  x   ;
44.;31.10.;MI;0;6;3;4;8;1;1;6.466.482,50   ;JP;;495.139,30   ;1  x   ;27  x   ;208  x   ;2.150  x   ;22.255  x   ;196.470  x   ;
;03.11.;SA;1;6;7;9;6;6;5;15.335.012,50   ;JP;;1.585.458,70   ;7  x   ;60  x   ;635  x   ;6.446  x   ;69.496  x   ;658.663  x   ;
45.;07.11.;MI;8;6;3;4;5;7;6;7.084.335,00   ;JP;;2.089.154,90   ;unbesetzt;32  x   ;248  x   ;2.735  x   ;27.730  x   ;275.182  x   ;
;10.11.;SA;4;2;0;8;4;5;6;16.361.522,50   ;JP;;3.252.459,10   ;5  x   ;74  x   ;740  x   ;7.034  x   ;66.532  x   ;625.974  x   ;
46.;14.11.;MI;9;5;3;9;1;3;7;6.162.865,00   ;1  x   ;3.677.777,00   ;12.861,80   ;4  x   ;19  x   ;295  x   ;2.597  x   ;25.686  x   ;268.869  x   ;
;17.11.;SA;4;4;2;0;2;2;6;14.795.162,50   ;JP;;1.064.797,90   ;5  x   ;57  x   ;577  x   ;5.510  x   ;58.060  x   ;578.855  x   ;
47.;21.11.;MI;5;7;5;6;5;6;4;5.905.180,00   ;JP;;1.484.656,20   ;5  x   ;27  x   ;230  x   ;2.117  x   ;20.783  x   ;197.978  x   ;
;24.11.;SA;5;9;6;0;2;8;7;14.430.805,00   ;JP;;2.510.686,40   ;8  x   ;68  x   ;573  x   ;6.133  x   ;61.469  x   ;634.124  x   ;
48.;28.11.;MI;3;3;6;5;0;5;5;5.851.822,50   ;JP;;2.926.751,00   ;3  x   ;17  x   ;263  x   ;2.548  x   ;27.932  x   ;247.650  x   ;
;01.12.;SA;5;2;2;3;6;1;6;14.795.847,50   ;JP;;3.978.735,80   ;6  x   ;47  x   ;580  x   ;5.602  x   ;54.125  x   ;586.285  x   ;
49.;05.12.;MI;7;5;9;5;9;4;0;7.097.245,00   ;1  x   ;4.477.777,00   ;5.572,90   ;1  x   ;26  x   ;200  x   ;1.946  x   ;19.405  x   ;201.096  x   ;
;08.12.;SA;1;3;4;1;3;7;2;16.350.530,00   ;1  x   ;1.077.777,00   ;90.318,60   ;2  x   ;56  x   ;520  x   ;5.352  x   ;52.725  x   ;528.872  x   ;
50.;12.12.;MI;9;2;8;8;8;5;3;6.564.675,00   ;JP;;557.067,00   ;1  x   ;25  x   ;270  x   ;2.632  x   ;26.417  x   ;255.026  x   ;
;15.12.;SA;5;2;2;4;1;0;4;15.810.572,50   ;1  x   ;1.677.777,00   ;3.421,70   ;6  x   ;39  x   ;510  x   ;4.874  x   ;47.034  x   ;540.445  x   ;
51.;19.12.;MI;0;7;9;4;0;7;9;6.333.637,50   ;1  x   ;377.777,00   ;75.966,30   ;unbesetzt;18  x   ;198  x   ;1.797  x   ;20.593  x   ;200.724  x   ;
;22.12.;SA;9;2;1;0;7;0;8;15.868.922,50   ;JP;;1.204.246,70   ;3  x   ;54  x   ;507  x   ;4.946  x   ;50.500  x   ;628.943  x   ;
52.;26.12.;MI;4;2;3;0;8;6;8;5.993.217,50   ;JP;;1.630.364,50   ;7  x   ;18  x   ;236  x   ;2.458  x   ;23.570  x   ;229.412  x   ;
;29.12.;SA;1;8;6;2;6;6;7;16.069.167,50   ;1  x   ;2.677.777,00   ;95.105,30   ;5  x   ;60  x   ;705  x   ;6.749  x   ;69.855  x   ;701.406  x   ;
;;;;;;;;Gewinne Gesamt;;;19   ;;;188   ;2.042   ;20.728   ;206.878   ;2.069.329   ;20.966.036   ;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;JP;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;JP;;;;;;;;
;;;;;;;;;;;1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;JP;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;JP;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;JP;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;3;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;1;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;1;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;JP;;;;;;;;
;;;;;;;;;;;1;;;;;;;;;
;;;;;;;;;;;;JP;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;1;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;JP;;;;;;;;
;;;;;;;;;;;1;;;;;;;;;
;;;;;;;;;;;;JP;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;JP;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;JP;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;1;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;JP;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;JP;;;;;;;;
;;;;;;;;;;;1;;;;;;;;;
;;;;;;;;;;;;JP;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;JP;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;JP;;;;;;;;
;;;;;;;;;;;1;;;;;;;;;
;;;;;;;;;;;;1;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;1;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;JP;;;;;;;;
;;;;;;;;;;;JP;;;;;;;;;
;;;;;;;;;;;;1;;;;;;;;
;;;;;;;;;;;#REF!;#REF!;;;;;;;;
;;;;;;;;;;Summe 2.HJ;#REF!;#REF!;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
