Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1983;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
38.;24.09.;1;1;1;8;8;8;2;14.688.486,00;1 x;3.555.555,40   ;2.870.640,00   ;6 x           ;60 x         ;666 x         ;6.431 x        ;66.390 x    ;;;;
39.;01.10.;6;2;0;8;7;8;9;14.100.726,00;1 x;3.555.555,40   ;410.711,00   ;4 x           ;54 x         ;576 x         ;6.318 x        ;61.973 x    ;;;;
40.;08.10.;9;2;2;8;9;2;8;14.059.800,00;JP;;1.503.157,50   ;10 x           ;59 x         ;643 x         ;6.635 x        ;64.485 x    ;;;;
41.;15.10.;8;0;4;4;6;8;0;14.195.652,00;JP;;2.606.159,70   ;6 x           ;64 x         ;593 x         ;6.248 x        ;61.355 x    ;;;;
42.;22.10.;0;6;3;8;2;4;6;13.626.838,00;JP;;3.664.965,00   ;4 x           ;69 x         ;603 x         ;6.204 x        ;61.955 x    ;;;;
43.;29.10.;1;0;8;4;9;8;2;13.412.542,00;JP;;4.707.119,50   ;2 x           ;47 x         ;630 x         ;6.121 x        ;59.523 x    ;;;;
44.;05.11.;4;2;6;1;3;3;0;13.089.068,00;JP;;5.724.140,10   ;8 x           ;73 x         ;577 x         ;5.817 x        ;57.059 x    ;;;;
45.;12.11.;4;5;3;3;7;9;1;15.369.274,00;1 x;3.555.555,40   ;3.362.777,30   ;6 x           ;77 x         ;707 x         ;6.980 x        ;68.523 x    ;;;;
46.;19.11.;9;4;7;4;4;8;4;13.337.996,00;JP;;4.399.139,60   ;6 x           ;58 x         ;554 x         ;6.019 x        ;60.851 x    ;;;;
47.;26.11.;1;3;3;1;7;4;1;13.611.638,00;JP;;5.456.763,90   ;6 x           ;62 x         ;691 x         ;6.146 x        ;60.749 x    ;;;;
48.;03.12.;8;3;6;5;8;8;8;18.734.176,00;JP;;6.912.409,40   ;12 x           ;86 x         ;852 x         ;8.634 x        ;83.103 x    ;;;;
49.;10.12.;4;0;3;7;6;8;0;14.946.236,00;1 x;3.555.555,40   ;4.518.176,50   ;8 x           ;55 x         ;639 x         ;6.283 x        ;64.381 x    ;;;;
50.;17.12.;9;5;7;6;8;6;0;15.624.584,00;2 x;2.755.555,40   ;221.095,90   ;11 x           ;61 x         ;658 x         ;6.665 x        ;67.144 x    ;;;;
51.;24.12.;1;3;3;3;4;4;4;13.070.310,00;JP;;1.236.659,00   ;5 x           ;68 x         ;621 x         ;6.086 x        ;59.677 x    ;;;;
52.;31.12.;3;8;4;5;3;3;7;12.341.168,00;JP;;2.195.567,80   ;6 x           ;55 x         ;529 x         ;5.634 x        ;56.653 x    ;;;;
;;;;;;;Gewinne Gesamt;;;26 x;;;289 x;2.959 x;29.462 x;296.265 x;2.960.411 x;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
