Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2011;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
KW;2011;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;
;21.05.;SA;0;9;9;2;6;0;0;15.209.300,00   ;JP;;1.582.900,20   ;3  x   ;46  x   ;440  x   ;4.524  x   ;46.615  x   ;418.074  x   ;
21.;25.05.;MI;1;0;8;1;2;2;6;6.402.090,00   ;JP;;2.038.088,80   ;4  x   ;23  x   ;254  x   ;2.329  x   ;24.961  x   ;245.679  x   ;
;28.05.;SA;6;4;4;0;3;6;2;15.505.415,00   ;1  x   ;3.077.777,00   ;62.746,80   ;8  x   ;37  x   ;509  x   ;5.180  x   ;49.989  x   ;493.453  x   ;
22.;01.06.;MI;5;7;7;5;1;9;5;6.436.245,00   ;JP;;520.363,80   ;1  x   ;32  x   ;257  x   ;2.639  x   ;25.968  x   ;284.624  x   ;
;04.06.;SA;5;4;6;6;9;9;1;15.135.470,00   ;1  x   ;1.577.777,00   ;18.718,70   ;3  x   ;34  x   ;432  x   ;4.459  x   ;46.012  x   ;485.397  x   ;
23.;08.06.;MI;2;1;8;9;9;1;7;6.520.825,00   ;JP;;482.349,40   ;4  x   ;31  x   ;257  x   ;2.500  x   ;25.744  x   ;266.722  x   ;
;11.06.;SA;1;6;9;2;4;7;8;15.996.695,00   ;1  x   ;1.577.777,00   ;41.937,40   ;7  x   ;74  x   ;706  x   ;6.645  x   ;64.054  x   ;641.398  x   ;
24.;15.06.;MI;9;3;3;8;5;3;7;6.895.527,50   ;JP;;532.209,40   ;3  x   ;31  x   ;274  x   ;2.857  x   ;27.441  x   ;283.313  x   ;
;18.06.;SA;6;2;7;5;2;0;6;16.860.882,50   ;1  x   ;1.677.777,00   ;53.241,10   ;1  x   ;56  x   ;519  x   ;5.269  x   ;54.228  x   ;644.707  x   ;
25.;22.06.;MI;6;4;3;8;2;6;3;6.524.545,00   ;JP;;517.136,20   ;2  x   ;21  x   ;232  x   ;2.350  x   ;24.583  x   ;240.398  x   ;
;25.06.;SA;1;1;2;1;1;0;5;15.250.555,00   ;1  x   ;1.577.777,00   ;23.673,70   ;8  x   ;61  x   ;577  x   ;5.707  x   ;55.539  x   ;688.889  x   ;
26.;29.06.;MI;1;8;2;2;1;5;3;6.453.022,50   ;1  x   ;477.777,00   ;4.706,60   ;1  x   ;27  x   ;217  x   ;2.530  x   ;24.335  x   ;238.798  x   ;
;02.07.;SA;7;4;1;4;6;3;0;16.044.575,00   ;1  x   ;1.077.777,00   ;67.698,90   ;6  x   ;43  x   ;449  x   ;4.445  x   ;44.792  x   ;451.580  x   ;
;;;;;;;;Gewinne Gesamt;;;24   ;;;219   ;2.153   ;21.647   ;218.622   ;2.180.697   ;22.160.036   ;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2011;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
KW;2011;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;
27.;06.07.;MI;5;5;3;0;4;5;3;7.348.565,00   ;JP;;590.181,90   ;1  x   ;31  x   ;276  x   ;2.831  x   ;28.150  x   ;272.420  x   ;
;09.07.;SA;5;2;1;8;9;3;3;17.035.505,00   ;1  x   ;1.777.777,00   ;23.629,30   ;8  x   ;60  x   ;619  x   ;6.198  x   ;63.113  x   ;622.690  x   ;
28.;13.07.;MI;2;4;4;4;0;8;7;6.465.947,50   ;JP;;483.358,20   ;1  x   ;22  x   ;194  x   ;2.312  x   ;25.027  x   ;269.122  x   ;
;16.07.;SA;7;5;7;4;8;9;1;15.354.342,50   ;2  x   ;777.777,00   ;19.498,00   ;5  x   ;44  x   ;518  x   ;4.620  x   ;47.162  x   ;494.993  x   ;
29.;20.07.;MI;7;4;8;6;9;2;8;6.635.735,00   ;JP;;491.298,80   ;2  x   ;21  x   ;246  x   ;2.599  x   ;25.935  x   ;260.048  x   ;
;23.07.;SA;2;0;7;2;0;8;9;15.871.645,00   ;JP;;1.619.772,80   ;4  x   ;49  x   ;552  x   ;5.078  x   ;53.411  x   ;533.244  x   ;
30.;27.07.;MI;6;4;0;8;7;5;6;7.379.232,50   ;JP;;2.144.436,20   ;2  x   ;28  x   ;273  x   ;3.014  x   ;29.516  x   ;278.989  x   ;
;30.07.;SA;9;9;1;4;5;6;9;17.463.470,00   ;JP;;3.386.088,90   ;5  x   ;58  x   ;620  x   ;6.119  x   ;61.904  x   ;588.114  x   ;
31.;03.08.;MI;5;6;6;6;9;4;4;8.729.957,50   ;JP;;4.006.788,90   ;4  x   ;41  x   ;313  x   ;3.102  x   ;31.950  x   ;300.440  x   ;
;06.08.;SA;4;3;0;0;9;4;5;18.632.030,00   ;1  x   ;5.277.777,00   ;53.749,20   ;8  x   ;78  x   ;854  x   ;8.326  x   ;81.916  x   ;799.931  x   ;
32.;10.08.;MI;6;0;2;5;2;3;7;10.074.345,00   ;1  x   ;677.777,00   ;92.258,10   ;4  x   ;35  x   ;409  x   ;4.133  x   ;40.461  x   ;413.096  x   ;
;13.08.;SA;8;1;1;6;3;9;2;20.688.152,50   ;JP;;1.563.185,70   ;5  x   ;65  x   ;645  x   ;6.531  x   ;65.254  x   ;673.954  x   ;
33.;17.08.;MI;5;3;2;7;7;3;4;6.983.782,50   ;1  x   ;1.977.777,00   ;81.955,60   ;2  x   ;34  x   ;214  x   ;2.528  x   ;24.037  x   ;238.665  x   ;
;20.08.;SA;6;7;8;5;9;2;2;15.608.287,50   ;JP;;1.191.704,80   ;4  x   ;46  x   ;545  x   ;5.113  x   ;51.145  x   ;498.875  x   ;
34.;24.08.;MI;9;8;7;1;9;7;7;6.785.757,50   ;JP;;1.674.172,20   ;2  x   ;40  x   ;359  x   ;3.100  x   ;35.736  x   ;276.160  x   ;
;27.08.;SA;2;0;3;4;9;6;4;16.123.655,00   ;JP;;2.820.564,10   ;3  x   ;51  x   ;567  x   ;5.860  x   ;56.717  x   ;544.259  x   ;
35.;31.08.;MI;6;9;9;6;3;8;0;6.730.090,00   ;1  x   ;3.277.777,00   ;21.296,50   ;1  x   ;11  x   ;180  x   ;1.875  x   ;19.070  x   ;196.232  x   ;
;03.09.;SA;0;9;7;4;4;5;1;15.951.535,00   ;2  x   ;477.777,00   ;199.896,60   ;3  x   ;50  x   ;494  x   ;5.263  x   ;53.210  x   ;508.134  x   ;
36.;07.09.;MI;2;7;7;8;5;0;6;6.840.850,00   ;JP;;686.281,00   ;unbesetzt;20  x   ;208  x   ;2.198  x   ;22.045  x   ;262.689  x   ;
;10.09.;SA;1;0;1;2;8;1;8;16.248.760,00   ;1  x   ;1.777.777,00   ;63.790,80   ;5  x   ;50  x   ;615  x   ;6.253  x   ;60.528  x   ;646.700  x   ;
37.;14.09.;MI;7;1;3;0;3;7;0;7.505.780,00   ;JP;;597.451,80   ;1  x   ;19  x   ;221  x   ;2.142  x   ;21.758  x   ;220.310  x   ;
;17.09.;SA;8;4;6;4;4;8;7;17.262.092,50   ;JP;;1.824.786,60   ;6  x   ;68  x   ;624  x   ;6.846  x   ;68.441  x   ;716.899  x   ;
38.;21.09.;MI;2;8;1;4;1;5;2;8.506.245,00   ;1  x   ;2.377.777,00   ;51.803,60   ;6  x   ;28  x   ;293  x   ;2.806  x   ;28.821  x   ;273.086  x   ;
;24.09.;SA;0;6;7;9;3;9;6;15.644.465,00   ;JP;;1.164.125,10   ;4  x   ;62  x   ;644  x   ;5.796  x   ;56.265  x   ;586.813  x   ;
39.;28.09.;MI;1;5;8;6;5;7;8;6.655.942,50   ;1  x   ;1.577.777,00   ;59.585,60   ;2  x   ;20  x   ;277  x   ;2.520  x   ;25.377  x   ;259.336  x   ;
;01.10.;SA;7;1;8;7;5;7;9;16.238.530,00   ;1  x   ;1.177.777,00   ;36.368,10   ;5  x   ;45  x   ;532  x   ;5.782  x   ;55.563  x   ;553.056  x   ;
40.;05.10.;MI;1;1;7;5;6;7;4;7.010.307,50   ;JP;;534.801,00   ;2  x   ;18  x   ;250  x   ;2.326  x   ;23.830  x   ;243.309  x   ;
;08.10.;SA;2;2;9;1;2;8;5;16.713.582,50   ;2  x   ;777.777,00   ;167.582,70   ;3  x   ;68  x   ;752  x   ;7.312  x   ;72.256  x   ;729.801  x   ;
41.;12.10.;MI;6;7;5;4;4;8;0;8.142.142,50   ;1  x   ;677.777,00   ;68.712,00   ;1  x   ;27  x   ;231  x   ;2.386  x   ;23.511  x   ;240.933  x   ;
;15.10.;SA;5;9;9;9;8;4;7;17.994.090,00   ;JP;;1.348.091,80   ;3  x   ;85  x   ;783  x   ;7.762  x   ;77.185  x   ;737.745  x   ;
42.;19.10.;MI;7;1;6;6;6;0;6;9.299.942,50   ;JP;;2.009.317,70   ;5  x   ;42  x   ;301  x   ;3.326  x   ;30.838  x   ;357.619  x   ;
;22.10.;SA;4;8;4;5;9;1;7;19.143.552,50   ;JP;;3.370.424,30   ;5  x   ;83  x   ;744  x   ;7.747  x   ;77.492  x   ;796.836  x   ;
43.;26.10.;MI;1;1;3;7;1;9;6;6.920.962,50   ;JP;;3.862.504,70   ;2  x   ;31  x   ;270  x   ;2.509  x   ;24.880  x   ;268.131  x   ;
;29.10.;SA;8;5;7;8;5;9;6;15.926.647,50   ;1  x   ;4.977.777,00   ;17.112,30   ;6  x   ;65  x   ;598  x   ;5.722  x   ;58.113  x   ;599.626  x   ;
44.;02.11.;MI;0;7;2;3;4;7;3;6.460.755,00   ;JP;;476.472,00   ;4  x   ;33  x   ;272  x   ;2.369  x   ;23.703  x   ;237.909  x   ;
;05.11.;SA;3;4;8;6;4;1;0;15.650.327,50   ;1  x   ;1.577.777,00   ;11.433,30   ;1  x   ;37  x   ;437  x   ;4.283  x   ;42.751  x   ;440.078  x   ;
45.;09.11.;MI;2;8;9;3;8;7;3;6.429.837,50   ;JP;;468.594,70   ;2  x   ;20  x   ;257  x   ;2.389  x   ;23.739  x   ;237.122  x   ;
;12.11.;SA;8;8;1;2;4;8;2;15.529.325,00   ;1  x   ;1.477.777,00   ;94.952,70   ;8  x   ;47  x   ;500  x   ;4.934  x   ;49.056  x   ;498.640  x   ;
46.;06.11.;MI;9;1;4;5;3;7;9;6.530.580,00   ;JP;;559.276,90   ;4  x   ;23  x   ;210  x   ;2.051  x   ;20.937  x   ;207.363  x   ;
;19.11.;SA;6;1;4;9;1;5;2;15.902.065,00   ;1  x   ;1.677.777,00   ;12.136,70   ;6  x   ;69  x   ;535  x   ;5.402  x   ;55.047  x   ;509.069  x   ;
47.;23.11.;MI;1;2;6;9;6;0;3;7.039.670,00   ;JP;;512.657,20   ;1  x   ;25  x   ;217  x   ;2.205  x   ;22.360  x   ;266.271  x   ;
;26.11.;SA;4;6;1;7;4;6;9;16.417.075,00   ;JP;;1.679.911,20   ;7  x   ;66  x   ;591  x   ;5.880  x   ;59.708  x   ;556.080  x   ;
48.;30.11.;MI;4;7;2;3;8;0;6;7.197.210,00   ;JP;;2.191.632,80   ;1  x   ;26  x   ;255  x   ;2.447  x   ;24.211  x   ;281.473  x   ;
;03.12.;SA;2;2;3;5;9;5;7;17.121.330,00   ;2  x   ;1.677.777,00   ;53.405,40   ;5  x   ;75  x   ;770  x   ;7.753  x   ;73.377  x   ;715.350  x   ;
49.;07.12.;MI;9;6;0;4;3;1;0;6.595.600,00   ;JP;;522.352,60   ;3  x   ;14  x   ;178  x   ;1.818  x   ;18.771  x   ;192.503  x   ;
;10.12.;SA;3;9;1;9;2;1;3;15.578.865,00   ;1  x   ;1.577.777,00   ;52.232,90   ;3  x   ;62  x   ;664  x   ;6.497  x   ;65.746  x   ;554.210  x   ;
50.;04.12.;MI;3;9;0;6;6;4;2;6.668.652,50   ;JP;;526.374,10   ;1  x   ;29  x   ;223  x   ;2.177  x   ;21.474  x   ;213.343  x   ;
;17.12.;SA;9;9;5;9;3;6;7;16.112.912,50   ;JP;;1.672.002,20   ;9  x   ;77  x   ;665  x   ;6.823  x   ;67.520  x   ;686.070  x   ;
51.;21.12.;MI;8;7;7;0;9;7;3;6.651.020,00   ;JP;;2.144.889,70   ;unbesetzt;25  x   ;269  x   ;2.566  x   ;25.345  x   ;248.733  x   ;
;24.12.;SA;6;5;2;0;7;7;3;17.115.100,00   ;JP;;3.361.773,30   ;5  x   ;62  x   ;593  x   ;5.956  x   ;63.538  x   ;620.494  x   ;
52.;28.12.;MI;9;4;6;1;4;7;5;6.678.547,50   ;1  x   ;3.777.777,00   ;58.841,00   ;unbesetzt;31  x   ;303  x   ;2.811  x   ;29.636  x   ;282.122  x   ;
;31.12.;SA;2;8;1;9;6;1;4;17.104.552,50   ;JP;;1.274.974,70   ;5  x   ;53  x   ;574  x   ;5.572  x   ;56.406  x   ;576.428  x   ;
;;;;;;;;Gewinne Gesamt;;;24   ;;;185   ;2.269   ;22.734   ;225.968   ;2.263.942   ;22.585.513   ;
;;;;;;;;;;;;;;;;;;;;
