Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2018;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
;07.04.;SA;3;0;7;8;0;3;6;11.958.202,50   ;1  x   ;1.177.777,00   ;0,00   ;5  x   ;40  x   ;435  x   ;4.315  x   ;47.286  x   ;448.757  x   ;;;;
15.;11.04.;MI;2;6;7;5;2;3;3;4.893.010,00   ;JP;;347.893,00   ;2  x   ;19  x   ;171  x   ;1.824  x   ;19.943  x   ;192.274  x   ;;;;
;14.04.;SA;0;0;3;4;4;2;2;12.054.935,00   ;JP;;1.204.998,90   ;5  x   ;37  x   ;423  x   ;3.844  x   ;38.677  x   ;387.656  x   ;;;;
16.;18.04.;MI;5;5;3;4;1;3;6;4.893.975,00   ;JP;;1.552.960,50   ;unbesetzt;17  x   ;174  x   ;1.994  x   ;19.547  x   ;187.257  x   ;;;;
;21.04.;SA;9;2;9;6;6;0;8;11.849.765,00   ;JP;;2.395.478,80   ;8  x   ;44  x   ;403  x   ;3.967  x   ;38.959  x   ;485.591  x   ;;;;
17.;25.04.;MI;1;5;0;4;3;2;4;5.073.220,00   ;JP;;2.756.184,70   ;2  x   ;21  x   ;171  x   ;1.712  x   ;17.237  x   ;172.144  x   ;;;;
;28.04.;SA;1;7;3;4;1;8;4;12.039.895,00   ;1  x   ;3.577.777,00   ;0,00   ;2  x   ;39  x   ;414  x   ;4.203  x   ;40.774  x   ;401.800  x   ;;;;
18.;02.05.;MI;9;7;2;9;1;8;6;4.822.645,00   ;JP;;342.890,10   ;2  x   ;26  x   ;188  x   ;1.880  x   ;18.115  x   ;187.694  x   ;;;;
;05.05.;SA;8;3;4;0;8;3;8;12.148.700,00   ;JP;;1.206.662,70   ;8  x   ;54  x   ;511  x   ;5.133  x   ;48.671  x   ;492.110  x   ;;;;
19.;09.05.;MI;5;5;8;0;2;3;3;5.250.377,50   ;JP;;1.579.964,50   ;1  x   ;24  x   ;180  x   ;1.979  x   ;21.336  x   ;206.053  x   ;;;;
;12.05.;SA;7;8;4;8;6;1;2;11.964.977,50   ;JP;;2.430.674,40   ;3  x   ;33  x   ;378  x   ;3.889  x   ;39.075  x   ;384.181  x   ;;;;
20.;16.05.;MI;7;3;9;2;5;5;9;4.880.065,00   ;JP;;2.777.647,00   ;1  x   ;18  x   ;149  x   ;1.578  x   ;17.455  x   ;164.689  x   ;;;;
;19.05.;SA;9;4;0;6;8;9;3;12.386.865,00   ;JP;;3.658.353,10   ;5  x   ;51  x   ;409  x   ;4.461  x   ;42.902  x   ;463.184  x   ;;;;
21.;23.05.;MI;2;5;5;6;3;1;6;4.935.390,00   ;JP;;4.009.259,30   ;4  x   ;27  x   ;161  x   ;1.816  x   ;17.859  x   ;193.132  x   ;;;;
;26.05.;SA;0;7;6;0;6;7;1;12.344.227,50   ;JP;;4.886.933,90   ;3  x   ;35  x   ;342  x   ;3.629  x   ;36.262  x   ;369.242  x   ;;;;
22.;30.05.;MI;3;2;8;8;7;6;3;5.041.120,00   ;JP;;5.245.357,50   ;2  x   ;26  x   ;217  x   ;2.013  x   ;20.824  x   ;199.763  x   ;;;;
;02.06.;SA;0;4;9;5;5;8;2;12.804.425,00   ;JP;;6.155.752,10   ;6  x   ;31  x   ;374  x   ;4.055  x   ;40.680  x   ;414.685  x   ;;;;
23.;06.06.;MI;6;5;4;0;6;4;1;4.927.317,50   ;1  x   ;6.477.777,00   ;0,00   ;2  x   ;17  x   ;139  x   ;1.337  x   ;13.929  x   ;146.862  x   ;;;;
;09.06.;SA;3;2;1;4;7;3;3;12.734.815,00   ;JP;;905.445,30   ;12  x   ;48  x   ;498  x   ;4.794  x   ;47.145  x   ;476.285  x   ;;;;
24.;13.06.;MI;9;1;9;3;0;9;9;4.980.695,00   ;JP;;1.259.572,70   ;1  x   ;16  x   ;136  x   ;1.518  x   ;17.771  x   ;165.884  x   ;;;;
;16.06.;SA;3;8;3;1;9;7;1;12.810.822,50   ;JP;;2.170.422,20   ;8  x   ;54  x   ;613  x   ;4.008  x   ;37.921  x   ;385.711  x   ;;;;
25.;20.06.;MI;4;8;3;5;3;5;6;4.796.675,00   ;JP;;2.511.465,80   ;1  x   ;17  x   ;201  x   ;1.971  x   ;19.547  x   ;186.427  x   ;;;;
;23.06.;SA;0;6;7;8;7;5;5;12.740.920,00   ;JP;;3.417.345,20   ;2  x   ;48  x   ;580  x   ;5.807  x   ;56.984  x   ;524.870  x   ;;;;
26.;27.06.;MI;3;0;1;5;7;5;0;4.916.640,00   ;JP;;3.766.918,30   ;2  x   ;8  x   ;153  x   ;1.406  x   ;14.090  x   ;135.581  x   ;;;;
;30.06.;SA;6;3;7;5;5;0;4;13.030.772,50   ;JP;;4.693.406,20   ;2  x   ;39  x   ;372  x   ;3.891  x   ;38.996  x   ;439.943  x   ;;;;
;;;;;;;;Gewinne Gesamt;;;10   ;;;171   ;1.573   ;16.424   ;163.986   ;1.637.902   ;16.684.683   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2018;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2018;Ziehung;;;;;;;ziffer;;        ab 177.777,00 Euro;;Euro;77.777,00 Euro;7.777,00 Euro;777,00 Euro;77,00 Euro;17,00 Euro;5,00 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
27.;04.07.;MI;8;8;5;6;4;3;5;4.927.475,00   ;JP;;5.043.749,70   ;7  x   ;14  x   ;191  x   ;1.971  x   ;19.961  x   ;201.006  x   ;;;;
;07.07.;SA;5;3;4;0;0;2;9;12.957.242,50   ;JP;;5.965.009,60   ;5  x   ;39  x   ;399  x   ;4.529  x   ;47.599  x   ;463.359  x   ;;;;
28.;11.07.;MI;9;5;4;4;6;8;5;5.081.090,00   ;JP;;6.326.275,10   ;unbesetzt;20  x   ;191  x   ;2.028  x   ;20.221  x   ;208.428  x   ;;;;
;14.07.;SA;9;8;3;7;3;7;3;12.203.995,00   ;JP;;7.193.979,10   ;3  x   ;45  x   ;469  x   ;4.633  x   ;46.535  x   ;452.866  x   ;;;;
29.;18.07.;MI;9;1;2;6;3;9;2;4.973.787,50   ;JP;;7.547.615,40   ;1  x   ;14  x   ;148  x   ;1.547  x   ;14.901  x   ;158.047  x   ;;;;
;21.07.;SA;2;3;8;0;3;4;9;12.080.290,00   ;1  x   ;8.377.777,00   ;0,00   ;9  x   ;35  x   ;454  x   ;4.471  x   ;44.780  x   ;432.779  x   ;;;;
30.;25.07.;MI;4;9;5;6;6;0;8;4.662.940,00   ;JP;;331.535,00   ;1  x   ;16  x   ;162  x   ;1.516  x   ;14.673  x   ;183.860  x   ;;;;
;28.07.;SA;6;6;7;3;6;1;4;11.487.192,50   ;1  x   ;1.077.777,00   ;0,00   ;5  x   ;56  x   ;398  x   ;3.844  x   ;38.049  x   ;382.532  x   ;;;;
31.;01.08.;MI;1;1;0;2;3;1;0;4.873.315,00   ;JP;;346.492,70   ;unbesetzt;17  x   ;123  x   ;1.358  x   ;13.631  x   ;133.320  x   ;;;;
;04.08.;SA;3;8;3;5;6;6;1;11.846.432,50   ;1  x   ;1.177.777,00   ;0,00   ;3  x   ;42  x   ;346  x   ;3.346  x   ;36.488  x   ;351.270  x   ;;;;
32.;08.08.;MI;8;1;0;1;7;8;0;4.959.425,00   ;JP;;352.615,10   ;unbesetzt;12  x   ;132  x   ;1.315  x   ;13.514  x   ;136.856  x   ;;;;
;11.08.;SA;1;2;4;0;0;5;6;12.038.757,50   ;1  x   ;1.177.777,00   ;0,00   ;2  x   ;48  x   ;397  x   ;4.425  x   ;49.478  x   ;450.529  x   ;;;;
33.;15.08.;MI;1;1;6;0;2;6;7;5.154.922,50   ;JP;;366.515,00   ;4  x   ;27  x   ;217  x   ;2.114  x   ;22.515  x   ;230.047  x   ;;;;
;18.08.;SA;2;2;8;8;3;4;3;12.289.487,50   ;JP;;1.240.297,60   ;9  x   ;42  x   ;442  x   ;4.492  x   ;44.657  x   ;458.612  x   ;;;;
34.;22.08.;MI;9;4;9;0;4;0;2;5.346.612,50   ;JP;;1.620.441,70   ;1  x   ;14  x   ;169  x   ;1.519  x   ;14.949  x   ;173.128  x   ;;;;
;25.08.;SA;6;3;2;2;0;0;4;12.665.872,50   ;1  x   ;2.477.777,00   ;0,00   ;5  x   ;44  x   ;355  x   ;3.307  x   ;38.918  x   ;432.822  x   ;;;;
35.;29.08.;MI;3;7;4;6;3;0;8;5.568.740,00   ;1  x   ;377.777,00   ;0,00   ;2  x   ;13  x   ;173  x   ;1.775  x   ;17.986  x   ;217.427  x   ;;;;
;01.09.;SA;6;0;9;9;7;0;1;13.187.377,50   ;JP;;937.622,50   ;3  x   ;40  x   ;379  x   ;3.554  x   ;36.752  x   ;404.071  x   ;;;;
36.;05.09.;MI;6;0;0;1;1;9;5;6.621.772,50   ;1  x   ;1.377.777,00   ;0,00   ;4  x   ;26  x   ;251  x   ;2.562  x   ;24.812  x   ;270.637  x   ;;;;
;08.09.;SA;2;6;7;4;5;2;7;12.215.512,50   ;1  x   ;777.777,00   ;0,00   ;4  x   ;53  x   ;545  x   ;5.382  x   ;53.187  x   ;530.126  x   ;;;;
37.;12.09.;MI;8;5;1;2;7;8;7;5.056.455,00   ;JP;;359.514,00   ;unbesetzt;16  x   ;225  x   ;2.162  x   ;20.883  x   ;226.364  x   ;;;;
;15.09.;SA;0;3;3;5;5;8;6;12.014.560,00   ;1  x   ;1.177.777,00   ;0,00   ;5  x   ;39  x   ;432  x   ;4.671  x   ;44.124  x   ;451.936  x   ;;;;
38.;19.09.;MI;4;7;6;0;2;3;6;5.084.022,50   ;JP;;361.474,00   ;4  x   ;19  x   ;198  x   ;2.068  x   ;20.504  x   ;195.733  x   ;;;;
;22.09.;SA;8;6;6;4;5;3;5;12.111.030,00   ;JP;;1.222.568,20   ;6  x   ;42  x   ;533  x   ;5.071  x   ;50.300  x   ;505.470  x   ;;;;
39.;26.09.;MI;2;5;9;8;2;0;5;5.256.880,00   ;1  x   ;1.577.777,00   ;0,00   ;2  x   ;24  x   ;194  x   ;1.806  x   ;18.083  x   ;220.755  x   ;;;;
;29.09.;SA;1;9;1;2;0;4;1;12.543.645,00   ;1  x   ;877.777,00   ;0,00   ;6  x   ;41  x   ;362  x   ;3.447  x   ;37.083  x   ;382.431  x   ;;;;
40.;03.10.;MI;9;7;8;3;8;0;1;5.336.510,00   ;JP;;379.425,90   ;unbesetzt;13  x   ;141  x   ;1.470  x   ;14.608  x   ;163.196  x   ;;;;
;06.10.;SA;9;0;0;9;1;0;0;12.011.675,00   ;1  x   ;1.177.777,00   ;0,00   ;4  x   ;32  x   ;339  x   ;3.318  x   ;34.816  x   ;316.983  x   ;;;;
41.;10.10.;MI;6;2;0;0;2;3;0;4.974.180,00   ;JP;;353.664,20   ;unbesetzt;11  x   ;111  x   ;1.313  x   ;13.338  x   ;139.306  x   ;;;;
;13.10.;SA;6;3;8;3;1;3;9;12.203.612,50   ;JP;;1.221.341,00   ;5  x   ;48  x   ;415  x   ;4.384  x   ;42.946  x   ;437.074  x   ;;;;
42.;17.10.;MI;7;6;6;6;8;9;1;4.807.425,00   ;JP;;1.563.148,90   ;unbesetzt;19  x   ;142  x   ;1.429  x   ;13.647  x   ;146.360  x   ;;;;
;20.10.;SA;0;0;9;0;3;7;1;12.193.355,00   ;JP;;2.430.096,40   ;3  x   ;38  x   ;403  x   ;3.820  x   ;36.924  x   ;373.172  x   ;;;;
43.;24.10.;MI;5;7;1;4;5;3;3;4.772.105,00   ;1  x   ;2.677.777,00   ;0,00   ;2  x   ;20  x   ;193  x   ;1.853  x   ;19.445  x   ;186.667  x   ;;;;
;27.10.;SA;2;9;8;7;8;4;7;12.444.330,00   ;1  x   ;877.777,00   ;0,00   ;3  x   ;41  x   ;593  x   ;5.555  x   ;54.871  x   ;535.978  x   ;;;;
44.;31.10.;MI;2;0;4;1;3;8;7;5.035.287,50   ;JP;;358.008,90   ;unbesetzt;17  x   ;220  x   ;2.107  x   ;20.946  x   ;223.841  x   ;;;;
;03.11.;SA;4;7;4;0;8;8;3;12.684.962,50   ;JP;;1.259.909,70   ;6  x   ;45  x   ;436  x   ;4.352  x   ;47.830  x   ;471.948  x   ;;;;
45.;07.11.;MI;8;3;9;5;5;9;6;4.967.462,50   ;JP;;1.613.096,30   ;1  x   ;12  x   ;167  x   ;1.826  x   ;17.787  x   ;192.903  x   ;;;;
;10.11.;SA;2;0;6;9;0;5;2;12.917.235,00   ;1  x   ;2.477.777,00   ;0,00   ;7  x   ;45  x   ;447  x   ;4.280  x   ;45.739  x   ;418.592  x   ;;;;
46.;14.11.;MI;6;4;2;0;4;8;3;4.937.190,00   ;JP;;351.034,20   ;1  x   ;18  x   ;203  x   ;2.058  x   ;19.646  x   ;194.813  x   ;;;;
;17.11.;SA;6;4;8;6;2;9;9;12.846.910,00   ;JP;;1.264.449,50   ;2  x   ;26  x   ;458  x   ;4.383  x   ;46.015  x   ;462.014  x   ;;;;
47.;21.11.;MI;8;4;8;1;1;8;1;5.040.870,00   ;JP;;1.622.855,40   ;2  x   ;19  x   ;158  x   ;1.568  x   ;14.999  x   ;153.234  x   ;;;;
;24.11.;SA;7;4;6;9;5;3;7;12.134.132,50   ;1  x   ;2.477.777,00   ;0,00   ;3  x   ;54  x   ;575  x   ;5.395  x   ;51.432  x   ;532.582  x   ;;;;
48.;28.11.;MI;3;6;1;9;7;5;2;5.148.365,00   ;JP;;366.048,80   ;unbesetzt;14  x   ;169  x   ;1.780  x   ;17.743  x   ;162.469  x   ;;;;
;01.12.;SA;0;4;2;9;2;1;0;12.585.477,50   ;JP;;1.260.876,30   ;3  x   ;38  x   ;332  x   ;3.453  x   ;33.997  x   ;336.802  x   ;;;;
49.;05.12.;MI;5;1;2;9;2;6;0;5.372.402,50   ;JP;;1.642.854,10   ;4  x   ;14  x   ;141  x   ;1.565  x   ;15.256  x   ;151.505  x   ;;;;
;08.12.;SA;7;4;1;8;2;6;1;12.905.965,00   ;JP;;2.560.468,20   ;3  x   ;34  x   ;410  x   ;4.058  x   ;40.805  x   ;394.482  x   ;;;;
50.;12.12.;MI;8;6;8;8;8;3;9;4.978.650,00   ;JP;;2.914.450,20   ;3  x   ;15  x   ;168  x   ;1.615  x   ;16.666  x   ;169.743  x   ;;;;
;15.12.;SA;7;0;9;6;0;6;4;12.158.830,00   ;JP;;3.778.943,00   ;2  x   ;31  x   ;385  x   ;4.013  x   ;42.707  x   ;400.759  x   ;;;;
51.;19.12.;MI;9;7;2;3;9;5;1;5.190.922,50   ;JP;;4.148.017,60   ;2  x   ;18  x   ;179  x   ;1.733  x   ;16.043  x   ;158.552  x   ;;;;
;22.12.;SA;1;6;2;2;1;9;5;12.986.235,00   ;JP;;5.071.338,90   ;12  x   ;63  x   ;521  x   ;5.208  x   ;50.356  x   ;537.964  x   ;;;;
52.;26.12.;MI;0;3;6;3;5;8;3;5.019.310,00   ;1  x   ;5.377.777,00   ;0,00   ;5  x   ;20  x   ;201  x   ;2.060  x   ;20.147  x   ;197.329  x   ;;;;
;29.12.;SA;9;4;3;3;1;3;2;13.116.897,50   ;1  x   ;877.777,00   ;0,00   ;2  x   ;49  x   ;450  x   ;4.366  x   ;43.327  x   ;430.291  x   ;;;;
;;;;;;;;Gewinne Gesamt;;;18   ;;;166   ;1.552   ;15.842   ;157.875   ;1.596.619   ;16.142.970   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;
