Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1999;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
VA;1999;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
25.;26.06.;6;2;1;5;8;1;1;27.238.742,50;JP;;2.069.686,90   ;13  x  ;82  x  ;860  x  ;8.612  x  ;87.500  x  ;855.231  x  ;;;;
26.;03.07.;1;5;3;9;6;3;9;27.155.627,50;2  x  ;1.977.777,00   ;44.898,00   ;9  x  ;103  x  ;1.031  x  ;10.582  x  ;105.879  x  ;1.038.988  x  ;;;;
27.;10.07.;0;5;7;6;5;6;4;27.813.992,50;JP;;2.022.472,90   ;9  x  ;106  x  ;1.032  x  ;10.281  x  ;98.991  x  ;965.652  x  ;;;;
28.;17.07.;3;4;1;0;1;1;7;29.152.722,50;2  x  ;1.977.777,00   ;139.677,50   ;6  x  ;128  x  ;1.084  x  ;10.991  x  ;115.020  x  ;1.135.529  x  ;;;;
29.;24.07.;8;6;2;0;9;1;1;33.777.417,50;2  x  ;1.177.777,00   ;185.697,90   ;13  x  ;115  x  ;1.148  x  ;11.123  x  ;109.998  x  ;1.078.463  x  ;;;;
30.;31.07.;5;7;5;9;4;6;2;27.980.775,00;JP;;2.175.131,00   ;10  x  ;109  x  ;963  x  ;9.310  x  ;93.204  x  ;930.349  x  ;;;;
31.;07.08.;4;2;4;3;2;1;8;27.470.242,50;1  x  ;4.077.777,00   ;50.488,20   ;15  x  ;102  x  ;1.053  x  ;10.669  x  ;105.901  x  ;1.078.598  x  ;;;;
32.;14.08.;3;4;0;9;8;0;8;28.955.712,50;JP;;2.109.239,40   ;8  x  ;96  x  ;1.003  x  ;10.272  x  ;99.219  x  ;1.143.698  x  ;;;;
33.;21.08.;4;9;5;9;4;9;6;29.005.965,00;3  x  ;1.377.777,00   ;38.232,50   ;10  x  ;123  x  ;1.050  x  ;11.148  x  ;110.654  x  ;1.094.995  x  ;;;;
34.;28.08.;8;0;8;1;6;5;1;31.740.592,50;2  x  ;1.077.777,00   ;139.434,60   ;12  x  ;115  x  ;988  x  ;10.400  x  ;102.588  x  ;1.011.853  x  ;;;;
35.;04.09.;3;1;7;7;9;7;2;42.985.472,50;2  x  ;1.577.777,00   ;40.147,70   ;15  x  ;144  x  ;1.505  x  ;15.122  x  ;146.028  x  ;1.451.681  x  ;;;;
36.;11.09.;1;1;9;6;7;2;7;29.933.312,50;3  x  ;677.777,00   ;135.075,20   ;19  x  ;118  x  ;1.174  x  ;11.888  x  ;117.308  x  ;1.146.584  x  ;;;;
37.;18.09.;0;4;1;7;5;5;3;29.207.942,50;3  x  ;677.777,00   ;178.428,90   ;16  x  ;85  x  ;1.109  x  ;10.531  x  ;107.133  x  ;1.072.911  x  ;;;;
38.;25.09.;6;3;9;3;4;1;7;28.422.785,00;JP;;2.199.288,90   ;13  x  ;118  x  ;1.119  x  ;11.216  x  ;111.112  x  ;1.099.036  x  ;;;;
39.;02.10.;1;9;8;2;5;8;3;28.866.547,50;2  x  ;2.077.777,00   ;96.146,40   ;11  x  ;118  x  ;1.068  x  ;10.525  x  ;103.245  x  ;1.063.763  x  ;;;;
40.;09.10.;3;3;8;0;6;7;1;28.097.835,00;2  x  ;977.777,00   ;138.348,50   ;8  x  ;89  x  ;800  x  ;8.792  x  ;87.555  x  ;882.542  x  ;;;;
41.;16.10.;4;6;8;9;5;7;7;28.213.450,00;1  x  ;2.077.777,00   ;66.547,80   ;13  x  ;130  x  ;1.209  x  ;12.058  x  ;122.870  x  ;1.090.282  x  ;;;;
42.;23.10.;8;8;3;8;8;9;3;27.679.050,00;JP;;2.034.528,30   ;6  x  ;114  x  ;1.031  x  ;10.308  x  ;101.198  x  ;1.028.418  x  ;;;;
43.;30.10.;2;2;4;3;9;5;8;28.262.480,00;2  x  ;1.977.777,00   ;88.436,60   ;14  x  ;138  x  ;1.127  x  ;11.497  x  ;113.932  x  ;1.135.600  x  ;;;;
44.;06.11.;3;1;3;9;7;6;8;31.160.447,50;1  x  ;2.277.777,00   ;26.167,40   ;9  x  ;118  x  ;1.314  x  ;12.601  x  ;127.299  x  ;1.235.561  x  ;;;;
45.;13.11.;9;7;4;6;8;2;2;28.485.552,50;JP;;2.051.490,20   ;9  x  ;97  x  ;930  x  ;9.637  x  ;94.330  x  ;949.236  x  ;;;;
46.;20.11.;4;9;6;6;0;3;3;28.400.605,00;2  x  ;1.977.777,00   ;115.219,20   ;10  x  ;101  x  ;1.002  x  ;10.220  x  ;105.068  x  ;1.058.362  x  ;;;;
47.;27.11.;7;2;4;8;3;2;0;29.740.327,50;JP;;2.229.756,50   ;12  x  ;88  x  ;917  x  ;8.868  x  ;87.943  x  ;892.428  x  ;;;;
48.;04.12.;7;6;0;9;5;4;8;34.118.080,00;4  x  ;1.077.777,00   ;344.444,00   ;8  x  ;145  x  ;1.443  x  ;14.379  x  ;141.750  x  ;1.357.299  x  ;;;;
49.;11.12.;8;8;5;0;3;5;2;43.798.582,50;2  x  ;1.677.777,00   ;102.969,20   ;17  x  ;154  x  ;1.557  x  ;15.421  x  ;151.397  x  ;1.488.274  x  ;;;;
50.;18.12.;4;4;5;1;8;6;3;33.346.272,50;1  x  ;2.377.777,00   ;96.112,20   ;8  x  ;137  x  ;1.306  x  ;12.553  x  ;124.936  x  ;1.250.266  x  ;;;;
51.;25.12.;5;2;8;6;2;8;3;33.471.080,00;1  x  ;2.377.777,00   ;98.129,00   ;13  x  ;130  x  ;1.204  x  ;12.615  x  ;123.952  x  ;1.263.926  x  ;;;;
52.;01.01.;8;2;9;5;0;0;8;34.835.255,00;JP;;2.574.915,60   ;6  x  ;116  x  ;1.151  x  ;11.145  x  ;123.187  x  ;1.399.409  x  ;;;;
;;;;;;;Gewinne Gesamt;;;71   ;;;553   ;5711;56654;568198;5.691.273;56.383.838;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
