Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2003;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
17.;23.04.;MI;5;3;3;3;4;1;8;4.466.802,00   ;JP;;339.903,40   ;2  x   ;35  x   ;288  x   ;3.001  x   ;29.900  x   ;306.302  x   ;
;26.04.;SA;4;8;3;0;1;1;1;14.661.223,50   ;1  x   ;1.270.000,00   ;47.807,00   ;6  x   ;94  x   ;814  x   ;8.721  x   ;76.729  x   ;756.024  x   ;
18.;30.04.;MI;1;0;2;8;7;5;1;5.542.792,50   ;JP;;417.511,30   ;3  x   ;34  x   ;327  x   ;2.991  x   ;30.318  x   ;302.274  x   ;
;03.05.;SA;5;8;5;5;7;9;1;15.396.268,50   ;JP;;1.444.442,40   ;4  x   ;81  x   ;797  x   ;7.800  x   ;78.234  x   ;803.870  x   ;
19.;07.05.;MI;2;6;5;4;6;5;7;4.638.547,50   ;1  x   ;1.670.000,00   ;83.833,50   ;2  x   ;38  x   ;312  x   ;3.153  x   ;30.241  x   ;300.800  x   ;
;10.05.;SA;0;6;4;0;6;2;5;14.448.477,00   ;JP;;1.047.546,90   ;7  x   ;92  x   ;1.019  x   ;10.019  x   ;100.578  x   ;976.362  x   ;
20.;14.05.;MI;8;7;3;8;1;0;6;4.655.827,50   ;JP;;1.358.090,60   ;6  x   ;27  x   ;288  x   ;2.511  x   ;25.571  x   ;308.094  x   ;
;17.05.;SA;2;6;8;3;3;7;1;14.638.522,50   ;1  x   ;2.270.000,00   ;64.480,10   ;8  x   ;84  x   ;733  x   ;7.605  x   ;75.904  x   ;772.257  x   ;
21.;21.05.;MI;1;0;9;7;9;5;5;5.240.161,50   ;JP;;413.998,90   ;3  x   ;38  x   ;379  x   ;3.848  x   ;39.290  x   ;344.148  x   ;
;24.05.;SA;3;0;7;5;4;3;8;15.505.519,50   ;1  x   ;1.370.000,00   ;78.217,10   ;16  x   ;114  x   ;1.114  x   ;11.170  x   ;110.364  x   ;1.068.540  x   ;
22.;28.05.;MI;3;5;6;1;5;9;4;4.655.668,50   ;1  x   ;370.000,00   ;18.750,20   ;3  x   ;24  x   ;274  x   ;2.483  x   ;24.560  x   ;261.475  x   ;
;31.05.;SA;9;1;8;8;5;7;5;13.978.107,00   ;2  x   ;470.000,00   ;11.089,90   ;7  x   ;98  x   ;1.001  x   ;9.766  x   ;96.338  x   ;945.210  x   ;
23.;04.06.;MI;9;6;3;8;7;1;8;4.369.108,50   ;JP;;302.509,40   ;1  x   ;26  x   ;297  x   ;2.947  x   ;29.393  x   ;298.119  x   ;
;07.06.;SA;0;0;5;2;9;7;0;14.161.221,00   ;JP;;1.247.062,80   ;7  x   ;62  x   ;694  x   ;6.758  x   ;66.339  x   ;677.687  x   ;
24.;11.06.;MI;2;0;0;5;9;0;6;4.474.561,50   ;JP;;1.545.516,10   ;1  x   ;18  x   ;247  x   ;2.444  x   ;24.984  x   ;295.041  x   ;
;14.06.;SA;4;0;0;7;4;1;1;14.886.283,50   ;1  x   ;2.470.000,00   ;68.431,20   ;10  x   ;76  x   ;787  x   ;8.010  x   ;82.154  x   ;794.516  x   ;
25.;18.06.;MI;7;5;0;3;7;8;8;4.676.245,50   ;JP;;380.336,80   ;1  x   ;30  x   ;315  x   ;3.367  x   ;33.344  x   ;316.628  x   ;
;21.06.;SA;6;3;8;9;2;9;7;14.094.765,00   ;3  x   ;370.000,00   ;210.457,60   ;12  x   ;78  x   ;912  x   ;8.828  x   ;87.987  x   ;913.866  x   ;
26.;25.06.;MI;8;4;6;1;8;4;2;4.496.503,50   ;1  x   ;470.000,00   ;40.374,40   ;1  x   ;27  x   ;255  x   ;2.344  x   ;24.028  x   ;234.749  x   ;
;28.06.;SA;1;9;7;4;9;9;2;14.636.560,50   ;1  x   ;970.000,00   ;46.633,00   ;9  x   ;75  x   ;721  x   ;7.256  x   ;75.151  x   ;762.390  x   ;
;;;;;;;;Gewinne Gesamt;;;38   ;;;304   ;3.070   ;30.867   ;307.884   ;3.092.544   ;30.679.386   ;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2003;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;
KW;2003;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;
27.;02.07.;MI;9;8;8;9;7;3;3;4.711.240,50   ;JP;;360.872,70   ;1  x   ;37  x   ;306  x   ;3.057  x   ;30.508  x   ;294.041  x   ;
;05.07.;SA;1;5;5;2;6;2;9;14.798.946,00   ;2  x   ;670.000,00   ;7.962,40   ;7  x   ;82  x   ;891  x   ;9.141  x   ;89.938  x   ;901.225  x   ;
28.;09.07.;MI;8;7;7;1;6;6;6;5.216.170,50   ;1  x   ;270.000,00   ;85.881,00   ;4  x   ;47  x   ;431  x   ;4.447  x   ;34.680  x   ;330.322  x   ;
;12.07.;SA;6;0;5;9;2;4;5;15.434.271,00   ;JP;;1.115.346,90   ;21  x   ;104  x   ;1.038  x   ;10.837  x   ;107.465  x   ;1.035.639  x   ;
29.;16.07.;MI;3;3;3;3;5;1;2;4.596.240,00   ;JP;;1.421.916,10   ;5  x   ;27  x   ;240  x   ;2.532  x   ;25.079  x   ;238.199  x   ;
;19.07.;SA;2;6;6;4;1;1;9;14.043.133,50   ;JP;;2.358.593,10   ;6  x   ;72  x   ;797  x   ;8.183  x   ;84.256  x   ;859.515  x   ;
30.;23.07.;MI;5;1;7;7;2;5;4;4.454.328,00   ;JP;;2.655.696,80   ;3  x   ;26  x   ;289  x   ;2.642  x   ;26.193  x   ;248.703  x   ;
;26.07.;SA;3;8;3;9;0;1;5;13.929.973,50   ;JP;;3.584.826,00   ;11  x   ;85  x   ;898  x   ;8.699  x   ;93.450  x   ;954.701  x   ;
31.;30.07.;MI;1;6;2;9;7;0;7;4.490.362,50   ;JP;;3.884.333,20   ;2  x   ;21  x   ;267  x   ;2.716  x   ;25.523  x   ;297.007  x   ;
;02.08.;SA;5;0;5;2;6;9;4;14.293.422,00   ;JP;;4.837.704,40   ;11  x   ;85  x   ;814  x   ;7.866  x   ;78.614  x   ;810.187  x   ;
32.;06.08.;MI;0;1;9;6;8;9;5;4.558.057,50   ;JP;;5.141.726,80   ;3  x   ;25  x   ;328  x   ;2.933  x   ;29.089  x   ;312.080  x   ;
;09.08.;SA;8;6;2;7;2;5;8;14.254.954,50   ;JP;;6.092.532,30   ;14  x   ;89  x   ;1.026  x   ;10.337  x   ;103.018  x   ;981.047  x   ;
33.;13.08.;MI;3;7;6;4;1;8;7;5.267.035,50   ;JP;;6.443.843,60   ;8  x   ;32  x   ;325  x   ;3.242  x   ;32.271  x   ;343.971  x   ;
;16.08.;SA;5;7;6;5;1;6;3;14.605.425,00   ;1  x   ;7.370.000,00   ;48.025,40   ;12  x   ;107  x   ;934  x   ;9.117  x   ;92.706  x   ;920.969  x   ;
34.;20.08.;MI;9;5;0;7;2;4;1;4.555.135,50   ;1  x   ;270.000,00   ;81.852,90   ;5  x   ;17  x   ;258  x   ;2.543  x   ;24.905  x   ;252.074  x   ;
;23.08.;SA;7;2;8;9;9;0;0;14.196.211,50   ;1  x   ;970.000,00   ;58.740,20   ;6  x   ;64  x   ;722  x   ;6.896  x   ;71.430  x   ;672.631  x   ;
35.;27.08.;MI;2;8;5;7;7;5;1;4.866.333,00   ;JP;;383.324,60   ;3  x   ;23  x   ;288  x   ;2.724  x   ;26.969  x   ;267.308  x   ;
;30.08.;SA;8;9;3;1;1;9;5;15.618.565,50   ;1  x   ;1.370.000,00   ;55.082,90   ;9  x   ;103  x   ;1.025  x   ;10.438  x   ;104.701  x   ;1.081.995  x   ;
36.;03.09.;MI;4;7;6;3;5;4;0;4.701.243,00   ;JP;;368.655,80   ;2  x   ;23  x   ;229  x   ;2.152  x   ;22.203  x   ;226.953  x   ;
;06.09.;SA;9;9;7;9;7;9;0;14.456.194,50   ;1  x   ;1.270.000,00   ;62.884,00   ;5  x   ;61  x   ;654  x   ;6.651  x   ;66.935  x   ;688.239  x   ;
37.;10.09.;MI;5;6;8;4;0;4;9;4.938.324,00   ;JP;;392.270,20   ;3  x   ;25  x   ;288  x   ;2.861  x   ;31.012  x   ;291.452  x   ;
;13.09.;SA;0;4;0;8;4;7;1;14.199.871,50   ;JP;;1.339.401,60   ;8  x   ;66  x   ;810  x   ;7.345  x   ;73.775  x   ;748.221  x   ;
38.;17.09.;MI;0;9;3;0;7;4;0;5.332.767,00   ;JP;;1.695.097,20   ;unbesetzt;22  x   ;240  x   ;2.547  x   ;25.975  x   ;262.861  x   ;
;20.09.;SA;8;9;8;2;4;5;1;15.425.943,00   ;3  x   ;870.000,00   ;114.007,60   ;8  x   ;79  x   ;806  x   ;8.423  x   ;83.566  x   ;815.164  x   ;
39.;24.09.;MI;2;1;7;7;6;6;6;4.878.867,00   ;1  x   ;370.000,00   ;69.428,00   ;3  x   ;49  x   ;432  x   ;4.407  x   ;32.867  x   ;308.610  x   ;
;27.09.;SA;0;1;7;7;8;4;9;14.920.918,50   ;JP;;1.064.653,30   ;12  x   ;97  x   ;950  x   ;9.566  x   ;95.528  x   ;913.203  x   ;
40.;01.10.;MI;4;4;5;6;4;2;0;6.041.286,00   ;JP;;1.467.607,10   ;1  x   ;24  x   ;293  x   ;2.977  x   ;29.408  x   ;302.816  x   ;
;04.10.;SA;2;6;4;1;0;2;9;14.401.423,50   ;1  x   ;2.370.000,00   ;58.182,00   ;7  x   ;77  x   ;845  x   ;8.557  x   ;88.677  x   ;885.551  x   ;
41.;08.10.;MI;6;4;5;3;0;6;4;5.117.209,50   ;JP;;399.499,90   ;3  x   ;25  x   ;299  x   ;2.894  x   ;29.417  x   ;286.184  x   ;
;11.10.;SA;2;4;4;3;1;0;6;15.281.973,00   ;2  x   ;670.000,00   ;78.807,50   ;5  x   ;92  x   ;922  x   ;8.678  x   ;83.182  x   ;968.995  x   ;
42.;15.10.;MI;2;8;3;5;4;8;1;5.720.493,00   ;JP;;460.364,40   ;4  x   ;18  x   ;312  x   ;3.056  x   ;30.823  x   ;317.472  x   ;
;18.10.;SA;0;8;4;5;3;4;4;17.561.082,00   ;4  x   ;370.000,00   ;151.688,60   ;11  x   ;101  x   ;1.014  x   ;10.347  x   ;102.855  x   ;990.297  x   ;
43.;22.10.;MI;0;4;4;5;3;3;3;4.935.364,50   ;JP;;480.877,40   ;5  x   ;44  x   ;358  x   ;3.872  x   ;31.458  x   ;304.448  x   ;
;25.10.;SA;9;8;7;0;5;6;6;14.449.759,50   ;1  x   ;1.370.000,00   ;74.676,40   ;15  x   ;99  x   ;929  x   ;9.312  x   ;95.439  x   ;897.863  x   ;
44.;29.10.;MI;5;6;9;5;9;6;8;4.960.614,00   ;1  x   ;370.000,00   ;35.549,40   ;2  x   ;35  x   ;345  x   ;3.421  x   ;33.567  x   ;336.728  x   ;
;01.11.;SA;3;4;6;3;3;2;1;14.848.341,00   ;1  x   ;970.000,00   ;55.933,70   ;8  x   ;86  x   ;829  x   ;8.532  x   ;81.411  x   ;789.446  x   ;
45.;05.11.;MI;4;5;2;6;0;3;6;4.718.593,50   ;JP;;370.663,90   ;4  x   ;31  x   ;316  x   ;3.022  x   ;31.216  x   ;301.334  x   ;
;08.11.;SA;1;6;5;6;4;9;7;14.531.223,00   ;1  x   ;1.270.000,00   ;69.896,50   ;7  x   ;93  x   ;942  x   ;9.300  x   ;90.807  x   ;937.509  x   ;
46.;12.11.;MI;1;5;4;3;8;0;0;4.620.091,50   ;JP;;378.056,60   ;1  x   ;19  x   ;225  x   ;2.456  x   ;26.082  x   ;222.232  x   ;
;15.11.;SA;9;3;4;3;0;5;9;14.256.702,00   ;JP;;1.328.978,60   ;8  x   ;86  x   ;871  x   ;8.573  x   ;90.083  x   ;878.282  x   ;
47.;19.11.;MI;3;1;0;3;0;0;6;4.794.366,00   ;JP;;1.648.762,80   ;3  x   ;21  x   ;278  x   ;2.526  x   ;27.493  x   ;315.794  x   ;
;22.11.;SA;2;8;0;5;2;1;4;14.869.929,00   ;3  x   ;870.000,00   ;30.587,10   ;11  x   ;88  x   ;832  x   ;8.163  x   ;82.011  x   ;839.796  x   ;
48.;26.11.;MI;2;1;3;0;0;6;4;5.724.588,00   ;JP;;412.417,10   ;3  x   ;21  x   ;324  x   ;3.330  x   ;33.146  x   ;320.383  x   ;
;29.11.;SA;0;2;8;8;6;1;8;17.017.119,00   ;5  x   ;270.000,00   ;197.458,90   ;11  x   ;112  x   ;1.124  x   ;11.300  x   ;113.347  x   ;1.166.201  x   ;
49.;03.12.;MI;6;5;1;8;0;0;6;10.021.417,50   ;JP;;865.887,40   ;5  x   ;35  x   ;542  x   ;5.610  x   ;58.659  x   ;644.313  x   ;
;06.12.;SA;1;2;1;6;3;9;4;17.679.766,50   ;1  x   ;1.970.000,00   ;75.127,80   ;12  x   ;99  x   ;994  x   ;9.681  x   ;97.961  x   ;1.006.352  x   ;
50.;10.12.;MI;0;1;4;8;3;6;3;5.203.542,00   ;JP;;422.204,10   ;9  x   ;35  x   ;343  x   ;3.228  x   ;32.226  x   ;318.519  x   ;
;13.12.;SA;1;8;4;3;4;7;3;15.106.620,00   ;1  x   ;1.370.000,00   ;59.815,70   ;10  x   ;107  x   ;906  x   ;9.143  x   ;92.492  x   ;941.126  x   ;
51.;17.12.;MI;8;5;5;7;0;5;4;5.434.764,00   ;JP;;422.314,50   ;unbesetzt;15  x   ;345  x   ;3.053  x   ;32.216  x   ;307.581  x   ;
;20.12.;SA;2;0;4;7;8;0;4;16.140.528,00   ;3  x   ;470.000,00   ;88.887,70   ;5  x   ;78  x   ;864  x   ;8.249  x   ;81.777  x   ;931.890  x   ;
52.;24.12.;MI;3;5;3;8;7;0;8;8.212.495,50   ;JP;;636.661,10   ;4  x   ;50  x   ;471  x   ;4.699  x   ;48.313  x   ;548.642  x   ;
;27.12.;SA;1;4;7;8;9;2;6;15.221.726,00   ;JP;;1.651.950,20   ;9  x   ;91  x   ;1.022  x   ;9.700  x   ;97.646  x   ;965.778  x   ;
;;;;;;;;Gewinne Gesamt;;;36   ;;;335   ;3.050   ;31.831   ;315.981   ;3.154.368   ;31.781.849   ;
