Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 53. Veranstaltung 1992;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
VA;1992;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
26.;27.06.;7;7;6;6;3;8;2;21.819.217,50;JP;;1.688.420,20   ;9 x           ;78 x         ;784 x         ;7.903 x        ;78.013 x    ;779.633 x    ;;;;
27.;04.07.;4;5;2;4;0;2;8;21.357.910,00;3 x;977.777,00   ;273.636,60   ;10 x           ;85 x         ;796 x         ;7.801 x        ;80.090 x    ;787.833 x    ;;;;
28.;11.07.;9;4;5;9;4;2;2;21.972.057,50;1 x;1.777.777,00   ;58.072,90   ;8 x           ;97 x         ;805 x         ;7.970 x        ;78.202 x    ;779.812 x    ;;;;
29.;18.07.;1;3;0;8;0;8;2;22.303.950,00;1 x;1.577.777,00   ;66.106,70   ;8 x           ;77 x         ;764 x         ;7.519 x        ;77.066 x    ;766.116 x    ;;;;
30.;25.07.;9;5;6;2;7;2;4;22.528.532,50;2 x;777.777,00   ;112.331,40   ;12 x           ;94 x         ;876 x         ;8.437 x        ;82.934 x    ;821.030 x    ;;;;
31.;01.08.;6;9;5;8;8;3;0;21.256.530,00;2 x;777.777,00   ;68.116,70   ;11 x           ;65 x         ;715 x         ;7.246 x        ;72.065 x    ;718.564 x    ;;;;
32.;08.08.;5;3;6;5;4;7;0;21.271.360,00;JP;;1.580.510,40   ;3 x           ;74 x         ;718 x         ;6.889 x        ;70.410 x    ;700.623 x    ;;;;
33.;15.08.;0;6;4;0;6;0;6;21.476.017,50;1 x;3.077.777,00   ;29.678,20   ;11 x           ;70 x         ;794 x         ;7.738 x        ;75.206 x    ;787.451 x    ;;;;
34.;22.08.;9;0;0;3;3;6;7;21.420.217,50;1 x;1.477.777,00   ;74.878,70   ;6 x           ;65 x         ;773 x         ;7.786 x        ;79.688 x    ;790.526 x    ;;;;
35.;29.08.;6;1;7;9;2;2;5;21.642.275,00;1 x;1.577.777,00   ;35.867,50   ;16 x           ;76 x         ;782 x         ;7.953 x        ;79.873 x    ;788.250 x    ;;;;
36.;05.09.;2;3;1;7;6;0;9;28.369.760,00;1 x;1.977.777,00   ;75.180,40   ;13 x           ;100 x         ;928 x         ;10.063 x        ;100.338 x    ;1.044.030 x    ;;;;
37.;12.09.;2;8;1;9;4;2;6;24.850.110,00;2 x;877.777,00   ;86.469,20   ;11 x           ;91 x         ;876 x         ;9.139 x        ;90.290 x    ;901.872 x    ;;;;
38.;19.09.;1;9;5;1;9;5;1;25.481.767,50;JP;;1.898.222,90   ;11 x           ;84 x         ;944 x         ;9.222 x        ;90.855 x    ;896.120 x    ;;;;
39.;26.09.;2;6;2;1;7;0;7;22.960.507,50;1 x;3.477.777,00   ;52.938,00   ;8 x           ;79 x         ;849 x         ;8.253 x        ;81.479 x    ;849.963 x    ;;;;
40.;03.10.;2;8;1;3;7;8;7;24.590.645,00;JP;;1.801.332,90   ;8 x           ;87 x         ;873 x         ;8.905 x        ;87.895 x    ;877.456 x    ;;;;
41.;10.10.;4;1;9;8;9;1;0;24.469.590,00;1 x;3.477.777,00   ;63.343,70   ;7 x           ;83 x         ;843 x         ;8.396 x        ;84.051 x    ;832.641 x    ;;;;
42.;17.10.;6;8;3;9;2;7;3;24.211.427,50;1 x;1.777.777,00   ;6.999,20   ;6 x           ;93 x         ;879 x         ;8.928 x        ;88.531 x    ;883.178 x    ;;;;
43.;24.10.;4;9;6;7;3;0;6;23.186.500,00;1 x;1.577.777,00   ;77.782,40   ;7 x           ;86 x         ;871 x         ;8.233 x        ;81.235 x    ;855.489 x    ;;;;
44.;31.10.;5;5;9;4;9;5;5;23.400.157,50;JP;;1.741.533,60   ;7 x           ;69 x         ;823 x         ;8.662 x        ;85.187 x    ;848.734 x    ;;;;
45.;07.11.;6;4;9;3;0;9;4;25.165.907,50;2 x;1.677.777,00   ;175.275,60   ;12 x           ;97 x         ;873 x         ;8.848 x        ;91.252 x    ;908.651 x    ;;;;
46.;14.11.;0;2;2;4;4;5;0;23.730.110,00;2 x;877.777,00   ;106.932,40   ;10 x           ;64 x         ;844 x         ;8.143 x        ;81.797 x    ;805.120 x    ;;;;
47.;21.11.;8;7;7;0;7;2;4;23.111.090,00;1 x;1.677.777,00   ;72.353,90   ;5 x           ;79 x         ;837 x         ;8.507 x        ;84.317 x    ;831.329 x    ;;;;
48.;28.11.;0;0;1;0;6;1;0;23.436.917,50;JP;;1.738.718,70   ;10 x           ;72 x         ;795 x         ;8.094 x        ;78.868 x    ;793.260 x    ;;;;
49.;05.12.;9;1;4;9;7;5;6;31.042.442,50;1 x;3.877.777,00   ;68.059,40   ;15 x           ;109 x         ;1.092 x         ;11.647 x        ;113.822 x    ;1.131.366 x    ;;;;
50.;12.12.;9;8;8;1;7;9;1;24.559.637,50;3 x;577.777,00   ;80.918,60   ;5 x           ;64 x         ;853 x         ;8.586 x        ;86.183 x    ;865.429 x    ;;;;
51.;19.12.;6;2;2;9;7;2;6;25.959.457,50;JP;;1.926.636,00   ;10 x           ;99 x         ;970 x         ;9.411 x        ;95.328 x    ;948.956 x    ;;;;
52.;26.12.;9;7;2;4;5;5;2;22.977.320,00;1 x;3.477.777,00   ;82.546,50   ;11 x           ;70 x         ;886 x         ;8.363 x        ;83.847 x    ;825.897 x    ;;;;
53.;02.01.;2;3;2;5;5;4;5;22.641.650,00;JP;;1.692.367,80   ;5 x           ;94 x         ;863 x         ;8.369 x        ;84.158 x    ;825.319 x    ;;;;
;;;;;;;Gewinne Gesamt;;;54   ;;;470 x           ;4.532 x         ;45.903 x         ;458.061 x        ;4.583.261;45.856.684;;;;
;;;;;;;;;;;;;;;;;;;;;;
