Spiel 77 Samstag;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1988;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
VA;1988;Gewinnzahl;;;;;;End-;Spieleinsatz;Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;
9.;05.03.;4;0;7;2;0;6;7;18.773.470,00;3 x;1.355.555,40   ;245.355,00   ;11 x           ;78 x         ;832 x         ;8.741 x        ;85.044 x    ;;;;
10.;12.03.;8;7;2;2;6;8;1;15.895.086,00;JP;;1.480.403,20   ;7 x           ;62 x         ;720 x         ;7.091 x        ;71.090 x    ;;;;
11.;19.03.;4;6;7;0;2;8;4;15.612.448,00;1 x;2.555.555,40   ;137.935,00   ;12 x           ;82 x         ;744 x         ;6.959 x        ;70.325 x    ;;;;
12.;26.03.;1;1;9;8;9;9;9;15.373.054,00;1 x;1.155.555,40   ;176.865,90   ;9 x           ;66 x         ;639 x         ;6.647 x        ;68.232 x    ;;;;
13.;02.04.;0;9;8;2;9;4;2;14.898.522,00;1 x;1.155.555,40   ;178.925,10   ;9 x           ;86 x         ;670 x         ;6.741 x        ;68.113 x    ;;;;
14.;09.04.;7;1;8;0;9;4;2;14.781.994,00;JP;;1.327.486,00   ;11 x           ;72 x         ;630 x         ;6.351 x        ;64.619 x    ;;;;
15.;16.04.;0;8;8;0;4;9;0;15.043.776,00;3 x;755.555,40   ;229.721,10   ;5 x           ;72 x         ;627 x         ;6.589 x        ;65.657 x    ;;;;
16.;23.04.;5;6;2;7;3;9;8;14.696.478,00;1 x;1.355.555,40   ;16.082,00   ;8 x           ;61 x         ;641 x         ;6.792 x        ;65.977 x    ;;;;
17.;30.04.;5;7;2;0;0;7;9;14.966.352,00;1 x;1.155.555,40   ;23.412,10   ;5 x           ;70 x         ;673 x         ;6.637 x        ;68.258 x    ;;;;
18.;07.05.;2;0;5;2;7;3;4;14.649.536,00;JP;;1.161.681,00   ;5 x           ;66 x         ;703 x         ;6.723 x        ;66.592 x    ;;;;
19.;14.05.;4;3;7;1;4;0;7;14.325.566,00;2 x;955.555,40   ;363.666,60   ;4 x           ;73 x         ;625 x         ;6.325 x        ;63.657 x    ;;;;
20.;21.05.;6;3;1;6;6;6;3;14.567.680,00;JP;;1.495.575,30   ;9 x           ;61 x         ;665 x         ;6.567 x        ;65.607 x    ;;;;
21.;28.05.;2;7;1;1;4;6;7;14.017.742,00;JP;;2.584.753,80   ;5 x           ;55 x         ;631 x         ;6.431 x        ;62.697 x    ;;;;
22.;04.06.;7;4;6;8;8;5;6;14.248.534,00;1 x;3.555.555,40   ;136.309,40   ;3 x           ;63 x         ;670 x         ;6.601 x        ;65.576 x    ;;;;
23.;11.06.;5;0;7;9;3;1;1;14.727.132,00;1 x;1.155.555,40   ;125.052,10   ;4 x           ;61 x         ;623 x         ;6.622 x        ;66.051 x    ;;;;
24.;18.06.;5;1;2;3;0;7;8;13.443.942,00;JP;;1.169.646,30   ;3 x           ;66 x         ;568 x         ;5.933 x        ;62.255 x    ;;;;
25.;25.06.;9;8;7;5;1;1;4;14.219.404,00;JP;;2.274.493,90   ;5 x           ;75 x         ;662 x         ;6.354 x        ;64.245 x    ;;;;
26.;02.07.;7;6;4;2;0;3;0;14.512.680,00;JP;;3.402.129,10   ;12 x           ;63 x         ;632 x         ;6.273 x        ;63.716 x    ;;;;
27.;09.07.;3;7;5;6;9;6;2;14.675.076,00;JP;;4.542.382,50   ;10 x           ;55 x         ;634 x         ;6.621 x        ;65.718 x    ;;;;
28.;16.07.;6;6;7;2;9;4;4;15.156.264,00;1 x;5.555.555,40   ;164.468,80   ;9 x           ;60 x         ;711 x         ;6.765 x        ;69.221 x    ;;;;
29.;23.07.;5;3;7;8;4;0;7;14.232.308,00;3 x;355.555,40   ;203.652,90   ;6 x           ;74 x         ;678 x         ;6.380 x        ;63.202 x    ;;;;
30.;30.07.;6;5;0;1;7;5;0;14.387.042,00;JP;;1.321.526,00   ;5 x           ;52 x         ;670 x         ;6.485 x        ;63.772 x    ;;;;
31.;06.08.;3;1;5;9;1;8;1;14.434.162,00;JP;;2.443.060,30   ;8 x           ;56 x         ;631 x         ;6.407 x        ;64.279 x    ;;;;
32.;13.08.;4;0;9;4;0;4;2;14.162.610,00;JP;;3.543.495,00   ;5 x           ;57 x         ;657 x         ;6.231 x        ;64.530 x    ;;;;
33.;20.08.;8;1;2;2;5;5;5;14.114.588,00;1 x;4.555.555,40   ;84.643,00   ;4 x           ;79 x         ;701 x         ;6.661 x        ;63.751 x    ;;;;
34.;27.08.;5;8;3;3;5;7;2;16.097.938,00;JP;;1.335.452,70   ;9 x           ;71 x         ;703 x         ;7.235 x        ;72.744 x    ;;;;
35.;03.09.;3;0;9;1;4;5;5;17.262.674,00;3 x;755.555,40   ;410.096,20   ;8 x           ;79 x         ;798 x         ;7.863 x        ;77.705 x    ;;;;
36.;10.09.;0;6;4;7;5;0;3;17.481.010,00;JP;;1.768.370,60   ;9 x           ;63 x         ;770 x         ;7.531 x        ;75.374 x    ;;;;
37.;17.09.;4;5;9;9;9;4;4;17.761.128,00;1 x;2.955.555,40   ;192.854,80   ;5 x           ;105 x         ;766 x         ;8.121 x        ;82.203 x    ;;;;
38.;24.09.;4;7;4;5;3;5;5;17.103.538,00;1 x;1.355.555,40   ;166.244,30   ;9 x           ;70 x         ;774 x         ;7.800 x        ;78.551 x    ;;;;
39.;01.10.;1;1;0;7;9;6;4;17.494.292,00;JP;;1.525.550,70   ;9 x           ;82 x         ;811 x         ;7.993 x        ;78.978 x    ;;;;
40.;08.10.;8;4;8;5;0;1;3;17.279.816,00;1 x;2.755.555,40   ;112.637,00   ;6 x           ;69 x         ;806 x         ;8.046 x        ;82.042 x    ;;;;
41.;15.10.;7;5;2;3;9;2;8;17.026.284,00;1 x;1.355.555,40   ;80.023,80   ;5 x           ;70 x         ;811 x         ;7.862 x        ;78.576 x    ;;;;
42.;22.10.;9;3;5;8;5;9;5;17.042.796,00;JP;;1.404.249,00   ;8 x           ;69 x         ;807 x         ;7.735 x        ;76.133 x    ;;;;
43.;29.10.;3;1;5;2;9;3;5;17.009.494,00;JP;;2.725.886,60   ;8 x           ;64 x         ;814 x         ;7.721 x        ;77.083 x    ;;;;
44.;05.11.;9;6;0;5;7;5;4;17.354.948,00;JP;;4.074.366,00   ;5 x           ;88 x         ;783 x         ;8.072 x        ;79.412 x    ;;;;
45.;12.11.;0;8;1;8;4;6;1;18.492.890,00;3 x;1.755.555,40   ;244.597,30   ;4 x           ;76 x         ;764 x         ;8.411 x        ;82.716 x    ;;;;
46.;19.11.;9;0;8;5;8;1;6;17.201.994,00;1 x;1.555.555,40   ;25.636,80   ;7 x           ;82 x         ;803 x         ;7.904 x        ;77.379 x    ;;;;
47.;26.11.;4;7;2;6;9;4;9;17.117.698,00;JP;;1.355.681,90   ;7 x           ;84 x         ;741 x         ;7.860 x        ;78.634 x    ;;;;
48.;03.12.;1;3;8;2;8;6;9;22.700.104,00;1 x;2.955.555,40   ;163.924,50   ;13 x           ;100 x         ;1.010 x         ;10.411 x        ;103.170 x    ;;;;
49.;10.12.;1;5;2;6;7;7;9;18.230.866,00;2 x;755.555,40   ;69.351,90   ;8 x           ;100 x         ;782 x         ;8.040 x        ;82.394 x    ;;;;
50.;17.12.;9;8;2;0;0;3;6;19.101.046,00;3 x;355.555,40   ;486.836,90   ;15 x           ;86 x         ;775 x         ;8.518 x        ;87.669 x    ;;;;
51.;24.12.;7;5;0;0;5;9;4;16.088.768,00;1 x;1.555.555,40   ;181.378,70   ;6 x           ;95 x         ;754 x         ;7.376 x        ;72.305 x    ;;;;
52.;31.12.;6;1;1;6;7;4;4;15.947.790,00;JP;;1.420.521,90   ;4 x           ;70 x         ;739 x         ;7.215 x        ;71.943 x    ;;;;
;;;;;;;Gewinne Gesamt;;;44 x;;;378 x;3.816 x;38.062 x;381.314 x;3.805.882 x;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
