Spiel 77 Samstag;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 53. Veranstaltung 1998;;;;;Spiel 77 Samstag;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;Alle Zahlenangaben ohne Gewähr;
;;;;;;;;;;;;;;;;;;;;;;;;
VA;1998;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;;VA;
;;;;;;;;ziffer;DM;        ab 377.777,00 DM;;DM;77.777,00 DM;7.777,00 DM;777,00 DM;77,00 DM;17,00 DM;5,00 DM;;;;;;
;;;;;;;;;;Gewinne;DM;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;
41.;10.10.;1;5;3;2;1;0;9;28.779.605,00;1  x  ;6.277.777,00   ;19.913,60   ;14  x  ;96  x  ;929  x  ;9.233  x  ;90.812  x  ;1.032.789  x  ;;;;;41.;6.277.777,00
42.;17.10.;2;7;7;9;4;0;6;28.452.167,50;2  x  ;977.777,00   ;87.315,80   ;5  x  ;98  x  ;973  x  ;9.670  x  ;97.300  x  ;1.104.763  x  ;;;;;42.;1.955.554,00
43.;24.10.;0;3;7;4;3;1;6;28.011.005,00;1  x  ;2.077.777,00   ;1.121,30   ;10  x  ;113  x  ;1.088  x  ;10.529  x  ;104.389  x  ;1.073.770  x  ;;;;;43.;2.077.777,00
44.;31.10.;3;5;3;8;3;7;3;28.138.500,00;1  x  ;1.977.777,00   ;23.991,70   ;7  x  ;109  x  ;1.011  x  ;10.125  x  ;100.074  x  ;1.009.769  x  ;;;;;44.;1.977.777,00
45.;07.11.;9;4;7;0;3;7;5;28.823.957,50;2  x  ;977.777,00   ;117.821,10   ;15  x  ;130  x  ;1.122  x  ;11.210  x  ;111.490  x  ;1.076.160  x  ;;;;;45.;1.955.554,00
46.;14.11.;8;9;2;7;1;2;9;29.040.795,00;1  x  ;2.177.777,00   ;4.844,60   ;11  x  ;121  x  ;1.103  x  ;10.883  x  ;106.951  x  ;1.063.632  x  ;;;;;46.;2.177.777,00
47.;21.11.;7;6;8;5;0;3;5;28.996.645,00;3  x  ;677.777,00   ;33.175,10   ;12  x  ;106  x  ;1.083  x  ;10.468  x  ;111.303  x  ;1.092.511  x  ;;;;;47.;2.033.331,00
48.;28.11.;2;9;3;4;8;6;3;28.366.367,50;JP;;2.050.023,80   ;10  x  ;109  x  ;1.053  x  ;10.105  x  ;101.247  x  ;1.014.338  x  ;;;;;48.;
49.;05.12.;1;7;9;9;3;5;1;33.939.327,50;1  x  ;4.377.777,00   ;85.333,00   ;16  x  ;122  x  ;1.137  x  ;10.815  x  ;107.771  x  ;1.062.693  x  ;;;;;49.;4.377.777,00
50.;12.12.;0;6;8;9;1;5;9;29.238.662,50;2  x  ;1.077.777,00   ;8.647,90   ;11  x  ;110  x  ;1.068  x  ;10.942  x  ;109.015  x  ;1.082.743  x  ;;;;;50.;2.155.554,00
51.;19.12.;5;1;0;0;6;0;9;30.123.192,50;1  x  ;2.077.777,00   ;72.629,90   ;4  x  ;86  x  ;1.002  x  ;10.032  x  ;100.818  x  ;1.130.502  x  ;;;;;51.;2.077.777,00
52.;26.12.;4;6;6;6;8;2;1;28.839.455,00;1  x  ;2.077.777,00   ;45.338,20   ;15  x  ;107  x  ;952  x  ;9.239  x  ;92.297  x  ;889.716  x  ;;;;;52.;2.077.777,00
53.;02.01.;7;0;0;8;6;8;4;29.497.937,50;1  x  ;2.077.777,00   ;64.864,60   ;5  x  ;120  x  ;1.069  x  ;10.479  x  ;104.744  x  ;1.052.585  x  ;;;;;53.;2.077.777,00
;;;;;;;Gewinne Gesamt;;;65   ;;;570   ;5611;56119;560498;5.614.700;56.415.452;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
