Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1991
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;;   Gewinnklasse VII;
;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;(6 Treffer und Superzahl);;(6 Treffer);;(5 Treffer + Zusatzzahl);;(5 Treffer);;(4 Treffer);;(3 Treffer u. Zusatzzahl);;(3 Treffer);
VA;1991;gezogener Reihenfolge;;;;;;satz-;per-;;Einführung 49. VA 1991;;bis zur 49. VA 1991 Gewinnklasse 1;;bis zur 49. VA 1991 Gewinnklasse 2;;bis zur 49. VA Gewinnklasse 3;;bis zur 49. VA Gewinnklasse 4;;Einführung 49. VA 1991;;bis zur 49. VA 1991 Gewinnklasse 5;
;;;;;;;;zahl;zahl;DM;Gewinne;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
34.;24.08.;31 ;26 ;36 ;41 ;32 ;7 ;21 ;;97.780.420,00 ;;;2  x  ;3.666.765,70 ;52  x;70.514,70 ;1.151  x     ;9.557,10 ;88.609  x    ;124,10 ;;;1.785.954  x;8,80  
35.;31.08.;40 ;9 ;7 ;32 ;38 ;28 ;34 ;;99.370.823,00 ;;;7  x  ;1.064.687,30 ;31  x;120.206,60 ;1.882  x     ;5.940,00 ;107.215  x    ;104,20 ;;;1.953.206  x;8,20  
36.;07.09.;32 ;44 ;49 ;48 ;34 ;45 ;4 ;;104.952.028,00 ;;;16  x  ;491.962,60 ;12  x;327.975,00 ;2.352  x     ;5.020,00 ;131.835  x    ;89,50 ;;;1.802.362  x;9,40  
37.;14.09.;33 ;35 ;37 ;40 ;24 ;32 ;15 ;;102.185.954,00 ;;;10  x  ;766.394,60 ;27  x;141.924,90 ;2.031  x     ;5.660,20 ;106.789  x    ;107,60 ;;;1.940.108  x;8,50  
38.;21.09.;18 ;9 ;19 ;46 ;40 ;17 ;22 ;;101.021.229,00 ;;;4  x  ;1.894.148,00 ;21  x;180.395,00 ;1.938  x     ;5.864,20 ;118.517  x    ;95,80 ;;;2.192.607  x;7,40  
39.;28.09.;18 ;3 ;12 ;23 ;35 ;43 ;39 ;;101.602.051,00 ;;;19  x  ;401.060,70 ;114  x;33.421,70 ;2.537  x     ;4.505,40 ;118.924  x    ;96,10 ;;;1.956.788  x;8,40  
40.;05.10.;23 ;17 ;16 ;12 ;31 ;36 ;32 ;;101.029.668,00 ;;;2  x  ;3.788.612,50 ;27  x;140.318,90 ;1.540  x     ;7.380,40 ;95.357  x    ;119,10 ;;;1.861.372  x;8,80  
41.;12.10.;9 ;14 ;13 ;21 ;8 ;41 ;30 ;;107.410.372,00 ;;;13  x  ;619.675,20 ;30  x;134.262,90 ;1.315  x     ;9.189,10 ;84.236  x    ;143,40 ;;;1.808.369  x;9,60  
42.;19.10.;24 ;39 ;38 ;4 ;34 ;33 ;11 ;;105.333.363,00 ;;;3  x  ;2.633.334,00 ;56  x;70.535,70 ;1.638  x     ;7.234,40 ;114.634  x    ;103,30 ;;;2.094.360  x;8,10  
43.;26.10.;17 ;41 ;25 ;4 ;8 ;2 ;1 ;;104.094.568,00 ;;;16  x  ;487.943,20 ;35  x;111.529,80 ;2.438  x     ;4.803,30 ;125.196  x    ;93,50 ;;;2.132.522  x;7,90  
44.;02.11.;4 ;24 ;45 ;23 ;32 ;18 ;31 ;;100.977.636,00 ;;;8  x  ;946.665,30 ;31  x;122.150,30 ;2.466  x     ;4.606,60 ;124.913  x    ;90,90 ;;;2.053.231  x;7,90  
45.;09.11.;26 ;9 ;18 ;2 ;14 ;21 ;13 ;;107.106.482,00 ;;;6  x  ;1.338.831,00 ;37  x;108.553,80 ;2.428  x     ;4.962,70 ;118.596  x    ;101,60 ;;;2.061.783  x;8,40  
46.;16.11.;32 ;31 ;2 ;8 ;43 ;29 ;39 ;;105.186.702,00 ;;;2  x  ;3.944.501,30 ;16  x;246.531,30 ;1.058  x     ;11.184,70 ;70.592  x    ;167,60 ;;;1.534.297  x;11,10  
47.;23.11.;26 ;11 ;40 ;36 ;3 ;9 ;16 ;;103.870.545,00 ;;;10  x  ;779.029,00 ;79  x;49.305,60 ;2.604  x     ;4.487,40 ;131.649  x    ;88,70 ;;;2.238.087  x;7,50  
48.;30.11.;15 ;6 ;12 ;28 ;16 ;48 ;29 ;;106.903.430,00 ;;;8  x  ;1.002.219,60 ;48  x;83.518,30 ;1.578  x     ;7.621,40 ;96.016  x    ;125,20 ;;;1.795.147  x;9,60  
49.;07.12.;6 ;49 ;16 ;42 ;41 ;17 ;45 ;7 ;146.826.366,50 ;JP;2.936.527,30  ;3  x  ;2.936.527,30 ;22  x;200.217,70 ;1.553  x     ;9.454,30 ;85.968  x    ;170,70 ;108.067  x  ;95,10 ;1.758.446  x;10,00  
50.;14.12.;37 ;43 ;1 ;44 ;39 ;47 ;42 ;4 ;135.000.323,75 ;JP;5.636.534,00  ;3  x  ;2.700.006,40 ;73  x;55.479,50 ;2.011  x     ;6.713,00 ;93.779  x    ;143,90 ;113.159  x  ;83,50 ;1.518.090  x;10,60  
51.;21.12.;49 ;32 ;30 ;45 ;12 ;8 ;4 ;9 ;140.470.378,75 ;JP;8.445.941,00  ;4  x  ;2.107.055,60 ;48  x;87.793,90 ;1.461  x     ;9.614,60 ;93.181  x    ;150,70 ;154.021  x  ;63,80 ;1.702.321  x;9,90  
52.;28.12.;46 ;17 ;43 ;45 ;35 ;36 ;44 ;1 ;130.600.346,25 ;JP;11.057.948,10  ;2  x  ;3.918.010,30 ;70  x;55.971,50 ;1.330  x     ;9.819,50 ;75.936  x    ;171,90 ;126.066  x  ;72,50 ;1.415.099  x;11,00  
