Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1985
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Gewinnklasse I;;Gewinnklasse II;;Gewinnklasse III;; Gewinnklasse IV;;   Gewinnklasse V;
;;Gewinnzahlen in;;;;;;Zu-;Spieleinsatz;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer;
VA;1985;gezogener Reihenfolge;;;;;;satz-;;;;Zusatzzahl;;;;;;;
;;;;;;;;zahl;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM
41.;12.10.;35 ;15 ;12 ;49 ;10 ;34 ;7 ;94.624.554,00 ;4  x  ;1.774.210,30 ;22  x  ;161.291,80 ;935  x     ;11.385,30 ;62.031  x    ;171,60 ;1.349.484  x;11,30  
42.;19.10.;13 ;19 ;43 ;25 ;15 ;38 ;20 ;93.091.454,00 ;1  x  ;6.981.859,00 ;22  x  ;158.678,60 ;1.477  x     ;7.090,50 ;101.564  x    ;103,10 ;1.652.256  x;9,10  
43.;26.10.;28 ;38 ;39 ;15 ;46 ;44 ;4 ;94.475.466,00 ;3  x  ;2.361.886,60 ;19  x  ;186.464,70 ;753  x     ;14.114,80 ;59.255  x    ;179,30 ;1.286.202  x;11,90  
44.;02.11.;42 ;24 ;9 ;34 ;2 ;5 ;15 ;93.184.633,00 ;6  x  ;1.164.807,90 ;42  x  ;83.200,50 ;1.815  x     ;5.775,90 ;97.261  x    ;107,70 ;1.752.582  x;8,60  
45.;09.11.;3 ;14 ;20 ;36 ;19 ;46 ;24 ;96.290.106,00 ;4  x  ;1.805.439,40 ;53  x  ;68.129,70 ;1.079  x     ;10.039,50 ;70.415  x    ;153,80 ;1.485.166  x;10,50  
46.;16.11.;1 ;48 ;10 ;15 ;11 ;38 ;49 ;96.260.315,00 ;6  x  ;1.203.253,90 ;113  x  ;31.944,70 ;1.457  x     ;7.432,50 ;83.697  x    ;129,30 ;1.585.779  x;9,80  
47.;23.11.;39 ;8 ;31 ;48 ;38 ;15 ;24 ;93.307.124,00 ;3  x  ;2.332.678,10 ;28  x  ;124.964,80 ;1.047  x     ;10.025,80 ;67.725  x    ;154,90 ;1.399.001  x;10,80  
48.;30.11.;22 ;48 ;3 ;30 ;36 ;15 ;7 ;96.107.178,00 ;6  x  ;1.201.339,70 ;69  x  ;52.232,10 ;1.821  x     ;5.937,40 ;80.535  x    ;134,20 ;1.457.617  x;10,70  
49.;07.12.;23 ;28 ;48 ;33 ;6 ;12 ;41 ;107.564.421,00 ;13  x  ;620.563,90 ;77  x  ;52.385,20 ;2.471  x     ;4.897,20 ;121.371  x    ;99,70 ;2.069.802  x;8,40  
50.;14.12.;17 ;19 ;20 ;8 ;29 ;23 ;3 ;99.490.258,00 ;2  x  ;3.730.884,60 ;53  x  ;70.394,00 ;1.289  x     ;8.683,20 ;86.557  x    ;129,30 ;1.722.611  x;9,30  
51.;21.12.;36 ;44 ;37 ;7 ;9 ;17 ;12 ;101.332.122,00 ;3  x  ;2.533.303,00 ;27  x  ;140.739,00 ;1.450  x     ;7.861,90 ;95.559  x    ;119,20 ;1.900.650  x;8,60  
52.;28.12.;37 ;35 ;14 ;1 ;49 ;30 ;23 ;92.311.018,00 ;3  x  ;2.307.775,40 ;23  x  ;150.507,00 ;1.052  x     ;9.871,60 ;63.166  x    ;164,40 ;1.261.955  x;11,80  
;;;;;;;;;;;;;;;;;;;
