Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1994;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;;   Gewinnklasse VII;;
;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer u. Zusatzzahl ;;3 Treffer;;
VA;1994;gezogener Reihenfolge;;;;;;satz-;per-;;;;;;Zusatzzahl;;;;;;;;;;
;;;;;;;;zahl;zahl;DM;Gewinne;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;
37.;17.09.;37;27;15;48;41;14;40;2;163.185.163,75;1  x;3.263.703,20;3  x  ;3.263.703,20;24  x;203.981,40;1.609  x     ;10.142,00;95.740  x    ;170,4;109.439  x  ;104,3;1.775.791  x;11;
38.;24.09.;47;23;44;6;7;16;17;4;146.931.572,50;JP;2.938.631,40;4  x  ;2.203.973,50;43  x;102.510,30;1.647  x     ;8.921,10;98.202  x    ;149,6;152.919  x  ;67,2;1.876.511  x;9,3;
39.;01.10.;38;1;32;8;28;9;3;6;142.464.336,25;1  x;5.787.918,10;4  x  ;2.136.965,00;40  x;106.848,20;1.705  x     ;8.355,60;106.322  x    ;133,9;174.005  x  ;57,3;1.907.067  x;8,9;
40.;08.10.;3;44;12;35;36;48;38;2;135.201.523,75;JP;2.704.030,40;4  x  ;2.028.022,80;17  x;238.590,90;1.523  x     ;8.877,30;87.682  x    ;154,1;105.145  x  ;90;1.567.692  x;10,3;
41.;15.10.;5;7;41;18;22;38;13;1;141.415.965,00;1  x;5.532.349,70;16  x  ;530.309,80;75  x;56.566,30;2.544  x     ;5.558,80;123.332  x    ;114,6;169.834  x  ;58,2;2.020.364  x;8,3;
42.;22.10.;46;19;45;31;27;22;47;8;130.528.055,00;1  x;10.442.244,40;unbesetzt;;11  x;355.985,60;1.227  x     ;10.637,90;92.219  x    ;141,5;103.657  x  ;88,1;1.774.265  x;8,8;
43.;29.10.;15;13;33;23;29;7;8;4;131.084.081,25;1  x;2.621.681,60;4  x  ;1.966.261,20;37  x;106.284,30;2.485  x     ;5.275,00;126.534  x    ;103,5;125.554  x  ;73;1.923.749  x;8,1;
44.;05.11.;9;22;24;6;30;33;41;4;131.176.398,75;JP;2.623.527,90;2  x  ;3.935.291,90;33  x;119.251,20;1.806  x     ;7.263,30;114.835  x    ;114,2;134.042  x  ;68,5;1.963.031  x;8;
45.;12.11.;41;29;31;19;36;48;33;7;131.040.097,50;JP;5.244.329,80;1  x  ;7.862.405,80;30  x;131.040,00;1.300  x     ;10.080,00;80.201  x    ;163,3;109.489  x  ;83,7;1.519.709  x;10,3;
46.;19.11.;4;47;46;3;6;18;24;3;129.999.156,25;JP;7.844.312,90;4  x  ;1.949.987,30;41  x;95.121,30;1.512  x     ;8.597,80;87.965  x    ;147,7;147.870  x  ;61,5;1.722.365  x;9;
47.;26.11.;13;28;10;3;23;14;9;1;136.475.418,75;JP;10.573.821,20;3  x  ;2.729.508,30;40  x;102.356,50;1.718  x     ;7.943,80;105.410  x    ;129,4;154.824  x  ;61,7;1.822.064  x;8,9;
48.;03.12.;48;32;27;36;3;23;5;1;160.039.976,25;JP;13.774.620,70;13  x  ;738.646,00;63  x;76.209,50;3.134  x     ;5.106,50;144.717  x    ;110,5;169.358  x  ;66,1;2.231.127  x;8,6;
49.;10.12.;5;13;43;3;8;2;21;1;159.097.371,25;JP;16.956.568,10;3  x  ;3.181.947,40;70  x;68.184,50;1.930  x     ;8.243,30;124.103  x    ;128,1;181.298  x  ;61,4;2.198.990  x;8,6;
50.;17.12.;35;37;19;24;38;36;21;5;176.994.136,25;1  x;20.496.450,80;6  x  ;1.769.941,30;33  x;160.903,70;1.604  x     ;11.034,50;115.727  x    ;152,9;140.366  x  ;88,2;2.158.182  x;9,8;
51.;24.12.;1;13;43;16;30;6;37;9;153.522.377,50;JP;3.070.447,50;2  x  ;4.605.671,30;32  x;143.927,20;1.538  x     ;9.981,90;94.454  x    ;162,5;111.880  x  ;96;1.785.106  x;10,3;
52.;31.12.;37;15;41;32;7;26;44;8;147.453.386,25;7  x;859.930,70;14  x  ;631.943,00;55  x;80.429,10;3.382  x     ;4.359,90;138.490  x    ;106,4;135.669  x  ;76;2.108.487  x;8,3;
;;;;;;;;;;;;;;;;;;;;;;;;;277.610
