;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2015;;;;;;;;;;;;;;;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;;;;;;;;;;;;;;;;;;;;;;
KW;2015;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;;;;;;;;;;;;;;;;;;;;;;
;21.03.;SA;30;4;5;19;41;3;1;47.941.761,00  ;1  x  ;4.444.951,10  ;8  x  ;222.111,60  ;117  x  ;7.593,50  ;1.342  x  ;1.986,00  ;5.979  x  ;148,50  ;62.645  x  ;28,30  ;96.860  x  ;18,30  ;1.012.010  x  ;7,90  ;626.735  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
13.;25.03.;MI;27;13;39;19;16;48;1;21.047.649,00  ;JP;1.347.049,50  ;2  x  ;396.253,90  ;49  x  ;8.086,80  ;639  x  ;1.860,30  ;2.100  x  ;188,60  ;21.410  x  ;37,00  ;34.768  x  ;22,70  ;360.571  x  ;9,80  ;250.339  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;28.03.;SA;30;7;46;26;6;27;4;47.776.112,00  ;JP;4.404.720,60  ;1  x  ;1.752.603,90  ;98  x  ;8.941,80  ;696  x  ;3.777,10  ;4.487  x  ;195,20  ;43.646  x  ;40,10  ;86.114  x  ;20,30  ;818.303  x  ;9,60  ;660.869  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
14.;01.04.;MI;22;29;38;7;16;32;8;23.006.962,00  ;JP;5.877.166,10  ;1  x  ;840.229,00  ;31  x  ;13.552,00  ;336  x  ;3.751,00  ;1.939  x  ;216,60  ;18.119  x  ;46,30  ;41.449  x  ;20,20  ;354.413  x  ;10,60  ;325.749  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;04.04.;SA;43;23;34;12;28;20;8;51.500.861,00  ;JP;9.173.221,20  ;1  x  ;1.909.012,00  ;72  x  ;13.257,00  ;574  x  ;4.988,70  ;4.328  x  ;220,50  ;35.784  x  ;53,30  ;83.376  x  ;22,80  ;694.079  x  ;12,30  ;672.851  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
15.;08.04.;MI;20;44;41;37;14;47;9;23.420.900,00  ;JP;10.672.158,80  ;JP;896.099,20  ;20  x  ;22.402,40  ;244  x  ;5.508,80  ;1.552  x  ;288,60  ;15.023  x  ;59,60  ;31.617  x  ;28,30  ;310.032  x  ;13,00  ;250.104  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;11.04.;SA;46;47;36;2;15;11;6;52.697.263,00  ;JP;14.044.783,60  ;1  x  ;2.859.859,80  ;65  x  ;15.105,80  ;491  x  ;5.999,20  ;3.874  x  ;253,40  ;31.360  x  ;62,60  ;79.173  x  ;24,80  ;663.549  x  ;13,30  ;667.680  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
16.;15.04.;MI;33;39;46;29;14;37;7;26.135.898,00  ;JP;15.717.481,00  ;JP;961.974,10  ;35  x  ;13.742,40  ;247  x  ;5.841,90  ;2.218  x  ;216,80  ;17.073  x  ;56,30  ;43.994  x  ;21,80  ;343.273  x  ;12,60  ;355.102  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
;18.04.;SA;5;44;3;17;39;14;7;54.105.552,00  ;JP;19.180.236,30  ;2  x  ;1.445.806,50  ;94  x  ;10.264,00  ;915  x  ;3.163,30  ;6.021  x  ;160,20  ;45.773  x  ;42,10  ;113.853  x  ;16,90  ;872.606  x  ;9,90  ;858.726  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
17.;22.04.;MI;34;21;11;22;35;4;7;29.333.316,00  ;JP;21.057.568,50  ;2  x  ;535.830,70  ;58  x  ;9.238,40  ;449  x  ;3.580,10  ;2.863  x  ;187,10  ;24.628  x  ;43,50  ;54.335  x  ;19,70  ;448.181  x  ;10,70  ;414.542  x  ;;;;;;;;;;;;;;;;;;;;;;;;;
