LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2016;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;
KW;2016;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;
15.;13.04.;MI;13;17;49;36;2;35;7;23.152.933,00  ;JP;8.935.528,70  ;1  x  ;840.980,30  ;37  x  ;11.364,50  ;353  x  ;3.573,50  ;2.351  x  ;178,80  ;17.275  x  ;48,60  ;42.818  x  ;19,60  ;319.432  x  ;11,80  ;336.975  x  ;;;;
;16.04.;SA;38;20;15;22;5;14;9;49.556.228,00  ;JP;12.107.127,20  ;2  x  ;936.925,00  ;53  x  ;17.677,80  ;539  x  ;5.214,70  ;3.519  x  ;266,20  ;32.449  x  ;57,70  ;72.366  x  ;25,80  ;664.166  x  ;12,60  ;573.603  x  ;;;;
16.;20.04.;MI;1;49;20;13;5;11;8;24.937.704,00  ;JP;13.703.140,20  ;2  x  ;453.139,40  ;75  x  ;6.041,80  ;677  x  ;2.008,00  ;3.313  x  ;136,70  ;29.173  x  ;31,00  ;54.344  x  ;16,60  ;454.678  x  ;8,90  ;362.010  x  ;;;;
;23.04.;SA;15;8;27;17;35;16;4;51.402.867,00  ;JP;16.992.923,60  ;JP;1.931.392,50  ;54  x  ;17.883,20  ;536  x  ;5.405,00  ;3.470  x  ;278,20  ;33.391  x  ;57,80  ;74.402  x  ;25,90  ;703.303  x  ;12,30  ;619.545  x  ;;;;
17.;27.04.;MI;6;1;21;37;26;9;6;27.400.202,00  ;JP;18.746.536,50  ;2  x  ;1.459.126,10  ;49  x  ;10.069,90  ;428  x  ;3.458,60  ;3.258  x  ;151,40  ;26.120  x  ;37,70  ;59.039  x  ;16,70  ;472.377  x  ;9,40  ;415.578  x  ;;;;
;30.04.;SA;43;36;30;28;14;26;6;55.825.733,00  ;JP;22.319.383,40  ;2  x  ;1.053.037,70  ;62  x  ;16.984,40  ;533  x  ;5.927,00  ;3.635  x  ;289,60  ;32.088  x  ;65,60  ;76.424  x  ;27,50  ;666.057  x  ;14,20  ;655.853  x  ;;;;
18.;04.05.;MI;11;35;2;39;49;14;5;31.057.492,00  ;JP;24.307.062,80  ;1  x  ;1.134.447,10  ;52  x  ;10.908,10  ;395  x  ;4.308,00  ;2.813  x  ;201,60  ;21.928  x  ;51,70  ;54.519  x  ;20,80  ;429.792  x  ;11,80  ;439.319  x  ;;;;
;07.05.;SA;16;34;42;44;32;37;9;54.793.102,00  ;JP;27.813.821,30  ;5  x  ;412.427,00  ;87  x  ;11.851,30  ;900  x  ;3.436,80  ;5.315  x  ;193,90  ;49.511  x  ;41,60  ;91.202  x  ;22,60  ;852.934  x  ;10,80  ;653.688  x  ;;;;
19.;11.05.;MI;20;41;39;10;31;19;5;37.257.737,00  ;JP;30.198.316,40  ;9  x  ;148.486,30  ;148  x  ;4.514,70  ;1.088  x  ;1.842,40  ;5.388  x  ;124,00  ;45.290  x  ;29,50  ;84.856  x  ;15,70  ;689.735  x  ;8,70  ;576.120  x  ;;;;
;14.05.;SA;15;5;13;30;44;26;9;67.508.350,00  ;unbesetzt;;1  x  ;37.050.634,80  ;119  x  ;10.637,70  ;1.197  x  ;3.172,60  ;6.168  x  ;205,20  ;58.552  x  ;43,20  ;109.455  x  ;23,10  ;1.050.061  x  ;10,80  ;823.160  x  ;;;;
