LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2003;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;;;;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;;;;
KW;2003;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;;;;
;14.06.;SA;5;2;21;48;38;23;39;1;74.617.350,00  ;1  x  ;6.411.153,30  ;6  x  ;662.029,10  ;36  x  ;51.817,60  ;1.900  x  ;2.552,60  ;4.399  x  ;169,60  ;94.765  x  ;43,30  ;115.462  x  ;35,50  ;1.664.497  x  ;9,80  ;;;;;
25.;18.06.;MI;13;24;41;37;12;10;4;5;24.948.716,25  ;JP;748.461,40  ;2  x  ;498.974,30  ;15  x  ;41.581,10  ;837  x  ;1.937,40  ;1.854  x  ;134,50  ;38.360  x  ;35,70  ;52.534  x  ;26,10  ;612.949  x  ;8,90  ;;;;;
;21.06.;SA;19;17;34;23;47;26;11;8;70.099.079,25  ;1  x  ;5.655.396,90  ;unbesetzt;;55  x  ;31.863,20  ;1.601  x  ;2.845,90  ;6.398  x  ;109,50  ;96.586  x  ;39,90  ;169.822  x  ;22,70  ;1.669.755  x  ;9,20  ;;;;;
26.;25.06.;MI;10;39;27;11;5;48;21;3;24.223.291,50  ;JP;726.698,70  ;1  x  ;968.931,60  ;16  x  ;37.848,80  ;797  x  ;1.975,50  ;1.574  x  ;153,80  ;38.249  x  ;34,80  ;41.027  x  ;32,40  ;610.962  x  ;8,70  ;;;;;
;28.06.;SA;16;28;14;9;13;47;48;0;72.393.339,00  ;JP;2.898.498,80  ;3  x  ;965.244,50  ;23  x  ;78.688,40  ;962  x  ;4.891,40  ;2.360  x  ;306,70  ;65.832  x  ;60,40  ;79.555  x  ;50,00  ;1.403.115  x  ;11,30  ;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2003;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;;;;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;;;;
KW;2003;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;;;;
27.;02.07.;MI;1;29;45;46;20;14;16;2;29.047.072,50  ;JP;3.769.910,90  ;2  x  ;580.941,40  ;8  x  ;90.772,10  ;442  x  ;4.271,60  ;1.168  x  ;248,60  ;23.736  x  ;67,30  ;35.221  x  ;45,30  ;465.086  x  ;13,70  ;;;;;
;05.07.;SA;2;8;10;45;46;39;40;6;73.938.408,75  ;JP;5.988.063,10  ;6  x  ;492.922,70  ;39  x  ;47.396,40  ;1.122  x  ;4.283,40  ;2.983  x  ;247,80  ;66.668  x  ;60,90  ;101.058  x  ;40,20  ;1.388.131  x  ;11,70  ;;;;;
28.;09.07.;MI;46;9;42;36;2;7;12;6;29.074.096,50  ;JP;6.860.285,90  ;1  x  ;1.162.963,80  ;12  x  ;60.571,00  ;616  x  ;3.067,80  ;1.639  x  ;177,30  ;33.036  x  ;48,40  ;49.991  x  ;31,90  ;627.465  x  ;10,10  ;;;;;
;12.07.;SA;5;47;28;21;4;25;18;5;78.363.863,25  ;3  x  ;3.070.400,60  ;4  x  ;783.638,60  ;28  x  ;69.967,70  ;2.714  x  ;1.876,80  ;3.901  x  ;200,80  ;81.372  x  ;52,90  ;126.887  x  ;33,90  ;1.621.588  x  ;10,60  ;;;;;
29.;16.07.;MI;10;29;23;5;33;15;2;8;24.958.386,75  ;JP;748.751,60  ;1  x  ;998.335,40  ;12  x  ;51.996,60  ;635  x  ;2.554,70  ;1.569  x  ;159,00  ;31.101  x  ;44,10  ;42.910  x  ;31,90  ;546.201  x  ;10,00  ;;;;;
;19.07.;SA;44;18;24;28;15;30;17;1;70.186.506,00  ;1  x  ;2.854.346,70  ;5  x  ;561.492,00  ;25  x  ;70.186,50  ;1.121  x  ;4.069,60  ;2.619  x  ;267,90  ;73.094  x  ;52,80  ;87.319  x  ;44,20  ;1.413.307  x  ;10,90  ;;;;;
30.;23.07.;MI;15;41;2;49;17;42;46;6;24.209.031,75  ;JP;726.270,90  ;1  x  ;968.361,20  ;3  x  ;201.741,90  ;305  x  ;5.159,30  ;909  x  ;266,30  ;21.691  x  ;61,30  ;29.863  x  ;44,50  ;449.959  x  ;11,80  ;;;;;
;26.07.;SA;18;31;7;36;37;6;46;8;69.595.205,25  ;1  x  ;2.814.127,00  ;8  x  ;347.976,00  ;25  x  ;69.595,20  ;1.368  x  ;3.306,70  ;3.294  x  ;211,20  ;80.481  x  ;47,50  ;109.433  x  ;34,90  ;1.638.915  x  ;9,30  ;;;;;
