LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2004;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;;;;;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;;;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;;;;;
KW;2004;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;;;;;
14.;31.03.;MI;22;25;35;20;23;13;47;4;25.150.594,50  ;1  x  ;2.263.553,50  ;unbesetzt;;4  x  ;157.191,20  ;382  x  ;4.279,50  ;986  x  ;255,00  ;25.618  x  ;49,00  ;31.856  x  ;31,50  ;509.230  x  ;10,80  ;;;;;;
;03.04.;SA;43;30;2;16;10;1;6;3;91.428.339,75  ;JP;4.571.416,90  ;9  x  ;406.348,10  ;44  x  ;51.947,90  ;1.648  x  ;3.606,00  ;5.681  x  ;160,90  ;100.605  x  ;45,40  ;167.676  x  ;21,80  ;1.872.953  x  ;10,70  ;;;;;;
15.;07.04.;MI;34;33;4;10;45;6;16;4;27.418.926,75  ;JP;5.942.363,20  ;2  x  ;548.378,50  ;15  x  ;45.698,20  ;554  x  ;3.217,00  ;1.706  x  ;160,70  ;29.979  x  ;45,70  ;47.358  x  ;23,10  ;588.108  x  ;10,20  ;;;;;;
;10.04.;SA;25;49;43;5;3;47;40;6;73.196.868,75  ;1  x  ;9.602.206,60  ;6  x  ;487.979,10  ;36  x  ;50.831,10  ;2.036  x  ;2.336,80  ;3.360  x  ;217,80  ;94.302  x  ;38,80  ;112.331  x  ;26,00  ;1.712.969  x  ;9,40  ;;;;;;
16.;14.04.;MI;43;38;47;4;12;13;19;1;24.657.513,75  ;JP;1.232.875,60  ;2  x  ;493.150,20  ;7  x  ;88.062,50  ;486  x  ;3.297,80  ;1.313  x  ;187,70  ;26.636  x  ;46,20  ;41.609  x  ;23,70  ;505.903  x  ;10,70  ;;;;;;
;17.04.;SA;24;18;26;33;29;32;27;8;68.172.723,00  ;1  x  ;4.641.511,70  ;13  x  ;209.762,20  ;49  x  ;34.782,00  ;2.146  x  ;2.064,80  ;5.480  x  ;124,40  ;102.199  x  ;33,30  ;128.911  x  ;21,10  ;1.642.532  x  ;9,10  ;;;;;;
17.;21.04.;MI;3;33;46;32;47;1;25;1;24.601.817,25  ;JP;1.230.090,80  ;5  x  ;199.889,70  ;3  x  ;199.889,70  ;468  x  ;3.416,90  ;1.055  x  ;233,10  ;25.483  x  ;48,20  ;37.856  x  ;25,90  ;495.952  x  ;10,90  ;;;;;;
;24.04.;SA;40;33;13;1;37;30;29;3;67.990.486,50  ;JP;4.629.615,10  ;JP;2.719.619,40  ;14  x  ;121.411,50  ;1.006  x  ;4.393,00  ;2.178  x  ;312,10  ;71.481  x  ;47,50  ;72.641  x  ;37,40  ;1.437.202  x  ;10,40  ;;;;;;
18.;28.04.;MI;48;45;25;34;43;29;15;6;26.931.155,25  ;JP;5.976.172,80  ;1  x  ;3.796.865,60  ;9  x  ;74.808,70  ;536  x  ;3.265,90  ;1.196  x  ;225,10  ;27.667  x  ;48,60  ;34.266  x  ;31,40  ;516.570  x  ;11,40  ;;;;;;
;01.05.;SA;49;8;27;9;22;29;1;6;69.029.193,00  ;1  x  ;9.427.632,40  ;6  x  ;460.194,60  ;46  x  ;37.515,80  ;1.173  x  ;3.825,10  ;4.914  x  ;140,40  ;73.092  x  ;47,20  ;139.817  x  ;19,70  ;1.422.947  x  ;10,60  ;;;;;;
19.;05.05.;MI;25;6;12;41;46;31;2;8;25.123.548,00  ;JP;1.256.177,40  ;4  x  ;251.235,40  ;25  x  ;25.123,50  ;899  x  ;1.816,40  ;1.848  x  ;135,90  ;36.512  x  ;34,40  ;46.586  x  ;21,50  ;590.712  x  ;9,30  ;;;;;;
;08.05.;SA;33;44;43;4;11;37;13;7;68.937.956,25  ;JP;4.703.075,20  ;4  x  ;689.379,50  ;30  x  ;57.448,20  ;1.496  x  ;2.995,20  ;3.779  x  ;182,40  ;81.615  x  ;42,20  ;120.547  x  ;22,80  ;1.494.865  x  ;10,10  ;;;;;;
20.;12.05.;MI;13;7;28;38;23;5;1;7;36.993.057,00  ;1  x  ;6.552.728,00  ;4  x  ;369.930,50  ;16  x  ;57.801,60  ;1.106  x  ;2.174,00  ;2.484  x  ;148,90  ;54.955  x  ;33,60  ;67.918  x  ;21,70  ;901.870  x  ;9,00  ;;;;;;
