Lotto 6 aus 49   am Samstag;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1996
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;;   Gewinnklasse VII;
;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer +;;5 Treffer;;4 Treffer;;3 Treffer u. Zusatzzahl ;;3 Treffer;
VA;1996;gezogener Reihenfolge;;;;;;satz-;per-;;;;;;Zusatzzahl;;;;;;;;;
;;;;;;;;zahl;zahl;DM;Gewinne;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
32.;10.08.;17 ;23 ;2 ;19 ;38 ;47 ;15 ;5 ;126.213.791,25 ;1  x;9.887.306,50  ;2  x  ;3.786.413,70 ;31  x;122.142,30 ;2.485  x     ;5.079,00 ;123.417  x    ;102,20 ;101.577  x  ;86,90 ;1.985.992  x;7,60  
33.;17.08.;3 ;17 ;5 ;47 ;37 ;49 ;46 ;5 ;122.730.371,25 ;2  x;1.227.303,70  ;11  x  ;669.438,30 ;22  x;167.359,50 ;2.720  x     ;4.512,10 ;140.404  x    ;87,40 ;109.372  x  ;78,50 ;1.978.471  x;7,40  
34.;24.08.;46 ;49 ;18 ;1 ;34 ;29 ;35 ;1 ;121.288.996,25 ;2  x;1.212.889,90  ;11  x  ;661.576,30 ;28  x;129.952,40 ;1.615  x     ;7.510,10 ;73.444  x    ;165,10 ;85.348  x  ;99,40 ;1.307.674  x;11,10  
35.;31.08.;39 ;30 ;8 ;34 ;35 ;29 ;41 ;5 ;124.042.131,25 ;JP;2.480.842,60  ;2  x  ;3.721.263,90 ;28  x;132.902,20 ;958  x     ;12.948,00 ;63.925  x    ;194,00 ;79.000  x  ;109,90 ;1.293.554  x;11,50  
36.;07.09.;45 ;16 ;8 ;14 ;30 ;29 ;38 ;2 ;134.918.141,25 ;1  x;5.179.205,40  ;6  x  ;1.349.181,40 ;19  x;213.028,60 ;1.189  x     ;11.347,10 ;69.864  x    ;193,10 ;92.302  x  ;102,30 ;1.366.285  x;11,80  
37.;14.09.;16 ;43 ;14 ;7 ;3 ;45 ;20 ;1 ;128.847.740,00 ;JP;2.576.954,80  ;4  x  ;1.932.716,10 ;19  x;203.443,80 ;1.216  x     ;10.596,00 ;80.839  x    ;159,30 ;98.651  x  ;91,40 ;1.570.892  x;9,80  
38.;21.09.;49 ;8 ;44 ;5 ;15 ;40 ;27 ;8 ;125.537.357,50 ;JP;5.087.701,90  ;4  x  ;1.883.060,30 ;33  x;114.124,80 ;1.051  x     ;11.944,50 ;70.181  x    ;178,80 ;110.541  x  ;79,40 ;1.373.402  x;10,90  
39.;28.09.;43 ;2 ;48 ;7 ;24 ;16 ;12 ;8 ;126.291.336,25 ;JP;7.613.528,60  ;1  x  ;7.577.480,10 ;48  x;78.932,00 ;1.793  x     ;7.043,50 ;92.572  x    ;136,40 ;154.840  x  ;57,00 ;1.598.718  x;9,40  
40.;05.10.;3 ;7 ;34 ;24 ;1 ;43 ;42 ;2 ;127.736.801,25 ;1  x;10.168.264,60  ;9  x  ;851.578,60 ;39  x;98.259,00 ;2.165  x     ;5.900,00 ;123.078  x    ;103,70 ;111.453  x  ;80,20 ;1.944.077  x;7,80  
41.;12.10.;4 ;37 ;23 ;35 ;17 ;24 ;18 ;2 ;126.749.922,50 ;JP;2.534.998,40  ;4  x  ;1.901.248,80 ;30  x;126.749,90 ;1.765  x     ;7.181,20 ;101.575  x    ;124,70 ;127.046  x  ;69,80 ;1.784.133  x;8,50  
