LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2002;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;
KW;2002;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;
;06.04.;SA;24;17;7;46;5;23;16;1;74.520.387,00  ;JP;2.928.983,10  ;3  x  ;993.605,10  ;37  x  ;50.351,60  ;1.675  x  ;2.891,80  ;3.365  x  ;221,40  ;96.551  x  ;42,40  ;106.425  x  ;38,50  ;1.825.085  x  ;8,90  ;;
15.;10.04.;MI;41;38;13;9;18;16;32;7;24.556.263,00  ;1  x  ;4.647.921,50  ;unbesetzt;;39  x  ;15.741,10  ;575  x  ;2.775,90  ;2.908  x  ;84,40  ;31.214  x  ;43,20  ;59.757  x  ;22,60  ;561.171  x  ;9,60  ;;
;13.04.;SA;18;36;29;27;9;33;49;9;74.598.298,50  ;JP;2.237.948,90  ;20  x  ;149.196,50  ;92  x  ;20.271,20  ;3.161  x  ;1.533,90  ;9.251  x  ;80,60  ;131.025  x  ;31,30  ;133.456  x  ;30,70  ;1.796.797  x  ;9,10  ;;
16.;17.04.;MI;3;43;34;4;47;13;46;5;24.543.492,00  ;JP;2.974.253,60  ;2  x  ;490.869,80  ;13  x  ;47.199,00  ;617  x  ;2.585,60  ;1.018  x  ;241,00  ;29.208  x  ;46,20  ;33.014  x  ;40,80  ;521.934  x  ;10,30  ;;
;20.04.;SA;11;49;39;42;6;7;32;9;76.211.047,50  ;JP;5.260.585,00  ;4  x  ;762.110,40  ;29  x  ;65.699,10  ;1.634  x  ;3.031,60  ;4.812  x  ;158,30  ;94.548  x  ;44,30  ;151.222  x  ;27,70  ;1.803.168  x  ;9,20  ;;
17.;24.04.;MI;43;42;4;46;15;48;40;9;37.659.698,25  ;JP;6.390.375,90  ;3  x  ;502.129,30  ;24  x  ;39.228,80  ;652  x  ;3.754,40  ;3.115  x  ;120,80  ;40.381  x  ;51,20  ;62.736  x  ;33,00  ;711.255  x  ;11,60  ;;
;27.04.;SA;42;8;6;21;10;1;5;2;81.902.832,00  ;JP;8.847.460,80  ;5  x  ;655.222,60  ;50  x  ;40.951,40  ;1.794  x  ;2.967,40  ;6.838  x  ;119,70  ;100.821  x  ;44,60  ;170.152  x  ;26,40  ;1.742.064  x  ;10,30  ;;
18.;01.05.;MI;11;26;42;22;1;8;17;0;32.075.825,25  ;JP;9.809.735,50  ;3  x  ;427.677,60  ;22  x  ;36.449,80  ;787  x  ;2.649,20  ;2.040  x  ;157,20  ;42.859  x  ;41,10  ;58.568  x  ;30,10  ;717.008  x  ;9,80  ;;
;04.05.;SA;38;32;39;34;47;49;10;8;94.259.023,50  ;5  x  ;2.527.501,20  ;19  x  ;198.440,00  ;40  x  ;58.911,80  ;4.027  x  ;1.521,40  ;4.727  x  ;199,40  ;152.920  x  ;33,90  ;153.157  x  ;33,80  ;2.284.153  x  ;9,00  ;;
19.;08.05.;MI;43;35;46;38;4;36;44;9;26.665.644,75  ;JP;799.969,30  ;1  x  ;1.066.625,70  ;13  x  ;51.280,00  ;461  x  ;3.759,70  ;1.761  x  ;151,40  ;25.059  x  ;58,50  ;45.522  x  ;32,20  ;491.113  x  ;11,90  ;;
