LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2001;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;
KW;2001;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;DM;Jackpot;DM;Jackpot;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;
;30.06.;SA;16;12;14;27;43;6;37;9;161.409.444,00  ;1  x  ;4.842.283,30  ;3  x  ;2.152.125,90  ;33  x  ;122.279,80  ;1.301  x  ;8.064,20  ;4.424  x  ;364,80  ;86.657  x  ;102,40  ;122.697  x  ;72,30  ;1.629.761  x  ;21,70  ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Kalenderwoche 2001;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;
KW;2001;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;DM;Jackpot;DM;Jackpot;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;
27.;04.07.;MI;43;2;17;34;37;31;39;7;46.413.148,50  ;JP;1.392.394,40  ;JP;1.856.525,90  ;11  x  ;105.484,40  ;536  x  ;5.628,40  ;1.479  x  ;313,80  ;31.185  x  ;81,80  ;44.301  x  ;57,60  ;519.076  x  ;19,60  ;
;07.07.;SA;39;40;22;11;37;42;16;3;156.608.983,50  ;JP;6.090.663,90  ;4  x  ;2.030.221,30  ;25  x  ;156.608,90  ;1.239  x  ;8.215,90  ;3.352  x  ;467,20  ;86.001  x  ;100,10  ;107.290  x  ;80,20  ;1.567.631  x  ;21,90  ;
28.;11.07.;MI;45;1;27;39;12;8;25;7;47.477.838,00  ;1  x  ;7.514.999,00  ;1  x  ;1.899.113,50  ;16  x  ;74.184,10  ;522  x  ;5.911,90  ;1.522  x  ;311,90  ;26.589  x  ;98,20  ;43.451  x  ;60,00  ;483.976  x  ;21,50  ;
;14.07.;SA;18;6;23;31;38;22;7;5;158.436.103,50  ;JP;4.753.083,10  ;1  x  ;6.337.444,10  ;38  x  ;104.234,20  ;1.389  x  ;7.414,20  ;4.133  x  ;383,30  ;90.638  x  ;96,10  ;133.510  x  ;65,20  ;1.721.333  x  ;20,20  ;
29.;18.07.;MI;12;11;34;45;31;44;47;5;46.160.718,00  ;JP;6.137.904,60  ;2  x  ;923.214,30  ;11  x  ;104.910,70  ;405  x  ;7.408,50  ;1.366  x  ;337,90  ;24.841  x  ;102,20  ;36.204  x  ;70,10  ;481.582  x  ;21,00  ;
;21.07.;SA;33;21;25;38;44;37;10;1;157.075.561,50  ;1  x  ;10.850.171,40  ;2  x  ;3.141.511,20  ;46  x  ;85.367,10  ;1.519  x  ;6.721,40  ;5.494  x  ;285,90  ;93.790  x  ;92,10  ;154.589  x  ;55,80  ;1.770.132  x  ;19,50  ;
30.;25.07.;MI;13;39;6;37;32;12;40;2;43.884.282,00  ;1  x  ;1.316.528,40  ;3  x  ;585.123,70  ;10  x  ;109.710,70  ;412  x  ;6.923,40  ;969  x  ;452,80  ;25.228  x  ;95,60  ;32.237  x  ;74,80  ;501.615  x  ;19,20  ;
;28.07.;SA;18;27;6;23;2;22;39;9;150.611.527,50  ;JP;4.518.345,80  ;12  x  ;502.038,40  ;213  x  ;17.677,40  ;2.495  x  ;3.923,70  ;7.856  x  ;191,70  ;117.731  x  ;70,30  ;160.553  x  ;51,50  ;1.791.836  x  ;18,40  ;
31.;01.08.;MI;32;34;41;9;30;48;21;6;45.369.220,50  ;JP;5.879.422,40  ;JP;1.814.768,80  ;5  x  ;226.846,10  ;476  x  ;6.195,30  ;1.189  x  ;381,50  ;27.757  x  ;89,80  ;35.080  x  ;71,10  ;510.685  x  ;19,50  ;
;04.08.;SA;10;35;29;47;17;6;7;5;155.233.170,00  ;1  x  ;10.536.417,50  ;8  x  ;1.003.011,90  ;28  x  ;138.601,00  ;1.780  x  ;5.668,60  ;4.312  x  ;360,00  ;88.941  x  ;95,90  ;134.443  x  ;63,50  ;1.570.351  x  ;21,70  ;
32.;08.08.;MI;17;20;41;10;22;40;15;8;44.288.616,00  ;JP;1.328.658,40  ;1  x  ;1.771.544,60  ;12  x  ;92.267,90  ;426  x  ;6.757,60  ;1.068  x  ;414,60  ;29.067  x  ;83,80  ;29.737  x  ;81,90  ;500.234  x  ;19,40  ;
;11.08.;SA;14;34;24;28;22;2;38;6;152.740.575,00  ;JP;5.910.875,60  ;2  x  ;3.054.811,50  ;30  x  ;127.283,80  ;1.311  x  ;7.572,90  ;4.536  x  ;336,70  ;76.469  x  ;109,80  ;119.407  x  ;70,30  ;1.463.984  x  ;22,90  ;
33.;15.08.;MI;23;35;47;11;31;10;48;4;44.475.813,00  ;JP;7.245.149,90  ;2  x  ;889.516,20  ;4  x  ;277.973,80  ;580  x  ;4.984,30  ;1.072  x  ;414,80  ;29.231  x  ;83,60  ;30.974  x  ;78,90  ;519.909  x  ;18,80  ;
;18.08.;SA;26;7;44;12;29;6;43;7;155.250.349,50  ;JP;11.902.660,30  ;1  x  ;6.210.013,90  ;29  x  ;133.836,50  ;1.729  x  ;5.836,40  ;3.566  x  ;435,30  ;101.939  x  ;85,00  ;98.856  x  ;85,00  ;1.821.336  x  ;18,70  ;
34.;22.08.;MI;48;3;11;36;35;25;15;8;49.870.594,50  ;JP;13.398.778,10  ;4  x  ;498.705,90  ;16  x  ;77.922,80  ;637  x  ;5.088,80  ;1.537  x  ;324,40  ;31.157  x  ;88,00  ;39.686  x  ;69,10  ;546.479  x  ;20,00  ;
;25.08.;SA;30;15;32;41;28;2;44;7;162.848.560,50  ;JP;18.284.234,90  ;8  x  ;814.242,80  ;35  x  ;116.320,40  ;1.517  x  ;6.977,60  ;4.305  x  ;378,20  ;82.606  x  ;108,40  ;117.507  x  ;76,20  ;1.610.789  x  ;22,20  ;
35.;29.08.;MI;34;22;16;28;6;35;1;2;63.649.483,50  ;1  x  ;20.193.719,40  ;1  x  ;2.545.979,30  ;12  x  ;132.603,00  ;505  x  ;8.192,50  ;1.217  x  ;523,00  ;29.659  x  ;118,00  ;36.049  x  ;97,10  ;581.987  x  ;24,00  ;
;01.09.;SA;27;35;6;25;1;38;47;8;157.133.910,00  ;JP;4.714.017,30  ;8  x  ;785.669,50  ;33  x  ;119.040,80  ;1.329  x  ;7.685,20  ;4.078  x  ;385,30  ;82.247  x  ;105,00  ;116.777  x  ;74,00  ;1.665.386  x  ;20,70  ;
36.;05.09.;MI;38;33;9;1;25;44;16;1;48.162.430,50  ;JP;6.158.890,20  ;5  x  ;385.299,40  ;22  x  ;54.730,00  ;811  x  ;3.860,10  ;1.954  x  ;246,40  ;48.002  x  ;57,80  ;43.559  x  ;57,80  ;601.794  x  ;17,60  ;
;08.09.;SA;28;12;40;2;6;4;36;5;162.880.134,00  ;JP;11.045.294,20  ;8  x  ;814.400,60  ;39  x  ;104.410,30  ;2.757  x  ;3.840,10  ;5.081  x  ;320,50  ;145.214  x  ;67,10  ;121.773  x  ;67,10  ;2.124.257  x  ;16,80  ;
37.;12.09.;MI;26;23;18;4;44;43;7;5;53.263.108,50  ;JP;12.643.187,40  ;2  x  ;1.065.262,10  ;14  x  ;95.112,60  ;500  x  ;6.924,20  ;1.647  x  ;323,30  ;28.544  x  ;102,60  ;49.627  x  ;59,00  ;545.487  x  ;21,40  ;
;15.09.;SA;38;33;27;19;26;12;13;9;163.084.288,50  ;JP;17.535.716,00  ;5  x  ;1.304.674,30  ;38  x  ;107.292,20  ;2.441  x  ;4.342,60  ;5.688  x  ;286,70  ;142.815  x  ;62,80  ;153.412  x  ;58,40  ;2.237.485  x  ;16,00  ;
38.;19.09.;MI;30;10;24;4;25;23;42;8;62.395.384,50  ;1  x  ;19.407.577,50  ;3  x  ;831.938,40  ;11  x  ;141.807,60  ;865  x  ;4.688,60  ;1.313  x  ;475,20  ;46.326  x  ;77,80  ;41.823  x  ;77,80  ;812.972  x  ;16,80  ;
;22.09.;SA;33;28;12;36;32;48;1;1;154.873.336,50  ;1  x  ;4.646.200,00  ;3  x  ;2.064.977,80  ;30  x  ;129.061,10  ;1.741  x  ;5.782,10  ;3.387  x  ;457,20  ;100.504  x  ;86,90  ;95.384  x  ;86,90  ;1.789.970  x  ;19,00  ;
39.;26.09.;MI;17;23;21;46;28;1;45;8;46.639.615,50  ;JP;1.399.188,40  ;JP;1.865.584,60  ;3  x  ;388.663,40  ;294  x  ;10.311,40  ;766  x  ;608,80  ;19.971  x  ;128,40  ;25.045  x  ;102,40  ;436.999  x  ;23,40  ;
