;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2018;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;
;25.08.;SA;37;31;8;16;15;20;2;47.186.226,00  ;JP;21.036.097,80  ;JP;1.792.256,40  ;51  x  ;17.571,10  ;526  x  ;5.110,90  ;3.238  x  ;276,70  ;32.408  x  ;55,30  ;66.803  x  ;26,80  ;666.338  x  ;12,10  ;530.126  x  ;;;;
35.;29.08.;MI;21;24;3;17;22;39;9;25.267.745,00  ;JP;22.653.233,40  ;2  x  ;1.366.090,50  ;44  x  ;10.680,90  ;389  x  ;3.624,30  ;2.288  x  ;205,40  ;21.993  x  ;42,70  ;43.483  x  ;21,60  ;431.063  x  ;9,80  ;323.498  x  ;;;;
;01.09.;SA;39;46;4;12;38;21;1;49.774.951,00  ;JP;25.838.830,20  ;4  x  ;471.965,00  ;65  x  ;14.522,00  ;766  x  ;3.696,80  ;3.584  x  ;263,30  ;40.326  x  ;46,80  ;71.501  x  ;26,40  ;768.003  x  ;11,00  ;564.655  x  ;;;;
36.;05.09.;MI;37;15;9;46;13;3;4;31.875.681,00  ;1  x  ;29.053.125,40  ;unbesetzt;;52  x  ;11.290,80  ;432  x  ;4.077,20  ;3.190  x  ;184,00  ;29.552  x  ;39,70  ;58.263  x  ;20,10  ;531.739  x  ;9,90  ;431.056  x  ;;;;
;08.09.;SA;44;23;29;27;30;6;2;44.495.899,00  ;JP;2.847.737,50  ;2  x  ;840.884,80  ;31  x  ;27.125,30  ;453  x  ;5.568,70  ;2.978  x  ;282,30  ;32.669  x  ;51,40  ;64.340  x  ;26,10  ;664.313  x  ;11,30  ;516.503  x  ;;;;
37.;12.09.;MI;13;28;7;24;31;32;6;21.657.123,00  ;JP;4.233.793,30  ;1  x  ;765.804,00  ;59  x  ;6.489,80  ;370  x  ;3.104,60  ;2.844  x  ;134,60  ;21.504  x  ;35,60  ;49.917  x  ;15,30  ;387.595  x  ;8,80  ;356.893  x  ;;;;
;15.09.;SA;27;39;26;1;12;14;1;44.144.477,00  ;JP;7.059.039,80  ;4  x  ;417.497,90  ;46  x  ;18.152,00  ;586  x  ;4.274,70  ;3.501  x  ;238,50  ;35.453  x  ;47,10  ;66.061  x  ;25,20  ;693.273  x  ;10,80  ;509.415  x  ;;;;
38.;19.09.;MI;5;8;3;47;30;19;0;22.076.284,00  ;JP;8.471.921,90  ;6  x  ;139.684,60  ;61  x  ;6.869,70  ;746  x  ;1.685,20  ;2.666  x  ;157,10  ;31.139  x  ;26,90  ;39.203  x  ;21,30  ;463.209  x  ;8,10  ;248.836  x  ;;;;
;22.09.;SA;17;37;41;33;42;47;0;44.695.824,00  ;JP;11.332.454,60  ;3  x  ;576.949,80  ;90  x  ;9.615,80  ;1.168  x  ;2.222,80  ;4.777  x  ;181,10  ;58.829  x  ;29,40  ;70.668  x  ;24,40  ;897.861  x  ;8,60  ;435.777  x  ;;;;
39.;26.09.;MI;18;36;44;10;38;25;3;23.114.572,00  ;JP;12.811.787,20  ;2  x  ;422.926,10  ;55  x  ;7.689,50  ;400  x  ;3.171,90  ;2.251  x  ;187,80  ;19.508  x  ;43,30  ;41.455  x  ;20,40  ;355.081  x  ;10,70  ;323.886  x  ;;;;
;29.09.;SA;9;5;19;4;16;45;7;46.758.512,00  ;JP;15.804.331,90  ;2  x  ;806.018,30  ;151  x  ;5.337,80  ;1.006  x  ;2.403,60  ;7.412  x  ;108,70  ;53.953  x  ;29,80  ;125.662  x  ;12,80  ;923.780  x  ;7,80  ;853.269  x  ;;;;
40.;03.10.;MI;33;39;9;30;29;3;9;23.643.029,00  ;1  x  ;17.317.485,70  ;3  x  ;288.483,00  ;92  x  ;4.703,50  ;546  x  ;2.377,60  ;3.020  x  ;143,20  ;23.919  x  ;36,10  ;48.426  x  ;17,80  ;428.952  x  ;9,00  ;330.774  x  ;;;;
