LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KW;2017;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;25.03.;SA;9;11;26;25;49;1;6;45.592.307,00  ;JP;4.307.234,10  ;12  x  ;136.060,70  ;177  x  ;4.612,20  ;1.582  x  ;1.548,00  ;7.776  x  ;104,90  ;68.385  x  ;23,80  ;114.960  x  ;14,20  ;1.007.033  x  ;7,20  ;710.191  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.;29.03.;MI;25;21;24;47;28;9;2;22.040.028,00  ;JP;5.717.795,80  ;JP;824.363,70  ;19  x  ;21.693,70  ;227  x  ;5.447,30  ;1.611  x  ;255,80  ;16.795  x  ;49,00  ;34.935  x  ;23,50  ;354.006  x  ;10,40  ;273.163  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;01.04.;SA;22;8;36;5;18;9;8;47.444.842,00  ;1  x  ;11.300.368,40  ;unbesetzt;;119  x  ;7.234,10  ;794  x  ;3.252,60  ;5.935  x  ;145,00  ;45.313  x  ;37,90  ;102.198  x  ;16,80  ;814.843  x  ;9,50  ;693.712  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.;05.04.;MI;41;22;6;49;1;7;2;21.133.125,00  ;JP;1.352.520,00  ;1  x  ;791.234,70  ;45  x  ;8.791,40  ;430  x  ;2.760,10  ;2.202  x  ;179,60  ;23.923  x  ;33,00  ;38.247  x  ;20,60  ;395.420  x  ;9,00  ;260.339  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;08.04.;SA;28;7;40;39;2;47;1;45.496.342,00  ;JP;4.264.285,80  ;2  x  ;858.939,20  ;59  x  ;14.558,20  ;566  x  ;4.552,60  ;3.222  x  ;266,50  ;33.797  x  ;50,80  ;66.039  x  ;26,00  ;685.011  x  ;11,20  ;531.524  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.;12.04.;MI;24;48;14;10;11;26;5;22.188.980,00  ;JP;5.684.380,50  ;2  x  ;390.453,00  ;44  x  ;8.873,90  ;342  x  ;3.425,00  ;2.782  x  ;140,30  ;20.419  x  ;38,20  ;51.739  x  ;15,00  ;383.958  x  ;9,10  ;373.067  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;15.04.;SA;12;36;18;21;30;27;7;47.940.859,00  ;JP;8.752.595,40  ;4  x  ;431.421,90  ;98  x  ;8.804,50  ;755  x  ;3.428,50  ;6.094  x  ;141,50  ;47.590  x  ;36,20  ;96.048  x  ;17,90  ;725.988  x  ;10,60  ;729.067  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.;19.04.;MI;27;23;48;30;41;19;0;22.290.548,00  ;JP;10.179.190,40  ;JP;851.623,80  ;23  x  ;18.513,50  ;263  x  ;4.857,10  ;1.476  x  ;288,40  ;17.245  x  ;49,30  ;31.075  x  ;27,40  ;359.162  x  ;10,60  ;240.488  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;22.04.;SA;11;25;19;1;32;12;7;47.912.876,00  ;1  x  ;13.245.614,40  ;2  x  ;1.259.336,30  ;97  x  ;8.593,00  ;992  x  ;2.520,70  ;6.848  x  ;121,70  ;54.289  x  ;30,70  ;122.277  x  ;13,60  ;955.945  x  ;7,80  ;843.905  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.;26.04.;MI;34;25;37;42;39;31;3;20.825.156,00  ;JP;1.332.809,90  ;1  x  ;758.367,30  ;54  x  ;7.021,90  ;471  x  ;2.415,10  ;2.515  x  ;150,70  ;20.639  x  ;36,70  ;43.596  x  ;17,30  ;342.335  x  ;9,90  ;299.219  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;29.04.;SA;36;4;37;49;18;3;5;46.031.887,00  ;JP;4.278.850,60  ;2  x  ;827.348,60  ;73  x  ;11.333,50  ;604  x  ;4.109,30  ;4.069  x  ;203,30  ;32.405  x  ;51,00  ;84.846  x  ;19,50  ;657.074  x  ;11,30  ;704.586  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.;03.05.;MI;5;33;18;4;12;20;8;21.671.225,00  ;JP;5.665.809,00  ;JP;777.419,90  ;59  x  ;6.588,30  ;460  x  ;2.535,00  ;2.817  x  ;137,90  ;24.999  x  ;31,00  ;49.291  x  ;15,70  ;416.193  x  ;8,40  ;334.891  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;06.05.;SA;30;32;31;47;16;26;4;46.393.307,00  ;JP;8.634.980,60  ;3  x  ;832.728,00  ;76  x  ;11.320,80  ;684  x  ;3.773,60  ;4.653  x  ;184,90  ;42.366  x  ;40,60  ;84.618  x  ;20,30  ;783.473  x  ;9,80  ;603.968  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.;10.05.;MI;39;26;38;9;18;42;8;23.332.488,00  ;JP;10.128.259,80  ;3  x  ;283.475,80  ;64  x  ;6.643,90  ;586  x  ;2.176,80  ;2.982  x  ;142,50  ;26.886  x  ;31,60  ;50.008  x  ;17,00  ;434.509  x  ;8,80  ;333.738  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;13.05.;SA;19;7;32;45;47;48;1;47.672.992,00  ;JP;13.179.331,20  ;2  x  ;896.641,70  ;57  x  ;15.730,50  ;728  x  ;3.694,90  ;4.229  x  ;212,00  ;43.794  x  ;40,90  ;78.288  x  ;22,90  ;834.711  x  ;9,60  ;570.518  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.;17.05.;MI;36;43;23;2;26;1;3;23.690.365,00  ;JP;14.695.514,50  ;1  x  ;876.670,90  ;21  x  ;20.873,10  ;210  x  ;6.261,90  ;1.613  x  ;271,70  ;13.321  x  ;65,80  ;35.948  x  ;24,30  ;301.735  x  ;13,00  ;312.458  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;20.05.;SA;15;29;37;1;44;34;7;48.145.099,00  ;JP;17.776.800,80  ;1  x  ;1.796.788,30  ;62  x  ;14.490,20  ;399  x  ;6.754,80  ;3.314  x  ;271,00  ;26.285  x  ;68,30  ;67.652  x  ;26,50  ;539.545  x  ;14,90  ;604.676  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.;24.05.;MI;6;25;44;26;13;19;3;25.524.757,00  ;JP;19.410.385,20  ;3  x  ;306.431,40  ;46  x  ;9.992,30  ;441  x  ;3.126,80  ;2.711  x  ;169,50  ;23.677  x  ;38,80  ;52.656  x  ;17,40  ;453.953  x  ;9,10  ;387.170  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;27.05.;SA;23;24;27;49;25;29;1;47.928.152,00  ;JP;22.477.786,90  ;1  x  ;1.823.190,40  ;88  x  ;10.359,00  ;941  x  ;2.906,20  ;3.852  x  ;236,60  ;39.582  x  ;46,00  ;62.110  x  ;29,30  ;652.690  x  ;12,50  ;532.954  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.;31.05.;MI;48;9;24;36;17;27;7;26.781.068,00  ;JP;24.191.775,20  ;JP;950.803,00  ;62  x  ;7.667,70  ;575  x  ;2.480,30  ;3.474  x  ;136,80  ;26.843  x  ;35,40  ;59.962  x  ;15,80  ;447.935  x  ;9,50  ;433.703  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;03.06.;SA;37;24;35;32;31;46;3;53.040.461,00  ;JP;27.586.364,70  ;JP;2.910.376,00  ;68  x  ;14.408,60  ;638  x  ;4.607,10  ;4.896  x  ;200,10  ;42.633  x  ;45,90  ;93.034  x  ;21,00  ;810.347  x  ;10,80  ;705.982  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.;07.06.;MI;18;37;17;28;6;33;4;32.973.944,00  ;1  x  ;29.696.697,10  ;4  x  ;1.030.384,80  ;85  x  ;7.124,40  ;843  x  ;2.155,00  ;3.732  x  ;162,20  ;36.215  x  ;33,40  ;63.973  x  ;18,90  ;597.970  x  ;9,10  ;453.001  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10.06.;SA;29;42;6;4;26;16;7;45.831.547,00  ;JP;2.933.219,00  ;6  x  ;275.325,80  ;111  x  ;7.441,20  ;944  x  ;2.624,90  ;5.582  x  ;147,90  ;44.297  x  ;37,20  ;96.423  x  ;17,10  ;753.545  x  ;9,80  ;692.601  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.;14.06.;MI;44;33;36;32;29;30;1;22.490.528,00  ;JP;4.372.612,70  ;JP;866.798,00  ;29  x  ;14.944,70  ;253  x  ;5.139,10  ;1.569  x  ;276,20  ;15.985  x  ;54,20  ;26.729  x  ;32,40  ;282.697  x  ;13,70  ;227.578  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;17.06.;SA;16;49;2;6;22;44;1;45.550.658,00  ;1  x  ;7.287.854,80  ;4  x  ;650.919,50  ;46  x  ;18.879,10  ;705  x  ;3.695,40  ;3.282  x  ;264,60  ;37.005  x  ;46,90  ;65.194  x  ;26,60  ;694.686  x  ;11,20  ;498.257  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.;21.06.;MI;41;6;44;39;7;4;4;20.738.189,00  ;JP;1.327.244,00  ;1  x  ;763.392,50  ;32  x  ;11.928,00  ;234  x  ;4.893,50  ;1.689  x  ;225,90  ;14.869  x  ;51,30  ;35.656  x  ;21,40  ;324.168  x  ;10,50  ;281.585  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;24.06.;SA;38;27;46;43;23;13;6;44.250.203,00  ;JP;4.159.256,90  ;2  x  ;813.867,60  ;101  x  ;8.058,00  ;1.002  x  ;2.436,70  ;5.280  x  ;154,10  ;44.607  x  ;36,40  ;86.780  x  ;18,70  ;727.143  x  ;10,00  ;603.147  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.;28.06.;MI;38;41;29;42;17;13;4;22.864.937,00  ;JP;5.622.612,80  ;1  x  ;858.675,70  ;48  x  ;8.944,50  ;453  x  ;2.843,20  ;2.091  x  ;205,30  ;20.732  x  ;41,40  ;36.998  x  ;23,20  ;357.485  x  ;10,80  ;276.471  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;01.07.;SA;2;15;35;47;22;3;8;47.419.706,00  ;JP;8.657.473,90  ;2  x  ;881.948,80  ;54  x  ;16.332,30  ;493  x  ;5.366,80  ;3.794  x  ;232,40  ;30.923  x  ;57,00  ;72.825  x  ;24,20  ;616.956  x  ;12,80  ;607.203  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 27. - 52. Veranstaltung 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;   Gewinnklasse IX;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahlen in;;;;;;Su-;Spieleinsatz;6 Treffer + Superzahl;;6 Treffer;; 5 Treffer + Superzahl;;5 Treffer;; 4 Treffer + Superzahl;;4 Treffer;; 3 Treffer + Superzahl;;3 Treffer;; 2 Treffer + Superzahl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KW;2017;Ziehung;gezogener Reihenfolge;;;;;;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;Festquote 5,- Euro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.;05.07.;MI;47;39;40;7;34;33;0;23.497.104,00  ;JP;10.161.288,50  ;1  x  ;900.013,20  ;34  x  ;13.235,40  ;268  x  ;5.037,30  ;1.552  x  ;289,90  ;16.600  x  ;54,20  ;31.261  x  ;28,70  ;357.620  x  ;11,30  ;248.921  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;08.07.;SA;2;40;23;27;3;17;2;47.064.975,00  ;1  x  ;13.173.446,90  ;3  x  ;576.366,30  ;117  x  ;7.389,30  ;916  x  ;2.831,40  ;5.451  x  ;158,60  ;52.477  x  ;32,90  ;94.101  x  ;18,30  ;917.335  x  ;8,40  ;645.868  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.;12.07.;MI;44;30;22;36;49;18;7;20.962.822,00  ;JP;1.341.620,60  ;JP;771.260,50  ;19  x  ;20.296,30  ;210  x  ;5.509,00  ;1.794  x  ;214,90  ;13.374  x  ;57,60  ;35.071  x  ;21,90  ;266.256  x  ;13,00  ;285.437  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;15.07.;SA;33;38;8;32;31;25;1;44.873.624,00  ;JP;4.213.532,50  ;3  x  ;818.648,10  ;60  x  ;14.039,00  ;614  x  ;4.115,60  ;3.611  x  ;233,20  ;39.328  x  ;42,80  ;69.969  x  ;24,00  ;750.488  x  ;10,10  ;543.612  x  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
