LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2005
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi))
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;2005;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro
;21.05.;SA;21;41;40;37;49;2;4;4;92.005.199,25;JP;20.935.626,50;2  x  ;1.840.103,90;26  x  ;88.466,50;1.286  x  ;4.650,30;3.787  x  ;242,9;87.244  x  ;52,7;127.802  x  ;28,7;1.796.917  x  ;11,2
21.;25.05.;MI;47;23;33;49;22;43;3;0;59.677.812,00;1  x  ;23.919.517,10;3  x  ;795.704,10;40  x  ;37.298,60;1.252  x  ;3.098,20;9.304  x  ;64,1;65.556  x  ;45,5;124.318  x  ;19,2;1.198.688  x  ;10,9
;28.05.;SA;34;29;28;7;6;43;16;5;69.388.545,75;JP;3.469.427,20;6  x  ;462.590,30;29  x  ;59.817,70;1.130  x  ;3.991,30;3.839  x  ;180,7;67.647  x  ;51,2;104.394  x  ;26,5;1.330.551  x  ;11,4
22.;01.06.;MI;29;2;32;33;15;39;22;2;27.746.522,25;JP;4.856.753,30;1  x  ;1.109.860,80;11  x  ;63.060,20;363  x  ;4.968,30;1.149  x  ;241,4;23.932  x  ;57,9;34.940  x  ;31,7;521.005  x  ;11,7
;04.06.;SA;19;25;43;47;1;6;40;8;67.711.623,00;1  x  ;8.242.334,40;15  x  ;180.564,30;46  x  ;36.799,70;1.774  x  ;2.480,90;3.174  x  ;213,3;85.437  x  ;39,6;96.708  x  ;28;1.545.958  x  ;9,6
23.;08.06.;MI;25;23;10;45;6;49;33;7;25.751.723,25;JP;1.287.586,10;2  x  ;515.034,40;31  x  ;20.767,50;600  x  ;2.789,70;2.073  x  ;124,2;31.597  x  ;40,7;50.528  x  ;20,3;578.411  x  ;9,7
;11.06.;SA;29;24;18;9;30;13;35;8;64.285.330,50;2  x  ;2.250.926,30;6  x  ;428.568,80;32  x  ;50.222,90;2.038  x  ;2.050,30;3.872  x  ;166;99.630  x  ;32,2;99.689  x  ;25,7;1.641.350  x  ;8,6
24.;15.06.;MI;18;12;11;14;32;31;8;3;25.247.539,50;JP;1.262.376,90;1  x  ;1.009.901,50;15  x  ;42.079,20;507  x  ;3.236,80;1.546  x  ;163,3;29.949  x  ;42,1;50.271  x  ;20;599.622  x  ;9,2
;18.06.;SA;49;18;26;27;8;28;33;9;63.588.671,25;1  x  ;4.441.810,40;4  x  ;635.886,70;29  x  ;54.817,80;1.056  x  ;3.914,00;2.662  x  ;238,8;71.931  x  ;44,2;91.819  x  ;27,7;1.336.933  x  ;10,4
25.;22.06.;MI;33;48;5;44;41;40;10;5;24.247.554,75;JP;1.212.377,70;JP;969.902,10;1  x  ;606.188,80;382  x  ;4.125,80;1.220  x  ;198,7;27.444  x  ;44,1;39.164  x  ;24,7;520.159  x  ;10,2
