Lotto 6 aus 49 am Samstag / Lotto 6 aus 49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 2000
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD)
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;2000;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;DM;Jackpot;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
28.;15.07.;;9;28;3;31;38;24;22;6;161.495.412,00 ;1  x  ;9.655.746,70  ;7  x  ;922.830,90 ;35  x  ;115.353,80 ;2.392  x  ;4.388,40 ;4.553  x  ;354,70 ;138.592  x  ;65,80 ;131.292  x  ;65,80 ;2.139.901  x  ;16,60  
29.;22.07.;;40;2;14;44;9;38;4;0;158.291.293,50 ;JP;4.748.738,80  ;4  x  ;1.582.912,90 ;27  x  ;146.566,00 ;1.262  x  ;8.152,80 ;3.468  x  ;456,40 ;77.103  x  ;112,90 ;121.678  x  ;71,50 ;1.567.488  x  ;22,20  
30.;29.07.;;33;13;5;32;28;27;45;9;160.130.340,00 ;JP;9.552.649,00  ;3  x  ;2.135.071,20 ;37  x  ;108.196,10 ;1.654  x  ;6.292,90 ;4.878  x  ;328,20 ;102.523  x  ;85,90 ;131.782  x  ;66,80 ;1.901.646  x  ;18,50  
31.;05.08.;;26;18;47;21;32;16;1;1;167.342.629,50 ;JP;14.572.927,80  ;6  x  ;1.115.617,50 ;21  x  ;199.217,40 ;2.028  x  ;5.363,50 ;3.376  x  ;495,60 ;115.091  x  ;83,30 ;105.753  x  ;83,30 ;2.053.128  x  ;17,90  
32.;12.08.;;38;26;39;16;19;32;5;2;181.810.930,50 ;1  x  ;20.027.255,70  ;7  x  ;1.038.919,60 ;63  x  ;72.147,10 ;3.140  x  ;3.763,60 ;7.975  x  ;227,90 ;156.934  x  ;63,70 ;201.188  x  ;49,70 ;2.472.454  x  ;16,10  
33.;19.08.;;1;31;32;20;25;39;19;3;161.198.049,00 ;JP;4.835.941,40  ;2  x  ;3.223.960,90 ;35  x  ;115.141,40 ;1.020  x  ;10.272,40 ;4.741  x  ;340,00 ;79.246  x  ;111,80 ;157.456  x  ;56,30 ;1.699.899  x  ;20,80  
34.;26.08.;;46;1;43;27;4;28;19;6;162.641.209,50 ;1  x  ;9.715.177,60  ;9  x  ;722.849,80 ;33  x  ;123.213,00 ;1.111  x  ;9.515,40 ;5.391  x  ;301,60 ;65.873  x  ;135,70 ;133.581  x  ;66,90 ;1.350.817  x  ;26,40  
35.;02.09.;;22;32;25;23;36;35;31;2;169.313.359,50 ;JP;5.079.400,70  ;12  x  ;564.377,80 ;80  x  ;52.910,40 ;1.820  x  ;6.046,90 ;4.288  x  ;394,80 ;84.536  x  ;110,10 ;119.673  x  ;77,80 ;1.640.864  x  ;22,70  
36.;09.09.;;16;47;41;40;29;39;17;6;163.977.142,50 ;JP;9.998.714,90  ;2  x  ;3.279.542,80 ;33  x  ;124.225,10 ;1.024  x  ;10.408,70 ;4.544  x  ;360,80 ;77.222  x  ;116,70 ;126.051  x  ;71,50 ;1.563.468  x  ;23,00  
37.;16.09.;;18;43;25;4;10;20;40;2;169.769.470,50 ;JP;15.091.799,00  ;4  x  ;1.697.694,70 ;64  x  ;66.316,10 ;1.790  x  ;6.164,80 ;6.741  x  ;251,80 ;102.208  x  ;91,30 ;188.863  x  ;49,40 ;1.937.840  x  ;19,20  
