LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2007;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi));;;;;;
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;;;;;;;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;;;;;;;
VA;2007;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;;;;;;
18.;02.05.;MI;48;23;22;34;40;30;41;5;22.574.193,00  ;JP;1.128.709,60  ;1  x  ;902.967,70  ;11  x  ;51.304,90  ;339  x  ;4.328,30  ;1.086  x  ;207,80  ;20.359  x  ;55,40  ;29.173  x  ;30,90  ;421.944  x  ;11,70  ;;;;;;
;05.05.;SA;32;15;20;13;37;49;19;1;64.746.513,00  ;JP;4.366.035,20  ;7  x  ;369.980,00  ;16  x  ;101.166,40  ;1.242  x  ;3.388,50  ;2.637  x  ;245,50  ;65.247  x  ;49,60  ;90.574  x  ;28,50  ;1.231.360  x  ;11,50  ;;;;;;
19.;09.05.;MI;44;46;15;8;22;47;21;0;25.478.931,75  ;JP;5.639.981,70  ;2  x  ;509.578,60  ;10  x  ;63.697,30  ;402  x  ;4.119,70  ;1.015  x  ;251,00  ;21.389  x  ;59,50  ;27.860  x  ;36,50  ;437.470  x  ;12,80  ;;;;;;
;12.05.;SA;21;22;31;28;17;42;14;7;64.381.585,50  ;3  x  ;2.953.020,30  ;2  x  ;1.287.631,70  ;34  x  ;47.339,40  ;1.178  x  ;3.552,40  ;3.742  x  ;172,00  ;69.405  x  ;46,30  ;141.379  x  ;18,20  ;1.306.167  x  ;10,80  ;;;;;;
20.;16.05.;MI;12;42;10;16;40;23;20;2;32.241.163,50  ;JP;1.612.058,10  ;JP;1.289.646,50  ;15  x  ;53.735,20  ;689  x  ;3.041,60  ;1.842  x  ;175,00  ;37.684  x  ;42,70  ;55.562  x  ;23,20  ;701.903  x  ;10,10  ;;;;;;
;19.05.;SA;9;4;21;29;34;7;18;7;57.671.373,00  ;JP;4.495.626,70  ;10  x  ;359.650,10  ;66  x  ;21.845,20  ;1.651  x  ;2.270,50  ;5.883  x  ;98,00  ;84.757  x  ;34,00  ;136.993  x  ;16,80  ;1.417.254  x  ;8,90  ;;;;;;
21.;23.05.;MI;20;10;45;31;19;9;1;8;24.938.121,75  ;1  x  ;5.742.532,70  ;3  x  ;332.508,20  ;17  x  ;36.673,70  ;804  x  ;2.016,10  ;2.180  x  ;114,30  ;39.091  x  ;31,80  ;53.289  x  ;18,70  ;632.774  x  ;8,60  ;;;;;;
;26.05.;SA;42;17;1;25;41;26;23;7;56.365.161,00  ;JP;2.818.258,00  ;7  x  ;322.086,60  ;15  x  ;93.941,90  ;1.377  x  ;2.660,60  ;2.327  x  ;242,20  ;92.666  x  ;30,40  ;75.163  x  ;29,90  ;1.255.047  x  ;9,80  ;;;;;;
22.;30.05.;MI;18;14;34;23;39;27;36;2;23.496.366,75  ;JP;3.993.076,30  ;5  x  ;187.970,90  ;22  x  ;26.700,40  ;916  x  ;1.667,30  ;1.648  x  ;142,50  ;36.817  x  ;31,90  ;35.996  x  ;26,10  ;553.923  x  ;9,30  ;;;;;;
;02.06.;SA;18;24;44;31;13;28;21;1;60.256.656,75  ;JP;7.005.909,10  ;4  x  ;602.566,50  ;25  x  ;60.256,60  ;1.204  x  ;3.253,00  ;2.497  x  ;241,30  ;71.339  x  ;42,20  ;78.912  x  ;30,50  ;1.325.194  x  ;10,00  ;;;;;;
