Lotto 6 aus 49 am Samstag;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1999
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD)
;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;1999;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;;;;;;;Einführung 20. VA 1999;;bis zur 19. VA Gewinnklasse V;;bis zur 19. VA Gewinnklasse VI;;bis zur 19. VA Gewinnklasse VII;
;;;;;;;;zahl;zahl;DM;Jackpot;DM;Gewinne;DM;Gewinne;    DM;Gewinne;  DM;Gewinne;DM;Gewinne;DM;Gewinne;DM;Gewinne;DM
29.;24.07.;34;27;49;31;35;28;30;7;201.502.659,00 ;1  x  ;20.956.636,60  ;4  x  ;2.015.026,50 ;67  x  ;75.187,50 ;1.662  x  ;7.880,60 ;9.070  x  ;222,10 ;82.854  x  ;133,70 ;120.535  x  ;91,90 ;1.742.763  x  ;25,40  
30.;31.07.;16;3;21;44;33;29;18;5;165.520.438,50 ;1  x  ;4.965.613,10  ;13  x  ;509.293,60 ;67  x  ;61.761,30 ;2.529  x  ;4.254,10 ;5.628  x  ;294,10 ;103.288  x  ;88,10 ;144.418  x  ;63,00 ;1.744.383  x  ;20,80  
31.;07.08.;27;42;9;33;20;21;48;1;162.641.044,50 ;JP;4.879.231,30  ;2  x  ;3.252.820,80 ;46  x  ;88.391,80 ;1.599  x  ;6.611,40 ;4.432  x  ;366,90 ;94.230  x  ;94,90 ;121.623  x  ;73,50 ;1.751.906  x  ;20,40  
32.;14.08.;22;49;42;40;33;19;27;2;169.046.577,00 ;JP;9.950.628,60  ;1  x  ;6.761.863,00 ;30  x  ;140.872,10 ;1.305  x  ;8.419,90 ;3.866  x  ;437,20 ;85.213  x  ;109,10 ;122.132  x  ;76,10 ;1.749.703  x  ;21,20  
33.;21.08.;9;41;4;24;20;23;34;2;170.797.996,50 ;JP;15.074.568,40  ;12  x  ;569.326,60 ;42  x  ;101.665,40 ;2.603  x  ;4.265,00 ;5.661  x  ;301,70 ;124.524  x  ;75,40 ;150.741  x  ;62,30 ;2.096.998  x  ;17,90  
34.;28.08.;14;1;28;43;21;47;11;3;188.196.013,50 ;JP;20.720.448,80  ;6  x  ;1.254.640,00 ;31  x  ;151.770,90 ;1.482  x  ;8.254,20 ;4.079  x  ;461,30 ;81.846  x  ;126,40 ;129.112  x  ;80,10 ;1.576.253  x  ;26,20  
35.;04.09.;24;35;30;34;17;19;26;0;250.622.650,50 ;2  x  ;14.119.564,10  ;16  x  ;626.556,60 ;85  x  ;73.712,50 ;2.451  x  ;6.646,40 ;6.884  x  ;364,00 ;153.989  x  ;89,50 ;221.068  x  ;62,30 ;2.897.896  x  ;19,00  
36.;11.09.;35;14;34;1;36;19;9;2;173.686.707,00 ;JP;5.210.601,20  ;1  x  ;6.947.468,20 ;37  x  ;117.355,80 ;1.292  x  ;8.738,10 ;4.643  x  ;374,00 ;74.879  x  ;127,50 ;139.279  x  ;68,50 ;1.466.476  x  ;26,00  
37.;18.09.;45;35;44;28;24;21;37;5;171.065.140,50 ;1  x  ;10.342.555,40  ;2  x  ;3.421.302,80 ;18  x  ;237.590,40 ;1.033  x  ;10.764,00 ;3.124  x  ;547,50 ;68.923  x  ;136,50 ;101.798  x  ;92,40 ;1.535.024  x  ;24,50  
38.;25.09.;25;18;42;22;29;12;44;6;166.564.558,50 ;1  x  ;4.996.936,70  ;2  x  ;3.331.291,10 ;28  x  ;148.718,30 ;1.591  x  ;6.804,90 ;3.701  x  ;450,00 ;93.955  x  ;97,50 ;114.069  x  ;80,30 ;1.765.366  x  ;20,70  
39.;02.10.;19;42;10;27;45;35;8;4;176.934.210,00 ;1  x  ;5.308.026,30  ;11  x  ;643.397,10 ;64  x  ;69.114,90 ;2.401  x  ;4.789,90 ;4.855  x  ;364,40 ;106.779  x  ;91,10 ;133.971  x  ;72,60 ;1.889.723  x  ;20,50  
40.;09.10.;19;17;20;44;29;6;25;2;164.957.368,50 ;JP;4.948.721,00  ;3  x  ;2.199.431,50 ;23  x  ;179.301,40 ;1.438  x  ;7.456,30 ;3.735  x  ;441,60 ;90.766  x  ;99,90 ;126.285  x  ;71,80 ;1.765.015  x  ;20,50  
41.;16.10.;30;12;7;42;4;3;10;1;166.117.089,00 ;1  x  ;9.932.233,60  ;5  x  ;1.328.936,70 ;66  x  ;62.923,10 ;2.226  x  ;4.850,60 ;8.095  x  ;205,20 ;121.375  x  ;75,20 ;187.760  x  ;48,60 ;2.076.921  x  ;17,50 
42.;23.10.;27;34;5;35;22;3;20;7;162.331.573,50 ;JP;4.869.947,20  ;5  x  ;1.298.652,50 ;30  x  ;135.276,30 ;1.318  x  ;8.005,70 ;3.400  x  ;477,40 ;80.116  x  ;111,40 ;105.492  x  ;84,60 ;1.622.858  x  ;22,00  
43.;30.10.;45;49;14;23;1;10;7;3;166.182.897,00 ;JP;9.855.434,10  ;7  x  ;949.616,50 ;54  x  ;76.936,50 ;1.729  x  ;6.247,40 ;5.975  x  ;278,10 ;85.478  x  ;106,90 ;169.257  x  ;54,00 ;1.557.165  x  ;23,40  
44.;06.11.;25;7;12;5;49;34;46;9;176.020.768,50 ;1  x  ;15.136.057,10  ;11  x  ;640.075,50 ;54  x  ;81.491,00 ;2.346  x  ;4.876,90 ;5.626  x  ;312,80 ;125.351  x  ;77,20 ;144.684  x  ;66,90 ;2.231.125  x  ;17,30  
45.;13.11.;47;27;19;30;23;14;34;2;165.576.222,00 ;JP;4.967.286,60  ;4  x  ;1.655.762,20 ;36  x  ;114.983,40 ;1.490  x  ;7.223,10 ;4.146  x  ;399,30 ;87.434  x  ;104,10 ;125.808  x  ;72,30 ;1.732.427  x  ;21,00  
46.;20.11.;1;8;7;41;24;9;36;1;165.697.344,00 ;JP;9.938.206,90  ;8  x  ;828.486,70 ;45  x  ;92.054,00 ;2.388  x  ;4.510,10 ;4.880  x  ;339,50 ;133.991  x  ;69,40 ;128.423  x  ;69,40 ;2.217.343  x  ;16,40  
47.;27.11.;5;24;43;48;2;37;20;1;174.304.185,00 ;JP;15.167.332,40  ;7  x  ;996.023,90 ;42  x  ;103.752,40 ;1.666  x  ;6.800,50 ;4.343  x  ;401,30 ;94.174  x  ;101,70 ;120.949  x  ;79,20 ;1.819.746  x  ;21,00  
48.;04.12.;44;28;43;19;4;46;48;4;200.871.862,50 ;JP;21.193.488,20  ;1  x  ;8.034.874,50 ;20  x  ;251.089,80 ;1.251  x  ;10.436,90 ;3.907  x  ;514,10 ;91.313  x  ;120,90 ;152.857  x  ;72,20 ;1.908.435  x  ;23,10  
49.;11.12.;19;22;46;6;47;7;3;4;240.196.974,00 ;4  x  ;7.099.849,30  ;5  x  ;1.921.575,70 ;81  x  ;74.134,80 ;2.323  x  ;6.720,90 ;8.466  x  ;283,70 ;124.678  x  ;105,90 ;241.921  x  ;54,60 ;2.426.240  x  ;21,70  
50.;18.12.;6;20;38;17;2;25;35;2;184.215.426,00 ;2  x  ;2.763.231,30  ;18  x  ;409.367,60 ;71  x  ;64.864,50 ;3.377  x  ;3.545,70 ;5.567  x  ;330,90 ;142.286  x  ;72,80 ;135.927  x  ;72,80 ;2.272.919  x  ;17,80  
51.;25.12.;33;24;18;30;5;23;1;4;182.941.042,50 ;1  x  ;5.488.231,20  ;4  x  ;1.829.410,40 ;46  x  ;99.424,40 ;2.246  x  ;5.294,30 ;5.310  x  ;344,50 ;138.948  x  ;72,40 ;144.827  x  ;69,40 ;2.398.871  x  ;16,70  
52.;01.01.;47;2;1;12;40;30;41;0;190.214.160,00 ;1  x  ;5.706.424,80  ;5  x  ;1.521.713,20 ;29  x  ;163.977,70 ;1.720  x  ;7.188,30 ;3.865  x  ;492,10 ;104.342  x  ;100,20 ;119.165  x  ;87,70 ;1.974.005  x  ;21,10  
