Ziehung	Tag	Monat	Jahr	Zahl1	Zahl2	Zahl3	Zahl4	Zahl5	Zahl6	Zusatz	Super	Einsatz(EUR)	Quote GKI(EUR)	Anzahl GKI	Quote GKII(EUR)	Anzahl GKII	Quote GKIII(EUR)	Anzahl GKIII	Quote GKIV(EUR)	Anzahl GKIV	Quote GKV(EUR)	Anzahl GKV	Quote GKVI(EUR)	Anzahl GKVI	Quote GKVII(EUR)	Anzahl GKVII	Quote GKVIII(EUR)	Anzahl GKVIII	Anzahl GKIX	Quote GKIX(EUR)
Mi	9	8	2017	1	18	39	10	41	49	 	7	22058640	4280343,1	Jackpot	2404929,8	1	8548,7	46	3277	360	153,6	2560	42,7	18394	16,8	46600	9,9	355711	5	350545
Sa	12	8	2017	15	27	47	49	25	5	 	6	45461160	3594928,6	2	209009,1	8	7813,4	107	2702,7	928	179,9	4647	38,7	43168	20,1	83110	10,2	734854	5	620066
Mi	16	8	2017	29	9	36	6	38	49	 	3	20613473	1319262,2	Jackpot	754555,4	1	10779,3	35	3581,7	316	180,8	2086	44,9	16805	19,4	38757	10,3	327927	5	288384
Sa	19	8	2017	35	2	45	29	10	48	 	2	44070838	4139795,8	Jackpot	419943,5	4	14235,3	59	4213,4	598	266,5	3151	57,5	29204	28,5	58883	13,3	566904	5	483429
Mi	23	8	2017	28	16	32	49	23	25	 	6	21509266	5516388,8	Jackpot	196169,2	4	17058,1	23	5826,8	202	218,8	1793	49,7	15778	20,5	38114	10,7	328525	5	306254
Sa	26	8	2017	19	2	28	11	24	49	 	9	44931384	8391997,3	Jackpot	536105,7	3	7586,4	106	2023,8	1192	132	6092	30,8	52105	15,8	101603	8,4	859620	5	701382
Mi	30	8	2017	29	5	9	34	21	7	 	3	22663866	9842484,7	Jackpot	818023,5	Jackpot	8019,8	51	2561,6	479	141	2900	34,6	23628	16,4	49595	8,9	410807	5	340242
Sa	2	9	2017	14	5	8	3	34	33	 	6	47870210	12906178,1	Jackpot	2573577,6	1	13101,1	67	4478,4	588	209,5	4188	47	37323	21,1	83063	10,6	741435	5	663174
Mi	6	9	2017	33	12	48	19	16	28	 	3	24642702	14483311	Jackpot	448387,1	2	13587,4	33	3887,7	346	173,9	2577	41,8	21420	18,8	47621	10	402224	5	355295
Sa	9	9	2017	40	14	49	8	18	27	 	3	49152525	17629072,6	1	608553	3	12678,1	72	4187,2	654	218,3	4181	49,2	37103	22,7	80245	11,4	717810	5	634782
Mi	13	9	2017	17	40	18	11	30	16	 	6	21120488	1351711,2	Jackpot	381200,6	2	11211,7	34	3665,3	312	159,2	2393	39,5	19257	17,5	43393	9,3	365185	5	316904
Sa	16	9	2017	47	27	31	35	21	26	 	9	44522996	4201182,9	Jackpot	1656334,6	Jackpot	16563,3	50	5343	465	249,8	3315	53,7	30818	23,5	70322	11,7	635326	5	569736
Mi	20	9	2017	36	28	3	46	9	30	 	3	22063388	5613239,7	Jackpot	2458809,3	Jackpot	9553,2	42	4559,5	264	191,9	2090	47,6	16839	19,5	41129	10,9	330746	5	318978
Sa	23	9	2017	10	15	44	19	23	38	 	6	45685925	8537138,9	1	1034306,7	4	11189,4	75	3453,5	729	178,8	4693	40,9	41019	20,1	83143	10,4	724710	5	626977
Mi	27	9	2017	33	31	25	20	37	17	 	6	20491623	1311463,8	Jackpot	106272,6	7	3509	106	1562,8	714	111,5	3334	26,8	27736	15,5	47895	8,1	408400	5	299052
Sa	30	9	2017	46	23	18	19	4	33	 	1	44850500	4181895,8	Jackpot	335978,9	5	7499,5	112	2172,2	1160	163,2	5146	30,8	54489	20,8	80619	8,7	860272	5	551174
Mi	4	10	2017	45	17	19	11	15	16	 	4	21338437	5547555,7	Jackpot	788233,3	1	15764,6	25	4767,5	248	216	1824	45,7	17244	22,9	34298	11,1	318740	5	284245
Sa	7	10	2017	24	21	11	20	49	30	 	6	45866578	8483016,6	Jackpot	1682197,3	Jackpot	15575,9	54	4751,9	531	204,3	4115	47	35751	20,3	82552	10,6	713715	5	635171
Mi	11	10	2017	42	6	3	17	21	20	 	7	23873252	10010904,7	Jackpot	2528041,5	Jackpot	7552,1	56	3321,3	382	151,4	2793	40,1	21081	16,4	51484	9,8	385785	5	390059
Sa	14	10	2017	13	10	35	7	40	9	 	7	48600281	13121322,6	1	1404547,2	3	9915,2	85	3712,7	681	141	5976	37,8	44513	13,8	121719	8,5	887848	5	866744
Mi	18	10	2017	38	10	11	13	7	4	 	4	20940130	1340168,3	Jackpot	376514	2	7382,6	51	2333,7	484	132	2852	28,2	26619	15,2	49327	7,5	450517	5	319923
Sa	21	10	2017	15	4	25	34	10	46	 	1	44635929	4196867,7	Jackpot	423822,1	4	9632,3	88	2728,4	932	207,1	4091	39,2	43177	24,3	69586	10,2	741171	5	501676
Mi	25	10	2017	1	18	42	29	32	36	 	8	21689470	5584993,7	Jackpot	806406,3	1	15507,8	26	4652,3	260	227,6	1771	56,5	14263	22,7	35384	12,7	284181	5	278509
Sa	28	10	2017	22	1	36	24	33	20	 	1	45936592	8524935,5	Jackpot	1760571,4	Jackpot	20959,1	42	5478,9	482	302,1	2913	60,4	29144	29,7	59223	12,7	620829	5	484528
Mi	1	11	2017	18	15	8	31	3	21	 	9	22098898	9939264,9	Jackpot	860840,1	3	9557,5	43	2612,1	472	169,9	2418	35,9	22893	20,9	39324	9,7	378651	5	283126
Sa	4	11	2017	21	47	46	14	3	7	 	6	48161263	13021585,7	Jackpot	883743,7	2	7364,5	120	3054,4	868	170,5	5182	38,6	45757	19,5	90609	10,2	779313	5	664687
Mi	8	11	2017	7	37	43	14	38	24	 	7	24999516	14621554,7	Jackpot	890559,8	1	9087,3	49	4047,9	330	168,4	2643	49,5	17986	17,7	50301	11	363829	5	398838
Sa	11	11	2017	7	1	19	16	11	37	 	7	50140722	17830560,9	1	191815,2	9	4567	189	2060	1257	91	9478	27,1	63653	11,4	150320	7,4	1040931	5	919597
Mi	15	11	2017	6	23	46	40	35	45	 	5	21282525	1362081,6	Jackpot	778920	1	16227,5	24	5841,9	200	216	1803	56,3	13833	21,2	36671	12,5	279842	5	297996
Sa	18	11	2017	9	5	2	35	20	12	 	7	45022869	4243545,2	Jackpot	399022,5	4	5911,4	135	2216,7	1080	120	6649	30,8	51670	14,8	107167	8,5	837554	5	733814
Mi	22	11	2017	28	29	32	24	48	34	 	9	21854862	5642256,3	Jackpot	824489,9	1	14215,3	29	4294,2	288	244,9	1683	50,4	16340	24,8	33154	11,7	314767	5	256764
Sa	25	11	2017	20	37	17	11	26	43	 	9	45819122	8574680,1	1	421612,1	4	10950,9	77	3562,9	710	189,2	4456	42,2	39937	20,6	81750	10,1	746938	5	622530
Mi	29	11	2017	32	9	30	16	25	28	 	8	20812389	1331992,8	Jackpot	758739,1	1	12645,6	30	3671,3	310	185,1	2049	39,5	19192	19	39896	9,5	359148	5	297362
Sa	2	12	2017	17	33	18	12	13	3	 	2	45724314	4258348,8	Jackpot	555635,6	3	8013,9	104	2242,4	1115	128,6	6480	25,2	65896	16	104020	7	1058922	5	653346
Mi	6	12	2017	29	18	11	43	35	19	 	9	23874594	5786322,8	Jackpot	896376,2	Jackpot	17238	26	4074,4	330	232,5	1927	52,1	17173	24,5	36499	11,7	344384	5	289112
Sa	9	12	2017	25	12	46	16	20	7	 	7	48517319	8891431,2	Jackpot	1301051,1	2	6662,9	128	2561,1	999	126,1	6762	35,6	47868	14,6	116766	9,2	828279	5	819258
Mi	13	12	2017	3	17	2	9	27	14	 	0	24073710	10432148,6	Jackpot	905230,7	Jackpot	10058,1	45	2309,2	588	187,3	2416	29,6	30484	21,3	42454	8	504095	5	288766
Sa	16	12	2017	40	30	5	23	6	18	 	9	49143783	13577350,7	Jackpot	540740,4	5	7193,8	125	2758,3	978	157	5725	33,4	53704	18	99530	8,8	915957	5	688395
Mi	20	12	2017	35	8	13	39	44	38	 	4	26160651	15251632,3	Jackpot	980271,8	1	13614,8	36	5070,3	290	237,2	2066	53,2	18405	24,5	39856	12,2	360767	5	320665
Sa	23	12	2017	39	38	11	32	4	31	 	6	57963450	18961293,1	1	346150,9	6	8952,1	116	3730,9	835	139,7	7429	32,7	63458	18,2	113866	9,6	966673	5	900601
Mi	27	12	2017	46	45	37	19	17	31	 	0	22036192	1410316,2	Jackpot	423691,4	2	10592,2	40	3371,5	377	208,9	2028	38,2	22153	25,5	33178	9,6	395482	5	226790
Sa	30	12	2017	37	48	27	11	12	14	 	0	61363996	5337611,9	Jackpot	1171349,1	2	20195,6	58	4459,4	788	276,4	4237	48,2	48512	27,2	85973	10,8	970229	5	665544
Mi	3	1	2018	45	10	34	31	15	35	 	8	22909485	6803818,9	Jackpot	861581,5	Jackpot	11966,4	36	4196	308	220,6	1952	46,5	18511	23,3	36934	11,7	330060	5	274544
Sa	6	1	2018	37	47	46	32	5	14	 	0	47358258	9834747,4	Jackpot	1351671	2	32888,5	28	4596,7	601	320,3	2875	51,8	35538	32,3	56921	11,8	697485	5	446119
Mi	10	1	2018	24	25	3	45	22	43	 	6	24378366	11394962,8	Jackpot	896269,2	Jackpot	14004,2	32	4997,7	269	250	1792	55,9	16024	22,5	39754	11,9	337823	5	333255
Sa	13	1	2018	14	31	48	6	5	16	 	0	49672833	14574024,1	Jackpot	2810131,7	Jackpot	21265,1	45	4323,4	664	288,7	3314	48,4	39464	29,4	65025	11,1	772972	5	503746
Mi	17	1	2018	32	48	13	3	27	25	 	2	26097623	16244271,9	1	1888875,7	2	9486,4	51	2769,9	524	175,4	2757	35,5	27256	20,4	47364	9	480730	5	340473
Sa	20	1	2018	3	45	11	33	18	15	 	4	45746759	2927792,5	Jackpot	422544,1	4	10305,9	82	2682,8	945	170,4	4957	35,4	47737	19,7	85643	9,2	821602	5	608764
Mi	24	1	2018	37	5	45	31	18	3	 	7	21925081	4330997,6	Jackpot	774481	1	7744,8	50	2868,4	405	132,3	2925	34,9	22145	15,4	50002	9,1	379717	5	362905
Sa	27	1	2018	34	24	22	43	4	36	 	6	46317161	7295295,9	Jackpot	1730962,7	Jackpot	13523,1	64	5320,5	488	235,9	3668	55,3	31293	23,8	72693	12,7	610032	5	576931
Mi	31	1	2018	6	26	3	38	8	29	 	8	23727249	8813839,8	1	1296300,1	2	7833	55	2738,2	472	125	3444	30,6	28125	16,4	52509	8,5	454570	5	345741
Sa	3	2	2018	5	39	48	13	20	9	 	5	46293388	2962776,8	Jackpot	826399,3	2	7512,7	110	2979,8	832	146	5659	38,9	42488	16,3	101133	9,6	772254	5	731186
Mi	7	2	2018	15	41	28	20	25	33	 	5	22260647	4387458,2	Jackpot	203571,9	4	10439,5	39	3571,4	342	189,2	2151	50,7	16055	19,1	42462	11,1	329588	5	312553
Sa	10	2	2018	27	41	45	20	17	35	 	8	46542339	7366167,8	1	862836,7	2	10395,6	83	4893,2	529	229,7	3756	51,9	33236	22,6	76129	11,7	661846	5	607145
Mi	14	2	2018	22	16	20	23	24	6	 	6	21109867	1351031,4	Jackpot	765388,7	Jackpot	10630,3	36	4316,1	266	165,8	2308	45,1	16957	19,4	39381	11,2	307011	5	310003
Sa	17	2	2018	27	15	42	37	18	26	 	2	44791205	4217668,5	Jackpot	2459693,2	Jackpot	19253,4	44	5272,7	482	271,2	3123	53,2	31833	26,3	64345	11,7	648143	5	517184
Mi	21	2	2018	29	47	6	8	40	3	 	7	22144048	5634887,5	Jackpot	1626262,5	2	10713,9	37	4247,3	280	177	2239	45,8	17277	18,4	42896	10,9	327042	5	345297
Sa	24	2	2018	27	33	41	18	44	47	 	6	45456075	8544076,3	1	1660619,8	1	6750,4	123	2649,9	940	156	5320	36,7	45181	18,4	90250	9,8	756674	5	642530
Mi	28	2	2018	6	15	32	43	47	36	 	6	20898836	1337525,5	1	773110,7	1	13329,4	29	5042	230	200	1932	56,8	13605	22,4	34396	12,9	268420	5	276157
Sa	3	3	2018	5	37	28	44	24	40	 	8	44685926	2859899,2	Jackpot	274750,3	6	9474,1	87	3150	785	181,9	4531	44,8	36791	21,1	77886	11,3	652924	5	599608
Mi	7	3	2018	5	30	28	35	24	42	 	1	21621589	4243680,8	Jackpot	824961,2	Jackpot	15277	27	4311,6	287	285,8	1443	54,3	15184	28	29435	12	308687	5	235480
Sa	10	3	2018	40	34	8	49	35	19	 	8	45519638	7156937,6	Jackpot	2501305,9	1	11326,6	74	4882,5	515	214,3	3910	53,3	31396	21,7	77066	11,7	641541	5	616623
Mi	14	3	2018	18	48	13	38	30	45	 	7	22431225	8592536	Jackpot	810654,9	1	9650,6	42	3142	387	167,2	2423	43,7	18530	18,3	44209	10,7	338744	5	334693
Sa	17	3	2018	7	29	1	22	17	46	 	7	46548041	11571610,6	Jackpot	412480,5	4	7432	111	2834,9	873	136,7	6033	38,6	42666	15,1	108736	9,7	764599	5	759145
Mi	21	3	2018	38	48	26	29	20	43	 	0	23909513	14033931,6	1	0	Jackpot	17925,2	26	4905,8	285	325,9	1430	55,8	16681	33	28230	12,3	339208	5	220685
Sa	24	3	2018	16	27	34	3	42	45	 	1	44248614	2831911,2	Jackpot	563506,3	3	13416,8	63	3696,4	686	268,5	3147	49,3	34252	28	60187	11,8	643164	5	477441
Mi	28	3	2018	1	47	31	38	23	25	 	7	21535631	2490205,5	2	0	Jackpot	14811,9	26	3876,9	298	189,9	2027	47,7	16145	18,2	42265	10,6	325286	5	337468
Sa	31	3	2018	15	8	1	46	12	48	 	5	46187773	2956017,4	Jackpot	849924,4	2	13490,8	63	4594,1	555	227,3	3738	55,5	30619	22,1	76724	12,4	613455	5	627876
Mi	4	4	2018	33	46	13	30	28	23	 	7	20916165	4294651,9	Jackpot	755815,7	1	9217,2	41	3106	365	149,4	2529	39,5	19093	17,5	43060	10,4	324945	5	312258
Sa	7	4	2018	12	27	47	19	34	15	 	8	44382918	7135158,6	1	1619838,2	1	14209,1	57	4308	564	205,4	3942	49,5	32684	20,3	79698	10,9	663318	5	630514
Mi	11	4	2018	44	20	25	27	48	9	 	5	20413264	2047239,7	1	0	Jackpot	6988,5	53	4225	263	186,5	1985	47,2	15677	19,3	38297	10,7	308971	5	298455
Sa	14	4	2018	42	4	34	33	47	9	 	6	43753628	2800232,1	Jackpot	397460,2	4	13248,6	60	4703,6	507	210,6	3773	51	31152	20,1	78956	10,9	651697	5	635634
Mi	18	4	2018	35	37	7	10	2	4	 	8	20770905	4129570	Jackpot	755525,4	1	7264,6	52	3790,2	299	168,1	2247	37,3	20205	18,8	40120	9,1	373098	5	300172
Sa	21	4	2018	38	29	12	19	23	15	 	5	43507206	6914031,1	Jackpot	785961	2	9948,8	79	3929,8	600	172,9	4545	47	33382	18,4	85176	10,6	666261	5	649984
Mi	25	4	2018	17	6	11	10	25	4	 	6	21638022	8298864,5	1	124685,5	6	3339,7	112	1283,9	874	83	4502	21,6	34502	11,8	63031	6,7	495163	5	390609
Sa	28	4	2018	11	48	2	33	47	9	 	4	42980378	2750744,1	Jackpot	316346,9	5	9415	84	3616,7	656	194,3	4069	39,6	39915	20,1	78512	9,2	766277	5	584419
Mi	2	5	2018	42	3	5	44	19	12	 	7	20417542	4057466,7	Jackpot	237287,2	3	5740,8	62	2682,8	398	120,1	2962	33,8	21030	14,1	50143	8,5	372505	5	356686
Sa	5	5	2018	5	34	49	1	17	31	 	7	43951479	6870361,3	Jackpot	308762,1	5	6541,5	118	2308,7	1003	120,8	6386	32,4	47599	14,5	105876	8,9	777250	5	744947
Mi	9	5	2018	31	37	43	25	3	9	 	5	22330221	8299495,4	1	99595,4	8	3319,8	120	1404,4	851	111,4	3574	28,4	28043	15,5	51302	8,8	406404	5	353668
Sa	12	5	2018	27	23	38	36	42	29	 	0	42450095	2716806	Jackpot	831457,3	2	17322	48	4679,8	533	336,4	2471	53,2	31207	34,8	47680	12,6	593311	5	375819
Mi	16	5	2018	13	19	12	2	46	34	 	9	20606169	4035600,8	Jackpot	764248,9	Jackpot	16614,1	23	4199,1	273	204,2	1871	44	17343	21,6	35302	10,2	334132	5	268360
Sa	19	5	2018	41	27	44	3	49	4	 	2	43805912	6839179,1	Jackpot	2406220,1	Jackpot	18244,1	45	4629,6	532	255,2	3217	49,6	33090	24,5	66985	10,7	689071	5	535933
Mi	23	5	2018	29	45	16	7	47	36	 	6	20891560	11352207,5	1	0	Jackpot	11662,8	33	4308,2	268	217,1	1772	56,3	13665	22,4	34248	12,7	271275	5	282247
Sa	26	5	2018	48	27	24	16	47	10	 	6	42978956	2750653,1	Jackpot	1557010,9	1	13901,8	56	4845,4	482	193,7	4018	46,5	33483	18,7	82989	10,2	683851	5	633743
Mi	30	5	2018	29	15	35	23	38	48	 	2	20820659	4083175,2	Jackpot	803198,2	1	14342,8	28	4154,4	290	303,5	1323	52,7	15227	31,2	25688	13	277866	5	209165
Sa	2	6	2018	24	30	1	19	31	10	 	7	43497175	3433497,2	2	1518784,8	1	5709,7	133	2244,5	1015	110	6898	29,5	51358	13,2	114601	8	854038	5	755384
Mi	6	6	2018	18	13	3	15	8	42	 	6	19917027	1274689,7	Jackpot	720710,8	Jackpot	12426	29	3431,9	315	169,5	2125	41,7	17274	18	39820	10	322416	5	295343
Sa	9	6	2018	39	13	34	16	42	35	 	9	42634521	4003299	Jackpot	1164101,4	2	12757,8	63	5581,5	432	263,3	3052	59	27234	25,7	62462	12,6	569848	5	502746
Mi	13	6	2018	4	48	3	6	10	46	 	3	20832196	5336559,5	Jackpot	245942,2	3	13175,4	28	3535,9	313	156,5	2356	38,9	18961	16,1	45695	9,2	358176	5	340914
Sa	16	6	2018	46	40	19	4	31	33	 	2	43152464	8098317,1	1	322418,5	5	5597,5	144	1728,4	1399	161	5005	31,3	51431	20,2	79717	9	802754	5	538709
Mi	20	6	2018	22	31	33	36	6	43	 	5	19532226	1250062,4	Jackpot	716263,5	Jackpot	9948,1	36	3295,6	326	174,1	2057	46,6	15339	20	35725	11,4	280894	5	270683
Sa	23	6	2018	25	49	29	48	17	6	 	1	42374796	3962049,3	Jackpot	1155604,8	2	12268,8	65	3877,5	617	224,9	3545	42,2	37781	23,5	67863	10	716231	5	505190
Mi	27	6	2018	37	46	13	35	45	17	 	3	21502235	5338192,3	Jackpot	795124,4	Jackpot	14198,6	28	3539,1	337	186,5	2131	43,8	18135	20,8	38151	11,3	316437	5	284746
Sa	30	6	2018	24	42	40	38	16	37	 	9	43812668	10578109,7	1	0	Jackpot	17455,1	47	4228,8	582	209,4	3916	44,2	37099	22,2	73599	10,7	689766	5	538900
Mi	4	7	2018	25	1	37	5	32	10	 	8	19915143	1274569,1	Jackpot	715468,2	1	8943,3	40	3262	329	155,9	2294	36,5	19593	17,1	41631	8,9	357934	5	305664
Sa	7	7	2018	36	25	13	5	18	2	 	2	42530753	3996537,2	Jackpot	528863,4	3	9916,1	80	3131,4	760	196,3	4041	38,9	40783	21,7	72980	9,8	726040	5	535501
Mi	11	7	2018	44	18	3	1	42	28	 	5	20722358	5322768,1	1	252666,1	3	16478,2	23	3777,4	301	228,4	1659	52	14552	21,5	35241	11,5	294055	5	290993
Sa	14	7	2018	49	48	41	40	47	30	 	0	42346704	2710189	Jackpot	205646,7	8	4052,1	203	1037,7	2378	213,3	3856	40,4	40672	29,6	55491	12	612633	5	402285
Mi	18	7	2018	33	5	14	19	41	22	 	1	23342792	4204127,6	Jackpot	882297,2	1	12974,9	34	3283,9	403	243,7	1810	44	20028	24,7	35645	10,6	373306	5	270897
Sa	21	7	2018	7	29	6	49	1	20	 	5	42614177	6931434,9	1	307289,6	5	5690,5	135	2388,2	965	130,4	5889	31,7	48456	15,7	97277	8,7	788699	5	643060
Mi	25	7	2018	8	41	9	39	43	40	 	9	19193711	1228397,5	Jackpot	358741,1	2	13797,7	26	3749,9	287	231,2	1551	51,6	13887	24,3	29496	11,8	272199	5	238727
Sa	28	7	2018	35	11	7	31	34	36	 	1	41376707	3876506,7	Jackpot	1569441,4	1	13767	57	4884,1	482	240,4	3263	44,1	35508	26,1	60002	10,7	658933	5	469166
Mi	1	8	2018	46	25	22	45	2	32	 	2	20670384	5199411,2	Jackpot	782483,7	Jackpot	26082,7	15	5697,6	206	251,4	1556	56,5	13840	26,3	29646	12,2	286829	5	237490
Sa	4	8	2018	36	25	29	30	6	31	 	3	42966515	7949268,1	Jackpot	2377111,7	Jackpot	14237,7	56	7055,8	339	276,1	2887	66,1	24113	24,7	64502	12,7	561752	5	557424
Mi	8	8	2018	11	49	8	40	26	18	 	0	21500471	9325298,2	Jackpot	1597535,6	2	13192,8	31	3882,7	316	233,5	1751	41,4	19734	25,6	31834	9,7	376291	5	238922
Sa	11	8	2018	5	8	47	46	10	36	 	8	44210829	12154791,2	Jackpot	1617899,1	1	12073,8	67	5453,5	445	243,7	3319	60,8	26606	21,8	74136	12,4	585226	5	619386
Mi	15	8	2018	13	6	31	24	18	29	 	9	22487958	13594020,5	Jackpot	834635,4	1	11923,3	35	2851,8	439	187,8	2222	38,4	21720	21,1	39389	9,5	394699	5	291679
Sa	18	8	2018	1	14	46	42	34	3	 	3	45464011	16503717,2	Jackpot	850616,6	2	15189,5	56	5907	432	285,9	2975	66,4	25601	25,8	65904	13,5	566577	5	561995
Mi	22	8	2018	7	15	16	26	6	32	 	0	23632223	18016179,4	Jackpot	300890,3	3	15044,5	30	3480,7	389	239,8	1882	37,1	24305	24,3	37075	8,9	453105	5	255388
Sa	25	8	2018	37	31	8	16	15	20	 	2	47186226	21036097,8	Jackpot	1792256,4	Jackpot	17571,1	51	5110,9	526	276,7	3238	55,3	32408	26,8	66803	12,1	666338	5	530126
Mi	29	8	2018	21	24	3	17	22	39	 	9	25267745	22653233,4	Jackpot	1366090,5	2	10680,9	44	3624,3	389	205,4	2288	42,7	21993	21,6	43483	9,8	431063	5	323498
Sa	1	9	2018	39	46	4	12	38	21	 	1	49774951	25838830,2	Jackpot	471965	4	14522	65	3696,8	766	263,3	3584	46,8	40326	26,4	71501	11	768003	5	564655
Mi	5	9	2018	37	15	9	46	13	3	 	4	31875681	29053125,4	1	0	Jackpot	11290,8	52	4077,2	432	184	3190	39,7	29552	20,1	58263	9,9	531739	5	431056
Sa	8	9	2018	44	23	29	27	30	6	 	2	44495899	2847737,5	Jackpot	840884,8	2	27125,3	31	5568,7	453	282,3	2978	51,4	32669	26,1	64340	11,3	664313	5	516503
Mi	12	9	2018	13	28	7	24	31	32	 	6	21657123	4233793,3	Jackpot	765804	1	6489,8	59	3104,6	370	134,6	2844	35,6	21504	15,3	49917	8,8	387595	5	356893
Sa	15	9	2018	27	39	26	1	12	14	 	1	44144477	7059039,8	Jackpot	417497,9	4	18152	46	4274,7	586	238,5	3501	47,1	35453	25,2	66061	10,8	693273	5	509415
Mi	19	9	2018	5	8	3	47	30	19	 	0	22076284	8471921,9	Jackpot	139684,6	6	6869,7	61	1685,2	746	157,1	2666	26,9	31139	21,3	39203	8,1	463209	5	248836
Sa	22	9	2018	17	37	41	33	42	47	 	0	44695824	11332454,6	Jackpot	576949,8	3	9615,8	90	2222,8	1168	181,1	4777	29,4	58829	24,4	70668	8,6	897861	5	435777
Mi	26	9	2018	18	36	44	10	38	25	 	3	23114572	12811787,2	Jackpot	422926,1	2	7689,5	55	3171,9	400	187,8	2251	43,3	19508	20,4	41455	10,7	355081	5	323886
Sa	29	9	2018	9	5	19	4	16	45	 	7	46758512	15804331,9	Jackpot	806018,3	2	5337,8	151	2403,6	1006	108,7	7412	29,8	53953	12,8	125662	7,8	923780	5	853269
Mi	3	10	2018	33	39	9	30	29	3	 	9	23643029	17317485,7	1	288483	3	4703,5	92	2377,6	546	143,2	3020	36,1	23919	17,8	48426	9	428952	5	330774
Sa	6	10	2018	21	27	45	2	33	26	 	3	43242219	2767502	Jackpot	1600435,7	Jackpot	19517,5	41	6317,5	380	264	3030	58,1	27545	23,8	67199	12,2	588183	5	569850
Mi	10	10	2018	37	14	32	18	1	45	 	0	21291403	4130151,7	Jackpot	2425241,3	1	17930,5	23	4515,3	274	303,6	1358	57,6	14304	32,3	25526	12,8	289132	5	206999
Sa	13	10	2018	3	36	7	9	27	11	 	7	43786889	2310837,5	3	148135,4	10	2452,5	302	1331,3	1669	60,7	12199	19,1	77355	9,7	151438	6,4	1027961	5	855508
Mi	17	10	2018	7	35	20	36	9	24	 	2	20047620	1283047,6	Jackpot	188730,8	4	8031	47	2658,1	426	218,3	1729	41,8	18048	23,9	31575	10,4	323927	5	238306
Sa	20	10	2018	47	2	16	32	45	13	 	7	42614900	5548628,8	1	0	Jackpot	7929	97	2566,5	899	161,8	4751	42,6	36045	18,2	84146	10,9	632489	5	639564
Mi	24	10	2018	41	24	37	32	5	13	 	7	19707820	1261300,4	Jackpot	233126,9	3	3800,9	92	1736,8	604	108,2	3229	29,8	23462	14,9	46688	9	346753	5	319760
Sa	27	10	2018	30	35	47	40	8	38	 	2	42479678	3979999,7	Jackpot	1620398,4	1	24551,4	33	6031,2	403	310,7	2607	58,7	27581	28,4	56964	12,7	571119	5	463431
Mi	31	10	2018	4	40	13	22	16	6	 	5	21291501	5342655,7	1	761377,9	1	13127,2	29	3858,3	296	160	2378	42,4	17933	17,2	44096	10	339854	5	333863
Sa	3	11	2018	49	18	20	6	28	42	 	1	42774080	2737541,1	Jackpot	812202,1	2	13314,7	61	4143,8	588	269,2	3017	50,1	32383	27	60161	11,5	632023	5	481091
Mi	7	11	2018	42	41	15	37	4	31	 	4	20823377	2035118,6	2	779348,2	1	14987,4	26	5265,8	222	242,3	1608	53,8	14481	23,9	32550	12,1	289007	5	257102
Sa	10	11	2018	3	13	14	40	29	41	 	7	42620590	2727717,7	Jackpot	513205	3	13746,5	56	4882,5	473	204,2	3769	54	28461	20,2	76104	12,2	563804	5	637285
Mi	14	11	2018	22	9	31	4	27	41	 	9	20686254	4051637,9	Jackpot	381195,5	2	6572,3	58	2056,8	556	151,3	2519	32,8	23218	19	39944	9,1	375508	5	279059
Sa	17	11	2018	3	40	31	18	6	39	 	5	43437750	6831653,9	Jackpot	192122,9	8	4520,5	170	1721,7	1339	119	6457	28,9	53101	14,5	105307	8,2	835424	5	713805
Mi	21	11	2018	30	24	29	47	18	42	 	7	21477444	8206210,3	Jackpot	775191	Jackpot	13365,3	29	5644,5	206	188,8	2052	54,7	14158	18,9	40843	11,9	291202	5	322451
Sa	24	11	2018	20	37	15	45	14	40	 	1	44436762	11050163	Jackpot	2501153,8	Jackpot	22127,7	39	6940,8	373	351,5	2455	68,3	25261	34,7	49648	14,7	526815	5	422960
Mi	28	11	2018	31	49	48	28	26	23	 	0	22770508	12507475,5	Jackpot	3372343,4	Jackpot	11463	38	4256,6	307	284,5	1531	48,8	17828	27,8	31285	10,8	360517	5	243209
Sa	1	12	2018	23	46	31	6	8	27	 	2	47040389	15518060,3	1	1025608,4	5	11400,6	77	3055,1	862	199,6	4396	39,8	44057	22	79760	9,9	794285	5	590524
Mi	5	12	2018	48	29	49	36	47	13	 	5	22633700	1448556,8	Jackpot	845618,8	1	17617	24	4974,2	255	240,9	1755	55	15372	23,6	35793	12,5	303706	5	282421
Sa	8	12	2018	12	44	26	25	6	46	 	3	46450262	2210686,7	2	564650,6	3	8223	103	3028,5	839	173	4893	39,9	42375	19	89094	9,7	779886	5	662559
Mi	12	12	2018	3	20	7	34	48	33	 	6	20761914	1328762,4	Jackpot	370738,9	2	10904	34	3783	294	172,8	2145	42	17617	17,2	42873	9,7	342972	5	327483
Sa	15	12	2018	30	45	31	23	1	37	 	9	43892629	4137890,6	Jackpot	823826,3	2	15543,8	53	4628,2	534	309,4	2662	65	25344	27,3	60270	13,6	545151	5	532132
Mi	19	12	2018	41	34	19	4	32	12	 	4	22074364	5550649,8	Jackpot	115007,8	7	6940,1	58	2317,8	521	155,7	2585	34,8	23082	17,9	44756	9,1	397031	5	314775
