Ziehung	Tag	Monat	Jahr	Zahl1	Zahl2	Zahl3	Zahl4	Zahl5	Zahl6	Zusatz	Super	Einsatz(EUR)	Quote GKI(EUR)	Anzahl GKI	Quote GKII(EUR)	Anzahl GKII	Quote GKIII(EUR)	Anzahl GKIII	Quote GKIV(EUR)	Anzahl GKIV	Quote GKV(EUR)	Anzahl GKV	Quote GKVI(EUR)	Anzahl GKVI	Quote GKVII(EUR)	Anzahl GKVII	Quote GKVIII(EUR)	Anzahl GKVIII	Anzahl GKIX	Quote GKIX(EUR)
Sa	15	8	2015	9	42	26	14	3	30	 	3	46401707	4339947	Jackpot	210474	8	6957,8	121	2265,1	1115	141,8	5934	35	48068	17,8	94363	9,5	793282	5	678644
Mi	19	8	2015	24	28	22	48	38	16	 	2	22370272	5771644,4	Jackpot	847808,8	Jackpot	15700,1	27	4076	312	239,4	1770	45,5	18597	24,5	34596	11,1	342689	5	255070
Sa	22	8	2015	2	46	26	44	3	45	 	7	47928391	8839061,4	Jackpot	2594167,6	1	10394,9	84	4055	646	237,7	3672	63,2	27616	22,1	78849	12,9	608258	5	686638
Mi	26	8	2015	3	26	36	42	16	30	 	2	23861960	10366226,8	Jackpot	903607,9	1	10040	45	3115,8	435	197,1	2292	40,4	22358	24,9	36222	11	366745	5	273547
Sa	29	8	2015	23	8	28	16	12	44	 	8	50235933	13581326,5	Jackpot	1813960,6	Jackpot	8397,9	108	3384,2	804	156,6	5789	42,1	43064	17	106122	10,4	783505	5	752652
Mi	2	9	2015	2	16	35	18	3	20	 	1	26495194	15277018,9	Jackpot	1408548,7	2	18576,6	27	4869,5	309	253,1	1981	50,6	19812	25,8	38747	11,4	394882	5	304107
Sa	5	9	2015	1	47	43	13	22	12	 	1	53300449	18688247,6	Jackpot	2040747,5	1	19622,5	52	5136,1	596	316,6	3222	59	34556	30,2	67457	12,8	713418	5	566304
Mi	9	9	2015	2	19	44	26	46	28	 	2	28746137	20528000,3	Jackpot	1082340,5	Jackpot	20043,3	27	5393,7	301	271,5	1993	54,5	19859	25,9	41700	12,2	397172	5	341982
Sa	12	9	2015	6	2	28	26	22	15	 	5	56005262	24112337	Jackpot	3111425,9	1	8822,1	115	2852,5	1067	144,8	7004	38,6	52521	17,9	112783	10,5	867526	5	825488
Mi	16	9	2015	30	1	24	5	42	4	 	2	32758316	26208869,2	Jackpot	1229069,5	1	12290,6	50	4317,5	427	233,6	2630	47,3	25936	23,6	51921	10,7	516461	5	398386
