Super 6 Samstag;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1995
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;
;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
31.;05.08.;6;6;2;8;8;9;13.785.204,00       ;7 x               ;50 x           ;632 x           ;6.111 x       ;61.202 x    ;610.500 x    
32.;12.08.;2;0;0;6;9;5;13.754.046,00       ;5 x               ;67 x           ;652 x           ;6.472 x       ;64.279 x    ;642.396 x    
33.;19.08.;7;6;9;6;2;1;13.865.324,00       ;8 x               ;58 x           ;580 x           ;6.139 x       ;61.579 x    ;608.008 x    
34.;26.08.;2;4;9;9;0;8;13.958.298,00       ;10 x               ;63 x           ;612 x           ;6.252 x       ;61.548 x    ;646.173 x    
35.;02.09.;2;1;6;5;2;3;18.045.408,00       ;14 x               ;81 x           ;870 x           ;8.177 x       ;81.013 x    ;808.118 x    
36.;09.09.;0;9;6;7;6;5;14.745.760,00       ;6 x               ;61 x           ;719 x           ;7.203 x       ;69.893 x    ;693.370 x    
37.;16.09.;7;9;3;8;2;0;14.565.198,00       ;8 x               ;62 x           ;622 x           ;6.263 x       ;62.544 x    ;624.119 x    
38.;23.09.;8;6;8;1;6;0;14.456.368,00       ;5 x               ;79 x           ;574 x           ;6.044 x       ;60.776 x    ;606.907 x    
39.;30.09.;3;2;3;8;7;9;14.736.910,00       ;6 x               ;85 x           ;660 x           ;6.797 x       ;67.779 x    ;678.457 x    
40.;07.10.;7;1;4;3;1;8;14.896.450,00       ;5 x               ;67 x           ;677 x           ;6.815 x       ;67.360 x    ;679.667 x    
41.;14.10.;8;7;5;8;1;2;15.822.144,00       ;6 x               ;62 x           ;760 x           ;7.147 x       ;70.105 x    ;697.453 x    
42.;21.10.;5;8;9;1;7;1;14.656.862,00       ;8 x               ;57 x           ;657 x           ;6.439 x       ;63.941 x    ;639.883 x    
43.;28.10.;0;6;7;3;3;8;14.825.882,00       ;12 x               ;67 x           ;673 x           ;6.531 x       ;67.666 x    ;675.536 x    
44.;04.11.;9;5;6;9;1;0;19.231.400,00       ;8 x               ;77 x           ;841 x           ;8.174 x       ;82.273 x    ;824.234 x    
45.;11.11.;0;7;7;6;6;6;17.863.456,00       ;9 x               ;95 x           ;870 x           ;8.686 x       ;82.257 x    ;817.707 x    
46.;18.11.;5;2;7;4;5;1;18.643.656,00       ;9 x               ;86 x           ;781 x           ;8.115 x       ;81.174 x    ;812.282 x    
47.;25.11.;3;1;7;6;4;1;20.251.820,00       ;7 x               ;102 x           ;879 x           ;8.645 x       ;87.108 x    ;868.739 x    
48.;02.12.;8;7;9;1;9;3;19.644.874,00       ;5 x               ;89 x           ;915 x           ;8.686 x       ;88.056 x    ;883.518 x    
49.;09.12.;3;6;5;6;8;1;16.471.080,00       ;5 x               ;70 x           ;742 x           ;7.234 x       ;70.713 x    ;711.381 x    
50.;16.12.;4;8;1;1;4;4;17.324.706,00       ;10 x               ;65 x           ;854 x           ;7.899 x       ;80.572 x    ;785.226 x    
51.;23.12.;3;4;6;1;8;2;17.691.774,00       ;4 x               ;88 x           ;794 x           ;7.925 x       ;78.778 x    ;785.020 x    
52.;30.12.;3;2;8;5;7;4;16.657.284,00       ;9 x               ;75 x           ;762 x           ;7.423 x       ;74.277 x    ;744.854 x    
53.;;;;;;;;;;;;;;
;;;;;;;Gewinne Gesamt;;379 x               ;3.759 x    ;37.676 x    ;375.018 x       ;3.734.423 x    ;37.313.608 x    
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
