Super 6 Samstag;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 53. Veranstaltung 1992
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;
;;;;;;;;Spieleinsatz;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
40.;03.10.;0;2;8;8;7;9;7.846.326,00       ;4 x               ;39 x           ;366 x           ;3.793 x       ;36.312 x    ;362.939 x    
41.;10.10.;1;7;2;8;8;1;7.425.188,00       ;5 x               ;32 x           ;301 x           ;3.159 x       ;32.026 x    ;325.859 x    
42.;17.10.;0;0;4;0;9;7;7.168.314,00       ;3 x               ;27 x           ;333 x           ;3.181 x       ;33.193 x    ;331.751 x    
43.;24.10.;4;3;1;4;6;5;7.045.338,00       ;4 x               ;22 x           ;326 x           ;3.203 x       ;31.950 x    ;321.011 x    
44.;31.10.;4;0;3;1;2;9;7.171.918,00       ;2 x               ;30 x           ;358 x           ;3.357 x       ;33.500 x    ;330.780 x    
45.;07.11.;3;3;1;7;4;9;8.426.152,00       ;4 x               ;39 x           ;428 x           ;3.995 x       ;38.763 x    ;381.466 x    
46.;14.11.;8;8;3;4;9;3;7.422.722,00       ;1 x               ;27 x           ;329 x           ;3.333 x       ;33.364 x    ;341.356 x    
47.;21.11.;7;3;6;1;6;2;7.185.386,00       ;unbesetzt;34 x           ;294 x           ;3.263 x       ;32.590 x    ;323.692 x    
48.;28.11.;9;6;3;0;7;2;7.314.310,00       ;2 x               ;34 x           ;252 x           ;3.156 x       ;32.795 x    ;322.630 x    
49.;05.12.;3;3;3;4;8;2;14.504.512,00       ;4 x               ;81 x           ;661 x           ;6.322 x       ;64.488 x    ;644.929 x    
50.;12.12.;6;9;9;9;8;2;11.533.220,00       ;6 x               ;46 x           ;516 x           ;5.149 x       ;50.016 x    ;508.715 x    
51.;19.12.;1;0;6;8;1;6;12.858.206,00       ;8 x               ;50 x           ;641 x           ;5.863 x       ;58.908 x    ;589.079 x    
52.;26.12.;6;7;8;0;6;1;11.221.478,00       ;6 x               ;45 x           ;459 x           ;4.686 x       ;49.051 x    ;489.004 x    
53.;02.01.93;7;0;4;0;2;0;11.074.266,00       ;3 x               ;45 x           ;487 x           ;4.696 x       ;47.124 x    ;469.694 x    
;;;;;;;Gewinne Gesamt;;169 x               ;1.513 x    ;16.190 x    ;160.999 x       ;1.605.347 x    ;16.020.906 x    
