SUPER 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2013;;;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;;;;;;;;;;
KW;2013;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro;;;;;;;;;;;;;
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;;;;;;;;
;18.05.;SA;5;8;2;9;0;7;6.024.645,00   ;5  x   ;62  x   ;460  x   ;4.652  x   ;46.386  x   ;544.460  x   ;;;;;;;;;;;;;
21.;22.05.;MI;4;0;8;7;8;2;2.488.216,25   ;1  x   ;13  x   ;160  x   ;1.509  x   ;15.925  x   ;165.977  x   ;;;;;;;;;;;;;
;25.05.;SA;0;1;8;8;5;3;6.055.520,00   ;8  x   ;61  x   ;451  x   ;4.703  x   ;45.921  x   ;441.345  x   ;;;;;;;;;;;;;
22.;29.05.;MI;9;5;8;9;1;1;2.816.855,00   ;7  x   ;16  x   ;170  x   ;1.928  x   ;18.610  x   ;171.848  x   ;;;;;;;;;;;;;
;01.06.;SA;8;4;1;1;1;4;6.299.442,50   ;3  x   ;40  x   ;381  x   ;4.119  x   ;42.623  x   ;427.848  x   ;;;;;;;;;;;;;
23.;05.06.;MI;0;2;7;5;1;3;3.034.926,25   ;3  x   ;26  x   ;267  x   ;2.696  x   ;27.462  x   ;228.179  x   ;;;;;;;;;;;;;
;08.06.;SA;9;8;7;3;2;1;6.570.220,00   ;6  x   ;44  x   ;406  x   ;4.263  x   ;41.041  x   ;399.763  x   ;;;;;;;;;;;;;
24.;12.06.;MI;4;5;3;8;4;4;2.539.147,50   ;4  x   ;20  x   ;171  x   ;1.791  x   ;18.155  x   ;170.253  x   ;;;;;;;;;;;;;
;15.06.;SA;9;5;6;9;3;9;5.756.201,25   ;3  x   ;56  x   ;381  x   ;3.908  x   ;37.120  x   ;373.906  x   ;;;;;;;;;;;;;
25.;19.06.;MI;6;0;3;9;9;0;2.432.255,00   ;3  x   ;7  x   ;121  x   ;1.231  x   ;11.972  x   ;134.513  x   ;;;;;;;;;;;;;
;22.06.;SA;4;9;9;3;3;2;5.746.598,75   ;2  x   ;40  x   ;344  x   ;3.654  x   ;38.739  x   ;383.184  x   ;;;;;;;;;;;;;
