Super 6 Samstag;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1993
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;
;;;;;;;;Spieleinsatz;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
18.;08.05.;3;9;2;6;2;9;14.145.364,00       ;8 x               ;62 x           ;631 x           ;6.567 x       ;65.861 x    ;648.897 x    
19.;15.05.;4;1;6;0;6;2;11.653.940,00       ;7 x               ;43 x           ;521 x           ;5.160 x       ;53.079 x    ;525.528 x    
20.;22.05.;0;4;9;2;2;6;11.082.898,00       ;7 x               ;62 x           ;523 x           ;5.053 x       ;51.356 x    ;508.538 x    
21.;29.05.;8;2;8;0;6;5;11.482.548,00       ;6 x               ;42 x           ;523 x           ;5.098 x       ;53.190 x    ;524.230 x    
22.;05.06.;3;2;2;2;7;5;12.568.712,00       ;7 x               ;48 x           ;570 x           ;5.763 x       ;56.432 x    ;564.549 x    
23.;12.06.;0;8;9;1;0;6;11.224.662,00       ;3 x               ;56 x           ;479 x           ;5.140 x       ;49.302 x    ;514.663 x    
24.;19.06.;0;5;0;7;5;4;11.816.426,00       ;1 x               ;48 x           ;546 x           ;5.350 x       ;53.373 x    ;531.885 x    
25.;26.06.;2;1;3;2;6;7;11.962.322,00       ;8 x               ;55 x           ;523 x           ;5.441 x       ;53.321 x    ;536.504 x    
26.;03.07.;2;1;6;0;8;8;12.079.002,00       ;4 x               ;56 x           ;538 x           ;5.494 x       ;55.640 x    ;550.721 x    
27.;10.07.;9;6;1;8;2;2;11.519.982,00       ;12 x               ;49 x           ;518 x           ;5.301 x       ;52.358 x    ;518.732 x    
28.;17.07.;5;9;4;8;8;0;11.563.280,00       ;4 x               ;47 x           ;501 x           ;5.032 x       ;48.973 x    ;494.927 x    
29.;24.07.;2;1;2;0;6;4;11.676.438,00       ;5 x               ;63 x           ;489 x           ;5.082 x       ;52.962 x    ;526.690 x    
30.;31.07.;2;3;1;2;4;6;11.631.050,00       ;9 x               ;40 x           ;563 x           ;5.367 x       ;52.908 x    ;530.186 x    
31.;07.08.;7;9;2;7;6;2;12.072.806,00       ;4 x               ;47 x           ;508 x           ;5.309 x       ;53.383 x    ;531.586 x    
32.;14.08.;1;9;6;9;6;2;12.005.776,00       ;4 x               ;58 x           ;524 x           ;5.300 x       ;52.751 x    ;529.391 x    
33.;21.08.;2;5;0;5;4;0;11.622.368,00       ;5 x               ;54 x           ;503 x           ;4.938 x       ;50.243 x    ;499.961 x    
34.;28.08.;0;2;7;5;2;4;11.705.846,00       ;12 x               ;57 x           ;530 x           ;5.262 x       ;53.408 x    ;528.246 x    
35.;04.09.;6;3;0;7;2;7;15.105.008,00       ;6 x               ;71 x           ;697 x           ;7.052 x       ;70.913 x    ;699.923 x    
36.;11.09.;5;5;3;2;9;5;12.150.364,00       ;5 x               ;53 x           ;580 x           ;5.597 x       ;55.899 x    ;560.882 x    
37.;18.09.;9;6;8;6;9;5;12.865.680,00       ;4 x               ;45 x           ;629 x           ;5.705 x       ;57.418 x    ;579.202 x    
38.;25.09.;9;5;8;9;8;8;13.352.280,00       ;6 x               ;48 x           ;632 x           ;6.163 x       ;61.119 x    ;611.634 x    
39.;02.10.;2;1;7;6;9;7;13.624.182,00       ;9 x               ;70 x           ;647 x           ;6.385 x       ;63.195 x    ;634.297 x    
40.;09.10.;7;0;6;5;2;1;12.432.412,00       ;6 x               ;61 x           ;548 x           ;5.350 x       ;54.620 x    ;538.194 x    
41.;16.10.;9;2;9;2;9;2;12.445.346,00       ;4 x               ;62 x           ;588 x           ;5.604 x       ;55.697 x    ;557.643 x    
42.;23.10.;2;4;9;5;2;1;12.360.186,00       ;5 x               ;61 x           ;507 x           ;5.411 x       ;54.343 x    ;535.656 x    
43.;30.10.;9;9;8;0;8;6;13.501.918,00       ;7 x               ;61 x           ;557 x           ;5.986 x       ;60.465 x    ;601.314 x    
44.;06.11.;7;4;6;7;1;2;13.945.424,00       ;8 x               ;63 x           ;651 x           ;6.362 x       ;64.584 x    ;643.182 x    
45.;13.11.;6;0;3;8;0;2;12.652.640,00       ;4 x               ;47 x           ;521 x           ;5.403 x       ;53.066 x    ;563.283 x    
46.;20.11.;9;9;7;4;6;7;12.330.834,00       ;4 x               ;67 x           ;556 x           ;5.687 x       ;56.716 x    ;567.985 x    
47.;27.11.;3;0;3;2;6;1;12.423.900,00       ;5 x               ;53 x           ;561 x           ;5.480 x       ;55.743 x    ;553.085 x    
48.;04.12.;7;6;9;6;4;4;17.301.032,00       ;7 x               ;78 x           ;771 x           ;8.024 x       ;80.156 x    ;791.208 x    
49.;11.12.;2;1;6;0;5;8;13.624.680,00       ;7 x               ;68 x           ;671 x           ;6.122 x       ;62.106 x    ;617.489 x    
50.;18.12.;2;5;8;0;2;7;14.804.208,00       ;7 x               ;57 x           ;633 x           ;6.836 x       ;69.970 x    ;690.080 x    
51.;25.12.;4;4;4;2;5;4;13.745.684,00       ;6 x               ;70 x           ;599 x           ;6.297 x       ;62.553 x    ;619.988 x    
52.;01.01.94;6;0;3;9;8;0;13.399.816,00       ;5 x               ;62 x           ;571 x           ;5.651 x       ;56.898 x    ;572.728 x    
;;;;;;;Gewinne Gesamt;;309 x               ;2.893 x           ;29.149 x           ;292.129 x       ;2.925.496 x    ;29.236.683 x    
