SUPER 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2012
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
KW;2012;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne
;20.10.;SA;1;6;6;6;0;7;5.983.707,50   ;11  x   ;27  x   ;398  x   ;4.292  x   ;44.734  x   ;526.310  x   
43.;24.10.;MI;2;3;4;1;7;4;2.590.458,75   ;1  x   ;11  x   ;196  x   ;1.677  x   ;16.958  x   ;175.199  x   
;27.10.;SA;7;4;2;1;5;8;6.077.682,50   ;6  x   ;51  x   ;503  x   ;4.994  x   ;49.753  x   ;475.632  x   
44.;31.10.;MI;8;7;7;5;6;8;2.791.168,75   ;1  x   ;21  x   ;201  x   ;2.160  x   ;21.642  x   ;212.495  x   
;03.11.;SA;4;1;9;0;0;5;6.445.913,75   ;9  x   ;39  x   ;365  x   ;3.983  x   ;47.379  x   ;568.912  x   
45.;07.11.;MI;6;6;7;1;2;1;3.056.283,75   ;3  x   ;18  x   ;189  x   ;2.040  x   ;19.352  x   ;189.309  x   
;10.11.;SA;2;8;1;3;5;4;6.877.868,75   ;7  x   ;50  x   ;474  x   ;4.937  x   ;47.612  x   ;458.111  x   
46.;14.11.;MI;2;9;1;9;7;2;2.653.013,75   ;3  x   ;21  x   ;211  x   ;1.665  x   ;16.671  x   ;169.410  x   
;17.11.;SA;2;9;1;6;9;4;6.201.836,25   ;5  x   ;39  x   ;393  x   ;3.963  x   ;38.856  x   ;417.404  x   
47.;21.11.;MI;3;8;1;4;7;8;2.549.948,75   ;3  x   ;29  x   ;217  x   ;2.122  x   ;19.498  x   ;194.137  x   
;24.11.;SA;8;5;6;7;2;1;6.037.531,25   ;4  x   ;33  x   ;412  x   ;3.843  x   ;37.248  x   ;363.669  x   
48.;28.11.;MI;6;2;0;3;7;8;2.517.302,50   ;4  x   ;18  x   ;186  x   ;1.956  x   ;19.712  x   ;192.727  x   
;01.12.;SA;3;8;3;5;4;6;6.172.776,25   ;5  x   ;60  x   ;499  x   ;5.153  x   ;50.645  x   ;485.892  x   
49.;05.12.;MI;9;3;5;3;2;2;2.890.877,50   ;3  x   ;20  x   ;205  x   ;1.818  x   ;19.777  x   ;183.185  x   
;08.12.;SA;4;0;5;4;5;6;6.601.436,25   ;6  x   ;66  x   ;600  x   ;5.993  x   ;55.957  x   ;518.021  x   
50.;12.12.;MI;9;4;2;0;5;2;2.805.868,75   ;2  x   ;22  x   ;210  x   ;1.871  x   ;19.434  x   ;181.594  x   
;15.12.;SA;6;4;7;0;2;7;6.616.660,00   ;7  x   ;43  x   ;600  x   ;5.411  x   ;58.499  x   ;570.056  x   
51.;19.12.;MI;1;5;7;5;6;3;2.767.731,25   ;3  x   ;23  x   ;218  x   ;2.209  x   ;21.890  x   ;215.157  x   
;22.12.;SA;5;4;7;1;0;2;6.902.847,50   ;4  x   ;51  x   ;385  x   ;4.017  x   ;39.461  x   ;456.891  x   
52.;26.12.;MI;8;4;8;3;1;9;2.591.392,50   ;3  x   ;10  x   ;138  x   ;1.560  x   ;15.481  x   ;165.417  x   
;29.12.;SA;0;0;1;2;8;2;6.745.668,75   ;6  x   ;52  x   ;435  x   ;4.387  x   ;43.573  x   ;441.581  x   
;;;;;;;Gewinne Gesamt;;;208   ;1.724   ;16.897   ;166.826   ;1.676.799   ;16.719.711   
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
