Super 6 Samstag;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 53. Veranstaltung 1998
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;
;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
11.;14.03.;9;1;4;3;3;4;24.680.232,00       ;8  x  ;105  x  ;1.079  x  ;10.920  x  ;111.580  x  ;1.105.803  x  
12.;21.03.;1;0;5;8;6;6;18.387.332,00       ;12  x  ;97  x  ;858  x  ;8.850  x  ;91.323  x  ;872.301  x  
13.;28.03.;1;2;4;0;1;3;18.469.334,00       ;17  x  ;108  x  ;972  x  ;9.513  x  ;97.028  x  ;833.221  x  
14.;04.04.;4;3;3;4;1;2;17.999.388,00       ;9  x  ;82  x  ;853  x  ;7.999  x  ;79.476  x  ;782.399  x  
15.;11.04.;9;8;1;1;7;9;17.434.026,00       ;10  x  ;81  x  ;691  x  ;7.865  x  ;77.906  x  ;782.362  x  
16.;18.04.;0;6;4;8;3;0;18.196.966,00       ;5  x  ;74  x  ;699  x  ;6.932  x  ;69.031  x  ;695.743  x  
17.;25.04.;2;6;8;6;9;7;19.481.554,00       ;5  x  ;92  x  ;957  x  ;9.449  x  ;93.872  x  ;952.321  x  
18.;02.05.;7;7;4;5;4;7;17.047.270,00       ;14  x  ;80  x  ;837  x  ;8.499  x  ;83.799  x  ;832.436  x  
19.;09.05.;0;8;9;0;1;5;19.920.122,00       ;10  x  ;80  x  ;928  x  ;8.802  x  ;92.254  x  ;942.587  x  
20.;16.05.;8;1;8;2;5;4;17.350.924,00       ;15  x  ;88  x  ;853  x  ;7.984  x  ;80.147  x  ;774.754  x  
21.;23.05.;4;6;0;4;4;8;17.435.036,00       ;10  x  ;84  x  ;836  x  ;8.277  x  ;84.818  x  ;817.108  x  
22.;30.05.;8;6;8;2;5;0;19.119.962,00       ;5  x  ;70  x  ;782  x  ;7.273  x  ;74.601  x  ;735.340  x  
23.;06.06.;6;0;3;1;9;6;16.950.832,00       ;7  x  ;78  x  ;766  x  ;8.163  x  ;80.591  x  ;802.683  x  
24.;13.06.;3;6;1;7;8;2;17.075.936,00       ;10  x  ;74  x  ;710  x  ;7.306  x  ;75.567  x  ;765.911  x  
25.;20.06.;4;7;8;1;8;5;17.788.814,00       ;8  x  ;77  x  ;892  x  ;8.436  x  ;83.701  x  ;837.550  x  
26.;27.06.;6;3;1;7;7;0;16.816.498,00       ;5  x  ;86  x  ;674  x  ;6.649  x  ;65.798  x  ;651.290  x  
27.;04.07.;4;2;4;2;0;0;17.299.556,00       ;11  x  ;62  x  ;678  x  ;6.660  x  ;68.939  x  ;674.919  x  
28.;11.07.;9;1;3;7;1;6;18.012.012,00       ;6  x  ;88  x  ;842  x  ;8.320  x  ;84.210  x  ;863.211  x  
29.;18.07.;2;9;8;4;0;8;18.543.100,00       ;12  x  ;86  x  ;786  x  ;7.869  x  ;78.931  x  ;899.268  x  
30.;25.07.;1;7;4;8;7;0;20.192.840,00       ;19  x  ;75  x  ;782  x  ;8.306  x  ;81.722  x  ;800.972  x  
31.;01.08.;6;2;9;8;0;7;26.587.202,00       ;14  x  ;108  x  ;1.146  x  ;12.002  x  ;118.233  x  ;1.295.803  x  
32.;08.08.;3;4;3;3;9;6;37.113.210,00       ;18  x  ;172  x  ;1.753  x  ;17.566  x  ;175.438  x  ;1.736.281  x  
33.;15.08.;2;1;2;3;7;8;19.926.924,00       ;12  x  ;91  x  ;952  x  ;9.837  x  ;97.674  x  ;961.968  x  
34.;22.08.;4;7;4;5;0;6;18.998.780,00       ;12  x  ;76  x  ;787  x  ;8.419  x  ;81.647  x  ;930.714  x  
35.;29.08.;8;5;3;3;7;3;19.158.226,00       ;7  x  ;89  x  ;871  x  ;8.481  x  ;86.004  x  ;865.430  x  
36.;05.09.;5;5;8;2;7;4;21.083.726,00       ;12  x  ;102  x  ;1.007  x  ;9.753  x  ;96.161  x  ;946.321  x  
37.;12.09.;5;8;6;4;1;7;18.890.632,00       ;13  x  ;109  x  ;904  x  ;9.373  x  ;92.277  x  ;924.718  x  
38.;19.09.;0;5;2;4;5;5;19.136.686,00       ;10  x  ;88  x  ;885  x  ;8.981  x  ;91.657  x  ;889.480  x  
39.;26.09.;5;0;7;6;5;0;20.007.124,00       ;6  x  ;86  x  ;815  x  ;8.060  x  ;81.050  x  ;792.598  x  
40.;03.10.;7;4;8;2;9;4;17.885.534,00       ;11  x  ;94  x  ;844  x  ;7.998  x  ;79.237  x  ;808.891  x  
41.;10.10.;9;4;6;7;8;1;18.802.254,00       ;4  x  ;72  x  ;758  x  ;7.336  x  ;72.370  x  ;735.132  x  
42.;17.10.;8;8;9;7;0;9;18.747.332,00       ;7  x  ;67  x  ;803  x  ;7.683  x  ;75.085  x  ;835.201  x  
43.;24.10.;5;5;2;2;3;9;18.276.390,00       ;4  x  ;81  x  ;837  x  ;8.142  x  ;81.571  x  ;814.232  x  
44.;31.10.;8;7;1;7;7;6;18.352.098,00       ;11  x  ;82  x  ;845  x  ;8.555  x  ;88.195  x  ;890.151  x  
45.;07.11.;2;1;2;0;4;9;18.868.246,00       ;8  x  ;78  x  ;861  x  ;8.507  x  ;87.990  x  ;847.754  x  
46.;14.11.;3;6;3;8;5;5;19.021.632,00       ;3  x  ;99  x  ;911  x  ;9.047  x  ;92.245  x  ;888.196  x  
47.;21.11.;6;6;3;1;3;0;18.979.486,00       ;12  x  ;82  x  ;768  x  ;7.520  x  ;74.859  x  ;745.919  x  
48.;28.11.;7;6;0;1;8;2;18.511.610,00       ;6  x  ;60  x  ;791  x  ;7.754  x  ;78.189  x  ;784.948  x  
49.;05.12.;5;4;4;3;2;1;21.974.174,00       ;12  x  ;105  x  ;977  x  ;8.775  x  ;88.016  x  ;854.573  x  
50.;12.12.;9;2;5;9;4;4;19.081.036,00       ;7  x  ;101  x  ;837  x  ;8.831  x  ;88.907  x  ;851.126  x  
51.;19.12.;3;6;8;1;7;7;20.333.612,00       ;5  x  ;120  x  ;1.045  x  ;10.587  x  ;107.452  x  ;976.657  x  
52.;26.12.;2;2;6;6;4;7;18.918.710,00       ;9  x  ;84  x  ;894  x  ;9.217  x  ;92.372  x  ;912.276  x  
53.;02.01.99;4;1;6;4;5;8;19.385.852,00       ;13  x  ;87  x  ;982  x  ;9.462  x  ;92.797  x  ;932.629  x  
;;;;;;;Gewinne Gesamt;;509   ;4.664   ;46.300   ;460.729   ;4.615.246   ;45.999.679   
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
