Super 6 Samstag;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 52. Veranstaltung 1999
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;
;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI
40.;09.10.;7;4;7;4;6;1;18.624.802,00       ;11  x  ;93  x  ;756  x  ;7.381  x  ;72.862  x  ;732.146  x  
41.;16.10.;1;8;9;3;9;0;18.703.008,00       ;5  x  ;77  x  ;703  x  ;6.793  x  ;68.692  x  ;711.325  x  
42.;23.10.;9;4;8;4;1;4;18.312.386,00       ;6  x  ;84  x  ;761  x  ;7.899  x  ;76.607  x  ;787.524  x  
43.;30.10.;2;1;8;8;7;6;18.705.440,00       ;5  x  ;78  x  ;859  x  ;8.897  x  ;87.056  x  ;875.485  x  
44.;06.11.;4;9;8;3;1;9;20.606.266,00       ;15  x  ;121  x  ;990  x  ;9.898  x  ;97.729  x  ;977.484  x  
45.;13.11.;3;3;2;9;0;0;18.844.618,00       ;9  x  ;62  x  ;701  x  ;7.233  x  ;75.256  x  ;704.021  x  
46.;20.11.;2;7;0;6;5;9;18.785.782,00       ;8  x  ;68  x  ;891  x  ;9.325  x  ;91.748  x  ;891.948  x  
47.;27.11.;2;2;3;9;7;5;20.063.536,00       ;8  x  ;110  x  ;1.016  x  ;10.082  x  ;99.287  x  ;948.998  x  
48.;04.12.;0;3;4;4;5;5;22.911.012,00       ;12  x  ;113  x  ;1.107  x  ;11.027  x  ;112.747  x  ;1.070.956  x  
49.;11.12.;2;9;6;1;4;3;29.245.580,00       ;19  x  ;145  x  ;1.420  x  ;13.333  x  ;135.164  x  ;1.349.527  x  
50.;18.12.;5;8;4;5;5;9;22.112.368,00       ;12  x  ;119  x  ;1.090  x  ;10.560  x  ;108.054  x  ;1.044.277  x  
51.;25.12.;1;5;7;3;6;3;22.226.506,00       ;14  x  ;119  x  ;1.105  x  ;10.551  x  ;105.397  x  ;1.042.344  x  
52.;01.01.00;5;0;0;3;9;5;23.199.520,00       ;9  x  ;112  x  ;1.084  x  ;10.818  x  ;108.492  x  ;1.099.671  x  
;;;;;;;Gewinne Gesamt;;537   ;4.655   ;46.289   ;462.476   ;4.622.945   ;45.930.101   
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
