 6 16 18 29 35 |  6  9 | 0.000 0.000 0.585 0.655 0.934 0.943 0.774 0.776 0.947 1.021 0.744 0.945 (2014, 11, 28)
 2 13 39 45 47 |  4  6 | 0.000 0.522 0.894 0.834 0.903 0.877 0.996 1.015 0.905 0.929 1.062 0.946 (2020, 2, 21)
 7 10 16 32 40 |  1  6 | 0.000 1.806 0.619 0.771 0.835 0.987 0.959 0.950 0.931 1.053 0.930 0.949 (2016, 11, 18)
10 27 43 45 46 |  4  8 | 0.000 1.351 1.030 1.041 0.829 0.780 1.058 1.139 0.892 0.855 1.226 0.950 (2017, 4, 7)
15 18 19 41 42 |  4  6 | 2.446 1.223 0.524 0.804 0.770 0.764 0.909 1.059 0.832 0.834 1.117 0.950 (2019, 8, 23)
 6  9 31 43 44 |  6  9 | 0.000 1.023 0.731 1.000 0.840 0.883 1.089 1.031 0.897 0.920 0.904 0.953 (2019, 10, 18)
 3 19 22 37 39 |  5 10 | 0.000 0.000 1.191 0.682 1.095 1.414 0.696 0.708 1.005 1.246 0.706 0.954 (2015, 2, 6)
 1  7  9 29 46 |  9 10 | 0.000 0.535 0.459 0.723 0.994 1.120 0.820 0.799 1.025 1.154 0.774 0.956 (2020, 9, 25)
 1  4 20 32 34 |  3  6 | 4.872 1.218 0.522 0.888 0.826 0.735 0.963 1.103 0.875 0.846 1.208 0.957 (2017, 8, 18)
12 22 36 38 50 |  2  9 | 0.000 0.275 0.785 0.879 0.872 0.876 1.052 1.042 0.915 0.940 1.047 0.957 (2016, 7, 15)
12 20 21 22 35 |  4 10 | 0.000 1.161 0.000 0.598 0.890 0.913 0.778 0.807 0.947 1.037 0.802 0.958 (2019, 12, 20)
 6 21 30 37 44 |  1  3 | 0.000 1.917 1.533 0.709 1.015 0.961 0.801 0.847 0.942 0.927 0.916 0.958 (2015, 7, 17)
16 29 38 42 48 |  5  6 | 0.000 1.150 0.986 1.104 0.928 0.835 0.923 0.923 0.940 0.875 0.966 0.959 (2015, 1, 2)
 8 26 38 47 50 |  3  7 | 0.000 1.156 1.321 1.274 0.908 0.897 1.397 1.404 0.948 0.894 1.522 0.959 (2019, 5, 24)
 5 28 31 33 49 |  1  2 | 6.331 1.187 0.452 0.844 0.786 0.903 0.769 0.780 0.916 0.941 0.827 0.960 (2016, 4, 22)
 7 14 31 35 46 |  1  2 | 0.000 0.692 1.780 0.886 1.020 0.950 0.780 0.784 0.984 1.039 0.817 0.965 (2017, 5, 12)
 2  4 17 20 46 |  1  8 | 0.000 1.661 0.712 0.768 0.915 1.015 0.952 0.923 0.968 1.032 0.938 0.965 (2017, 6, 2)
 6 12 35 39 49 |  4  9 | 0.000 0.620 1.418 0.948 0.860 0.868 0.951 0.991 0.903 0.922 1.010 0.965 (2019, 1, 11)
18 21 37 43 47 |  1  3 | 0.000 0.744 1.275 1.022 0.891 0.904 0.752 0.820 0.935 0.927 0.863 0.966 (2019, 4, 19)
13 19 20 27 41 |  5  9 | 0.000 1.146 0.327 1.100 0.904 1.030 0.786 0.804 0.967 1.106 0.779 0.968 (2015, 1, 9)
 6 22 33 46 49 |  1  5 | 3.288 0.616 1.174 0.818 0.922 1.022 0.899 0.909 1.005 1.013 0.910 0.968 (2017, 4, 14)
10 11 25 32 49 |  5  9 | 0.000 2.100 1.200 0.747 1.279 1.237 0.792 0.775 1.062 1.129 0.747 0.969 (2014, 12, 19)
15 20 24 44 49 |  7  9 | 0.000 0.000 1.263 0.943 0.734 0.742 0.803 0.857 0.866 0.839 0.911 0.969 (2019, 3, 22)
15 16 17 23 30 |  6  9 | 5.057 0.632 1.264 0.787 0.868 0.959 0.877 0.865 0.952 1.053 0.869 0.969 (2017, 7, 7)
 3 26 31 33 50 |  3  9 | 0.000 0.000 1.029 0.768 0.813 0.861 0.914 0.978 0.931 0.934 0.979 0.969 (2015, 3, 27)
 8 24 25 30 50 |  4  6 | 0.000 0.205 0.470 0.877 0.870 0.854 1.000 1.087 0.902 0.901 1.156 0.970 (2015, 5, 1)
 9 15 20 24 34 |  1  5 | 0.000 1.574 0.675 0.755 0.857 0.894 0.964 0.957 0.925 0.952 0.960 0.971 (2017, 12, 8)
 3  8 30 46 48 |  1  3 | 0.000 1.674 0.319 0.674 0.805 0.789 0.797 0.866 0.905 0.869 0.904 0.972 (2019, 7, 26)
 2 21 30 39 43 |  5  7 | 9.282 2.901 1.326 1.238 0.962 0.802 1.115 1.142 0.912 0.810 1.276 0.973 (2014, 12, 26)
21 24 26 34 47 |  4  6 | 0.000 0.312 0.356 0.953 0.888 0.868 1.117 1.113 0.968 0.937 1.108 0.974 (2019, 9, 27)
 1  6 16 28 38 |  1  6 | 0.000 0.865 0.247 1.783 0.936 0.860 1.436 1.049 0.941 0.939 0.909 0.975 (2015, 5, 29)
 1  4 14 32 48 |  5  6 | 0.000 1.579 0.902 0.973 0.802 0.835 0.902 0.941 0.905 0.897 0.987 0.975 (2015, 1, 16)
 1 24 25 31 38 |  1  7 | 0.000 0.000 0.672 0.808 0.843 0.758 0.931 0.993 0.913 0.871 1.009 0.975 (2017, 6, 16)
 3 38 39 41 45 |  3  5 | 0.000 0.000 0.636 0.871 0.733 0.664 0.984 1.092 0.881 0.785 1.226 0.977 (2017, 4, 28)
22 25 41 45 49 |  2  5 | 0.000 0.000 0.723 1.020 0.847 0.734 1.118 1.175 0.927 0.815 1.255 0.980 (2014, 11, 14)
13 21 25 34 35 |  5 10 | 0.000 0.479 1.096 0.767 0.966 1.047 0.918 0.932 0.996 1.107 0.884 0.980 (2020, 7, 17)
14 27 28 35 47 |  1  8 | 0.000 0.481 0.825 0.753 1.076 1.308 0.972 0.960 1.059 1.167 0.985 0.980 (2015, 6, 26)
 8 23 24 39 50 |  1  5 | 0.000 1.283 0.489 0.882 0.903 0.849 0.927 0.956 0.938 0.984 1.009 0.981 (2015, 5, 22)
 6 27 30 35 41 |  4  5 | 0.000 0.819 0.624 0.698 0.874 0.820 0.794 0.885 0.938 0.865 0.934 0.981 (2020, 1, 3)
 9 11 19 42 45 |  7 10 | 0.000 1.875 2.142 0.853 0.915 1.062 0.737 0.741 0.997 1.101 0.745 0.981 (2016, 2, 26)
 1 10 25 39 44 |  1  2 | 0.000 1.462 1.670 1.143 0.877 0.860 0.857 0.845 0.963 0.908 0.846 0.982 (2015, 3, 13)
 1 18 23 33 41 |  2  6 | 0.000 0.454 0.951 0.753 0.849 0.888 0.944 1.008 0.930 0.970 1.030 0.983 (2020, 4, 17)
 1 18 26 40 47 |  3  4 | 0.000 1.897 1.084 0.836 0.863 0.806 0.812 0.908 0.909 0.820 0.989 0.984 (2015, 4, 10)
 2 22 33 38 47 |  2  9 | 0.000 0.990 0.848 1.267 1.041 0.948 1.202 1.133 0.985 0.977 1.093 0.986 (2020, 6, 19)
