     Datum; ;        Gewinnzahlen;ZZ;S;Spiel77;Super6;  Spieleinsatz;Anz. Kl. 1;  Quote Kl. 1;Anz. Kl. 2;  Quote Kl. 2;Anz. Kl. 3;  Quote Kl. 3;Anz. Kl. 4;  Quote Kl. 4;Anz. Kl. 5;  Quote Kl. 5;Anz. Kl. 6;  Quote Kl. 6;Anz. Kl. 7;  Quote Kl. 7;Anz. Kl. 8;  Quote Kl. 8;Anz. Kl. 9;  Quote Kl. 9
13.05.1956; ;43;31;39;32; 4;34;--;--; ;       ;      ;  2.670.088,00;        --;           --;        24;    27.813,00;     3.226;       103,00;    82.430;         4,00;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
21.05.1956; ;22;12;37;31; 6;42;--;--; ;       ;      ;  2.719.252,50;         4;    84.976,50;       753;       451,00;    16.511;        20,50;   134.901;         2,50;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
27.05.1956; ;36;33;38;43;35; 5;--;--; ;       ;      ;  2.701.145,00;         1;   337.643,00;        55;     6.138,50;     3.600;        93,50;    81.361;         4,10;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
03.06.1956; ;36;34;35;11;33;17;--;--; ;       ;      ;  2.992.437,00;        --;           --;        38;    19.687,00;     4.021;        93,00;    87.566;         4,20;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
10.06.1956; ;23;40;14;46;10;16;--;--; ;       ;      ;  3.247.506,50;         2;   202.969,00;        68;     5.969,50;     4.008;       101,00;    81.512;         4,90;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
17.06.1956; ;25;41; 5;46;38;19;--;24; ;       ;      ;  3.482.771,00;         1;   435.346,00;       111;     3.922,00;     5.879;        74,00;   112.567;         3,80;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
24.06.1956; ;37;18;43;32;14;16;--;21; ;       ;      ;  4.055.535,00;        --;           --;       109;     9.301,50;     7.019;        72,00;   145.857;         3,40;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
01.07.1956; ;44;13;35;21;25; 5;--;10; ;       ;      ;  4.227.384,50;         1;   528.423,00;       278;     1.900,50;    11.704;        45,10;   167.138;         3,10;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
08.07.1956; ;47; 3;43;20;48;42;--;19; ;       ;      ;  4.751.919,50;        --;           --;        37;    32.107,50;     3.733;       159,00;   101.023;         5,80;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
15.07.1956; ;48;12;19;17;34;23;--;32; ;       ;      ;  4.651.842,50;         1;   581.480,00;       182;     3.194,50;    12.538;        46,30;   216.187;         2,60;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
22.07.1956; ;38;48; 5;10;18; 8;--;14; ;       ;      ;  4.970.417,50;         1;   621.302,00;       618;     1.005,00;    17.138;        36,20;   189.163;         3,20;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
29.07.1956; ;27;35; 9;17;23;10;--;39; ;       ;      ;  5.242.605,50;         5;   131.065,00;       228;     2.874,00;    13.482;        48,60;   223.675;         2,90;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
05.08.1956; ;40; 9;23;25;31;46;--;49; ;       ;      ;  5.496.264,50;         1;   687.033,00;       239;     2.874,50;     9.681;        70,50;   166.091;         4,10;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
12.08.1956; ;10;31; 4;11;26;47;--;13; ;       ;      ;  5.595.724,50;         1;   699.465,50;       196;     3.568,50;     9.687;        72,00;   180.815;         3,80;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
19.08.1956; ; 5;34;33;14; 6;40;--;21; ;       ;      ;  6.480.104,50;         1;   810.013,00;       101;     8.019,50;     8.149;        99,00;   197.244;         4,10;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
26.08.1956; ;36; 3;16;29;25;11;--;39; ;       ;      ;  7.320.505,50;         2;   457.531,50;       270;     3.389,00;    14.764;        62,00;   262.488;         3,40;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
02.09.1956; ;49;48;40;31;26;14;--;10; ;       ;      ;  8.346.919,00;         1; 1.043.364,50;       101;    10.330,00;     7.729;       135,00;   175.689;         5,90;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
09.09.1956; ;42;47;15;28;27;22;--;33; ;       ;      ; 10.055.118,50;         1; 1.256.889,50;       191;     6.580,50;    13.851;        90,50;   300.674;         4,10;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
16.09.1956; ;42;23;17; 8; 4;18;--;41; ;       ;      ; 12.195.144,00;         3;   508.131,00;       446;     3.417,50;    29.447;        51,50;   535.251;         2,80;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
23.09.1956; ;31; 9; 5;22;21; 6;--;10; ;       ;      ; 12.151.735,00;         1; 1.518.966,50;       922;     1.647,00;    36.036;        42,10;   542.931;         2,80;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
30.09.1956; ; 9;10;39;36;27;24;--;19; ;       ;      ; 13.137.987,00;         4;   410.562,00;       711;     2.309,50;    35.229;        46,50;   599.574;         2,70;          ;             ;          ;             ;          ;             ;          ;             ;          ;             
